Rank,Team,GM,W-L,AST,TO,Ratio
1,Saint Mary's (CA) (WCC),35,29-6,584,335,1.74
2,Michigan St. (Big Ten),35,29-6,719,416,1.73
3,North Carolina (ACC),40,33-7,712,431,1.65
4,Richmond (Atlantic 10),32,16-16,531,327,1.62
5,Virginia (ACC),37,29-8,551,345,1.60
6,Northwestern (Big Ten),32,20-12,527,331,1.59
7,Milwaukee (Horizon),33,20-13,566,362,1.56
8,SFA (Southland),34,28-6,636,411,1.55
9,Michigan (Big Ten),36,23-13,537,348,1.54
10,Iowa (Big Ten),33,22-11,523,339,1.54
11,William & Mary (CAA),31,20-11,501,331,1.51
12,Davidson (Atlantic 10),33,20-13,497,335,1.48
13,Saint Joseph's (Atlantic 10),36,28-8,534,362,1.48
14,UAB (C-USA),33,26-7,608,414,1.47
15,Old Dominion (C-USA),38,25-13,505,346,1.46
16,North Florida (ASUN),34,22-12,559,383,1.46
17,Temple (AAC),33,21-12,445,305,1.46
18,Arkansas (SEC),32,16-16,520,357,1.46
19,Central Mich. (MAC),33,17-16,441,303,1.46
20,Purdue (Big Ten),35,26-9,615,424,1.45
21,Iowa St. (Big 12),35,23-12,577,398,1.45
22,Villanova (Big East),40,35-5,637,440,1.45
23,High Point (Big South),32,21-11,493,341,1.45
24,Sam Houston (Southland),34,18-16,575,400,1.44
25,Stony Brook (America East),33,26-7,541,379,1.43
26,Pittsburgh (ACC),33,21-12,547,384,1.42
27,SMU (AAC),30,25-5,528,372,1.42
28,Toledo (MAC),32,17-15,527,373,1.41
29,Wichita St. (MVC),35,26-9,488,346,1.41
30,BYU (WCC),37,26-11,611,434,1.41
31,Cincinnati (AAC),33,22-11,508,363,1.40
32,Butler (Big East),33,22-11,468,335,1.40
33,Evansville (MVC),34,25-9,595,426,1.40
34,Baylor (Big 12),34,22-12,603,432,1.40
35,Providence (Big East),35,24-11,550,397,1.39
36,Cal Poly (Big West),30,10-20,425,308,1.38
37,Texas A&M (SEC),37,28-9,613,447,1.37
38,Columbia (Ivy League),35,25-10,519,379,1.37
39,LMU (CA) (WCC),31,14-17,482,352,1.37
40,Oakland (Horizon),35,23-12,545,399,1.37
41,Duke (ACC),36,25-11,480,354,1.36
42,Portland St. (Big Sky),31,13-18,527,390,1.35
43,Notre Dame (ACC),36,24-12,480,359,1.34
44,Akron (MAC),35,26-9,507,381,1.33
45,Creighton (Big East),35,20-15,537,406,1.32
46,Marshall (C-USA),33,17-16,554,424,1.31
47,Iona (MAAC),33,22-11,551,422,1.31
48,Clemson (ACC),31,17-14,411,315,1.30
49,Princeton (Ivy League),29,22-7,431,331,1.30
50,Illinois (Big Ten),34,15-19,462,357,1.29
51,LSU (SEC),33,19-14,507,394,1.29
52,UCLA (Pac-12),32,15-17,502,392,1.28
53,Pepperdine (WCC),32,18-14,457,357,1.28
54,Xavier (Big East),34,28-6,548,429,1.28
55,CSU Bakersfield (WAC),33,24-9,516,405,1.27
56,Kentucky (SEC),36,27-9,512,402,1.27
57,South Dakota (Summit League),32,14-18,492,388,1.27
58,Kansas (Big 12),38,33-5,604,478,1.26
59,Vanderbilt (SEC),33,19-14,487,386,1.26
60,Canisius (MAAC),33,14-19,466,370,1.26
61,Tulsa (AAC),32,20-12,435,346,1.26
62,Hofstra (CAA),34,24-10,510,406,1.26
63,George Washington (Atlantic 10),38,28-10,535,426,1.26
64,VCU (Atlantic 10),36,25-11,517,414,1.25
65,UConn (AAC),36,25-11,490,394,1.24
66,Wofford (SoCon),32,15-17,470,378,1.24
67,NJIT (ASUN),35,20-15,562,452,1.24
68,Stetson (ASUN),34,12-22,519,418,1.24
69,Holy Cross (Patriot),35,15-20,479,386,1.24
70,Little Rock (Sun Belt),35,30-5,451,364,1.24
71,Houston (AAC),32,22-10,412,333,1.24
72,Long Beach St. (Big West),35,20-15,532,430,1.24
73,Utah (Pac-12),36,27-9,557,451,1.24
74,Memphis (AAC),34,19-15,510,413,1.23
75,Fresno St. (Mountain West),35,25-10,466,378,1.23
76,Purdue Fort Wayne (Summit League),34,24-10,512,417,1.23
76,UTEP (C-USA),33,19-14,512,417,1.23
78,UTRGV (WAC),30,8-22,459,374,1.23
79,UT Arlington (Sun Belt),35,24-11,590,482,1.22
80,Utah St. (Mountain West),31,16-15,454,373,1.22
81,Charlotte (C-USA),33,14-19,481,396,1.21
82,Southern California (Pac-12),34,21-13,504,415,1.21
83,Murray St. (OVC),31,17-14,445,367,1.21
84,Belmont (OVC),32,20-12,544,450,1.21
85,Georgia Tech (ACC),36,21-15,487,403,1.21
86,Youngstown St. (Horizon),32,11-21,467,387,1.21
87,UC Irvine (Big West),38,28-10,568,471,1.21
88,Tennessee (SEC),34,15-19,458,380,1.21
89,Wright St. (Horizon),35,22-13,478,397,1.20
90,UNI (MVC),36,23-13,429,357,1.20
91,Gonzaga (WCC),36,28-8,502,418,1.20
92,Oregon (Pac-12),38,31-7,517,431,1.20
93,Oregon St. (Pac-12),32,19-13,432,361,1.20
94,Lipscomb (ASUN),33,12-21,548,458,1.20
95,Florida (SEC),36,21-15,481,405,1.19
96,Elon (CAA),32,16-16,488,411,1.19
97,Louisville (ACC),31,23-8,419,353,1.19
98,UC Santa Barbara (Big West),33,19-14,496,418,1.19
99,Northeastern (CAA),33,18-15,485,409,1.19
100,Hawaii (Big West),34,28-6,525,443,1.19
101,Sacramento St. (Big Sky),31,14-17,434,367,1.18
102,Indiana (Big Ten),35,27-8,560,474,1.18
103,Mercer (SoCon),34,19-15,509,431,1.18
104,Eastern Wash. (Big Sky),34,18-16,449,381,1.18
105,Fairfield (MAAC),33,19-14,503,427,1.18
106,Ohio (MAC),35,23-12,487,414,1.18
107,UNCW (CAA),33,25-8,438,374,1.17
108,St. Bonaventure (Atlantic 10),31,22-9,418,357,1.17
109,Bucknell (Patriot),31,17-14,489,423,1.16
110,Boise St. (Mountain West),32,20-12,430,372,1.16
111,Tennessee Tech (OVC),31,19-12,442,383,1.15
112,Chattanooga (SoCon),35,29-6,504,437,1.15
113,Colorado St. (Mountain West),34,18-16,455,395,1.15
114,Morehead St. (OVC),37,23-14,533,464,1.15
