Rank,Team,GM,W-L,FGM,FGA,FG%
205,Presbyterian (Big South),31,11-20,754,"1,743",43.3
206,Maine (America East),30,8-22,825,"1,909",43.2
207,South Carolina (SEC),34,25-9,882,"2,041",43.2
208,CSUN (Big West),30,10-20,745,"1,724",43.2
209,Texas (Big 12),33,20-13,814,"1,884",43.2
210,Illinois (Big Ten),34,15-19,861,"1,993",43.2
211,N.C. Central (MEAC),32,13-19,779,"1,805",43.2
212,Akron (MAC),35,26-9,911,"2,111",43.2
213,Portland (WCC),32,12-20,868,"2,012",43.1
214,LIU (NEC),31,16-15,813,"1,885",43.1
215,Long Beach St. (Big West),35,20-15,896,"2,078",43.1
216,Western Mich. (MAC),32,13-19,786,"1,824",43.1
217,Manhattan (MAAC),31,13-18,708,"1,644",43.1
218,Youngstown St. (Horizon),32,11-21,870,"2,021",43
219,Loyola Maryland (Patriot),30,9-21,732,"1,702",43
220,Cincinnati (AAC),33,22-11,851,"1,980",43
221,UCF (AAC),30,12-18,715,"1,664",43
222,Texas St. (Sun Belt),31,15-16,727,"1,693",42.9
223,Massachusetts (Atlantic 10),32,14-18,817,"1,903",42.9
224,Army West Point (Patriot),33,19-14,895,"2,085",42.9
225,Kansas City (WAC),31,12-19,746,"1,738",42.9
226,Kansas St. (Big 12),33,17-16,805,"1,876",42.9
227,UC Riverside (Big West),33,14-19,788,"1,837",42.9
228,Brown (Ivy League),28,8-20,697,"1,625",42.9
229,Wichita St. (MVC),35,26-9,867,"2,023",42.9
230,Charleston So. (Big South),30,9-21,774,"1,808",42.8
231,Utah Valley (WAC),30,12-18,785,"1,834",42.8
232,Northern Ill. (MAC),34,21-13,842,"1,970",42.7
233,Penn (Ivy League),28,11-17,685,"1,604",42.7
234,Air Force (Mountain West),32,14-18,752,"1,761",42.7
235,Western Caro. (SoCon),34,16-18,851,"1,993",42.7
236,Gardner-Webb (Big South),33,17-16,871,"2,041",42.7
237,Rider (MAAC),33,13-20,769,"1,802",42.7
238,Loyola Chicago (MVC),32,15-17,725,"1,700",42.6
239,Towson (CAA),33,20-13,805,"1,888",42.6
240,Colorado (Pac-12),34,22-12,865,"2,030",42.6
241,Stanford (Pac-12),30,15-15,704,"1,653",42.6
242,Florida (SEC),36,21-15,930,"2,184",42.6
243,Washington (Pac-12),34,19-15,964,"2,264",42.6
244,Wisconsin (Big Ten),35,22-13,816,"1,917",42.6
245,East Carolina (AAC),32,12-20,761,"1,790",42.5
246,UT Arlington (Sun Belt),35,24-11,956,"2,250",42.5
247,Colorado St. (Mountain West),34,18-16,878,"2,067",42.5
248,Syracuse (ACC),37,23-14,884,"2,082",42.5
249,Seattle U (WAC),32,15-17,735,"1,732",42.4
250,American (Patriot),31,12-19,631,"1,487",42.4
251,Nevada (Mountain West),38,24-14,973,"2,293",42.4
252,San Jose St. (Mountain West),31,9-22,756,"1,782",42.4
253,Wagner (NEC),34,23-11,856,"2,019",42.4
254,Norfolk St. (MEAC),34,17-17,813,"1,919",42.4
255,Lamar University (Southland),30,11-19,771,"1,821",42.3
256,Oklahoma St. (Big 12),32,12-20,723,"1,709",42.3
257,IUPUI (Summit League),32,13-19,785,"1,858",42.2
258,Georgia (SEC),34,20-14,799,"1,892",42.2
259,Marist (MAAC),30,7-23,723,"1,713",42.2
260,Alabama (SEC),33,18-15,738,"1,750",42.2
261,Saint Peter's (MAAC),30,14-16,700,"1,660",42.2
262,Missouri (SEC),31,10-21,732,"1,736",42.2
263,San Diego St. (Mountain West),38,28-10,885,"2,100",42.1
264,Saint Francis (PA) (NEC),30,13-17,716,"1,700",42.1
265,Providence (Big East),35,24-11,881,"2,093",42.1
266,Tennessee (SEC),34,15-19,890,"2,116",42.1
267,Col. of Charleston (CAA),31,17-14,722,"1,719",42
268,Bryant (NEC),31,8-23,755,"1,798",42
269,Nicholls (Southland),34,11-23,787,"1,875",42
270,Cornell (Ivy League),28,10-18,703,"1,675",42
271,Canisius (MAAC),33,14-19,845,"2,014",42
272,Saint Louis (Atlantic 10),32,11-21,724,"1,726",41.9
273,New Orleans (Southland),30,10-20,763,"1,821",41.9
274,LMU (CA) (WCC),31,14-17,796,"1,903",41.8
275,UTRGV (WAC),30,8-22,716,"1,712",41.8
276,Rutgers (Big Ten),32,7-25,785,"1,878",41.8
277,South Fla. (AAC),33,8-25,774,"1,852",41.8
278,Alabama A&M (SWAC),29,11-18,682,"1,633",41.8
279,The Citadel (SoCon),32,10-22,938,"2,249",41.7
280,Cal Poly (Big West),30,10-20,755,"1,813",41.6
281,Robert Morris (NEC),32,10-22,741,"1,780",41.6
282,New Hampshire (America East),33,20-13,809,"1,944",41.6
283,UTSA (C-USA),32,5-27,796,"1,915",41.6
283,Ole Miss (SEC),32,20-12,796,"1,915",41.6
285,Arkansas St. (Sun Belt),31,11-20,770,"1,855",41.5
286,Arizona St. (Pac-12),32,15-17,796,"1,919",41.5
287,Missouri St. (MVC),32,13-19,752,"1,817",41.4
288,Illinois St. (MVC),32,18-14,759,"1,835",41.4
289,Bethune-Cookman (MEAC),32,14-18,799,"1,932",41.4
290,Memphis (AAC),34,19-15,877,"2,124",41.3
291,Holy Cross (Patriot),35,15-20,775,"1,880",41.2
292,VMI (SoCon),30,9-21,729,"1,770",41.2
293,Hampton (MEAC),32,21-11,810,"1,967",41.2
294,Ga. Southern (Sun Belt),31,14-17,781,"1,903",41
295,McNeese (Southland),29,9-20,719,"1,752",41
296,Cal St. Fullerton (Big West),30,10-20,698,"1,702",41
297,Santa Clara (WCC),31,11-20,713,"1,740",41
298,Boston College (ACC),32,7-25,717,"1,751",40.9
299,Southern Miss. (C-USA),29,8-21,612,"1,496",40.9
300,South Alabama (Sun Belt),33,14-19,784,"1,917",40.9
301,Grambling (SWAC),31,7-24,658,"1,609",40.9
302,Alcorn (SWAC),30,15-15,691,"1,690",40.9
303,Southeast Mo. St. (OVC),29,5-24,699,"1,711",40.9
304,Alabama St. (SWAC),31,14-17,788,"1,929",40.9
305,Troy (Sun Belt),31,9-22,740,"1,816",40.7
306,Hartford (America East),33,10-23,777,"1,907",40.7
307,Fla. Atlantic (C-USA),33,8-25,752,"1,847",40.7
308,Penn St. (Big Ten),32,16-16,732,"1,799",40.7
309,Jackson St. (SWAC),36,20-16,898,"2,208",40.7
310,Temple (AAC),33,21-12,822,"2,023",40.6
311,Howard (MEAC),32,12-20,750,"1,846",40.6
312,St. John's (NY) (Big East),32,8-24,757,"1,865",40.6
313,N.C. A&T (MEAC),32,10-22,745,"1,836",40.6
314,George Mason (Atlantic 10),32,11-21,766,"1,888",40.6
315,TCU (Big 12),33,12-21,734,"1,810",40.6
316,Minnesota (Big Ten),31,8-23,724,"1,786",40.5
317,La Salle (Atlantic 10),31,9-22,690,"1,707",40.4
318,Niagara (MAAC),32,7-25,735,"1,820",40.4
319,Miami (OH) (MAC),33,13-20,719,"1,782",40.3
320,Cleveland St. (Horizon),32,9-23,704,"1,747",40.3
321,Jacksonville St. (OVC),31,8-23,721,"1,792",40.2
322,Delaware (CAA),30,7-23,669,"1,664",40.2
323,Florida A&M (MEAC),29,8-21,644,"1,606",40.1
324,Mount St. Mary's (NEC),33,14-19,788,"1,967",40.1
325,App State (Sun Belt),31,9-22,719,"1,795",40.1
326,Central Conn. St. (NEC),29,4-25,682,"1,703",40
327,Northern Ariz. (Big Sky),30,5-25,699,"1,747",40
328,SIUE (OVC),28,6-22,634,"1,591",39.8
329,Auburn (SEC),31,11-20,724,"1,819",39.8
330,St. Francis Brooklyn (NEC),32,15-17,710,"1,787",39.7
331,Tulane (AAC),34,12-22,802,"2,021",39.7
332,Morgan St. (MEAC),31,9-22,734,"1,854",39.6
333,Savannah St. (MEAC),32,16-16,667,"1,685",39.6
334,Drexel (CAA),31,6-25,677,"1,721",39.3
335,Indiana St. (MVC),32,15-17,715,"1,825",39.2
336,Ark.-Pine Bluff (SWAC),33,8-25,674,"1,722",39.1
337,Delaware St. (MEAC),32,7-25,710,"1,815",39.1
338,San Diego (WCC),30,9-21,630,"1,614",39
339,Binghamton (America East),30,8-22,629,"1,614",39
340,UIC (Horizon),30,5-25,697,"1,796",38.8
341,Mississippi Val. (SWAC),35,8-27,826,"2,129",38.8
342,Coppin St. (MEAC),31,9-22,741,"1,932",38.4
343,Chicago St. (WAC),32,4-28,764,"1,995",38.3
344,Prairie View (SWAC),31,7-24,657,"1,727",38
345,Bradley (MVC),32,5-27,606,"1,597",37.9
346,Quinnipiac (MAAC),30,9-21,698,"1,898",36.8
