Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
33,Weber St. (Big Sky),35,26-9,"2,662",76.1,"2,344",67,9.1
34,Maryland (Big Ten),36,27-9,"2,725",75.7,"2,400",66.7,9
35,Evansville (MVC),34,25-9,"2,526",74.3,"2,221",65.3,9
36,Butler (Big East),33,22-11,"2,638",79.9,"2,344",71,8.9
37,Duke (ACC),36,25-11,"2,920",81.1,"2,609",72.5,8.6
38,Oklahoma (Big 12),37,29-8,"2,948",79.7,"2,629",71.1,8.6
39,Akron (MAC),35,26-9,"2,682",76.6,"2,381",68,8.6
40,UAB (C-USA),33,26-7,"2,606",79,"2,323",70.4,8.6
41,Vanderbilt (SEC),33,19-14,"2,506",75.9,"2,225",67.4,8.5
42,Iowa (Big Ten),33,22-11,"2,561",77.6,"2,287",69.3,8.3
43,Chattanooga (SoCon),35,29-6,"2,652",75.8,"2,364",67.5,8.2
44,New Mexico St. (WAC),34,23-11,"2,424",71.3,"2,145",63.1,8.2
45,Houston (AAC),32,22-10,"2,476",77.4,"2,216",69.3,8.1
46,South Dakota St. (Summit League),34,26-8,"2,591",76.2,"2,316",68.1,8.1
47,San Diego St. (Mountain West),38,28-10,"2,605",68.6,"2,303",60.6,7.9
48,Oakland (Horizon),35,23-12,"3,023",86.4,"2,746",78.5,7.9
49,Miami (FL) (ACC),35,27-8,"2,633",75.2,"2,359",67.4,7.8
50,Pittsburgh (ACC),33,21-12,"2,476",75,"2,220",67.3,7.8
51,Columbia (Ivy League),35,25-10,"2,670",76.3,"2,399",68.5,7.7
52,Utah (Pac-12),36,27-9,"2,778",77.2,"2,502",69.5,7.7
53,Baylor (Big 12),34,22-12,"2,621",77.1,"2,364",69.5,7.6
54,California (Pac-12),34,23-11,"2,545",74.9,"2,289",67.3,7.5
55,Boise St. (Mountain West),32,20-12,"2,480",77.5,"2,246",70.2,7.3
56,UNCW (CAA),33,25-8,"2,620",79.4,"2,379",72.1,7.3
57,Creighton (Big East),35,20-15,"2,787",79.6,"2,533",72.4,7.3
58,George Washington (Atlantic 10),38,28-10,"2,875",75.7,"2,602",68.5,7.2
59,Saint Joseph's (Atlantic 10),36,28-8,"2,780",77.2,"2,522",70.1,7.2
60,Monmouth (MAAC),36,28-8,"2,861",79.5,"2,604",72.3,7.1
61,UNC Asheville (Big South),34,22-12,"2,552",75.1,"2,313",68,7
62,Old Dominion (C-USA),38,25-13,"2,604",68.5,"2,339",61.6,7
63,Louisiana Tech (C-USA),33,23-10,"2,624",79.5,"2,395",72.6,6.9
64,Milwaukee (Horizon),33,20-13,"2,618",79.3,"2,391",72.5,6.9
65,Iowa St. (Big 12),35,23-12,"2,862",81.8,"2,625",75,6.8
66,Louisiana (Sun Belt),34,19-15,"2,706",79.6,"2,476",72.8,6.8
67,High Point (Big South),32,21-11,"2,473",77.3,"2,258",70.6,6.7
68,South Carolina (SEC),34,25-9,"2,583",76,"2,357",69.3,6.6
69,Dayton (Atlantic 10),33,25-8,"2,393",72.5,"2,176",65.9,6.6
70,FGCU (ASUN),35,21-14,"2,703",77.2,"2,473",70.7,6.6
71,James Madison (CAA),32,21-11,"2,405",75.2,"2,197",68.7,6.5
72,Coastal Carolina (Big South),33,21-12,"2,410",73,"2,196",66.5,6.5
73,Michigan (Big Ten),36,23-13,"2,656",73.8,"2,426",67.4,6.4
74,Seton Hall (Big East),34,25-9,"2,522",74.2,"2,305",67.8,6.4
75,Winthrop (Big South),32,23-9,"2,631",82.2,"2,429",75.9,6.3
76,Memphis (AAC),34,19-15,"2,603",76.6,"2,390",70.3,6.3
77,Toledo (MAC),32,17-15,"2,482",77.6,"2,286",71.4,6.1
78,Northwestern (Big Ten),32,20-12,"2,304",72,"2,111",66,6
79,Southern California (Pac-12),34,21-13,"2,737",80.5,"2,537",74.6,5.9
80,William & Mary (CAA),31,20-11,"2,384",76.9,"2,205",71.1,5.8
81,Florida (SEC),36,21-15,"2,677",74.4,"2,479",68.9,5.5
82,Iona (MAAC),33,22-11,"2,628",79.6,"2,451",74.3,5.4
83,Wagner (NEC),34,23-11,"2,389",70.3,"2,209",65,5.3
84,Northern Ill. (MAC),34,21-13,"2,463",72.4,"2,285",67.2,5.2
85,Bucknell (Patriot),31,17-14,"2,448",79,"2,288",73.8,5.2
85,Clemson (ACC),31,17-14,"2,159",69.6,"1,999",64.5,5.2
87,UC Irvine (Big West),38,28-10,"2,706",71.2,"2,512",66.1,5.1
88,Montana (Big Sky),33,21-12,"2,393",72.5,"2,225",67.4,5.1
89,Hofstra (CAA),34,24-10,"2,681",78.9,"2,509",73.8,5.1
90,Colorado (Pac-12),34,22-12,"2,576",75.8,"2,407",70.8,5
91,Siena (MAAC),34,21-13,"2,659",78.2,"2,492",73.3,4.9
92,Syracuse (ACC),37,23-14,"2,589",70,"2,409",65.1,4.9
93,UNI (MVC),36,23-13,"2,475",68.8,"2,303",64,4.8
94,North Florida (ASUN),34,22-12,"2,865",84.3,"2,704",79.5,4.7
95,St. Bonaventure (Atlantic 10),31,22-9,"2,409",77.7,"2,264",73,4.7
96,UNLV (Mountain West),33,18-15,"2,581",78.2,"2,427",73.5,4.7
97,Rhode Island (Atlantic 10),32,17-15,"2,220",69.4,"2,072",64.8,4.6
98,Notre Dame (ACC),36,24-12,"2,704",75.1,"2,541",70.6,4.5
99,Morehead St. (OVC),37,23-14,"2,720",73.5,"2,553",69,4.5
100,Eastern Wash. (Big Sky),34,18-16,"2,769",81.4,"2,617",77,4.5
101,Fresno St. (Mountain West),35,25-10,"2,630",75.1,"2,475",70.7,4.4
102,Tennessee St. (OVC),31,20-11,"2,271",73.3,"2,134",68.8,4.4
103,Vermont (America East),37,23-14,"2,774",75,"2,611",70.6,4.4
104,Furman (SoCon),35,19-16,"2,487",71.1,"2,333",66.7,4.4
105,North Dakota St. (Summit League),33,20-13,"2,271",68.8,"2,129",64.5,4.3
106,Southern Ill. (MVC),32,22-10,"2,360",73.8,"2,229",69.7,4.1
107,Tulsa (AAC),32,20-12,"2,356",73.6,"2,227",69.6,4
108,Ball St. (MAC),35,21-14,"2,479",70.8,"2,338",66.8,4
109,Florida St. (ACC),34,20-14,"2,652",78,"2,516",74,4
109,Belmont (OVC),32,20-12,"2,638",82.4,"2,510",78.4,4
109,Wisconsin (Big Ten),35,22-13,"2,373",67.8,"2,233",63.8,4
112,Towson (CAA),33,20-13,"2,358",71.5,"2,227",67.5,4
113,Murray St. (OVC),31,17-14,"2,210",71.3,"2,093",67.5,3.8
114,Green Bay (Horizon),36,23-13,"3,013",83.7,"2,880",80,3.7
115,Ohio (MAC),35,23-12,"2,746",78.5,"2,617",74.8,3.7
115,Middle Tenn. (C-USA),35,25-10,"2,539",72.5,"2,410",68.9,3.7
117,Nevada (Mountain West),38,24-14,"2,878",75.7,"2,738",72.1,3.7
118,Southern U. (SWAC),35,22-13,"2,534",72.4,"2,406",68.7,3.7
119,Sam Houston (Southland),34,18-16,"2,551",75,"2,427",71.4,3.6
120,A&M-Corpus Christi (Southland),33,25-8,"2,428",73.6,"2,308",69.9,3.6
121,Idaho (Big Sky),34,21-13,"2,372",69.8,"2,251",66.2,3.6
122,UC Santa Barbara (Big West),33,19-14,"2,335",70.8,"2,219",67.2,3.5
123,ETSU (SoCon),36,24-12,"2,813",78.1,"2,687",74.6,3.5
124,Providence (Big East),35,24-11,"2,577",73.6,"2,455",70.1,3.5
125,Arkansas (SEC),32,16-16,"2,501",78.2,"2,390",74.7,3.5
126,Col. of Charleston (CAA),31,17-14,"2,028",65.4,"1,921",62,3.5
127,Omaha (Summit League),32,18-14,"2,729",85.3,"2,619",81.8,3.4
128,Purdue Fort Wayne (Summit League),34,24-10,"2,701",79.4,"2,585",76,3.4
129,North Dakota (Big Sky),33,17-16,"2,474",75,"2,366",71.7,3.3
130,ULM (Sun Belt),34,20-14,"2,471",72.7,"2,360",69.4,3.3
130,Nebraska (Big Ten),34,16-18,"2,456",72.2,"2,345",69,3.3
132,Mercer (SoCon),34,19-15,"2,446",71.9,"2,339",68.8,3.1
133,Ole Miss (SEC),32,20-12,"2,405",75.2,"2,306",72.1,3.1
134,Texas (Big 12),33,20-13,"2,355",71.4,"2,253",68.3,3.1
135,Washington (Pac-12),34,19-15,"2,853",83.9,"2,748",80.8,3.1
136,Navy (Patriot),33,19-14,"2,230",67.6,"2,135",64.7,2.9
137,Central Mich. (MAC),33,17-16,"2,495",75.6,"2,401",72.8,2.8
138,Eastern Mich. (MAC),33,18-15,"2,553",77.4,"2,460",74.5,2.8
139,Jackson St. (SWAC),36,20-16,"2,455",68.2,"2,354",65.4,2.8
140,Wright St. (Horizon),35,22-13,"2,399",68.5,"2,303",65.8,2.7
141,Richmond (Atlantic 10),32,16-16,"2,450",76.6,"2,363",73.8,2.7
142,New Mexico (Mountain West),32,17-15,"2,432",76,"2,348",73.4,2.6
143,Fordham (Atlantic 10),31,17-14,"2,206",71.2,"2,128",68.6,2.5
144,UTEP (C-USA),33,19-14,"2,554",77.4,"2,471",74.9,2.5
144,Kansas St. (Big 12),33,17-16,"2,334",70.7,"2,251",68.2,2.5
146,Georgia Tech (ACC),36,21-15,"2,635",73.2,"2,545",70.7,2.5
147,Tennessee Tech (OVC),31,19-12,"2,416",77.9,"2,340",75.5,2.5
148,Virginia Tech (ACC),35,20-15,"2,624",75,"2,540",72.6,2.4
149,Ohio St. (Big Ten),35,21-14,"2,462",70.3,"2,381",68,2.3
150,Texas Southern (SWAC),33,18-15,"2,403",72.8,"2,329",70.6,2.2
151,Colorado St. (Mountain West),34,18-16,"2,700",79.4,"2,626",77.2,2.2
152,Mississippi St. (SEC),31,14-17,"2,323",74.9,"2,256",72.8,2.2
153,Texas Tech (Big 12),32,19-13,"2,305",72,"2,236",69.9,2.2
154,Buffalo (MAC),35,20-15,"2,709",77.4,"2,634",75.3,2.1
155,Marquette (Big East),33,20-13,"2,517",76.3,"2,448",74.2,2.1
156,Army West Point (Patriot),33,19-14,"2,539",76.9,"2,474",75,2
157,Pepperdine (WCC),32,18-14,"2,349",73.4,"2,287",71.5,1.9
158,Utah St. (Mountain West),31,16-15,"2,274",73.4,"2,217",71.5,1.8
159,Georgetown (Big East),33,15-18,"2,430",73.6,"2,370",71.8,1.8
160,Lehigh (Patriot),32,17-15,"2,268",70.9,"2,210",69.1,1.8
161,LSU (SEC),33,19-14,"2,602",78.8,"2,543",77.1,1.8
162,Oregon St. (Pac-12),32,19-13,"2,301",71.9,"2,244",70.1,1.8
163,UT Martin (OVC),35,20-15,"2,554",73,"2,494",71.3,1.7
164,Texas St. (Sun Belt),31,15-16,"2,046",66,"1,993",64.3,1.7
165,Ga. Southern (Sun Belt),31,14-17,"2,353",75.9,"2,307",74.4,1.5
166,Eastern Ky. (OVC),31,15-16,"2,497",80.5,"2,453",79.1,1.4
167,Kent St. (MAC),32,19-13,"2,361",73.8,"2,317",72.4,1.4
168,New Hampshire (America East),33,20-13,"2,342",71,"2,297",69.6,1.4
169,Long Beach St. (Big West),35,20-15,"2,613",74.7,"2,568",73.4,1.3
170,NJIT (ASUN),35,20-15,"2,629",75.1,"2,587",73.9,1.2
171,Marshall (C-USA),33,17-16,"2,838",86,"2,801",84.9,1.1
171,Northeastern (CAA),33,18-15,"2,376",72,"2,339",70.9,1.1
171,Temple (AAC),33,21-12,"2,267",68.7,"2,230",67.6,1.1
174,FIU (C-USA),32,13-19,"2,277",71.2,"2,242",70.1,1.1
174,Illinois St. (MVC),32,18-14,"2,149",67.2,"2,114",66.1,1.1
176,Western Ky. (C-USA),34,18-16,"2,620",77.1,"2,586",76.1,1
177,Davidson (Atlantic 10),33,20-13,"2,608",79,"2,576",78.1,1
178,Georgia (SEC),34,20-14,"2,401",70.6,"2,369",69.7,0.9
179,Detroit Mercy (Horizon),31,16-15,"2,595",83.7,"2,567",82.8,0.9
180,Duquesne (Atlantic 10),34,17-17,"2,704",79.5,"2,677",78.7,0.8
181,NC State (ACC),33,16-17,"2,482",75.2,"2,456",74.4,0.8
182,UCLA (Pac-12),32,15-17,"2,480",77.5,"2,455",76.7,0.8
183,Gardner-Webb (Big South),33,17-16,"2,476",75,"2,451",74.3,0.8
184,Georgia St. (Sun Belt),30,16-14,"1,971",65.7,"1,950",65,0.7
185,Houston Baptist (Southland),34,17-17,"2,604",76.6,"2,582",75.9,0.6
186,Radford (Big South),31,16-15,"2,266",73.1,"2,248",72.5,0.6
187,Boston U. (Patriot),34,19-15,"2,483",73,"2,464",72.5,0.6
188,Harvard (Ivy League),30,14-16,"2,001",66.7,"1,985",66.2,0.5
189,Elon (CAA),32,16-16,"2,429",75.9,"2,413",75.4,0.5
190,Jacksonville (ASUN),32,16-16,"2,444",76.4,"2,431",76,0.4
191,Campbell (Big South),30,12-18,"2,207",73.6,"2,203",73.4,0.1
192,Dartmouth (Ivy League),28,10-18,"1,992",71.1,"1,989",71,0.1
193,Wofford (SoCon),32,15-17,"2,296",71.8,"2,295",71.7,0
194,Norfolk St. (MEAC),34,17-17,"2,494",73.4,"2,494",73.4,0
194,South Carolina St. (MEAC),34,19-15,"2,485",73.1,"2,485",73.1,0
196,UC Riverside (Big West),33,14-19,"2,299",69.7,"2,300",69.7,0
197,Portland St. (Big Sky),31,13-18,"2,408",77.7,"2,409",77.7,0
198,Tennessee (SEC),34,15-19,"2,554",75.1,"2,556",75.2,-0.1
199,Samford (SoCon),33,14-19,"2,440",73.9,"2,442",74,-0.1
200,Denver (Summit League),31,16-15,"2,021",65.2,"2,024",65.3,-0.1
201,Hampton (MEAC),32,21-11,"2,363",73.8,"2,370",74.1,-0.2
202,Western Mich. (MAC),32,13-19,"2,342",73.2,"2,352",73.5,-0.3
203,Western Caro. (SoCon),34,16-18,"2,479",72.9,"2,490",73.2,-0.3
204,Western Ill. (Summit League),27,10-17,"1,904",70.5,"1,914",70.9,-0.4
205,N.C. Central (MEAC),32,13-19,"2,220",69.4,"2,235",69.8,-0.5
206,Austin Peay (OVC),36,18-18,"2,740",76.1,"2,761",76.7,-0.6
207,Oklahoma St. (Big 12),32,12-20,"2,128",66.5,"2,148",67.1,-0.6
208,Arizona St. (Pac-12),32,15-17,"2,345",73.3,"2,367",74,-0.7
209,Fairfield (MAAC),33,19-14,"2,522",76.4,"2,545",77.1,-0.7
210,Saint Peter's (MAAC),30,14-16,"1,966",65.5,"1,987",66.2,-0.7
211,Loyola Chicago (MVC),32,15-17,"2,059",64.3,"2,082",65.1,-0.7
212,UNC Greensboro (SoCon),34,15-19,"2,469",72.6,"2,494",73.4,-0.7
213,Stanford (Pac-12),30,15-15,"2,088",69.6,"2,111",70.4,-0.8
214,LIU (NEC),31,16-15,"2,362",76.2,"2,386",77,-0.8
215,Sacramento St. (Big Sky),31,14-17,"2,210",71.3,"2,237",72.2,-0.9
216,Oral Roberts (Summit League),31,14-17,"2,356",76,"2,384",76.9,-0.9
217,San Francisco (WCC),30,15-15,"2,329",77.6,"2,362",78.7,-1.1
218,St. Francis Brooklyn (NEC),32,15-17,"2,095",65.5,"2,131",66.6,-1.1
219,Fairleigh Dickinson (NEC),33,18-15,"2,558",77.5,"2,600",78.8,-1.3
220,Montana St. (Big Sky),31,14-17,"2,369",76.4,"2,411",77.8,-1.4
221,Rider (MAAC),33,13-20,"2,177",66,"2,223",67.4,-1.4
222,Charlotte (C-USA),33,14-19,"2,584",78.3,"2,631",79.7,-1.4
223,Alabama (SEC),33,18-15,"2,193",66.5,"2,242",67.9,-1.5
224,Wyoming (Mountain West),31,13-18,"2,193",70.7,"2,240",72.3,-1.5
225,Lamar University (Southland),30,11-19,"2,263",75.4,"2,310",77,-1.6
226,Indiana St. (MVC),32,15-17,"2,170",67.8,"2,222",69.4,-1.6
227,Bowling Green (MAC),34,16-18,"2,400",70.6,"2,457",72.3,-1.7
228,Colgate (Patriot),30,13-17,"2,093",69.8,"2,145",71.5,-1.7
229,Canisius (MAAC),33,14-19,"2,526",76.5,"2,587",78.4,-1.8
230,Idaho St. (Big Sky),31,16-15,"2,297",74.1,"2,357",76,-1.9
231,Mount St. Mary's (NEC),33,14-19,"2,218",67.2,"2,282",69.2,-1.9
232,Seattle U (WAC),32,15-17,"2,074",64.8,"2,140",66.9,-2.1
233,Portland (WCC),32,12-20,"2,483",77.6,"2,552",79.8,-2.2
234,Pacific (WCC),28,8-20,"1,948",69.6,"2,009",71.8,-2.2
235,UC Davis (Big West),30,11-19,"1,914",63.8,"1,980",66,-2.2
236,Alabama A&M (SWAC),29,11-18,"1,978",68.2,"2,043",70.4,-2.2
237,Bethune-Cookman (MEAC),32,14-18,"2,258",70.6,"2,330",72.8,-2.3
238,Eastern Ill. (OVC),30,13-17,"2,145",71.5,"2,213",73.8,-2.3
239,Arkansas St. (Sun Belt),31,11-20,"2,282",73.6,"2,353",75.9,-2.3
240,Stetson (ASUN),34,12-22,"2,729",80.3,"2,807",82.6,-2.3
241,Massachusetts (Atlantic 10),32,14-18,"2,353",73.5,"2,427",75.8,-2.3
242,Saint Francis (PA) (NEC),30,13-17,"2,110",70.3,"2,181",72.7,-2.4
243,New Orleans (Southland),30,10-20,"2,249",75,"2,325",77.5,-2.5
244,Illinois (Big Ten),34,15-19,"2,452",72.1,"2,542",74.8,-2.6
245,Utah Valley (WAC),30,12-18,"2,280",76,"2,360",78.7,-2.7
246,Cal Poly (Big West),30,10-20,"2,171",72.4,"2,255",75.2,-2.8
247,UCF (AAC),30,12-18,"2,062",68.7,"2,147",71.6,-2.8
248,Kansas City (WAC),31,12-19,"2,152",69.4,"2,240",72.3,-2.8
249,Alabama St. (SWAC),31,14-17,"2,217",71.5,"2,308",74.5,-2.9
250,South Dakota (Summit League),32,14-18,"2,443",76.3,"2,537",79.3,-2.9
251,Lipscomb (ASUN),33,12-21,"2,590",78.5,"2,689",81.5,-3
252,Longwood (Big South),33,10-23,"2,397",72.6,"2,503",75.8,-3.2
253,San Jose St. (Mountain West),31,9-22,"2,186",70.5,"2,290",73.9,-3.4
254,Charleston So. (Big South),30,9-21,"2,146",71.5,"2,253",75.1,-3.6
255,LMU (CA) (WCC),31,14-17,"2,208",71.2,"2,319",74.8,-3.6
256,East Carolina (AAC),32,12-20,"2,186",68.3,"2,301",71.9,-3.6
257,Penn (Ivy League),28,11-17,"1,911",68.3,"2,013",71.9,-3.6
258,Liberty (Big South),32,13-19,"2,070",64.7,"2,188",68.4,-3.7
259,North Texas (C-USA),32,12-20,"2,386",74.6,"2,505",78.3,-3.7
260,Penn St. (Big Ten),32,16-16,"2,107",65.8,"2,228",69.6,-3.8
261,Howard (MEAC),32,12-20,"2,311",72.2,"2,433",76,-3.8
262,CSUN (Big West),30,10-20,"2,143",71.4,"2,261",75.4,-3.9
263,Sacred Heart (NEC),30,12-18,"2,217",73.9,"2,336",77.9,-4
264,Cal St. Fullerton (Big West),30,10-20,"2,104",70.1,"2,227",74.2,-4.1
265,Brown (Ivy League),28,8-20,"2,040",72.9,"2,155",77,-4.1
266,South Alabama (Sun Belt),33,14-19,"2,284",69.2,"2,426",73.5,-4.3
267,Jacksonville St. (OVC),31,8-23,"2,100",67.7,"2,234",72.1,-4.3
267,Morgan St. (MEAC),31,9-22,"2,089",67.4,"2,223",71.7,-4.3
269,Manhattan (MAAC),31,13-18,"2,133",68.8,"2,268",73.2,-4.4
270,Missouri (SEC),31,10-21,"2,126",68.6,"2,262",73,-4.4
271,Southeastern La. (Southland),33,12-21,"2,344",71,"2,489",75.4,-4.4
272,Air Force (Mountain West),32,14-18,"2,189",68.4,"2,330",72.8,-4.4
273,Drake (MVC),31,7-24,"2,093",67.5,"2,230",71.9,-4.4
274,TCU (Big 12),33,12-21,"2,209",66.9,"2,359",71.5,-4.5
275,Tulane (AAC),34,12-22,"2,240",65.9,"2,398",70.5,-4.6
276,Rice (C-USA),32,12-20,"2,427",75.8,"2,576",80.5,-4.7
277,Miami (OH) (MAC),33,13-20,"2,087",63.2,"2,249",68.2,-4.9
278,Alcorn (SWAC),30,15-15,"2,015",67.2,"2,164",72.1,-5
279,Wake Forest (ACC),31,11-20,"2,295",74,"2,450",79,-5
280,Holy Cross (Patriot),35,15-20,"2,267",64.8,"2,445",69.9,-5.1
281,Kennesaw St. (ASUN),31,11-20,"2,239",72.2,"2,399",77.4,-5.2
282,Missouri St. (MVC),32,13-19,"2,153",67.3,"2,321",72.5,-5.3
283,Presbyterian (Big South),31,11-20,"2,093",67.5,"2,259",72.9,-5.4
284,Quinnipiac (MAAC),30,9-21,"1,969",65.6,"2,131",71,-5.4
285,George Mason (Atlantic 10),32,11-21,"2,140",66.9,"2,313",72.3,-5.4
286,Savannah St. (MEAC),32,16-16,"1,990",62.2,"2,167",67.7,-5.5
287,USC Upstate (ASUN),32,10-22,"2,315",72.3,"2,495",78,-5.6
288,IUPUI (Summit League),32,13-19,"2,181",68.2,"2,362",73.8,-5.7
289,Loyola Maryland (Patriot),30,9-21,"2,090",69.7,"2,260",75.3,-5.7
290,Robert Morris (NEC),32,10-22,"2,082",65.1,"2,267",70.8,-5.8
291,Troy (Sun Belt),31,9-22,"2,145",69.2,"2,329",75.1,-5.9
292,Minnesota (Big Ten),31,8-23,"2,108",68,"2,294",74,-6
292,Grambling (SWAC),31,7-24,"1,924",62.1,"2,110",68.1,-6
294,Santa Clara (WCC),31,11-20,"2,083",67.2,"2,272",73.3,-6.1
295,VMI (SoCon),30,9-21,"2,081",69.4,"2,264",75.5,-6.1
296,Northern Colo. (Big Sky),31,10-21,"2,292",73.9,"2,482",80.1,-6.1
297,Southern Miss. (C-USA),29,8-21,"1,866",64.3,"2,045",70.5,-6.2
298,Saint Louis (Atlantic 10),32,11-21,"2,106",65.8,"2,305",72,-6.2
299,The Citadel (SoCon),32,10-22,"2,753",86,"2,962",92.6,-6.5
300,Washington St. (Pac-12),31,9-22,"2,187",70.5,"2,394",77.2,-6.7
301,Northwestern St. (Southland),28,8-20,"2,224",79.4,"2,413",86.2,-6.8
302,App State (Sun Belt),31,9-22,"2,187",70.5,"2,398",77.4,-6.8
303,UMES (MEAC),32,10-22,"2,178",68.1,"2,399",75,-6.9
304,Cleveland St. (Horizon),32,9-23,"1,947",60.8,"2,169",67.8,-6.9
305,Marist (MAAC),30,7-23,"2,145",71.5,"2,360",78.7,-7.2
306,Cornell (Ivy League),28,10-18,"1,992",71.1,"2,193",78.3,-7.2
307,Drexel (CAA),31,6-25,"1,958",63.2,"2,183",70.4,-7.3
308,Auburn (SEC),31,11-20,"2,192",70.7,"2,421",78.1,-7.4
309,Niagara (MAAC),32,7-25,"2,067",64.6,"2,304",72,-7.4
310,DePaul (Big East),31,9-22,"2,092",67.5,"2,325",75,-7.5
311,McNeese (Southland),29,9-20,"2,083",71.8,"2,301",79.3,-7.5
312,Hartford (America East),33,10-23,"2,336",70.8,"2,588",78.4,-7.6
313,Youngstown St. (Horizon),32,11-21,"2,437",76.2,"2,682",83.8,-7.7
314,Fla. Atlantic (C-USA),33,8-25,"2,189",66.3,"2,443",74,-7.7
315,Binghamton (America East),30,8-22,"1,827",60.9,"2,059",68.6,-7.7
316,South Fla. (AAC),33,8-25,"2,085",63.2,"2,352",71.3,-8.1
317,American (Patriot),31,12-19,"1,785",57.6,"2,036",65.7,-8.1
318,SIUE (OVC),28,6-22,"1,839",65.7,"2,068",73.9,-8.2
319,N.C. A&T (MEAC),32,10-22,"2,169",67.8,"2,433",76,-8.3
320,Coppin St. (MEAC),31,9-22,"2,240",72.3,"2,497",80.5,-8.3
321,Central Ark. (Southland),28,7-21,"2,110",75.4,"2,344",83.7,-8.4
322,San Diego (WCC),30,9-21,"1,822",60.7,"2,074",69.1,-8.4
323,UMBC (America East),32,7-25,"2,307",72.1,"2,579",80.6,-8.5
324,Nicholls (Southland),34,11-23,"2,298",67.6,"2,598",76.4,-8.8
325,Lafayette (Patriot),30,6-24,"2,142",71.4,"2,412",80.4,-9
326,Florida A&M (MEAC),29,8-21,"1,863",64.2,"2,128",73.4,-9.1
327,Boston College (ACC),32,7-25,"1,959",61.2,"2,256",70.5,-9.3
328,St. John's (NY) (Big East),32,8-24,"2,174",67.9,"2,472",77.3,-9.3
329,La Salle (Atlantic 10),31,9-22,"1,987",64.1,"2,279",73.5,-9.4
330,Delaware (CAA),30,7-23,"1,986",66.2,"2,270",75.7,-9.5
331,Chicago St. (WAC),32,4-28,"2,140",66.9,"2,478",77.4,-10.6
332,Prairie View (SWAC),31,7-24,"1,873",60.4,"2,202",71,-10.6
333,Southeast Mo. St. (OVC),29,5-24,"1,944",67,"2,252",77.7,-10.6
334,Maine (America East),30,8-22,"2,279",76,"2,606",86.9,-10.9
334,UIC (Horizon),30,5-25,"2,019",67.3,"2,346",78.2,-10.9
336,Bryant (NEC),31,8-23,"2,018",65.1,"2,361",76.2,-11.1
337,Delaware St. (MEAC),32,7-25,"1,980",61.9,"2,336",73,-11.1
338,UTRGV (WAC),30,8-22,"1,993",66.4,"2,330",77.7,-11.2
339,Mississippi Val. (SWAC),35,8-27,"2,293",65.5,"2,704",77.3,-11.7
340,UTSA (C-USA),32,5-27,"2,317",72.4,"2,698",84.3,-11.9
