Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,SFA (Southland),34,28-6,"2,728",80.2,"2,153",63.3,16.9
2,Michigan St. (Big Ten),35,29-6,"2,793",79.8,"2,245",64.1,15.7
3,Villanova (Big East),40,35-5,"3,118",78,"2,543",63.6,14.4
4,SMU (AAC),30,25-5,"2,319",77.3,"1,903",63.4,13.9
5,Louisville (ACC),31,23-8,"2,324",75,"1,895",61.1,13.8
6,Kansas (Big 12),38,33-5,"3,089",81.3,"2,570",67.6,13.7
7,Wichita St. (MVC),35,26-9,"2,535",72.4,"2,066",59,13.4
8,Gonzaga (WCC),36,28-8,"2,840",78.9,"2,360",65.6,13.3
9,North Carolina (ACC),40,33-7,"3,311",82.8,"2,799",70,12.8
10,Purdue (Big Ten),35,26-9,"2,726",77.9,"2,281",65.2,12.7
11,Indiana (Big Ten),35,27-8,"2,891",82.6,"2,447",69.9,12.7
11,Saint Mary's (CA) (WCC),35,29-6,"2,576",73.6,"2,132",60.9,12.7
13,Valparaiso (Horizon),37,30-7,"2,782",75.2,"2,323",62.8,12.4
14,Stony Brook (America East),33,26-7,"2,515",76.2,"2,115",64.1,12.1
15,West Virginia (Big 12),35,26-9,"2,749",78.5,"2,335",66.7,11.8
16,Arizona (Pac-12),34,25-9,"2,735",80.4,"2,342",68.9,11.6
17,Kentucky (SEC),36,27-9,"2,861",79.5,"2,451",68.1,11.4
18,Yale (Ivy League),30,23-7,"2,248",74.9,"1,914",63.8,11.1
19,Virginia (ACC),37,29-8,"2,626",71,"2,222",60.1,10.9
20,BYU (WCC),37,26-11,"3,093",83.6,"2,692",72.8,10.8
21,Princeton (Ivy League),29,22-7,"2,294",79.1,"1,989",68.6,10.5
22,Hawaii (Big West),34,28-6,"2,620",77.1,"2,267",66.7,10.4
23,Little Rock (Sun Belt),35,30-5,"2,487",71.1,"2,129",60.8,10.2
24,Xavier (Big East),34,28-6,"2,737",80.5,"2,392",70.4,10.1
25,Texas A&M (SEC),37,28-9,"2,828",76.4,"2,458",66.4,10
26,Cincinnati (AAC),33,22-11,"2,418",73.3,"2,090",63.3,9.9
27,Oregon (Pac-12),38,31-7,"2,990",78.7,"2,614",68.8,9.9
28,UT Arlington (Sun Belt),35,24-11,"2,762",78.9,"2,417",69.1,9.9
29,UConn (AAC),36,25-11,"2,631",73.1,"2,285",63.5,9.6
30,Albany (NY) (America East),33,24-9,"2,495",75.6,"2,180",66.1,9.5
31,VCU (Atlantic 10),36,25-11,"2,781",77.3,"2,440",67.8,9.5
32,CSU Bakersfield (WAC),33,24-9,"2,405",72.9,"2,104",63.8,9.1
