Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,Michigan St. (Big Ten),35,29-6,"1,454",41.5,"1,055",30.1,11.4
2,Yale (Ivy League),30,23-7,"1,209",40.3,881,29.4,10.9
3,Purdue (Big Ten),35,26-9,"1,444",41.3,"1,075",30.7,10.5
4,SMU (AAC),30,25-5,"1,183",39.4,878,29.3,10.2
5,New Mexico St. (WAC),34,23-11,"1,398",41.1,"1,064",31.3,9.8
6,Arizona (Pac-12),34,25-9,"1,367",40.2,"1,054",31,9.2
7,Valparaiso (Horizon),37,30-7,"1,534",41.5,"1,208",32.6,8.8
8,West Virginia (Big 12),35,26-9,"1,380",39.4,"1,078",30.8,8.6
9,North Carolina (ACC),40,33-7,"1,624",40.6,"1,280",32,8.6
10,Colorado (Pac-12),34,22-12,"1,433",42.1,"1,142",33.6,8.6
11,Mercer (SoCon),34,19-15,"1,363",40.1,"1,077",31.7,8.4
12,UT Arlington (Sun Belt),35,24-11,"1,530",43.7,"1,236",35.3,8.4
13,Louisiana (Sun Belt),34,19-15,"1,410",41.5,"1,133",33.3,8.1
14,George Mason (Atlantic 10),32,11-21,"1,359",42.5,"1,107",34.6,7.9
15,Siena (MAAC),34,21-13,"1,362",40.1,"1,097",32.3,7.8
16,Stony Brook (America East),33,26-7,"1,312",39.8,"1,058",32.1,7.7
17,Baylor (Big 12),34,22-12,"1,266",37.2,"1,008",29.6,7.6
18,Albany (NY) (America East),33,24-9,"1,276",38.7,"1,027",31.1,7.5
19,Xavier (Big East),34,28-6,"1,391",40.9,"1,137",33.4,7.5
20,Gonzaga (WCC),36,28-8,"1,426",39.6,"1,158",32.2,7.4
21,Georgia Tech (ACC),36,21-15,"1,396",38.8,"1,130",31.4,7.4
22,Towson (CAA),33,20-13,"1,295",39.2,"1,057",32,7.2
23,Idaho (Big Sky),34,21-13,"1,256",36.9,"1,012",29.8,7.2
24,Pittsburgh (ACC),33,21-12,"1,258",38.1,"1,022",31,7.2
25,California (Pac-12),34,23-11,"1,357",39.9,"1,126",33.1,6.8
26,Wagner (NEC),34,23-11,"1,350",39.7,"1,122",33,6.7
27,Louisville (ACC),31,23-8,"1,183",38.2,980,31.6,6.5
28,Indiana (Big Ten),35,27-8,"1,288",36.8,"1,059",30.3,6.5
29,Old Dominion (C-USA),38,25-13,"1,474",38.8,"1,229",32.3,6.4
30,South Carolina (SEC),34,25-9,"1,371",40.3,"1,165",34.3,6.1
31,Quinnipiac (MAAC),30,9-21,"1,302",43.4,"1,130",37.7,5.7
32,San Diego St. (Mountain West),38,28-10,"1,475",38.8,"1,266",33.3,5.5
32,Kansas (Big 12),38,33-5,"1,443",38,"1,234",32.5,5.5
34,Western Ky. (C-USA),34,18-16,"1,312",38.6,"1,128",33.2,5.4
35,Colorado St. (Mountain West),34,18-16,"1,359",40,"1,177",34.6,5.4
36,FGCU (ASUN),35,21-14,"1,422",40.6,"1,235",35.3,5.3
37,New Hampshire (America East),33,20-13,"1,296",39.3,"1,121",34,5.3
38,South Dakota St. (Summit League),34,26-8,"1,279",37.6,"1,102",32.4,5.2
39,Kentucky (SEC),36,27-9,"1,396",38.8,"1,209",33.6,5.2
40,George Washington (Atlantic 10),38,28-10,"1,442",37.9,"1,245",32.8,5.2
41,Texas Southern (SWAC),33,18-15,"1,247",37.8,"1,079",32.7,5.1
42,Saint Mary's (CA) (WCC),35,29-6,"1,225",35,"1,048",29.9,5.1
43,Morehead St. (OVC),37,23-14,"1,380",37.3,"1,196",32.3,5
44,Hampton (MEAC),32,21-11,"1,322",41.3,"1,169",36.5,4.8
45,Navy (Patriot),33,19-14,"1,187",36,"1,031",31.2,4.7
46,BYU (WCC),37,26-11,"1,514",40.9,"1,341",36.2,4.7
47,Cincinnati (AAC),33,22-11,"1,290",39.1,"1,136",34.4,4.7
48,Dayton (Atlantic 10),33,25-8,"1,265",38.3,"1,113",33.7,4.6
49,Utah (Pac-12),36,27-9,"1,332",37,"1,167",32.4,4.6
50,Texas A&M (SEC),37,28-9,"1,460",39.5,"1,296",35,4.4
51,Wichita St. (MVC),35,26-9,"1,306",37.3,"1,153",32.9,4.4
52,Hawaii (Big West),34,28-6,"1,271",37.4,"1,124",33.1,4.3
53,Northern Ill. (MAC),34,21-13,"1,331",39.1,"1,186",34.9,4.3
54,Furman (SoCon),35,19-16,"1,249",35.7,"1,100",31.4,4.3
55,Kent St. (MAC),32,19-13,"1,205",37.7,"1,076",33.6,4
56,NC State (ACC),33,16-17,"1,306",39.6,"1,173",35.5,4
56,CSU Bakersfield (WAC),33,24-9,"1,261",38.2,"1,128",34.2,4
58,Virginia (ACC),37,29-8,"1,188",32.1,"1,048",28.3,3.8
59,Weber St. (Big Sky),35,26-9,"1,302",37.2,"1,170",33.4,3.8
60,New Mexico (Mountain West),32,17-15,"1,173",36.7,"1,053",32.9,3.8
61,Seton Hall (Big East),34,25-9,"1,355",39.9,"1,233",36.3,3.6
62,Coastal Carolina (Big South),33,21-12,"1,299",39.4,"1,181",35.8,3.6
63,James Madison (CAA),32,21-11,"1,247",39,"1,136",35.5,3.5
64,Kansas St. (Big 12),33,17-16,"1,203",36.5,"1,089",33,3.5
65,Florida St. (ACC),34,20-14,"1,257",37,"1,140",33.5,3.4
66,UAB (C-USA),33,26-7,"1,258",38.1,"1,145",34.7,3.4
67,Oregon (Pac-12),38,31-7,"1,382",36.4,"1,254",33,3.4
68,Army West Point (Patriot),33,19-14,"1,339",40.6,"1,229",37.2,3.3
69,Chattanooga (SoCon),35,29-6,"1,242",35.5,"1,131",32.3,3.2
70,Butler (Big East),33,22-11,"1,185",35.9,"1,082",32.8,3.1
71,Georgia (SEC),34,20-14,"1,321",38.9,"1,215",35.7,3.1
72,Radford (Big South),31,16-15,"1,176",37.9,"1,080",34.8,3.1
73,Evansville (MVC),34,25-9,"1,205",35.4,"1,101",32.4,3.1
