Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,San Diego St. (Mountain West),38,28-10,799,"2,142",37.3
2,Michigan St. (Big Ten),35,29-6,774,"2,025",38.2
3,UC Irvine (Big West),38,28-10,847,"2,210",38.3
4,Valparaiso (Horizon),37,30-7,792,"2,062",38.4
5,Vanderbilt (SEC),33,19-14,784,"2,033",38.6
6,UConn (AAC),36,25-11,785,"2,033",38.6
7,Wichita St. (MVC),35,26-9,659,"1,704",38.7
8,Georgia (SEC),34,20-14,770,"1,976",39
9,Louisville (ACC),31,23-8,631,"1,616",39
10,Purdue (Big Ten),35,26-9,824,"2,106",39.1
11,New Mexico St. (WAC),34,23-11,780,"1,991",39.2
12,Jackson St. (SWAC),36,20-16,752,"1,919",39.2
13,Cincinnati (AAC),33,22-11,750,"1,907",39.3
14,Coastal Carolina (Big South),33,21-12,780,"1,980",39.4
15,Little Rock (Sun Belt),35,30-5,720,"1,825",39.5
16,CSU Bakersfield (WAC),33,24-9,696,"1,764",39.5
17,Monmouth (MAAC),36,28-8,871,"2,205",39.5
18,James Madison (CAA),32,21-11,742,"1,874",39.6
19,California (Pac-12),34,23-11,789,"1,992",39.6
20,UT Arlington (Sun Belt),35,24-11,788,"1,989",39.6
21,Gonzaga (WCC),36,28-8,859,"2,167",39.6
22,Kansas (Big 12),38,33-5,873,"2,200",39.7
23,Old Dominion (C-USA),38,25-13,797,"2,007",39.7
24,Kentucky (SEC),36,27-9,827,"2,082",39.7
25,South Carolina (SEC),34,25-9,779,"1,961",39.7
26,Arkansas St. (Sun Belt),31,11-20,791,"1,982",39.9
27,UC Santa Barbara (Big West),33,19-14,736,"1,842",40
28,SMU (AAC),30,25-5,676,"1,690",40
28,Hawaii (Big West),34,28-6,764,"1,910",40
28,Nevada (Mountain West),38,24-14,934,"2,335",40
31,Memphis (AAC),34,19-15,825,"2,062",40
32,Northwestern (Big Ten),32,20-12,716,"1,784",40.1
33,Seton Hall (Big East),34,25-9,814,"2,027",40.2
34,Mercer (SoCon),34,19-15,786,"1,954",40.2
35,Villanova (Big East),40,35-5,906,"2,247",40.3
36,Northern Ill. (MAC),34,21-13,759,"1,881",40.4
37,Ohio St. (Big Ten),35,21-14,839,"2,077",40.4
38,Dayton (Atlantic 10),33,25-8,761,"1,882",40.4
39,Evansville (MVC),34,25-9,794,"1,962",40.5
40,Ball St. (MAC),35,21-14,790,"1,950",40.5
41,Harvard (Ivy League),30,14-16,699,"1,721",40.6
42,Texas A&M (SEC),37,28-9,862,"2,118",40.7
43,Maryland (Big Ten),36,27-9,874,"2,147",40.7
44,FIU (C-USA),32,13-19,775,"1,901",40.8
45,Stony Brook (America East),33,26-7,770,"1,887",40.8
46,Seattle U (WAC),32,15-17,738,"1,807",40.8
47,Saint Mary's (CA) (WCC),35,29-6,804,"1,965",40.9
48,Georgia St. (Sun Belt),30,16-14,638,"1,559",40.9
49,Alabama (SEC),33,18-15,769,"1,878",40.9
50,Oklahoma St. (Big 12),32,12-20,725,"1,769",41
51,Akron (MAC),35,26-9,862,"2,103",41
52,Yale (Ivy League),30,23-7,678,"1,654",41
53,Florida (SEC),36,21-15,868,"2,110",41.1
