Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,Michigan St. (Big Ten),35,29-6,321,739,43.4
2,Oklahoma (Big 12),37,29-8,382,906,42.2
3,SMU (AAC),30,25-5,194,462,42
4,Kansas (Big 12),38,33-5,304,728,41.8
5,Indiana (Big Ten),35,27-8,345,830,41.6
6,Purdue Fort Wayne (Summit League),34,24-10,354,863,41
7,North Florida (ASUN),34,22-12,411,"1,002",41
8,Wofford (SoCon),32,15-17,270,662,40.8
9,Saint Mary's (CA) (WCC),35,29-6,303,747,40.6
10,Virginia (ACC),37,29-8,224,556,40.3
11,Oakland (Horizon),35,23-12,316,794,39.8
12,Arkansas (SEC),32,16-16,216,544,39.7
13,Eastern Ky. (OVC),31,15-16,258,653,39.5
14,Butler (Big East),33,22-11,236,601,39.3
15,Lehigh (Patriot),32,17-15,237,604,39.2
16,Middle Tenn. (C-USA),35,25-10,279,716,39
17,Colorado (Pac-12),34,22-12,252,647,38.9
18,Jacksonville (ASUN),32,16-16,278,715,38.9
19,Western Ill. (Summit League),27,17-Oct,190,490,38.8
20,Harvard (Ivy League),30,14-16,220,568,38.7
21,Southern California (Pac-12),34,21-13,266,688,38.7
22,Iowa St. (Big 12),35,23-12,293,758,38.7
23,Ohio (MAC),35,23-12,296,767,38.6
24,Duke (ACC),36,25-11,328,851,38.5
25,Eastern Wash. (Big Sky),34,18-16,356,924,38.5
26,Drake (MVC),31,24-Jul,215,559,38.5
27,High Point (Big South),32,21-11,187,487,38.4
28,Little Rock (Sun Belt),35,30-5,266,693,38.4
29,Denver (Summit League),31,16-15,235,613,38.3
30,Vermont (America East),37,23-14,255,666,38.3
31,Princeton (Ivy League),29,22-7,282,737,38.3
32,Akron (MAC),35,26-9,409,"1,069",38.3
33,BYU (WCC),37,26-11,330,863,38.2
34,Vanderbilt (SEC),33,19-14,273,714,38.2
35,Charlotte (C-USA),33,14-19,266,696,38.2
36,Arizona (Pac-12),34,25-9,221,580,38.1
37,Gonzaga (WCC),36,28-8,281,739,38
38,Michigan (Big Ten),36,23-13,342,901,38
39,ETSU (SoCon),36,24-12,295,780,37.8
40,Oral Roberts (Summit League),31,14-17,194,514,37.7
41,Idaho (Big Sky),34,21-13,223,591,37.7
42,Columbia (Ivy League),35,25-10,336,893,37.6
43,Detroit Mercy (Horizon),31,16-15,244,651,37.5
44,Miami (FL) (ACC),35,27-8,241,643,37.5
45,UNI (MVC),36,23-13,298,796,37.4
46,Notre Dame (ACC),36,24-12,262,700,37.4
47,Iowa (Big Ten),33,22-11,269,719,37.4
48,Montana (Big Sky),33,21-12,254,680,37.4
49,Montana St. (Big Sky),31,14-17,297,797,37.3
50,St. Bonaventure (Atlantic 10),31,22-9,256,687,37.3
50,Wright St. (Horizon),35,22-13,256,687,37.3
52,Ball St. (MAC),35,21-14,305,819,37.2
53,UAB (C-USA),33,26-7,250,672,37.2
54,Colgate (Patriot),30,13-17,267,718,37.2
55,Central Ark. (Southland),28,21-Jul,185,498,37.1
56,Northeastern (CAA),33,18-15,286,770,37.1
57,Oregon St. (Pac-12),32,19-13,218,587,37.1
58,Southeastern La. (Southland),33,21-Dec,241,649,37.1
59,Winthrop (Big South),32,23-9,285,768,37.1
60,George Washington (Atlantic 10),38,28-10,269,726,37.1
61,Wyoming (Mountain West),31,13-18,307,829,37
62,Iona (MAAC),33,22-11,327,884,37
63,Utah St. (Mountain West),31,16-15,257,695,37
64,Northern Colo. (Big Sky),31,21-Oct,203,549,37
65,UC Irvine (Big West),38,28-10,241,652,37
66,William & Mary (CAA),31,20-11,241,653,36.9
67,Weber St. (Big Sky),35,26-9,291,789,36.9
68,Stony Brook (America East),33,26-7,220,597,36.9
69,Georgia (SEC),34,20-14,220,598,36.8
70,Siena (MAAC),34,21-13,215,585,36.8
71,Portland (WCC),32,20-Dec,289,787,36.7
72,Baylor (Big 12),34,22-12,210,572,36.7
73,Purdue (Big Ten),35,26-9,268,731,36.7
74,Long Beach St. (Big West),35,20-15,287,783,36.7
75,Kentucky (SEC),36,27-9,244,666,36.6
76,Monmouth (MAAC),36,28-8,282,770,36.6
77,Utah (Pac-12),36,27-9,273,746,36.6
78,Liberty (Big South),32,13-19,283,774,36.6
79,Lafayette (Patriot),30,24-Jun,245,671,36.5
80,Youngstown St. (Horizon),32,21-Nov,257,704,36.5
81,UConn (AAC),36,25-11,255,699,36.5
82,Rhode Island (Atlantic 10),32,17-15,213,584,36.5
83,Duquesne (Atlantic 10),34,17-17,322,883,36.5
84,Bucknell (Patriot),31,17-14,233,639,36.5
85,Toledo (MAC),32,17-15,263,722,36.4
86,Murray St. (OVC),31,17-14,226,621,36.4
87,Idaho St. (Big Sky),31,16-15,250,687,36.4
88,Tennessee Tech (OVC),31,19-12,266,731,36.4
89,Stetson (ASUN),34,22-Dec,282,775,36.4
90,Colorado St. (Mountain West),34,18-16,326,896,36.4
91,Boston U. (Patriot),34,19-15,272,748,36.4
91,Houston Baptist (Southland),34,17-17,204,561,36.4
91,Southern Utah (Big Sky),29,24-May,200,550,36.4
94,Milwaukee (Horizon),33,20-13,306,842,36.3
95,Yale (Ivy League),30,23-7,190,523,36.3
96,Xavier (Big East),34,28-6,255,702,36.3
97,UNC Greensboro (SoCon),34,15-19,296,815,36.3
98,Belmont (OVC),32,20-12,338,931,36.3
99,SFA (Southland),34,28-6,269,741,36.3
100,UCLA (Pac-12),32,15-17,200,551,36.3
101,New Mexico (Mountain West),32,17-15,196,540,36.3
102,FIU (C-USA),32,13-19,181,499,36.3
103,Illinois (Big Ten),34,15-19,277,764,36.3
104,Morehead St. (OVC),37,23-14,215,593,36.3
105,California (Pac-12),34,23-11,236,651,36.3
106,Fairleigh Dickinson (NEC),33,18-15,238,657,36.2
107,Kansas City (WAC),31,19-Dec,213,588,36.2
108,Villanova (Big East),40,35-5,347,959,36.2
109,Western Ky. (C-USA),34,18-16,233,644,36.2
110,Maryland (Big Ten),36,27-9,267,739,36.1
111,UTEP (C-USA),33,19-14,223,618,36.1
112,Manhattan (MAAC),31,13-18,232,643,36.1
113,Bowling Green (MAC),34,16-18,203,563,36.1
114,UC Santa Barbara (Big West),33,19-14,251,697,36
115,Syracuse (ACC),37,23-14,315,876,36
116,Valparaiso (Horizon),37,30-7,298,829,35.9
117,Chattanooga (SoCon),35,29-6,262,729,35.9
118,Lipscomb (ASUN),33,21-Dec,331,921,35.9
119,North Dakota (Big Sky),33,17-16,203,565,35.9
120,James Madison (CAA),32,21-11,278,774,35.9
121,Saint Francis (PA) (NEC),30,13-17,218,607,35.9
122,Northwestern (Big Ten),32,20-12,278,776,35.8
123,Seattle U (WAC),32,15-17,197,550,35.8
124,Northwestern St. (Southland),28,20-Aug,207,578,35.8
125,Georgia Tech (ACC),36,21-15,213,597,35.7
126,South Dakota St. (Summit League),34,26-8,255,715,35.7
127,Southern Miss. (C-USA),29,21-Aug,257,721,35.6
128,Richmond (Atlantic 10),32,16-16,240,674,35.6
129,Hofstra (CAA),34,24-10,289,812,35.6
130,South Dakota (Summit League),32,14-18,201,565,35.6
131,App State (Sun Belt),31,22-Sep,256,720,35.6
132,Davidson (Atlantic 10),33,20-13,317,892,35.5
133,Fairfield (MAAC),33,19-14,293,827,35.4
134,UC Davis (Big West),30,19-Nov,164,463,35.4
135,ULM (Sun Belt),34,20-14,225,636,35.4
136,NJIT (ASUN),35,20-15,306,865,35.4
137,San Francisco (WCC),30,15-15,233,659,35.4
138,Central Mich. (MAC),33,17-16,324,917,35.3
139,Hartford (America East),33,23-Oct,319,903,35.3
140,Kennesaw St. (ASUN),31,20-Nov,179,507,35.3
141,FGCU (ASUN),35,21-14,186,527,35.3
142,Evansville (MVC),34,25-9,158,448,35.3
143,Brown (Ivy League),28,20-Aug,225,639,35.2
144,UC Riverside (Big West),33,14-19,252,716,35.2
