Rank,Team,W,L,Pct
1,Villanova (Big East),35,5,87.5
2,Kansas (Big 12),33,5,86.8
3,Little Rock (Sun Belt),30,5,85.7
4,SMU (AAC),25,5,83.3
5,Saint Mary's (CA) (WCC),29,6,82.9
5,Chattanooga (SoCon),29,6,82.9
5,Michigan St. (Big Ten),29,6,82.9
8,North Carolina (ACC),33,7,82.5
9,Xavier (Big East),28,6,82.4
9,SFA (Southland),28,6,82.4
9,Hawaii (Big West),28,6,82.4
12,Oregon (Pac-12),31,7,81.6
13,Valparaiso (Horizon),30,7,81.1
14,Stony Brook (America East),26,7,78.8
14,UAB (C-USA),26,7,78.8
16,Virginia (ACC),29,8,78.4
16,Oklahoma (Big 12),29,8,78.4
18,Monmouth (MAAC),28,8,77.8
18,Gonzaga (WCC),28,8,77.8
18,Saint Joseph's (Atlantic 10),28,8,77.8
21,Indiana (Big Ten),27,8,77.1
21,Miami (FL) (ACC),27,8,77.1
23,Yale (Ivy League),23,7,76.7
24,South Dakota St. (Summit League),26,8,76.5
25,Princeton (Ivy League),22,7,75.9
26,Dayton (Atlantic 10),25,8,75.8
26,UNCW (CAA),25,8,75.8
26,A&M-Corpus Christi (Southland),25,8,75.8
29,Texas A&M (SEC),28,9,75.7
30,Kentucky (SEC),27,9,75
30,Utah (Pac-12),27,9,75
30,Maryland (Big Ten),27,9,75
33,Akron (MAC),26,9,74.3
33,Purdue (Big Ten),26,9,74.3
33,Wichita St. (MVC),26,9,74.3
33,Weber St. (Big Sky),26,9,74.3
33,West Virginia (Big 12),26,9,74.3
38,Louisville (ACC),23,8,74.2
39,George Washington (Atlantic 10),28,10,73.7
39,San Diego St. (Mountain West),28,10,73.7
39,UC Irvine (Big West),28,10,73.7
42,South Carolina (SEC),25,9,73.5
42,Evansville (MVC),25,9,73.5
42,Seton Hall (Big East),25,9,73.5
42,Arizona (Pac-12),25,9,73.5
46,CSU Bakersfield (WAC),24,9,72.7
46,Albany (NY) (America East),24,9,72.7
48,Winthrop (Big South),23,9,71.9
49,Middle Tenn. (C-USA),25,10,71.4
49,Fresno St. (Mountain West),25,10,71.4
49,Columbia (Ivy League),25,10,71.4
52,St. Bonaventure (Atlantic 10),22,9,71
53,Hofstra (CAA),24,10,70.6
53,Purdue Fort Wayne (Summit League),24,10,70.6
55,BYU (WCC),26,11,70.3
56,Louisiana Tech (C-USA),23,10,69.7
57,VCU (Atlantic 10),25,11,69.4
57,UConn (AAC),25,11,69.4
57,Duke (ACC),25,11,69.4
60,Southern Ill. (MVC),22,10,68.8
60,Houston (AAC),22,10,68.8
62,UT Arlington (Sun Belt),24,11,68.6
62,Providence (Big East),24,11,68.6
64,California (Pac-12),23,11,67.6
64,Wagner (NEC),23,11,67.6
64,New Mexico St. (WAC),23,11,67.6
67,ETSU (SoCon),24,12,66.7
67,Notre Dame (ACC),24,12,66.7
67,Iowa (Big Ten),22,11,66.7
67,Iona (MAAC),22,11,66.7
67,Cincinnati (AAC),22,11,66.7
67,Butler (Big East),22,11,66.7
73,Old Dominion (C-USA),25,13,65.8
74,Iowa St. (Big 12),23,12,65.7
74,Oakland (Horizon),23,12,65.7
74,Ohio (MAC),23,12,65.7
77,Hampton (MEAC),21,11,65.6
77,High Point (Big South),21,11,65.6
77,James Madison (CAA),21,11,65.6
80,Baylor (Big 12),22,12,64.7
80,Colorado (Pac-12),22,12,64.7
80,North Florida (ASUN),22,12,64.7
80,UNC Asheville (Big South),22,12,64.7
84,William & Mary (CAA),20,11,64.5
84,Tennessee St. (OVC),20,11,64.5
86,Michigan (Big Ten),23,13,63.9
86,Green Bay (Horizon),23,13,63.9
86,UNI (MVC),23,13,63.9
89,Coastal Carolina (Big South),21,12,63.6
89,Montana (Big Sky),21,12,63.6
89,Pittsburgh (ACC),21,12,63.6
89,Temple (AAC),21,12,63.6
93,Nevada (Mountain West),24,14,63.2
94,Wright St. (Horizon),22,13,62.9
94,Wisconsin (Big Ten),22,13,62.9
94,Southern U. (SWAC),22,13,62.9
97,Boise St. (Mountain West),20,12,62.5
97,Northwestern (Big Ten),20,12,62.5
97,Belmont (OVC),20,12,62.5
97,Tulsa (AAC),20,12,62.5
97,Ole Miss (SEC),20,12,62.5
102,Vermont (America East),23,14,62.2
102,Morehead St. (OVC),23,14,62.2
102,Syracuse (ACC),23,14,62.2
105,Idaho (Big Sky),21,13,61.8
105,NIU (MAC),21,13,61.8
105,Siena (MAAC),21,13,61.8
105,Southern California (Pac-12),21,13,61.8
109,Tennessee Tech (OVC),19,12,61.3
110,North Dakota St. (Summit League),20,13,60.6
110,Milwaukee (Horizon),20,13,60.6
110,Towson (CAA),20,13,60.6
110,Davidson (Atlantic 10),20,13,60.6
110,Marquette (Big East),20,13,60.6
110,New Hampshire (America East),20,13,60.6
110,Texas (Big 12),20,13,60.6
117,FGCU (ASUN),21,14,60
117,Ohio St. (Big Ten),21,14,60
117,Ball St. (MAC),21,14,60
120,Kent St. (MAC),19,13,59.4
120,Texas Tech (Big 12),19,13,59.4
120,Oregon St. (Pac-12),19,13,59.4
123,ULM (Sun Belt),20,14,58.8
123,Florida St. (ACC),20,14,58.8
123,Georgia (SEC),20,14,58.8
126,Florida (SEC),21,15,58.3
126,Georgia Tech (ACC),21,15,58.3
128,Vanderbilt (SEC),19,14,57.6
128,Navy (Patriot),19,14,57.6
128,Army West Point (Patriot),19,14,57.6
128,UTEP (C-USA),19,14,57.6
128,Fairfield (MAAC),19,14,57.6
128,LSU (SEC),19,14,57.6
128,UC Santa Barbara (Big West),19,14,57.6
135,UT Martin (OVC),20,15,57.1
135,Virginia Tech (ACC),20,15,57.1
135,Creighton (Big East),20,15,57.1
135,Long Beach St. (Big West),20,15,57.1
135,Buffalo (MAC),20,15,57.1
135,NJIT (ASUN),20,15,57.1
141,Illinois St. (MVC),18,14,56.3
141,Pepperdine (WCC),18,14,56.3
141,Omaha (Summit League),18,14,56.3
144,Boston U. (Patriot),19,15,55.9
144,Mercer (SoCon),19,15,55.9
144,Memphis (AAC),19,15,55.9
144,Washington (Pac-12),19,15,55.9
144,South Carolina St. (MEAC),19,15,55.9
144,Louisiana (Sun Belt),19,15,55.9
150,Jackson St. (SWAC),20,16,55.6
151,Fordham (Atlantic 10),17,14,54.8
151,Murray St. (OVC),17,14,54.8
151,Col. of Charleston (CAA),17,14,54.8
151,Clemson (ACC),17,14,54.8
151,Bucknell (Patriot),17,14,54.8
156,Northeastern (CAA),18,15,54.5
156,Fairleigh Dickinson (NEC),18,15,54.5
156,Eastern Mich. (MAC),18,15,54.5
156,UNLV (Mountain West),18,15,54.5
156,Texas Southern (SWAC),18,15,54.5
156,Alabama (SEC),18,15,54.5
