Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,James Madison (CAA),32,21-11,796,231,29
2,UNC Asheville (Big South),34,22-12,705,205,29.1
3,Akron (MAC),35,26-9,698,205,29.4
4,Vanderbilt (SEC),33,19-14,622,183,29.4
5,Gonzaga (WCC),36,28-8,717,214,29.8
6,UC Santa Barbara (Big West),33,19-14,764,229,30
7,San Diego St. (Mountain West),38,28-10,760,228,30
8,Mississippi Val. (SWAC),35,8-27,825,250,30.3
9,Houston (AAC),32,22-10,643,195,30.3
10,Hawaii (Big West),34,28-6,669,203,30.3
11,Coastal Carolina (Big South),33,21-12,820,249,30.4
12,FGCU (ASUN),35,21-14,763,232,30.4
13,Memphis (AAC),34,19-15,666,203,30.5
14,Harvard (Ivy League),30,14-16,610,186,30.5
15,Albany (NY) (America East),33,24-9,750,229,30.5
16,Prairie View (SWAC),31,7-24,536,164,30.6
17,Jackson St. (SWAC),36,20-16,682,209,30.6
18,Syracuse (ACC),37,23-14,844,259,30.7
19,Quinnipiac (MAAC),30,9-21,562,174,31
20,Kansas St. (Big 12),33,17-16,649,201,31
21,Michigan St. (Big Ten),35,29-6,658,204,31
22,UC Davis (Big West),30,11-19,632,196,31
23,American (Patriot),31,12-19,473,147,31.1
24,Xavier (Big East),34,28-6,814,253,31.1
25,Saint Joseph's (Atlantic 10),36,28-8,920,286,31.1
26,Temple (AAC),33,21-12,629,196,31.2
27,Massachusetts (Atlantic 10),32,14-18,687,215,31.3
28,Virginia Tech (ACC),35,20-15,779,244,31.3
29,Louisiana Tech (C-USA),33,23-10,670,210,31.3
30,Little Rock (Sun Belt),35,30-5,721,226,31.3
31,Iowa (Big Ten),33,22-11,772,242,31.3
32,Purdue (Big Ten),35,26-9,697,219,31.4
33,Monmouth (MAAC),36,28-8,922,290,31.5
34,Morgan St. (MEAC),31,9-22,562,177,31.5
35,Old Dominion (C-USA),38,25-13,733,231,31.5
36,Arizona (Pac-12),34,25-9,646,204,31.6
36,Sacramento St. (Big Sky),31,14-17,684,216,31.6
