Rank,Team,GM,W-L,FT,FTA,FT%
228,Northern Ill. (MAC),34,21-13,541,791,68.4
229,Hawaii (Big West),34,28-6,597,873,68.4
230,Ohio St. (Big Ten),35,21-14,491,718,68.4
231,Alabama A&M (SWAC),29,11-18,439,642,68.4
232,Alabama St. (SWAC),31,14-17,426,623,68.4
233,Stanford (Pac-12),30,15-15,508,743,68.4
234,North Dakota St. (Summit League),33,20-13,423,619,68.3
235,Air Force (Mountain West),32,14-18,483,707,68.3
236,UMBC (America East),32,7-25,515,754,68.3
237,South Carolina (SEC),34,25-9,603,883,68.3
238,Eastern Wash. (Big Sky),34,18-16,491,719,68.3
239,Kent St. (MAC),32,19-13,508,744,68.3
240,North Dakota (Big Sky),33,17-16,519,761,68.2
241,Rider (MAAC),33,13-20,435,638,68.2
242,Old Dominion (C-USA),38,25-13,471,691,68.2
243,Binghamton (America East),30,8-22,398,584,68.2
244,UNLV (Mountain West),33,18-15,555,815,68.1
245,Colgate (Patriot),30,13-17,332,488,68
246,Fordham (Atlantic 10),31,17-14,399,587,68
247,Rutgers (Big Ten),32,7-25,435,640,68
248,DePaul (Big East),31,9-22,420,618,68
249,UC Irvine (Big West),38,28-10,511,752,68
250,Central Conn. St. (NEC),29,4-25,360,530,67.9
251,UNC Greensboro (SoCon),34,15-19,393,579,67.9
252,Cleveland St. (Horizon),32,9-23,365,538,67.8
253,Jacksonville (ASUN),32,16-16,434,640,67.8
254,San Francisco (WCC),30,15-15,480,708,67.8
255,Alcorn (SWAC),30,15-15,458,676,67.8
256,New Mexico St. (WAC),34,23-11,471,696,67.7
257,Tulane (AAC),34,12-22,420,621,67.6
258,Tulsa (AAC),32,20-12,495,732,67.6
259,Southern California (Pac-12),34,21-13,507,750,67.6
260,Cal Poly (Big West),30,10-20,423,626,67.6
261,Pacific (WCC),28,8-20,388,575,67.5
262,Missouri St. (MVC),32,13-19,481,713,67.5
263,Stony Brook (America East),33,26-7,429,636,67.5
264,Kansas City (WAC),31,12-19,447,663,67.4
265,Towson (CAA),33,20-13,566,840,67.4
266,Weber St. (Big Sky),35,26-9,553,821,67.4
267,South Alabama (Sun Belt),33,14-19,503,747,67.3
268,Texas St. (Sun Belt),31,15-16,443,658,67.3
269,West Virginia (Big 12),35,26-9,654,972,67.3
270,Pepperdine (WCC),32,18-14,507,754,67.2
271,Texas A&M (SEC),37,28-9,565,841,67.2
272,Sacramento St. (Big Sky),31,14-17,421,627,67.1
273,Penn (Ivy League),28,11-17,341,508,67.1
274,UTRGV (WAC),30,8-22,349,520,67.1
275,Oregon St. (Pac-12),32,19-13,461,687,67.1
276,Lamar University (Southland),30,11-19,524,781,67.1
277,George Mason (Atlantic 10),32,11-21,436,650,67.1
278,TCU (Big 12),33,12-21,554,826,67.1
279,Chicago St. (WAC),32,4-28,384,573,67
280,Austin Peay (OVC),36,18-18,627,936,67
281,Southern U. (SWAC),35,22-13,505,754,67
282,Yale (Ivy League),30,23-7,468,699,67
283,La Salle (Atlantic 10),31,9-22,348,520,66.9
284,Rhode Island (Atlantic 10),32,17-15,443,662,66.9
285,Illinois St. (MVC),32,18-14,393,588,66.8
286,Dayton (Atlantic 10),33,25-8,500,749,66.8
287,St. Francis Brooklyn (NEC),32,15-17,435,652,66.7
288,Robert Morris (NEC),32,10-22,422,633,66.7
288,Col. of Charleston (CAA),31,17-14,378,567,66.7
288,Northwestern (Big Ten),32,20-12,352,528,66.7
291,UTEP (C-USA),33,19-14,539,809,66.6
292,Texas (Big 12),33,20-13,495,743,66.6
293,Seattle U (WAC),32,15-17,407,611,66.6
294,Louisiana Tech (C-USA),33,23-10,560,842,66.5
295,Coastal Carolina (Big South),33,21-12,458,689,66.5
296,LSU (SEC),33,19-14,569,856,66.5
297,FIU (C-USA),32,13-19,428,645,66.4
298,N.C. Central (MEAC),32,13-19,462,697,66.3
299,San Diego (WCC),30,9-21,370,559,66.2
300,Bradley (MVC),32,5-27,416,629,66.1
301,Elon (CAA),32,16-16,396,599,66.1
302,Richmond (Atlantic 10),32,16-16,430,651,66.1
303,South Fla. (AAC),33,8-25,404,612,66
304,Wake Forest (ACC),31,11-20,514,779,66
305,San Jose St. (Mountain West),31,9-22,462,701,65.9
306,Portland St. (Big Sky),31,13-18,425,645,65.9
307,Hampton (MEAC),32,21-11,537,815,65.9
308,Savannah St. (MEAC),32,16-16,452,686,65.9
309,Central Ark. (Southland),28,7-21,457,694,65.9
310,Seton Hall (Big East),34,25-9,532,808,65.8
311,Saint Peter's (MAAC),30,14-16,383,582,65.8
312,Green Bay (Horizon),36,23-13,662,"1,007",65.7
313,Bowling Green (MAC),34,16-18,499,760,65.7
314,California (Pac-12),34,23-11,529,806,65.6
315,Maine (America East),30,8-22,401,611,65.6
316,CSU Bakersfield (WAC),33,24-9,476,726,65.6
317,Eastern Ill. (OVC),30,13-17,385,588,65.5
318,Nicholls (Southland),34,11-23,512,782,65.5
319,Gardner-Webb (Big South),33,17-16,458,701,65.3
320,Cornell (Ivy League),28,10-18,353,542,65.1
321,Radford (Big South),31,16-15,352,541,65.1
322,Boston College (ACC),32,7-25,294,452,65
323,Florida (SEC),36,21-15,559,864,64.7
324,Grambling (SWAC),31,7-24,456,705,64.7
325,Quinnipiac (MAAC),30,9-21,344,532,64.7
326,FGCU (ASUN),35,21-14,501,778,64.4
327,Alabama (SEC),33,18-15,458,712,64.3
328,North Texas (C-USA),32,12-20,539,838,64.3
329,Bryant (NEC),31,8-23,310,482,64.3
330,Troy (Sun Belt),31,9-22,457,713,64.1
331,Southeast Mo. St. (OVC),29,5-24,392,612,64.1
332,Navy (Patriot),33,19-14,479,748,64
333,UC Davis (Big West),30,11-19,356,557,63.9
334,USC Upstate (ASUN),32,10-22,377,592,63.7
335,St. John's (NY) (Big East),32,8-24,454,714,63.6
336,Southeastern La. (Southland),33,12-21,441,694,63.5
337,Auburn (SEC),31,11-20,472,747,63.2
338,Jackson St. (SWAC),36,20-16,416,659,63.1
339,Texas Southern (SWAC),33,18-15,485,769,63.1
340,Charleston So. (Big South),30,9-21,318,512,62.1
341,UIC (Horizon),30,5-25,492,795,61.9
342,Delaware St. (MEAC),32,7-25,330,536,61.6
343,Middle Tenn. (C-USA),35,25-10,442,718,61.6
344,Ark.-Pine Bluff (SWAC),33,8-25,317,519,61.1
345,Harvard (Ivy League),30,14-16,313,525,59.6
346,Florida A&M (MEAC),29,8-21,407,691,58.9
