Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2022,UAB (C-USA),False,64.0,12.0,Auto,48.0,77.1,13.6,4.5,46.8,73.9,37.7,41.5,32.5,1.13
2022,UCLA (Pac-12),True,16.0,4.0,At-Large,13.0,77.1,10.9,3.4,45.0,74.1,35.3,41.5,32.1,1.55
2022,Princeton (Ivy League),False,DNP,DNP,DNP,DNP,76.7,9.7,1.9,48.8,63.9,38.7,45.4,33.0,1.53
2022,Kentucky (SEC),True,64.0,2.0,At-Large,6.0,76.5,12.9,9.7,48.3,72.6,34.7,41.4,30.8,1.39
2022,Saint Mary's (CA) (WCC),False,32.0,5.0,At-Large,19.0,76.5,9.1,4.2,46.4,75.8,35.3,42.7,33.9,1.2
2022,Southern California (Pac-12),True,64.0,7.0,At-Large,25.0,76.5,6.4,6.4,45.5,66.4,35.7,39.0,33.1,1.17
2022,Toledo (MAC),False,DNP,DNP,DNP,DNP,76.5,11.3,4.7,47.9,75.4,35.4,40.4,30.6,1.5
2022,Belmont (OVC),False,DNP,DNP,DNP,DNP,75.8,9.7,-0.1,48.8,74.3,33.2,43.0,34.1,1.53
2022,Iona (MAAC),False,DNP,DNP,DNP,DNP,75.8,6.6,1.7,44.7,69.3,33.2,41.6,30.2,1.28
2022,Loyola Chicago (MVC),False,64.0,10.0,Auto,39.0,75.8,11.3,2.5,47.7,71.2,37.9,41.0,30.9,1.22
2022,Wisconsin (Big Ten),True,32.0,3.0,At-Large,9.0,75.8,4.0,0.2,42.2,74.3,30.6,43.5,32.5,1.27
2022,Arkansas (SEC),True,8.0,4.0,At-Large,16.0,75.7,7.6,2.9,43.4,76.0,30.4,41.2,32.5,1.13
2022,UNCW (CAA),False,DNP,DNP,DNP,DNP,75.0,3.1,-3.5,42.4,74.3,33.3,44.0,35.4,1.06
2022,North Carolina (ACC),True,2.0,8.0,At-Large,30.0,74.4,6.6,8.5,44.7,76.4,35.8,42.5,33.7,1.28
2022,Grand Canyon (WAC),False,DNP,DNP,DNP,DNP,74.2,9.9,6.5,43.0,67.9,34.9,38.4,27.3,0.98
2022,Towson (CAA),False,DNP,DNP,DNP,DNP,73.5,8.6,6.1,44.8,71.9,35.7,41.4,31.5,1.13
2022,Wyoming (Mountain West),False,68.0,12.0,At-Large,43.0,73.5,7.0,2.8,45.7,72.5,34.2,41.4,30.2,0.99
2022,Texas Tech (Big 12),True,16.0,3.0,At-Large,12.0,73.0,11.4,6.1,47.2,69.8,32.1,38.6,31.5,1.01
2022,SMU (AAC),False,DNP,DNP,DNP,DNP,72.7,6.7,0.7,44.0,75.0,35.4,39.5,29.8,1.12
2022,Texas St. (Sun Belt),False,DNP,DNP,DNP,DNP,72.4,7.2,2.6,46.2,75.2,37.3,42.1,33.5,1.03
2022,Iowa (Big Ten),True,64.0,5.0,Auto,20.0,72.2,12.0,1.4,46.1,74.9,36.3,43.7,32.9,1.74
2022,San Diego St. (Mountain West),False,64.0,8.0,At-Large,31.0,71.9,7.3,2.0,43.2,69.2,35.4,38.4,30.0,0.93
2022,Seattle U (WAC),False,DNP,DNP,DNP,DNP,71.9,8.2,0.5,41.7,76.6,34.0,40.3,31.4,1.18
2022,Winthrop (Big South),False,DNP,DNP,DNP,DNP,71.9,5.0,2.7,48.6,70.0,37.1,43.1,35.0,0.92
2022,Ohio (MAC),False,DNP,DNP,DNP,DNP,71.4,6.1,-0.9,43.1,72.7,33.5,44.3,31.5,1.2
2022,Wake Forest (ACC),True,DNP,DNP,DNP,DNP,71.4,8.5,3.0,48.3,73.0,34.4,41.3,32.1,1.08
2022,Akron (MAC),False,64.0,13.0,Auto,54.0,70.6,8.0,4.0,46.0,68.9,35.4,42.2,34.3,1.02
2022,Louisiana Tech (C-USA),False,DNP,DNP,DNP,DNP,70.6,7.2,0.4,45.5,72.5,34.0,41.3,33.2,1.19
2022,San Francisco (WCC),False,64.0,10.0,At-Large,37.0,70.6,9.6,4.8,45.7,69.4,35.0,42.6,29.4,1.02
2022,Miami (FL) (ACC),True,8.0,10.0,At-Large,38.0,70.3,3.6,-4.7,47.3,74.2,33.9,45.9,34.5,1.49
2022,Middle Tenn. (C-USA),False,DNP,DNP,DNP,DNP,70.3,7.7,1.4,45.0,75.6,33.0,41.3,30.9,0.96
2022,Illinois (Big Ten),True,32.0,4.0,At-Large,14.0,69.7,7.2,5.5,44.8,70.6,35.9,41.3,32.0,1.23
2022,North Dakota St. (Summit League),False,DNP,DNP,DNP,DNP,69.7,6.1,4.8,46.2,76.1,35.8,42.0,32.0,0.95
2022,St. Bonaventure (Atlantic 10),False,DNP,DNP,DNP,DNP,69.7,3.5,-0.1,45.3,75.1,33.1,42.8,34.2,1.32
2022,UConn (Big East),False,64.0,5.0,At-Large,17.0,69.7,9.5,7.5,43.5,75.3,35.2,40.3,35.3,1.19
2022,Abilene Christian (WAC),False,DNP,DNP,DNP,DNP,69.4,9.1,-2.4,43.8,75.4,32.0,43.9,33.6,1.19
2022,Drake (MVC),False,DNP,DNP,DNP,DNP,69.4,7.5,2.8,46.0,75.5,34.4,42.9,32.9,1.1
2022,Bryant (NEC),False,68.0,16.0,Auto,66.0,68.8,4.7,2.8,43.7,73.2,30.4,41.4,31.7,1.0
2022,SFA (WAC),False,DNP,DNP,DNP,DNP,68.8,6.1,2.4,47.4,67.8,33.0,42.9,32.3,0.92
2022,VCU (Atlantic 10),False,DNP,DNP,DNP,DNP,68.8,4.7,-1.9,46.1,70.4,34.7,39.4,27.8,0.92
2022,BYU (WCC),False,DNP,DNP,DNP,DNP,68.6,5.9,6.9,45.7,71.8,35.3,41.9,30.6,1.16
2022,Dayton (Atlantic 10),False,DNP,DNP,DNP,DNP,68.6,8.0,5.8,47.8,68.3,36.1,40.8,32.4,1.16
2022,Notre Dame (ACC),True,32.0,11.0,At-Large,47.0,68.6,5.5,0.3,46.3,75.3,38.1,43.1,32.2,1.35
2022,Jacksonville (ASUN),False,DNP,DNP,DNP,DNP,67.7,7.8,7.4,45.0,70.8,34.7,39.6,29.5,1.1
2022,Kent St. (MAC),False,DNP,DNP,DNP,DNP,67.6,6.1,4.1,44.1,74.6,33.3,41.2,31.3,1.02
2022,Missouri St. (MVC),False,DNP,DNP,DNP,DNP,67.6,8.4,2.9,48.2,79.7,37.4,42.0,33.2,1.14
2022,Morehead St. (OVC),False,DNP,DNP,DNP,DNP,67.6,6.5,3.7,45.6,66.7,36.0,40.8,32.7,1.19
2022,Texas A&M (SEC),True,DNP,DNP,DNP,DNP,67.5,6.6,0.8,44.3,70.3,32.5,41.4,31.7,1.03
2022,Liberty (ASUN),False,DNP,DNP,DNP,DNP,66.7,9.9,2.9,47.3,75.6,38.2,40.3,32.6,1.27
2022,Memphis (AAC),False,32.0,9.0,At-Large,36.0,66.7,6.8,6.1,46.9,69.4,35.5,39.7,32.0,0.99
2022,A&M-Corpus Christi (Southland),False,68.0,16.0,Auto,68.0,65.7,6.5,4.4,44.3,73.7,33.6,41.7,31.1,1.07
2022,Colgate (Patriot),False,64.0,14.0,Auto,57.0,65.7,8.5,2.6,47.4,69.7,40.4,42.5,33.5,1.51
2022,Creighton (Big East),False,32.0,9.0,At-Large,33.0,65.7,2.8,2.5,44.8,73.8,30.8,39.6,31.7,0.95
2022,Saint Louis (Atlantic 10),False,DNP,DNP,DNP,DNP,65.7,8.3,6.5,45.8,76.3,36.9,42.2,32.3,1.15
2022,Southern Utah (Big Sky),False,DNP,DNP,DNP,DNP,65.7,5.2,4.7,46.1,71.4,34.3,44.0,34.2,0.95
2022,Cal St. Fullerton (Big West),False,64.0,15.0,Auto,62.0,65.6,3.4,1.4,44.5,76.6,32.9,44.0,37.6,0.93
2022,Hofstra (CAA),False,DNP,DNP,DNP,DNP,65.6,5.0,-2.5,46.3,79.7,34.0,45.2,37.0,1.5
2022,Jacksonville St. (ASUN),False,64.0,15.0,Auto,61.0,65.6,6.3,4.0,46.7,68.6,38.6,40.9,33.2,1.09
