Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
South Alabama (Sun Belt),28,17,11,60.7,74.1,70.9,3.2,35.6,37.9,-2.4,25.54,57.89,44.1,13.89,19.36,71.8,9.14,25.25,36.2,25.0,60.93,41.0,314,11.21,333,11.89,0.94,31.43,10.43,33.2
Oregon St. (Pac-12),33,20,13,60.6,70.5,67.6,2.8,34.4,33.6,0.7,24.33,55.85,43.6,14.82,19.45,76.2,6.97,19.55,35.7,23.12,54.73,42.2,480,14.55,383,11.61,1.25,21.18,6.36,30.0
Florida (SEC),25,15,10,60.0,74.2,70.3,3.9,35.3,33.2,2.0,26.52,56.28,47.1,14.36,19.08,75.3,6.76,19.0,35.6,24.64,58.32,42.2,293,11.72,375,15.0,0.78,21.12,6.48,30.7
Indiana St. (MVC),25,15,10,60.0,66.5,65.8,0.7,31.8,33.4,-1.6,23.2,53.52,43.3,14.12,19.24,73.4,5.96,17.84,33.4,24.28,53.88,45.1,267,10.68,302,12.08,0.88,20.48,6.96,34.0
Drexel (CAA),20,12,8,60.0,70.3,67.4,3.0,33.9,29.8,4.0,25.7,55.0,46.7,11.7,15.0,78.0,7.25,19.55,37.1,25.2,56.2,44.8,298,14.9,255,12.75,1.17,18.55,5.95,32.1
Monmouth (MAAC),20,12,8,60.0,76.0,74.3,1.8,37.5,39.6,-2.1,25.9,61.3,42.3,16.55,23.4,70.7,7.7,21.2,36.3,25.2,60.0,42.0,280,14.0,268,13.4,1.04,24.2,7.95,32.9
New Mexico St. (WAC),20,12,8,60.0,71.1,64.2,7.0,36.1,30.4,5.7,24.6,57.8,42.6,13.15,18.05,72.9,8.75,27.65,31.6,22.6,52.55,43.0,249,12.45,244,12.2,1.02,19.15,6.2,32.4
Santa Clara (WCC),20,12,8,60.0,69.7,70.6,-0.9,36.5,36.1,0.3,24.3,56.05,43.4,15.55,22.75,68.4,5.5,17.95,30.6,25.15,60.6,41.5,240,12.0,260,13.0,0.92,21.95,7.1,32.3
Lafayette (Patriot),15,9,6,60.0,77.7,76.7,1.0,35.0,38.9,-3.9,27.0,61.87,43.6,15.07,18.73,80.4,8.6,23.87,36.0,28.13,61.27,45.9,243,16.2,163,10.87,1.49,18.47,6.13,33.2
Oklahoma (Big 12),27,16,11,59.3,74.5,69.9,4.7,35.7,36.2,-0.4,26.74,60.37,44.3,13.19,17.7,74.5,7.85,23.04,34.1,25.44,60.26,42.2,360,13.33,296,10.96,1.22,23.15,8.26,35.7
St. John's (NY) (Big East),27,16,11,59.3,79.0,76.7,2.2,36.0,37.9,-1.9,28.85,64.59,44.7,13.85,18.48,74.9,7.41,21.48,34.5,28.0,60.52,46.3,440,16.3,341,12.63,1.29,22.33,7.63,34.2
Davidson (Atlantic 10),22,13,9,59.1,71.8,64.1,7.6,34.5,30.0,4.5,26.05,55.18,47.2,9.86,14.36,68.7,9.82,27.0,36.4,22.82,53.45,42.7,332,15.09,236,10.73,1.41,21.86,7.36,33.7
George Mason (Atlantic 10),22,13,9,59.1,71.3,69.9,1.4,37.9,35.2,2.7,26.27,61.23,42.9,11.5,17.91,64.2,7.27,22.14,32.9,25.36,57.95,43.8,287,13.05,283,12.86,1.01,20.73,7.36,35.5
LMU (CA) (WCC),22,13,9,59.1,69.5,68.0,1.5,35.1,27.3,7.8,23.86,52.14,45.8,15.64,21.55,72.6,6.14,18.18,33.8,23.91,53.73,44.5,280,12.73,351,15.95,0.8,19.64,6.77,34.5
App State (Sun Belt),29,17,12,58.6,70.3,64.1,6.2,36.3,35.2,1.1,23.79,58.21,40.9,14.69,19.79,74.2,8.03,25.41,31.6,23.76,56.83,41.8,340,11.72,343,11.83,0.99,21.45,6.97,32.5
Dayton (Atlantic 10),24,14,10,58.3,69.8,67.8,2.0,33.0,33.2,-0.2,24.67,51.67,47.7,12.42,17.42,71.3,8.0,21.5,37.2,25.29,59.67,42.4,325,13.54,346,14.42,0.94,22.58,7.25,32.1
Saint Mary's (CA) (WCC),24,14,10,58.3,64.2,62.6,1.6,34.5,31.5,3.0,23.42,55.46,42.2,11.25,15.29,73.6,6.17,20.96,29.4,23.25,54.04,43.0,257,10.71,271,11.29,0.95,14.63,5.17,35.3
Wisconsin (Big Ten),31,18,13,58.1,69.9,64.6,5.3,33.6,35.0,-1.4,24.74,58.26,42.5,11.74,15.29,76.8,8.68,23.81,36.4,23.52,55.71,42.2,414,13.35,280,9.03,1.48,18.68,6.26,33.5
CSU Bakersfield (Big West),26,15,11,57.7,69.7,64.0,5.6,36.9,28.7,8.2,26.31,58.88,44.7,11.42,16.0,71.4,5.62,15.92,35.3,21.38,50.12,42.7,365,14.04,338,13.0,1.08,20.54,7.04,34.3
UTSA (C-USA),26,15,11,57.7,78.8,73.3,5.5,38.5,36.6,1.9,29.54,66.04,44.7,11.73,15.42,76.1,8.04,24.04,33.4,25.0,59.12,42.3,383,14.73,302,11.62,1.27,22.65,7.65,33.8
Ole Miss (SEC),28,16,12,57.1,68.8,63.6,5.2,36.6,31.9,4.6,25.0,56.68,44.1,13.61,19.39,70.2,5.21,17.36,30.0,22.25,53.0,42.0,342,12.21,392,14.0,0.87,19.32,6.82,35.3
Rutgers (Big Ten),28,16,12,57.1,69.2,67.6,1.6,35.3,36.4,-1.1,26.46,59.0,44.9,10.18,16.0,63.6,6.14,19.68,31.2,23.93,57.57,41.6,384,13.71,321,11.46,1.2,20.46,6.61,32.3
Marist (MAAC),21,12,9,57.1,63.4,63.6,-0.2,35.0,34.6,0.4,22.62,53.0,42.7,11.43,16.71,68.4,6.76,21.81,31.0,21.9,55.9,39.2,229,10.9,304,14.48,0.75,23.76,7.33,30.9
Fla. Atlantic (C-USA),23,13,10,56.5,78.1,66.8,11.3,40.4,32.6,7.8,28.35,61.26,46.3,11.7,17.7,66.1,9.7,25.52,38.0,23.17,56.0,41.4,335,14.57,318,13.83,1.05,20.43,6.96,34.0
Hofstra (CAA),23,13,10,56.5,73.1,73.0,0.1,35.5,35.4,0.0,25.87,58.35,44.3,13.78,19.26,71.6,7.57,22.91,33.0,26.87,60.13,44.7,293,12.74,279,12.13,1.05,22.91,7.74,33.8
Montana St. (Big Sky),23,13,10,56.5,74.0,72.0,2.1,33.8,32.9,0.9,25.48,56.43,45.1,16.91,22.39,75.5,6.17,18.74,32.9,24.09,56.17,42.9,254,11.04,290,12.61,0.88,21.7,7.48,34.5
NC State (ACC),25,14,11,56.0,72.8,69.7,3.1,32.5,33.6,-1.2,26.84,57.0,47.1,12.44,17.72,70.2,6.68,18.56,36.0,25.6,56.6,45.2,328,13.12,321,12.84,1.02,19.88,6.8,34.2
Northern Ky. (Horizon),25,14,11,56.0,71.4,71.2,0.1,34.9,33.7,1.2,26.32,59.08,44.5,11.56,16.4,70.5,7.16,23.36,30.7,25.64,56.84,45.1,295,11.8,312,12.48,0.95,21.2,7.52,35.5
Saint Peter's (MAAC),25,14,11,56.0,63.2,61.5,1.7,37.1,35.3,1.8,22.2,55.44,40.0,12.64,18.12,69.8,6.16,19.08,32.3,20.44,52.92,38.6,293,11.72,371,14.84,0.79,19.76,6.64,33.6
South Dakota (Summit League),25,14,11,56.0,76.0,72.2,3.8,34.8,34.2,0.7,26.96,57.56,46.8,14.6,18.72,78.0,7.44,19.12,38.9,24.64,58.6,42.0,349,13.96,268,10.72,1.3,23.2,8.08,34.8
Wyoming (Mountain West),25,14,11,56.0,76.6,75.5,1.1,32.6,36.8,-4.1,25.96,57.68,45.0,14.64,20.36,71.9,10.04,28.16,35.7,27.76,58.08,47.8,351,14.04,282,11.28,1.24,18.04,5.96,33.0
Lipscomb (ASUN),27,15,12,55.6,71.2,68.4,2.7,34.0,34.5,-0.5,25.44,55.3,46.0,12.89,18.63,69.2,7.41,21.07,35.1,25.74,59.48,43.3,364,13.48,326,12.07,1.12,25.37,8.11,32.0
North Dakota St. (Summit League),27,15,12,55.6,69.7,67.7,2.1,37.0,30.3,6.6,24.41,55.22,44.2,14.11,18.56,76.0,6.81,20.0,34.1,24.96,57.07,43.7,285,10.56,338,12.52,0.84,20.96,7.07,33.7
Pepperdine (WCC),27,15,12,55.6,76.9,73.6,3.3,35.0,35.4,-0.4,27.56,59.52,46.3,14.85,18.93,78.5,6.93,21.22,32.6,26.19,59.85,43.8,440,16.3,354,13.11,1.24,22.52,6.33,28.1
Radford (Big South),27,15,12,55.6,67.6,64.6,3.0,37.0,29.3,7.7,23.85,52.15,45.7,14.07,20.67,68.1,5.85,18.67,31.3,23.26,55.59,41.8,301,11.15,404,14.96,0.75,22.33,8.22,36.8
Youngstown St. (Horizon),27,15,12,55.6,74.4,72.2,2.2,36.7,34.8,1.9,26.56,61.93,42.9,14.44,19.89,72.6,6.89,22.44,30.7,26.59,58.11,45.8,349,12.93,310,11.48,1.13,23.04,8.11,35.2
FGCU (ASUN),18,10,8,55.6,71.8,69.0,2.8,38.9,37.5,1.4,26.83,62.56,42.9,10.0,15.06,66.4,8.11,27.72,29.3,25.61,60.83,42.1,246,13.67,265,14.72,0.93,22.72,7.11,31.3
UC Davis (Big West),18,10,8,55.6,71.9,71.6,0.3,31.7,33.2,-1.4,24.94,56.67,44.0,16.39,20.89,78.5,5.67,17.5,32.4,24.89,53.44,46.6,195,10.83,259,14.39,0.75,18.72,6.56,35.0
Maryland (Big Ten),31,17,14,54.8,68.9,65.6,3.3,32.7,33.9,-1.2,24.29,52.77,46.0,12.13,17.35,69.9,8.16,22.84,35.7,23.52,57.32,41.0,415,13.39,343,11.06,1.21,23.94,8.26,34.5
Mississippi St. (SEC),33,18,15,54.5,69.3,66.8,2.5,39.0,32.0,7.0,25.67,56.55,45.4,12.55,19.06,65.8,5.42,15.82,34.3,23.97,59.33,40.4,429,13.0,498,15.09,0.86,24.33,7.91,32.5
Army West Point (Patriot),22,12,10,54.5,71.7,69.5,2.2,34.6,35.2,-0.6,26.68,58.45,45.6,10.55,16.55,63.7,7.82,23.95,32.6,25.45,58.0,43.9,317,14.41,275,12.5,1.15,23.55,8.36,35.5
Detroit Mercy (Horizon),22,12,10,54.5,76.5,74.0,2.5,32.7,33.9,-1.2,27.18,58.64,46.4,11.91,14.82,80.4,10.23,26.14,39.1,27.59,59.59,46.3,315,14.32,253,11.5,1.25,25.32,9.32,36.8
Duke (ACC),24,13,11,54.2,76.0,71.3,4.7,35.5,33.7,1.8,28.83,61.63,46.8,9.96,14.42,69.1,8.38,23.79,35.2,25.96,57.0,45.5,390,16.25,307,12.79,1.27,18.38,6.54,35.6
Idaho St. (Big Sky),24,13,11,54.2,68.2,61.7,6.5,36.1,29.9,6.2,23.29,52.54,44.3,14.71,20.67,71.2,6.92,20.79,33.3,21.83,54.04,40.4,273,11.38,359,14.96,0.76,17.04,5.83,34.2
Bowling Green (MAC),26,14,12,53.8,77.5,74.6,2.9,38.5,39.5,-1.0,27.85,66.62,41.8,13.62,18.5,73.6,8.19,25.65,31.9,27.04,60.92,44.4,328,12.62,256,9.85,1.28,23.65,7.88,33.3
Georgia (SEC),26,14,12,53.8,77.5,78.0,-0.5,37.2,36.3,0.9,28.23,61.65,45.8,14.65,21.27,68.9,6.35,19.58,32.4,28.31,61.88,45.7,389,14.96,433,16.65,0.9,23.12,7.85,33.9
Canisius (MAAC),13,7,6,53.8,70.4,71.2,-0.8,34.6,36.5,-1.9,24.69,60.46,40.8,13.54,19.08,71.0,7.46,25.15,29.7,26.0,57.46,45.2,165,12.69,156,12.0,1.06,17.85,6.08,34.1
Michigan St. (Big Ten),28,15,13,53.6,69.4,71.1,-1.7,37.4,34.2,3.2,24.89,58.39,42.6,13.29,18.29,72.7,6.36,19.82,32.1,24.75,58.04,42.6,444,15.86,364,13.0,1.22,19.57,6.29,32.1
Montana (Big Sky),28,15,13,53.6,70.8,67.0,3.8,33.2,32.7,0.5,24.89,54.07,46.0,15.46,19.79,78.2,5.5,15.18,36.2,23.82,55.54,42.9,356,12.71,371,13.25,0.96,18.57,5.79,31.2
Rice (C-USA),28,15,13,53.6,73.9,73.6,0.2,37.1,35.2,1.9,26.11,59.29,44.0,11.43,15.64,73.1,10.21,28.57,35.8,28.21,63.11,44.7,427,15.25,410,14.64,1.04,21.89,7.75,35.4
Massachusetts (Atlantic 10),15,8,7,53.3,76.7,73.0,3.7,34.5,37.0,-2.5,26.27,61.33,42.8,15.4,21.0,73.3,8.8,27.0,32.6,26.87,58.67,45.8,224,14.93,181,12.07,1.24,17.73,6.0,33.8
Elon (CAA),19,10,9,52.6,65.7,65.0,0.7,34.3,33.4,0.9,23.63,57.05,41.4,10.37,14.0,74.1,8.11,24.89,32.6,22.16,51.84,42.7,206,10.84,218,11.47,0.94,21.32,6.79,31.9
New Hampshire (America East),19,10,9,52.6,67.3,66.6,0.6,37.2,35.0,2.2,23.79,59.21,40.2,12.89,18.84,68.4,6.79,21.37,31.8,22.84,53.21,42.9,213,11.21,209,11.0,1.02,18.68,6.42,34.4
Northeastern (CAA),19,10,9,52.6,67.2,68.3,-1.1,32.8,35.5,-2.7,24.05,54.95,43.8,10.58,14.26,74.2,8.53,24.11,35.4,25.21,58.37,43.2,234,12.32,257,13.53,0.91,18.37,5.95,32.4
Hawaii (Big West),21,11,10,52.4,71.6,69.1,2.4,35.8,32.1,3.7,25.43,57.52,44.2,12.9,17.9,72.1,7.81,21.71,36.0,25.76,58.1,44.3,246,11.71,291,13.86,0.85,17.62,5.76,32.7
N.C. A&T (MEAC),21,11,10,52.4,72.2,72.5,-0.3,35.0,40.6,-5.6,25.52,60.62,42.1,14.67,22.29,65.8,6.52,20.43,31.9,26.19,60.19,43.5,285,13.57,294,14.0,0.97,23.24,8.1,34.8
Cincinnati (AAC),23,12,11,52.2,68.9,72.1,-3.2,36.2,34.5,1.7,24.61,58.22,42.3,12.61,19.22,65.6,7.09,22.78,31.1,24.7,56.52,43.7,344,14.96,336,14.61,1.02,19.83,6.65,33.6
Miami (OH) (MAC),23,12,11,52.2,72.3,71.6,0.7,34.7,35.2,-0.5,26.0,59.52,43.7,11.74,15.13,77.6,8.57,23.48,36.5,26.0,58.09,44.8,278,12.09,249,10.83,1.12,23.91,8.52,35.6
Mount St. Mary's (NEC),23,12,11,52.2,63.2,62.2,1.0,37.3,32.2,5.1,22.91,53.96,42.5,10.78,16.09,67.0,6.61,19.78,33.4,22.87,56.52,40.5,266,11.57,297,12.91,0.9,18.35,5.61,30.6
Seattle U (WAC),23,12,11,52.2,72.9,68.6,4.3,33.7,37.7,-4.0,25.78,62.0,41.6,13.26,18.09,73.3,8.09,25.78,31.4,23.09,55.04,41.9,264,11.48,246,10.7,1.07,19.91,6.57,33.0
ETSU (SoCon),25,13,12,52.0,69.4,66.2,3.3,35.9,32.9,3.0,24.8,56.64,43.8,11.8,16.92,69.7,8.04,23.0,35.0,22.92,54.8,41.8,295,11.8,339,13.56,0.87,24.68,8.44,34.2
The Citadel (SoCon),25,13,12,52.0,80.8,78.4,2.4,37.8,37.3,0.5,28.32,62.64,45.2,13.88,19.8,70.1,10.24,28.8,35.6,29.08,65.04,44.7,389,15.56,303,12.12,1.28,22.48,7.0,31.1
VMI (SoCon),25,13,12,52.0,80.0,75.9,4.2,38.5,36.5,2.0,28.24,60.68,46.5,12.76,16.52,77.2,10.8,28.44,38.0,28.0,65.6,42.7,393,15.72,314,12.56,1.25,28.32,9.56,33.8
Austin Peay (OVC),27,14,13,51.9,74.3,70.0,4.3,34.5,31.7,2.7,27.15,59.89,45.3,12.85,17.11,75.1,7.19,21.22,33.9,25.44,53.96,47.2,357,13.22,397,14.7,0.9,20.04,7.19,35.9
Seton Hall (Big East),27,14,13,51.9,71.3,69.7,1.6,34.9,34.7,0.2,24.93,56.48,44.1,14.74,20.15,73.2,6.67,20.78,32.1,25.19,58.37,43.1,347,12.85,350,12.96,0.99,20.04,7.33,36.6
Stanford (Pac-12),27,14,13,51.9,69.7,69.6,0.1,33.5,33.5,0.0,25.11,54.11,46.4,14.15,19.74,71.7,5.37,16.7,32.2,24.78,59.59,41.6,332,12.3,403,14.93,0.82,23.7,7.96,33.6
Washington St. (Pac-12),27,14,13,51.9,68.6,67.4,1.2,38.1,34.9,3.2,23.44,57.0,41.1,14.04,19.78,71.0,7.7,22.59,34.1,24.04,57.96,41.5,328,12.15,411,15.22,0.8,19.04,5.96,31.3
Ga. Southern (Sun Belt),26,13,13,50.0,71.5,67.8,3.8,37.1,34.4,2.7,26.38,59.08,44.7,11.31,17.81,63.5,7.46,23.38,31.9,23.92,56.5,42.3,324,12.46,374,14.38,0.87,22.12,7.73,35.0
Georgetown (Big East),26,13,13,50.0,71.4,71.7,-0.2,39.8,34.8,5.0,24.77,58.5,42.3,13.58,18.04,75.3,8.31,22.77,36.5,26.12,61.88,42.2,333,12.81,395,15.19,0.84,24.65,8.35,33.9
Murray St. (OVC),26,13,13,50.0,76.4,66.9,9.5,36.1,32.0,4.1,29.12,58.54,49.7,10.0,14.88,67.2,8.15,22.15,36.8,23.85,56.85,41.9,435,16.73,347,13.35,1.25,23.23,7.42,32.0
Providence (Big East),26,13,13,50.0,69.8,69.7,0.1,35.7,36.4,-0.7,25.27,58.81,43.0,13.0,18.58,70.0,6.31,19.73,32.0,25.69,58.96,43.6,350,13.46,306,11.77,1.14,19.92,5.92,29.7
UT Arlington (Sun Belt),26,13,13,50.0,73.7,70.3,3.4,37.4,39.2,-1.7,26.04,63.81,40.8,12.58,17.08,73.6,9.04,25.35,35.7,25.35,59.92,42.3,356,13.69,312,12.0,1.14,21.23,7.58,35.7
Fresno St. (Mountain West),24,12,12,50.0,66.3,67.4,-1.1,35.5,32.2,3.3,23.0,53.71,42.8,13.46,20.21,66.6,6.83,20.79,32.9,23.63,54.54,43.3,249,10.38,344,14.33,0.72,20.88,7.29,34.9
Grambling (SWAC),24,12,12,50.0,67.4,68.7,-1.3,34.5,36.6,-2.2,23.42,54.71,42.8,15.33,23.04,66.5,5.21,15.71,33.2,23.25,58.29,39.9,337,14.04,370,15.42,0.91,22.21,7.54,34.0
UTEP (C-USA),24,12,12,50.0,70.8,68.5,2.2,34.5,35.4,-0.9,25.33,59.67,42.5,12.96,17.33,74.8,7.13,21.83,32.6,23.88,55.08,43.3,285,11.88,262,10.92,1.09,17.92,6.17,34.4
Northern Colo. (Big Sky),22,11,11,50.0,70.5,69.0,1.5,34.5,31.7,2.9,24.95,55.5,45.0,11.55,17.32,66.7,9.05,24.0,37.7,25.55,57.32,44.6,242,11.0,311,14.14,0.78,13.32,3.95,29.7
Utah Valley (WAC),22,11,11,50.0,74.2,74.3,-0.1,38.8,32.4,6.4,26.91,56.64,47.5,15.09,23.91,63.1,5.27,15.23,34.6,25.68,60.23,42.6,370,16.82,329,14.95,1.12,20.82,7.14,34.3
UNC Asheville (Big South),20,10,10,50.0,73.4,72.8,0.6,33.5,37.4,-4.0,27.4,57.6,47.6,10.55,17.4,60.6,8.05,22.5,35.8,26.65,59.6,44.7,254,12.7,301,15.05,0.84,18.5,6.0,32.4
Duquesne (Atlantic 10),18,9,9,50.0,66.9,67.1,-0.2,36.3,36.1,0.3,24.33,57.78,42.1,11.89,18.28,65.0,6.39,21.39,29.9,23.44,56.17,41.7,241,13.39,240,13.33,1.0,21.94,6.22,28.4
LIU (NEC),18,9,9,50.0,74.0,72.9,1.1,39.2,37.4,1.7,26.61,64.17,41.5,13.33,20.0,66.7,7.44,25.94,28.7,26.94,60.83,44.3,293,16.28,259,14.39,1.13,21.33,6.83,32.0
Pacific (WCC),18,9,9,50.0,69.8,70.7,-0.9,34.6,32.3,2.3,26.61,60.72,43.8,11.39,16.78,67.9,5.17,17.28,29.9,24.67,56.5,43.7,233,12.94,216,12.0,1.08,23.56,8.06,34.2
Sacred Heart (NEC),18,9,9,50.0,70.3,75.0,-4.7,35.9,37.6,-1.6,23.94,58.11,41.2,14.44,19.5,74.1,7.94,24.11,32.9,28.11,62.17,45.2,241,13.39,233,12.94,1.03,20.61,6.78,32.9
Minnesota (Big Ten),29,14,15,48.3,72.5,73.2,-0.7,36.8,39.9,-3.1,24.28,61.86,39.2,16.83,22.72,74.1,7.14,25.17,28.4,26.21,59.38,44.1,399,13.76,324,11.17,1.23,18.83,6.62,35.2
Auburn (SEC),27,13,14,48.1,77.2,76.4,0.7,39.4,36.3,3.1,26.33,60.3,43.7,15.44,21.81,70.8,9.07,27.81,32.6,27.7,63.26,43.8,400,14.81,439,16.26,0.91,22.44,7.33,32.7
Marquette (Big East),27,13,14,48.1,69.7,69.8,-0.1,36.3,33.8,2.4,24.48,54.96,44.5,14.15,19.26,73.5,6.63,20.56,32.3,24.67,59.59,41.4,333,12.33,388,14.37,0.86,22.07,7.48,33.9
Utah (Pac-12),25,12,13,48.0,72.1,69.8,2.3,31.3,34.0,-2.7,26.24,55.92,46.9,12.76,16.12,79.2,6.88,19.36,35.5,25.56,57.08,44.8,378,15.12,314,12.56,1.2,20.32,7.32,36.0
Tulsa (AAC),23,11,12,47.8,68.4,65.6,2.8,33.9,35.0,-1.1,24.61,54.87,44.8,12.26,18.09,67.8,6.91,21.91,31.5,22.61,55.3,40.9,327,14.22,307,13.35,1.07,23.48,7.87,33.5
UCF (AAC),23,11,12,47.8,67.2,69.4,-2.2,33.3,34.8,-1.6,23.57,54.87,42.9,12.26,16.83,72.9,7.83,22.04,35.5,24.52,57.0,43.0,285,12.39,340,14.78,0.84,21.91,7.17,32.7
UMass Lowell (America East),23,11,12,47.8,68.5,70.9,-2.4,34.5,33.0,1.5,24.35,53.91,45.2,13.26,20.04,66.2,6.52,18.83,34.6,24.17,56.7,42.6,267,11.61,334,14.52,0.8,20.61,6.52,31.6
Col. of Charleston (CAA),19,9,10,47.4,70.6,69.9,0.6,32.8,33.5,-0.7,25.32,56.11,45.1,11.63,16.37,71.1,8.32,22.21,37.4,24.47,55.0,44.5,201,10.58,196,10.32,1.03,21.89,7.89,36.1
St. Francis Brooklyn (NEC),19,9,10,47.4,77.7,79.5,-1.8,36.2,37.1,-0.8,28.53,63.95,44.6,14.42,19.63,73.5,6.21,18.74,33.1,27.37,59.21,46.2,271,14.26,229,12.05,1.18,20.16,7.68,38.1
UTRGV (WAC),19,9,10,47.4,72.4,67.7,4.7,39.1,39.8,-0.7,25.05,61.26,40.9,15.68,24.63,63.7,6.63,22.58,29.4,22.95,56.47,40.6,289,15.21,281,14.79,1.03,18.47,5.53,29.9
Delaware (CAA),15,7,8,46.7,67.5,67.5,0.1,35.3,32.9,2.4,23.13,52.87,43.8,14.13,19.8,71.4,7.13,21.4,33.3,24.07,57.07,42.2,188,12.53,216,14.4,0.87,19.6,6.73,34.4
Southern Ill. (MVC),26,12,14,46.2,65.5,68.1,-2.5,29.7,34.2,-4.5,23.62,52.38,45.1,10.23,15.38,66.5,8.08,21.54,37.5,25.46,55.65,45.7,352,13.54,311,11.96,1.13,22.62,7.69,34.0
TCU (Big 12),26,12,14,46.2,66.8,71.2,-4.5,34.7,34.4,0.3,24.04,54.92,43.8,11.96,17.81,67.2,6.73,19.92,33.8,26.31,58.58,44.9,340,13.08,371,14.27,0.92,20.31,6.81,33.5
Arkansas St. (Sun Belt),24,11,13,45.8,72.5,69.5,3.1,37.2,33.6,3.6,25.88,57.92,44.7,14.38,19.92,72.2,6.42,16.75,38.3,25.33,59.63,42.5,347,14.46,314,13.08,1.11,19.96,6.67,33.4
Jacksonville (ASUN),24,11,13,45.8,67.6,69.5,-1.9,33.3,36.1,-2.8,24.04,55.0,43.7,12.42,18.71,66.4,7.08,21.92,32.3,25.63,58.33,43.9,269,11.21,343,14.29,0.78,23.0,7.58,33.0
Kansas City (Summit League),24,11,13,45.8,70.1,62.6,7.5,30.4,30.0,0.4,26.75,53.83,49.7,10.42,15.79,66.0,6.21,16.96,36.6,20.17,46.58,43.3,355,14.79,300,12.5,1.18,17.42,5.67,32.5
Milwaukee (Horizon),22,10,12,45.5,75.5,76.3,-0.7,35.0,37.7,-2.7,26.73,61.27,43.6,14.86,20.32,73.2,7.23,22.0,32.9,26.45,58.55,45.2,285,12.95,244,11.09,1.17,23.05,8.73,37.9
Pittsburgh (ACC),22,10,12,45.5,71.2,70.1,1.0,38.3,33.1,5.2,25.18,58.32,43.2,14.27,21.5,66.4,6.55,19.36,33.8,24.68,56.77,43.5,321,14.59,278,12.64,1.15,22.95,7.41,32.3
Niagara (MAAC),20,9,11,45.0,64.7,65.2,-0.6,31.6,36.1,-4.5,22.4,54.95,40.8,13.45,19.0,70.8,6.4,20.45,31.3,22.65,53.35,42.5,236,11.8,199,9.95,1.19,22.1,7.5,33.9
Indiana (Big Ten),27,12,15,44.4,69.7,69.4,0.3,34.6,36.0,-1.5,24.22,55.93,43.3,15.41,23.19,66.5,5.85,18.07,32.4,24.26,57.0,42.6,376,13.93,322,11.93,1.17,21.41,7.15,33.4
Stetson (ASUN),27,12,15,44.4,71.3,70.2,1.1,35.5,34.1,1.4,25.44,58.78,43.3,11.3,16.22,69.6,9.11,24.7,36.9,25.59,57.22,44.7,370,13.7,357,13.22,1.04,21.22,7.33,34.6
UNLV (Mountain West),27,12,15,44.4,69.4,67.5,2.0,36.0,32.4,3.6,26.15,58.78,44.5,8.81,12.44,70.8,8.33,23.67,35.2,22.89,54.44,42.0,356,13.19,337,12.48,1.06,23.59,8.59,36.4
IUPUI (Horizon),18,8,10,44.4,71.2,75.8,-4.6,33.8,35.7,-1.9,25.11,59.39,42.3,13.0,18.11,71.8,7.94,23.11,34.4,27.39,57.72,47.4,239,13.28,250,13.89,0.96,20.06,6.11,30.5
Texas A&M (SEC),18,8,10,44.4,64.3,66.9,-2.7,33.5,32.3,1.2,22.28,53.67,41.5,13.22,18.22,72.6,6.5,21.72,29.9,24.0,53.28,45.0,218,12.11,266,14.78,0.82,25.28,8.61,34.1
Arizona St. (Pac-12),25,11,14,44.0,74.3,77.1,-2.8,31.8,39.6,-7.8,26.24,60.6,43.3,14.68,20.16,72.8,7.16,21.48,33.3,26.84,58.4,46.0,327,13.08,274,10.96,1.19,21.2,7.68,36.2
Hampton (Big South),25,11,14,44.0,68.8,73.2,-4.4,33.8,39.7,-5.9,24.76,57.48,43.1,11.92,16.44,72.5,7.4,22.28,33.2,25.48,59.48,42.8,292,11.68,318,12.72,0.92,22.48,7.6,33.8
Penn St. (Big Ten),25,11,14,44.0,72.6,73.0,-0.4,36.5,34.0,2.5,25.48,62.48,40.8,12.84,17.4,73.8,8.84,26.16,33.8,25.96,55.92,46.4,335,13.4,285,11.4,1.18,21.48,7.4,34.5
San Francisco (WCC),25,11,14,44.0,71.4,69.3,2.2,33.2,35.2,-2.0,25.88,60.52,42.8,9.32,13.0,71.7,10.36,30.36,34.1,24.2,53.56,45.2,295,11.8,292,11.68,1.01,14.96,4.88,32.6
Albany (NY) (America East),16,7,9,43.8,69.4,68.7,0.7,30.0,32.6,-2.6,24.69,55.19,44.7,13.63,18.81,72.4,6.38,18.94,33.7,25.13,55.88,45.0,187,11.69,201,12.56,0.93,20.63,7.13,34.5
Ball St. (MAC),23,10,13,43.5,74.7,75.5,-0.7,36.9,37.7,-0.8,26.65,60.17,44.3,12.96,17.26,75.1,8.48,24.78,34.2,26.57,61.7,43.1,318,13.83,331,14.39,0.96,23.39,7.26,31.0
Tulane (AAC),23,10,13,43.5,63.9,66.5,-2.6,32.7,38.7,-6.0,21.13,55.17,38.3,15.09,20.22,74.6,6.57,22.04,29.8,23.39,55.7,42.0,269,11.7,258,11.22,1.04,23.96,8.57,35.8
