Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
Louisiana Tech (C-USA),32,24,8,75.0,73.1,65.4,7.7,38.2,35.1,3.2,26.0,58.44,44.5,13.59,19.97,68.1,7.5,21.81,34.4,23.59,58.53,40.3,418,13.06,411,12.84,1.02,22.69,6.91,30.4
Oregon (Pac-12),28,21,7,75.0,74.9,68.4,6.5,33.1,32.1,1.0,27.82,59.0,47.2,10.89,15.32,71.1,8.36,22.18,37.7,24.75,56.11,44.1,389,13.89,319,11.39,1.22,21.82,7.46,34.2
Wright St. (Horizon),24,18,6,75.0,82.0,67.4,14.5,42.3,33.0,9.3,29.58,61.29,48.3,15.33,21.17,72.4,7.46,20.17,37.0,25.63,63.92,40.1,369,15.38,315,13.13,1.17,21.0,6.42,30.6
Morehead St. (OVC),31,23,8,74.2,68.8,64.1,4.7,37.3,30.8,6.5,24.65,53.26,46.3,12.81,18.84,68.0,6.68,18.74,35.6,23.74,58.26,40.8,397,12.81,477,15.39,0.83,23.9,7.45,31.2
BYU (WCC),27,20,7,74.1,78.1,68.6,9.5,39.2,32.5,6.7,28.74,59.56,48.3,11.89,16.41,72.5,8.74,23.44,37.3,24.78,60.3,41.1,436,16.15,356,13.19,1.22,21.11,6.96,33.0
Weber St. (Big Sky),23,17,6,73.9,81.8,69.3,12.5,32.8,31.0,1.7,28.52,56.52,50.5,16.35,20.78,78.7,8.39,21.57,38.9,24.74,58.3,42.4,345,15.0,288,12.52,1.2,20.78,7.04,33.9
VCU (Atlantic 10),26,19,7,73.1,71.7,65.2,6.5,34.3,35.0,-0.6,25.35,56.15,45.1,14.54,19.12,76.1,6.46,19.62,32.9,22.69,56.04,40.5,347,13.35,380,14.62,0.91,19.65,6.0,30.5
Georgia St. (Sun Belt),22,16,6,72.7,80.3,72.7,7.6,37.5,37.0,0.5,29.5,63.0,46.8,13.23,19.32,68.5,8.09,22.59,35.8,25.18,60.95,41.3,369,16.77,256,11.64,1.44,24.86,8.41,33.8
Wichita St. (AAC),22,16,6,72.7,71.5,66.8,4.7,37.9,39.5,-1.5,24.23,59.86,40.5,14.91,21.91,68.0,8.09,24.09,33.6,24.23,60.27,40.2,286,13.0,246,11.18,1.16,23.0,6.82,29.6
Western Ky. (C-USA),29,21,8,72.4,72.7,68.0,4.7,37.7,31.3,6.4,25.28,56.34,44.9,15.76,20.0,78.8,6.38,18.48,34.5,24.9,58.97,42.2,395,13.62,413,14.24,0.96,23.21,8.45,36.4
Florida St. (ACC),25,18,7,72.0,77.2,69.2,8.0,36.7,33.0,3.7,27.72,58.44,47.4,14.04,18.96,74.1,7.68,20.4,37.6,23.28,58.6,39.7,363,14.52,360,14.4,1.01,23.16,7.52,32.5
Nicholls (Southland),25,18,7,72.0,78.4,73.2,5.2,38.2,38.0,0.3,29.36,64.44,45.6,11.92,17.84,66.8,7.76,24.2,32.1,25.76,60.12,42.8,336,13.44,327,13.08,1.03,21.52,7.44,34.6
Texas St. (Sun Belt),25,18,7,72.0,66.4,61.7,4.7,32.9,29.8,3.1,25.16,54.44,46.2,10.52,14.88,70.7,5.56,14.64,38.0,21.48,50.96,42.2,339,13.56,333,13.32,1.02,20.52,7.16,34.9
Villanova (Big East),25,18,7,72.0,74.8,66.5,8.3,33.9,32.7,1.2,26.2,57.8,45.3,13.24,17.36,76.3,9.16,25.92,35.3,24.48,55.52,44.1,374,14.96,227,9.08,1.65,22.52,7.72,34.3
Virginia (ACC),25,18,7,72.0,68.2,60.5,7.7,31.6,29.5,2.2,25.16,53.04,47.4,9.4,11.52,81.6,8.48,22.64,37.5,22.0,52.88,41.6,345,13.8,229,9.16,1.51,19.84,6.72,33.9
Colorado (Pac-12),32,23,9,71.9,73.1,63.8,9.3,34.8,30.6,4.2,25.88,56.75,45.6,13.69,16.72,81.9,7.69,20.66,37.2,22.94,54.53,42.1,436,13.63,364,11.38,1.2,19.13,6.38,33.3
Colorado St. (Mountain West),28,20,8,71.4,74.0,66.8,7.2,34.5,33.6,0.9,25.54,54.86,46.5,14.54,18.36,79.2,8.39,23.79,35.3,24.57,58.25,42.2,408,14.57,378,13.5,1.08,25.36,7.89,31.1
Memphis (AAC),28,20,8,71.4,72.4,62.7,9.7,40.0,32.7,7.3,26.32,59.32,44.4,11.96,19.39,61.7,7.79,21.43,36.3,21.64,55.61,38.9,447,15.96,437,15.61,1.02,21.89,6.07,27.7
Creighton (Big East),31,22,9,71.0,76.0,68.2,7.7,35.7,36.7,-0.9,28.32,60.06,47.2,9.87,15.42,64.0,9.45,26.16,36.1,24.87,60.94,40.8,485,15.65,342,11.03,1.42,23.9,7.58,31.7
Iowa (Big Ten),31,22,9,71.0,83.7,72.7,11.0,39.7,37.0,2.7,29.77,63.26,47.1,14.45,20.23,71.5,9.71,25.16,38.6,27.1,64.58,42.0,594,19.16,294,9.48,2.02,25.48,8.87,34.8
Grand Canyon (WAC),24,17,7,70.8,75.5,62.1,13.4,39.9,30.4,9.5,28.17,57.67,48.8,12.38,18.08,68.4,6.79,20.67,32.9,21.71,56.71,38.3,390,16.25,308,12.83,1.27,23.75,7.0,29.5
