Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Kentucky (SEC),39,38-1,"2,900",74.4,"2,118",54.3,20.1
2,Gonzaga (WCC),38,35-3,"2,989",78.7,"2,343",61.7,17
3,Arizona (Pac-12),38,34-4,"2,911",76.6,"2,268",59.7,16.9
4,Villanova (Big East),36,33-3,"2,754",76.5,"2,193",60.9,15.6
5,Duke (ACC),39,35-4,"3,091",79.3,"2,502",64.2,15.1
6,Wisconsin (Big Ten),40,36-4,"2,900",72.5,"2,327",58.2,14.3
7,SFA (Southland),34,29-5,"2,672",78.6,"2,186",64.3,14.3
8,Utah (Pac-12),35,26-9,"2,496",71.3,"1,999",57.1,14.2
9,Sam Houston (Southland),35,26-9,"2,592",74.1,"2,101",60,14
10,Virginia (ACC),34,30-4,"2,224",65.4,"1,749",51.4,14
11,N.C. Central (MEAC),33,25-8,"2,278",69,"1,821",55.2,13.8
12,Wichita St. (MVC),35,30-5,"2,460",70.3,"2,008",57.4,12.9
13,Ohio St. (Big Ten),35,24-11,"2,635",75.3,"2,202",62.9,12.4
14,Notre Dame (ACC),38,32-6,"2,963",78,"2,499",65.8,12.2
15,Murray St. (OVC),35,29-6,"2,764",79,"2,367",67.6,11.3
16,USC Upstate (ASUN),36,24-12,"2,579",71.6,"2,198",61.1,10.6
17,BYU (WCC),35,25-10,"2,931",83.7,"2,561",73.2,10.6
18,UNI (MVC),35,31-4,"2,281",65.2,"1,912",54.6,10.5
19,Boise St. (Mountain West),34,25-9,"2,390",70.3,"2,045",60.1,10.1
19,Valparaiso (Horizon),34,28-6,"2,366",69.6,"2,021",59.4,10.1
21,Central Mich. (MAC),32,23-9,"2,504",78.3,"2,187",68.3,9.9
22,Davidson (Atlantic 10),32,24-8,"2,529",79,"2,221",69.4,9.6
23,SMU (AAC),34,27-7,"2,350",69.1,"2,032",59.8,9.4
24,Coastal Carolina (Big South),34,24-10,"2,438",71.7,"2,121",62.4,9.3
