Rank,Team,GM,W-L,FT,FTA,FT%
248,Cincinnati (AAC),34,23-11,424,633,67
249,Furman (SoCon),33,11-22,480,717,66.9
250,Southern Utah (Big Sky),29,10-19,401,599,66.9
251,Florida St. (ACC),33,17-16,524,783,66.9
252,Gardner-Webb (Big South),35,20-15,513,767,66.9
253,Ga. Southern (Sun Belt),31,22-9,412,616,66.9
254,Louisville (ACC),36,27-9,529,792,66.8
255,Chicago St. (WAC),32,8-24,343,514,66.7
256,Arizona St. (Pac-12),34,18-16,511,766,66.7
257,Southeast Mo. St. (OVC),30,13-17,414,621,66.7
258,Memphis (AAC),32,18-14,385,578,66.6
259,Missouri (SEC),32,9-23,373,560,66.6
260,Auburn (SEC),35,15-20,606,910,66.6
261,Austin Peay (OVC),30,8-22,456,685,66.6
262,George Mason (Atlantic 10),31,9-22,450,676,66.6
263,Old Dominion (C-USA),35,27-8,394,592,66.6
264,Seattle U (WAC),34,18-16,407,612,66.5
265,Southeastern La. (Southland),32,9-23,387,582,66.5
266,Troy (Sun Belt),29,10-19,406,612,66.3
267,UNLV (Mountain West),33,18-15,398,600,66.3
268,Towson (CAA),32,12-20,522,787,66.3
269,Stony Brook (America East),35,23-12,429,647,66.3
270,Bradley (MVC),33,9-24,425,641,66.3
271,FGCU (ASUN),33,22-11,399,603,66.2
272,West Virginia (Big 12),35,25-10,571,863,66.2
273,Jacksonville (ASUN),32,10-22,453,685,66.1
274,UTEP (C-USA),33,22-11,497,752,66.1
275,Texas Southern (SWAC),35,22-13,569,861,66.1
276,Saint Peter's (MAAC),34,16-18,492,745,66
277,Binghamton (America East),32,6-26,408,618,66
278,Col. of Charleston (CAA),33,9-24,365,553,66
279,Syracuse (ACC),31,18-13,415,629,66
280,Presbyterian (Big South),32,10-22,360,546,65.9
281,Air Force (Mountain West),31,14-17,321,487,65.9
282,Norfolk St. (MEAC),34,20-14,495,751,65.9
283,New Mexico (Mountain West),31,15-16,401,609,65.8
284,Texas A&M (SEC),33,21-12,445,676,65.8
285,Akron (MAC),35,21-14,406,617,65.8
286,Kent St. (MAC),35,23-12,469,713,65.8
287,Alcorn (SWAC),32,6-26,463,704,65.8
288,VCU (Atlantic 10),36,26-10,524,797,65.7
289,Stetson (ASUN),31,9-22,383,583,65.7
290,Seton Hall (Big East),31,16-15,436,664,65.7
291,UMES (MEAC),33,18-15,512,781,65.6
292,Rhode Island (Atlantic 10),33,23-10,532,812,65.5
293,Saint Louis (Atlantic 10),32,11-21,436,666,65.5
294,USC Upstate (ASUN),36,24-12,413,631,65.5
295,Southern U. (SWAC),35,18-17,507,775,65.4
296,Mississippi Val. (SWAC),32,6-26,412,630,65.4
297,Western Ky. (C-USA),32,20-12,451,690,65.4
298,Rutgers (Big Ten),32,10-22,372,570,65.3
298,San Jose St. (Mountain West),30,2-28,310,475,65.3
300,Eastern Ill. (OVC),33,18-15,364,558,65.2
301,Hampton (MEAC),35,17-18,560,859,65.2
302,McNeese (Southland),31,15-16,377,579,65.1
303,Grambling (SWAC),29,2-27,380,584,65.1
304,Idaho St. (Big Sky),30,7-23,391,601,65.1
305,Alabama St. (SWAC),29,19-10,396,609,65
306,Charlotte (C-USA),32,14-18,445,685,65
307,Tulane (AAC),31,15-16,376,579,64.9
308,UNC Greensboro (SoCon),33,11-22,398,613,64.9
309,California (Pac-12),33,18-15,368,567,64.9
309,Florida A&M (MEAC),29,2-27,368,567,64.9
311,Tulsa (AAC),34,23-11,484,746,64.9
312,Georgia Tech (ACC),31,12-19,363,560,64.8
313,Marshall (C-USA),32,11-21,412,636,64.8
314,Pacific (WCC),31,12-19,432,667,64.8
315,Prairie View (SWAC),33,15-18,390,603,64.7
316,Sacred Heart (NEC),32,15-17,443,685,64.7
317,Jackson St. (SWAC),32,11-21,386,597,64.7
318,Dartmouth (Ivy League),29,14-15,348,539,64.6
319,Alabama A&M (SWAC),29,9-20,415,643,64.5
320,Marquette (Big East),32,13-19,392,608,64.5
321,UMBC (America East),30,4-26,347,539,64.4
322,UCF (AAC),30,12-18,371,577,64.3
323,Green Bay (Horizon),33,24-9,453,705,64.3
324,Texas Tech (Big 12),32,13-19,476,742,64.2
325,Virginia Tech (ACC),33,11-22,357,558,64
326,Wake Forest (ACC),32,13-19,479,751,63.8
327,FIU (C-USA),33,16-17,411,647,63.5
328,Florida (SEC),33,16-17,351,553,63.5
329,Southern California (Pac-12),32,12-20,399,629,63.4
330,Michigan St. (Big Ten),39,27-12,451,714,63.2
331,San Diego St. (Mountain West),36,27-9,437,694,63
332,North Texas (C-USA),31,14-17,426,677,62.9
333,San Francisco (WCC),32,14-18,446,709,62.9
334,Duquesne (Atlantic 10),31,12-19,362,577,62.7
335,Southern Miss. (C-USA),29,9-20,323,515,62.7
336,Nicholls (Southland),29,10-19,404,645,62.6
337,Morgan St. (MEAC),31,7-24,389,622,62.5
338,Campbell (Big South),32,10-22,373,597,62.5
339,Tennessee St. (OVC),31,5-26,401,648,61.9
340,South Fla. (AAC),32,9-23,344,556,61.9
341,Saint Joseph's (Atlantic 10),31,13-18,369,600,61.5
342,TCU (Big 12),33,18-15,517,841,61.5
343,Rider (MAAC),33,21-12,385,638,60.3
344,South Carolina St. (MEAC),33,11-22,369,612,60.3
345,Savannah St. (MEAC),31,9-22,332,576,57.6
