Rank,Team,GM,W-L,FT,FTA,FT%
1,Illinois (Big Ten),33,19-14,471,593,79.4
2,Eastern Ky. (OVC),33,21-12,438,562,77.9
3,Ole Miss (SEC),34,21-13,559,723,77.3
4,Quinnipiac (MAAC),30,15-15,497,643,77.3
5,Drake (MVC),31,9-22,370,482,76.8
6,The Citadel (SoCon),30,11-19,419,546,76.7
7,Lafayette (Patriot),33,20-13,421,549,76.7
8,BYU (WCC),35,25-10,679,886,76.6
9,Denver (Summit League),30,12-18,327,427,76.6
10,CSUN (Big West),33,9-24,558,729,76.5
11,Wisconsin (Big Ten),40,36-4,584,765,76.3
12,Oregon (Pac-12),36,26-10,466,612,76.1
13,Albany (NY) (America East),33,24-9,493,650,75.8
14,Maryland (Big Ten),35,28-7,597,790,75.6
15,Michigan (Big Ten),32,16-16,353,468,75.4
16,Northern Ariz. (Big Sky),38,23-15,595,793,75
17,Bryant (NEC),31,16-15,414,552,75
18,Cornell (Ivy League),30,13-17,457,610,74.9
19,Northwestern St. (Southland),32,19-13,531,709,74.9
20,Evansville (MVC),36,24-12,601,803,74.8
21,Weber St. (Big Sky),30,13-17,511,683,74.8
22,Miami (FL) (ACC),38,25-13,544,729,74.6
23,Drexel (CAA),30,11-19,383,514,74.5
24,Iowa (Big Ten),34,22-12,538,723,74.4
25,Portland St. (Big Sky),29,15-14,444,598,74.2
26,Toledo (MAC),33,20-13,562,757,74.2
27,Notre Dame (ACC),38,32-6,561,756,74.2
28,Pepperdine (WCC),32,18-14,467,630,74.1
29,Oklahoma (Big 12),35,24-11,495,668,74.1
30,Rice (C-USA),32,12-20,405,548,73.9
31,UAB (C-USA),36,20-16,528,715,73.8
32,South Carolina (SEC),33,17-16,496,673,73.7
33,UIC (Horizon),34,10-24,549,745,73.7
34,Milwaukee (Horizon),30,14-16,434,589,73.7
35,Santa Clara (WCC),32,14-18,383,520,73.7
36,Sacramento St. (Big Sky),33,21-12,452,614,73.6
37,UC Santa Barbara (Big West),33,19-14,421,572,73.6
38,SFA (Southland),34,29-5,588,799,73.6
39,High Point (Big South),33,23-10,477,649,73.5
40,Ohio (MAC),30,10-20,357,486,73.5
41,William & Mary (CAA),33,20-13,453,617,73.4
42,UC Davis (Big West),32,25-7,439,598,73.4
43,UNI (MVC),35,31-4,472,644,73.3
44,Kennesaw St. (ASUN),32,10-22,379,518,73.2
45,Northwestern (Big Ten),32,15-17,349,477,73.2
46,Missouri St. (MVC),31,11-20,384,525,73.1
47,Villanova (Big East),36,33-3,596,815,73.1
48,South Dakota (Summit League),33,17-16,475,650,73.1
49,Xavier (Big East),37,23-14,566,775,73
50,Boise St. (Mountain West),34,25-9,431,591,72.9
51,Northeastern (CAA),35,23-12,518,713,72.7
52,Kentucky (SEC),39,38-1,685,943,72.6
53,Virginia (ACC),34,30-4,446,614,72.6
54,Fordham (Atlantic 10),31,10-21,406,559,72.6
55,Maine (America East),30,3-27,321,442,72.6
56,Eastern Wash. (Big Sky),35,26-9,522,719,72.6
57,Stanford (Pac-12),37,24-13,614,846,72.6
58,Oklahoma St. (Big 12),32,18-14,468,645,72.6
59,Central Mich. (MAC),32,23-9,486,670,72.5
60,UNC Asheville (Big South),31,15-16,449,619,72.5
61,Creighton (Big East),33,14-19,467,644,72.5
62,Lehigh (Patriot),30,16-14,430,593,72.5
63,Houston Baptist (Southland),28,12-16,443,611,72.5
64,Georgia St. (Sun Belt),35,25-10,521,719,72.5
65,Kansas (Big 12),36,27-9,610,842,72.4
66,Winthrop (Big South),32,19-13,481,664,72.4
67,Texas (Big 12),34,20-14,486,671,72.4
68,Arkansas (SEC),36,27-9,593,819,72.4
69,CSU Bakersfield (WAC),33,14-19,484,669,72.3
70,North Florida (ASUN),35,23-12,540,747,72.3
71,Monmouth (MAAC),33,18-15,503,697,72.2
72,ETSU (SoCon),30,16-14,477,661,72.2
73,DePaul (Big East),32,12-20,458,635,72.1
74,Longwood (Big South),34,11-23,418,580,72.1
75,Washington St. (Pac-12),31,13-18,489,679,72
76,Montana St. (Big Sky),30,7-23,347,482,72
77,Canisius (MAAC),33,18-15,429,596,72
78,Harvard (Ivy League),30,22-8,438,609,71.9
79,Buffalo (MAC),33,23-10,589,819,71.9
80,Oral Roberts (Summit League),34,19-15,576,801,71.9
81,Indiana (Big Ten),34,20-14,468,651,71.9
82,Arizona (Pac-12),38,34-4,700,974,71.9
83,Eastern Mich. (MAC),35,21-14,587,817,71.8
84,Montana (Big Sky),33,20-13,417,581,71.8
85,Bethune-Cookman (MEAC),32,11-21,482,672,71.7
86,Portland (WCC),33,17-16,479,668,71.7
87,Alabama (SEC),34,19-15,539,752,71.7
88,Morehead St. (OVC),34,17-17,490,684,71.6
89,Columbia (Ivy League),28,13-15,298,416,71.6
90,Fairfield (MAAC),31,7-24,419,585,71.6
91,Jacksonville St. (OVC),31,12-19,466,651,71.6
92,Saint Mary's (CA) (WCC),31,21-10,412,576,71.5
93,Holy Cross (Patriot),30,14-16,406,568,71.5
94,Northern Colo. (Big Sky),30,15-15,430,602,71.4
94,Bowling Green (MAC),33,21-12,420,588,71.4
96,Illinois St. (MVC),35,22-13,481,674,71.4
97,ULM (Sun Belt),38,24-14,416,583,71.4
98,Colorado (Pac-12),34,16-18,542,760,71.3
99,South Dakota St. (Summit League),35,24-11,556,780,71.3
100,Princeton (Ivy League),30,16-14,468,658,71.1
101,Yale (Ivy League),32,22-10,464,653,71.1
102,LMU (CA) (WCC),31,8-23,412,580,71
103,Central Conn. St. (NEC),31,5-26,340,479,71
104,Siena (MAAC),31,11-20,516,727,71
105,Miami (OH) (MAC),32,13-19,456,643,70.9
106,Robert Morris (NEC),35,20-15,485,684,70.9
107,Idaho (Big Sky),30,13-17,455,642,70.9
108,App State (Sun Belt),29,12-17,381,538,70.8
109,Vanderbilt (SEC),35,21-14,541,764,70.8
110,UT Martin (OVC),34,21-13,412,582,70.8
111,Nebraska (Big Ten),31,13-18,416,588,70.7
112,Providence (Big East),34,22-12,543,768,70.7
113,Delaware St. (MEAC),36,18-18,475,672,70.7
114,UConn (AAC),35,20-15,417,590,70.7
115,Louisiana (Sun Belt),36,22-14,599,848,70.6
116,Sam Houston (Southland),35,26-9,634,898,70.6
117,St. Bonaventure (Atlantic 10),31,18-13,461,653,70.6
118,Boston College (ACC),32,13-19,412,584,70.5
119,American (Patriot),33,17-16,359,509,70.5
120,Davidson (Atlantic 10),32,24-8,390,553,70.5
121,James Madison (CAA),33,19-14,493,700,70.4
122,Little Rock (Sun Belt),31,13-18,445,632,70.4
123,Massachusetts (Atlantic 10),32,17-15,532,756,70.4
124,Georgetown (Big East),33,22-11,541,769,70.4
125,Liberty (Big South),32,8-24,457,650,70.3
126,South Alabama (Sun Belt),33,12-21,537,764,70.3
127,Western Mich. (MAC),34,20-14,527,750,70.3
128,Utah (Pac-12),35,26-9,534,760,70.3
129,SMU (AAC),34,27-7,541,770,70.3
130,Wyoming (Mountain West),35,25-10,448,638,70.2
131,Arkansas St. (Sun Belt),29,11-18,372,530,70.2
132,Indiana St. (MVC),31,15-16,473,674,70.2
133,Southern Ill. (MVC),33,12-21,468,667,70.2
134,North Carolina (ACC),38,26-12,571,814,70.1
135,IUPUI (Summit League),31,10-21,373,532,70.1
136,Wichita St. (MVC),35,30-5,501,715,70.1
137,Iona (MAAC),35,26-9,538,768,70.1
138,Western Caro. (SoCon),32,15-17,456,651,70
139,Hofstra (CAA),34,20-14,561,801,70
140,Middle Tenn. (C-USA),36,19-17,497,710,70
141,Marist (MAAC),32,7-25,433,619,70
142,Temple (AAC),37,26-11,535,765,69.9
143,Howard (MEAC),32,16-16,493,705,69.9
144,UTSA (C-USA),30,14-16,495,708,69.9
145,Duke (ACC),39,35-4,610,873,69.9
146,Hartford (America East),30,14-16,333,477,69.8
147,Western Ill. (Summit League),28,8-20,323,463,69.8
148,Colgate (Patriot),33,16-17,316,453,69.8
149,Bucknell (Patriot),34,19-15,506,726,69.7
150,Murray St. (OVC),35,29-6,579,831,69.7
151,Wagner (NEC),30,10-20,429,616,69.6
152,Iowa St. (Big 12),34,25-9,502,721,69.6
153,Mississippi St. (SEC),32,13-19,506,727,69.6
154,Boston U. (Patriot),30,13-17,469,674,69.6
155,Nevada (Mountain West),31,9-22,489,703,69.6
156,NJIT (Independent),33,21-12,473,680,69.6
157,Wright St. (Horizon),31,11-20,365,525,69.5
158,Penn St. (Big Ten),34,18-16,456,656,69.5
159,Lipscomb (ASUN),31,14-17,497,715,69.5
160,Niagara (MAAC),30,8-22,460,662,69.5
161,Utah Valley (WAC),30,11-19,357,514,69.5
162,Youngstown St. (Horizon),32,11-21,465,670,69.4
163,New Mexico St. (WAC),34,23-11,535,771,69.4
164,La Salle (Atlantic 10),33,17-16,444,640,69.4
165,Ball St. (MAC),30,7-23,389,561,69.3
166,Kansas City (WAC),33,14-19,502,724,69.3
167,Fairleigh Dickinson (NEC),29,8-21,386,557,69.3
168,Oregon St. (Pac-12),31,17-14,397,573,69.3
169,Georgia (SEC),33,21-12,572,826,69.2
170,Vermont (America East),34,20-14,495,715,69.2
170,Belmont (OVC),33,22-11,405,585,69.2
172,North Dakota St. (Summit League),33,23-10,425,614,69.2
173,Coppin St. (MEAC),31,8-23,408,590,69.2
174,Tennessee (SEC),32,16-16,381,551,69.1
175,St. John's (NY) (Big East),33,21-12,475,687,69.1
176,Manhattan (MAAC),33,19-14,573,829,69.1
177,Gonzaga (WCC),38,35-3,557,806,69.1
178,Radford (Big South),34,22-12,480,695,69.1
179,Fresno St. (Mountain West),32,15-17,457,662,69
180,Richmond (Atlantic 10),35,21-14,414,600,69
181,Texas St. (Sun Belt),31,14-17,418,606,69
182,Coastal Carolina (Big South),34,24-10,538,780,69
183,New Orleans (Southland),29,11-18,531,770,69
184,Brown (Ivy League),31,13-18,501,727,68.9
185,Louisiana Tech (C-USA),36,27-9,494,717,68.9
186,LIU (NEC),30,12-18,473,687,68.9
187,Mercer (SoCon),35,19-16,506,736,68.8
187,Wofford (SoCon),35,28-7,473,688,68.8
187,Loyola Chicago (MVC),37,24-13,418,608,68.8
190,Charleston So. (Big South),31,19-12,435,633,68.7
191,Cal St. Fullerton (Big West),31,9-22,428,623,68.7
192,A&M-Corpus Christi (Southland),34,20-14,605,881,68.7
193,San Diego (WCC),31,15-16,434,632,68.7
194,NC State (ACC),36,22-14,499,727,68.6
195,Hawaii (Big West),35,22-13,523,762,68.6
196,Oakland (Horizon),33,16-17,477,695,68.6
197,Delaware (CAA),30,10-20,430,627,68.6
198,Butler (Big East),34,23-11,526,767,68.6
199,Cleveland St. (Horizon),34,19-15,395,576,68.6
200,Dayton (Atlantic 10),36,27-9,580,846,68.6
201,Purdue Fort Wayne (Summit League),31,16-15,442,645,68.5
202,N.C. Central (MEAC),33,25-8,433,632,68.5
203,Chattanooga (SoCon),32,22-10,522,762,68.5
204,Pittsburgh (ACC),34,19-15,445,650,68.5
205,UC Irvine (Big West),34,21-13,370,541,68.4
206,LSU (SEC),33,22-11,450,658,68.4
207,Samford (SoCon),32,13-19,452,661,68.4
208,Cal Poly (Big West),29,13-16,346,506,68.4
209,VMI (SoCon),30,11-19,415,607,68.4
210,Elon (CAA),33,15-18,475,695,68.3
211,Long Beach St. (Big West),33,16-17,436,638,68.3
212,Detroit Mercy (Horizon),33,15-18,423,619,68.3
213,Purdue (Big Ten),34,21-13,524,767,68.3
214,Washington (Pac-12),31,16-15,405,593,68.3
215,UC Riverside (Big West),31,14-17,404,592,68.2
216,Clemson (ACC),31,16-15,395,579,68.2
217,Mount St. Mary's (NEC),30,15-15,341,500,68.2
218,N.C. A&T (MEAC),32,9-23,431,632,68.2
219,Lamar University (Southland),30,15-15,477,701,68
220,Army West Point (Patriot),30,15-15,379,557,68
221,East Carolina (AAC),33,14-19,383,563,68
222,Northern Ill. (MAC),30,14-16,500,735,68
223,Houston (AAC),32,13-19,391,575,68
224,Ark.-Pine Bluff (SWAC),32,12-20,397,584,68
225,Ohio St. (Big Ten),35,24-11,471,693,68
226,St. Francis Brooklyn (NEC),35,23-12,549,809,67.9
227,North Dakota (Big Sky),30,8-22,426,628,67.8
228,Tennessee Tech (OVC),30,12-18,413,609,67.8
229,Central Ark. (Southland),29,2-27,406,599,67.8
230,UTRGV (WAC),31,10-21,441,652,67.6
231,Kansas St. (Big 12),32,15-17,495,732,67.6
232,Penn (Ivy League),28,9-19,334,494,67.6
233,UCLA (Pac-12),36,22-14,507,750,67.6
234,SIUE (OVC),28,12-16,391,579,67.5
235,UNCW (CAA),32,18-14,457,677,67.5
236,New Hampshire (America East),32,19-13,423,627,67.5
237,Valparaiso (Horizon),34,28-6,456,676,67.5
238,Colorado St. (Mountain West),34,27-7,535,794,67.4
239,George Washington (Atlantic 10),35,22-13,508,754,67.4
240,Baylor (Big 12),34,24-10,487,723,67.4
241,Fla. Atlantic (C-USA),29,9-20,301,447,67.3
242,UT Arlington (Sun Belt),31,16-15,457,679,67.3
243,Minnesota (Big Ten),33,18-15,426,634,67.2
244,Saint Francis (PA) (NEC),32,16-16,387,576,67.2
245,Utah St. (Mountain West),31,18-13,389,579,67.2
246,Loyola Maryland (Patriot),30,11-19,402,599,67.1
247,Navy (Patriot),32,13-19,344,513,67.1
