Rank,Team,GM,W-L,FGM,FGA,FG%
1,Gonzaga (WCC),38,35-3,"1,084","2,083",52
2,Notre Dame (ACC),38,32-6,"1,050","2,061",50.9
3,Duke (ACC),39,35-4,"1,099","2,191",50.2
4,UC Davis (Big West),32,25-7,775,"1,583",49
5,Arizona (Pac-12),38,34-4,"1,009","2,068",48.8
6,N.C. Central (MEAC),33,25-8,813,"1,668",48.7
7,SFA (Southland),34,29-5,911,"1,870",48.7
8,Sacramento St. (Big Sky),33,21-12,841,"1,729",48.6
9,Northeastern (CAA),35,23-12,838,"1,725",48.6
10,Evansville (MVC),36,24-12,899,"1,854",48.5
11,Lafayette (Patriot),33,20-13,872,"1,799",48.5
12,Colgate (Patriot),33,16-17,804,"1,661",48.4
13,Ohio St. (Big Ten),35,24-11,964,"1,995",48.3
14,William & Mary (CAA),33,20-13,834,"1,726",48.3
15,Utah (Pac-12),35,26-9,849,"1,760",48.2
16,Murray St. (OVC),35,29-6,961,"1,995",48.2
17,Georgia St. (Sun Belt),35,25-10,902,"1,878",48
18,Denver (Summit League),30,12-18,657,"1,369",48
19,UNI (MVC),35,31-4,776,"1,618",48
20,Wisconsin (Big Ten),40,36-4,"1,014","2,115",47.9
21,Eastern Wash. (Big Sky),35,26-9,977,"2,045",47.8
22,Iowa St. (Big 12),34,25-9,940,"1,973",47.6
23,North Carolina (ACC),38,26-12,"1,099","2,309",47.6
24,Belmont (OVC),33,22-11,858,"1,803",47.6
25,Northern Colo. (Big Sky),30,15-15,804,"1,691",47.5
26,SMU (AAC),34,27-7,832,"1,750",47.5
27,Xavier (Big East),37,23-14,956,"2,011",47.5
28,High Point (Big South),33,23-10,862,"1,816",47.5
29,Air Force (Mountain West),31,14-17,742,"1,565",47.4
30,Loyola Chicago (MVC),37,24-13,841,"1,776",47.4
31,Vanderbilt (SEC),35,21-14,838,"1,775",47.2
32,Norfolk St. (MEAC),34,20-14,850,"1,801",47.2
33,Vermont (America East),34,20-14,801,"1,701",47.1
34,Purdue Fort Wayne (Summit League),31,16-15,754,"1,603",47
35,Toledo (MAC),33,20-13,863,"1,837",47
36,North Florida (ASUN),35,23-12,897,"1,910",47
37,Villanova (Big East),36,33-3,916,"1,951",47
38,Kentucky (SEC),39,38-1,"1,006","2,150",46.8
39,BYU (WCC),35,25-10,976,"2,090",46.7
40,Central Mich. (MAC),32,23-9,848,"1,816",46.7
41,Davidson (Atlantic 10),32,24-8,898,"1,924",46.7
42,Idaho (Big Sky),30,13-17,805,"1,726",46.6
43,UTEP (C-USA),33,22-11,800,"1,717",46.6
44,UT Martin (OVC),34,21-13,855,"1,838",46.5
