Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,Quinnipiac (MAAC),30,15-15,"1,361",45.4,989,33,12.4
2,Arizona (Pac-12),38,34-4,"1,399",36.8,"1,065",28,8.8
3,Towson (CAA),32,12-20,"1,256",39.3,979,30.6,8.7
4,Texas (Big 12),34,20-14,"1,351",39.7,"1,063",31.3,8.5
5,Stony Brook (America East),35,23-12,"1,395",39.9,"1,105",31.6,8.3
6,Baylor (Big 12),34,24-10,"1,333",39.2,"1,052",30.9,8.3
7,Coastal Carolina (Big South),34,24-10,"1,336",39.3,"1,063",31.3,8
8,Virginia (ACC),34,30-4,"1,232",36.2,969,28.5,7.7
9,North Carolina (ACC),38,26-12,"1,541",40.6,"1,250",32.9,7.7
10,Gonzaga (WCC),38,35-3,"1,440",37.9,"1,157",30.4,7.4
11,Sam Houston (Southland),35,26-9,"1,409",40.3,"1,153",32.9,7.3
12,Georgia Tech (ACC),31,12-19,"1,187",38.3,962,31,7.3
13,Valparaiso (Horizon),34,28-6,"1,276",37.5,"1,040",30.6,6.9
14,Saint Mary's (CA) (WCC),31,21-10,"1,115",36,902,29.1,6.9
15,Kentucky (SEC),39,38-1,"1,482",38,"1,215",31.2,6.8
16,St. Francis Brooklyn (NEC),35,23-12,"1,361",38.9,"1,126",32.2,6.7
17,SMU (AAC),34,27-7,"1,244",36.6,"1,016",29.9,6.7
18,Louisiana (Sun Belt),36,22-14,"1,421",39.5,"1,191",33.1,6.4
19,New Mexico St. (WAC),34,23-11,"1,199",35.3,983,28.9,6.4
20,Houston Baptist (Southland),28,12-16,"1,061",37.9,884,31.6,6.3
21,Colorado St. (Mountain West),34,27-7,"1,287",37.9,"1,083",31.9,6
22,Nevada (Mountain West),31,9-22,"1,221",39.4,"1,039",33.5,5.9
23,Wisconsin (Big Ten),40,36-4,"1,338",33.5,"1,106",27.7,5.8
24,Yale (Ivy League),32,22-10,"1,139",35.6,956,29.9,5.7
