Rank,Team,W,L,Pct
1,Kentucky (SEC),38,1,97.4
2,Gonzaga (WCC),35,3,92.1
3,Villanova (Big East),33,3,91.7
4,Wisconsin (Big Ten),36,4,90
5,Duke (ACC),35,4,89.7
6,Arizona (Pac-12),34,4,89.5
7,UNI (MVC),31,4,88.6
8,Virginia (ACC),30,4,88.2
9,Wichita St. (MVC),30,5,85.7
10,SFA (Southland),29,5,85.3
11,Notre Dame (ACC),32,6,84.2
12,Murray St. (OVC),29,6,82.9
13,Valparaiso (Horizon),28,6,82.4
14,Wofford (SoCon),28,7,80
14,Maryland (Big Ten),28,7,80
16,SMU (AAC),27,7,79.4
16,Colorado St. (Mountain West),27,7,79.4
18,UC Davis (Big West),25,7,78.1
19,Old Dominion (C-USA),27,8,77.1
20,N.C. Central (MEAC),25,8,75.8
21,Dayton (Atlantic 10),27,9,75
21,San Diego St. (Mountain West),27,9,75
21,Louisiana Tech (C-USA),27,9,75
21,Louisville (ACC),27,9,75
21,Arkansas (SEC),27,9,75
21,Kansas (Big 12),27,9,75
21,Davidson (Atlantic 10),24,8,75
28,Eastern Wash. (Big Sky),26,9,74.3
28,Utah (Pac-12),26,9,74.3
28,Sam Houston (Southland),26,9,74.3
28,Iona (MAAC),26,9,74.3
32,Boise St. (Mountain West),25,9,73.5
32,Iowa St. (Big 12),25,9,73.5
34,Harvard (Ivy League),22,8,73.3
35,Albany (NY) (America East),24,9,72.7
35,Green Bay (Horizon),24,9,72.7
37,VCU (Atlantic 10),26,10,72.2
37,Oregon (Pac-12),26,10,72.2
39,Central Mich. (MAC),23,9,71.9
40,Wyoming (Mountain West),25,10,71.4
40,West Virginia (Big 12),25,10,71.4
40,BYU (WCC),25,10,71.4
40,Georgia St. (Sun Belt),25,10,71.4
44,Ga. Southern (Sun Belt),22,9,71
45,Baylor (Big 12),24,10,70.6
45,Coastal Carolina (Big South),24,10,70.6
47,Temple (AAC),26,11,70.3
48,Buffalo (MAC),23,10,69.7
48,North Dakota St. (Summit League),23,10,69.7
48,High Point (Big South),23,10,69.7
48,Rhode Island (Atlantic 10),23,10,69.7
52,Michigan St. (Big Ten),27,12,69.2
53,Chattanooga (SoCon),22,10,68.8
53,Yale (Ivy League),22,10,68.8
55,South Dakota St. (Summit League),24,11,68.6
55,Ohio St. (Big Ten),24,11,68.6
55,Oklahoma (Big 12),24,11,68.6
58,North Carolina (ACC),26,12,68.4
59,Saint Mary's (CA) (WCC),21,10,67.7
60,Cincinnati (AAC),23,11,67.6
60,Tulsa (AAC),23,11,67.6
