Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Kentucky (SEC),39,38-1,750,"2,116",35.4
2,N.C. Central (MEAC),33,25-8,594,"1,649",36
3,Virginia (ACC),34,30-4,622,"1,697",36.7
4,Texas (Big 12),34,20-14,702,"1,910",36.8
5,SMU (AAC),34,27-7,691,"1,815",38.1
6,Valparaiso (Horizon),34,28-6,689,"1,802",38.2
7,San Diego St. (Mountain West),36,27-9,716,"1,864",38.4
8,Utah (Pac-12),35,26-9,704,"1,832",38.4
9,Oregon St. (Pac-12),31,17-14,576,"1,494",38.6
10,Eastern Mich. (MAC),35,21-14,737,"1,911",38.6
11,Oklahoma (Big 12),35,24-11,794,"2,057",38.6
12,Vermont (America East),34,20-14,679,"1,757",38.6
13,South Carolina (SEC),33,17-16,658,"1,699",38.7
14,ULM (Sun Belt),38,24-14,820,"2,116",38.8
15,Cincinnati (AAC),34,23-11,700,"1,804",38.8
16,Georgia St. (Sun Belt),35,25-10,709,"1,826",38.8
17,Howard (MEAC),32,16-16,659,"1,697",38.8
18,Cornell (Ivy League),30,13-17,605,"1,556",38.9
19,Georgia (SEC),33,21-12,733,"1,883",38.9
20,Sam Houston (Southland),35,26-9,724,"1,859",38.9
21,Southern U. (SWAC),35,18-17,744,"1,910",39
22,Gonzaga (WCC),38,35-3,841,"2,154",39
23,Louisville (ACC),36,27-9,767,"1,958",39.2
24,Ga. Southern (Sun Belt),31,22-9,660,"1,680",39.3
25,USC Upstate (ASUN),36,24-12,783,"1,992",39.3
26,Tulsa (AAC),34,23-11,722,"1,835",39.3
27,UC Irvine (Big West),34,21-13,739,"1,878",39.4
28,Temple (AAC),37,26-11,803,"2,040",39.4
29,UNI (MVC),35,31-4,684,"1,733",39.5
30,Maryland (Big Ten),35,28-7,800,"2,026",39.5
31,UNLV (Mountain West),33,18-15,771,"1,952",39.5
32,FGCU (ASUN),33,22-11,739,"1,870",39.5
33,Saint Peter's (MAAC),34,16-18,654,"1,654",39.5
34,UConn (AAC),35,20-15,738,"1,865",39.6
35,Kansas (Big 12),36,27-9,825,"2,084",39.6
36,Michigan St. (Big Ten),39,27-12,833,"2,104",39.6
37,Stony Brook (America East),35,23-12,736,"1,858",39.6
38,Iowa (Big Ten),34,22-12,754,"1,903",39.6
39,Coastal Carolina (Big South),34,24-10,724,"1,827",39.6
40,Memphis (AAC),32,18-14,694,"1,749",39.7
41,Seattle U (WAC),34,18-16,715,"1,801",39.7
42,Quinnipiac (MAAC),30,15-15,711,"1,787",39.8
43,Arizona (Pac-12),38,34-4,777,"1,951",39.8
44,North Carolina (ACC),38,26-12,889,"2,232",39.8
45,Penn St. (Big Ten),34,18-16,750,"1,879",39.9
46,Monmouth (MAAC),33,18-15,703,"1,758",40
47,TCU (Big 12),33,18-15,684,"1,708",40
48,Old Dominion (C-USA),35,27-8,672,"1,678",40
49,NJIT (Independent),33,21-12,722,"1,801",40.1
50,Purdue (Big Ten),34,21-13,749,"1,868",40.1
51,Lehigh (Patriot),30,16-14,696,"1,735",40.1
52,Wichita St. (MVC),35,30-5,691,"1,721",40.2
53,LSU (SEC),33,22-11,824,"2,052",40.2
54,New Mexico (Mountain West),31,15-16,643,"1,601",40.2
55,Rhode Island (Atlantic 10),33,23-10,678,"1,688",40.2
56,Clemson (ACC),31,16-15,687,"1,710",40.2
57,Texas A&M (SEC),33,21-12,703,"1,749",40.2
58,Baylor (Big 12),34,24-10,738,"1,836",40.2
59,Wyoming (Mountain West),35,25-10,715,"1,775",40.3
60,NC State (ACC),36,22-14,827,"2,052",40.3
61,New Hampshire (America East),32,19-13,672,"1,667",40.3
62,Ohio St. (Big Ten),35,24-11,790,"1,959",40.3
63,Oklahoma St. (Big 12),32,18-14,675,"1,673",40.3
64,Utah St. (Mountain West),31,18-13,719,"1,782",40.3
65,Nebraska (Big Ten),31,13-18,657,"1,627",40.4
66,Harvard (Ivy League),30,22-8,614,"1,520",40.4
67,George Washington (Atlantic 10),35,22-13,786,"1,945",40.4
68,Ole Miss (SEC),34,21-13,762,"1,885",40.4
69,Akron (MAC),35,21-14,750,"1,853",40.5
70,Syracuse (ACC),31,18-13,699,"1,724",40.5
71,Green Bay (Horizon),33,24-9,697,"1,719",40.5
72,Villanova (Big East),36,33-3,797,"1,964",40.6
73,Vanderbilt (SEC),35,21-14,789,"1,941",40.6
74,Georgetown (Big East),33,22-11,698,"1,716",40.7
75,St. John's (NY) (Big East),33,21-12,793,"1,948",40.7
76,UT Arlington (Sun Belt),31,16-15,727,"1,781",40.8
77,Florida (SEC),33,16-17,673,"1,648",40.8
78,Winthrop (Big South),32,19-13,742,"1,816",40.9
79,South Dakota St. (Summit League),35,24-11,782,"1,912",40.9
80,FIU (C-USA),33,16-17,743,"1,816",40.9
81,Kent St. (MAC),35,23-12,760,"1,857",40.9
82,Norfolk St. (MEAC),34,20-14,763,"1,863",41
83,Murray St. (OVC),35,29-6,811,"1,980",41
84,Canisius (MAAC),33,18-15,698,"1,704",41
85,Alabama (SEC),34,19-15,735,"1,790",41.1
86,La Salle (Atlantic 10),33,17-16,732,"1,781",41.1
87,Texas St. (Sun Belt),31,14-17,642,"1,561",41.1
88,CSU Bakersfield (WAC),33,14-19,647,"1,572",41.2
89,UC Santa Barbara (Big West),33,19-14,713,"1,729",41.2
90,Rider (MAAC),33,21-12,706,"1,712",41.2
91,Mercer (SoCon),35,19-16,771,"1,869",41.3
92,Bowling Green (MAC),33,21-12,728,"1,764",41.3
93,Pepperdine (WCC),32,18-14,719,"1,742",41.3
94,Hawaii (Big West),35,22-13,790,"1,913",41.3
95,Towson (CAA),32,12-20,689,"1,668",41.3
96,Hampton (MEAC),35,17-18,795,"1,924",41.3
97,Nevada (Mountain West),31,9-22,707,"1,711",41.3
98,Illinois St. (MVC),35,22-13,744,"1,795",41.4
99,Butler (Big East),34,23-11,740,"1,785",41.5
100,UC Davis (Big West),32,25-7,730,"1,760",41.5
101,UTEP (C-USA),33,22-11,760,"1,832",41.5
102,Yale (Ivy League),32,22-10,698,"1,679",41.6
103,Richmond (Atlantic 10),35,21-14,768,"1,846",41.6
104,Northwestern (Big Ten),32,15-17,724,"1,740",41.6
105,Iowa St. (Big 12),34,25-9,866,"2,081",41.6
106,Boise St. (Mountain West),34,25-9,730,"1,754",41.6
107,Mississippi St. (SEC),32,13-19,713,"1,713",41.6
108,UCLA (Pac-12),36,22-14,855,"2,054",41.6
109,Eastern Ill. (OVC),33,18-15,757,"1,818",41.6
110,Alabama St. (SWAC),29,19-10,691,"1,658",41.7
111,Wofford (SoCon),35,28-7,737,"1,763",41.8
112,Dayton (Atlantic 10),36,27-9,795,"1,901",41.8
113,Liberty (Big South),32,8-24,745,"1,780",41.9
114,Cleveland St. (Horizon),34,19-15,698,"1,667",41.9
115,A&M-Corpus Christi (Southland),34,20-14,725,"1,731",41.9
116,Florida St. (ACC),33,17-16,766,"1,825",42
117,North Texas (C-USA),31,14-17,727,"1,729",42
118,Albany (NY) (America East),33,24-9,697,"1,657",42.1
119,Miami (FL) (ACC),38,25-13,888,"2,111",42.1
120,Illinois (Big Ten),33,19-14,751,"1,784",42.1
121,Western Ky. (C-USA),32,20-12,765,"1,817",42.1
122,North Dakota St. (Summit League),33,23-10,727,"1,726",42.1
123,Louisiana Tech (C-USA),36,27-9,861,"2,044",42.1
124,Washington (Pac-12),31,16-15,765,"1,816",42.1
125,Providence (Big East),34,22-12,760,"1,804",42.1
126,St. Bonaventure (Atlantic 10),31,18-13,707,"1,677",42.2
127,Southern California (Pac-12),32,12-20,811,"1,923",42.2
128,Duke (ACC),39,35-4,962,"2,281",42.2
129,Colorado St. (Mountain West),34,27-7,773,"1,832",42.2
130,Brown (Ivy League),31,13-18,758,"1,795",42.2
131,Oregon (Pac-12),36,26-10,902,"2,136",42.2
132,South Fla. (AAC),32,9-23,736,"1,742",42.3
133,Buffalo (MAC),33,23-10,795,"1,881",42.3
134,Jackson St. (SWAC),32,11-21,639,"1,511",42.3
