Rank,Team,GM,W-L,AST,TO,Ratio
1,Davidson (Atlantic 10),32,24-8,547,303,1.81
2,Wisconsin (Big Ten),40,36-4,504,296,1.70
3,Pittsburgh (ACC),34,19-15,561,336,1.67
4,Notre Dame (ACC),38,32-6,576,357,1.61
5,Gonzaga (WCC),38,35-3,620,397,1.56
6,Villanova (Big East),36,33-3,570,382,1.49
7,Michigan St. (Big Ten),39,27-12,646,441,1.46
8,Iowa St. (Big 12),34,25-9,546,375,1.46
9,Wichita St. (MVC),35,30-5,476,327,1.46
10,BYU (WCC),35,25-10,594,417,1.42
11,Lafayette (Patriot),33,20-13,514,366,1.40
12,UC Santa Barbara (Big West),33,19-14,503,360,1.40
13,Duke (ACC),39,35-4,588,421,1.40
14,Hofstra (CAA),34,20-14,525,379,1.39
15,Colorado St. (Mountain West),34,27-7,499,361,1.38
16,Central Mich. (MAC),32,23-9,448,325,1.38
17,Utah St. (Mountain West),31,18-13,445,323,1.38
18,North Carolina (ACC),38,26-12,661,481,1.37
19,USC Upstate (ASUN),36,24-12,534,390,1.37
20,Virginia (ACC),34,30-4,430,316,1.36
21,Richmond (Atlantic 10),35,21-14,469,346,1.36
22,Kentucky (SEC),39,38-1,553,408,1.36
23,Denver (Summit League),30,12-18,457,338,1.35
24,Ohio St. (Big Ten),35,24-11,534,396,1.35
25,Arkansas (SEC),36,27-9,579,430,1.35
26,Iona (MAAC),35,26-9,573,427,1.34
27,Xavier (Big East),37,23-14,596,447,1.33
28,Eastern Ky. (OVC),33,21-12,495,374,1.32
29,Murray St. (OVC),35,29-6,543,411,1.32
30,Air Force (Mountain West),31,14-17,483,366,1.32
31,Gardner-Webb (Big South),35,20-15,565,430,1.31
32,Sacramento St. (Big Sky),33,21-12,466,355,1.31
33,Georgia St. (Sun Belt),35,25-10,479,366,1.31
34,Northwestern St. (Southland),32,19-13,509,392,1.30
35,Temple (AAC),37,26-11,457,352,1.30
36,Minnesota (Big Ten),33,18-15,519,400,1.30
37,High Point (Big South),33,23-10,487,376,1.30
38,Louisiana Tech (C-USA),36,27-9,504,390,1.29
39,Northwestern (Big Ten),32,15-17,460,357,1.29
40,William & Mary (CAA),33,20-13,487,379,1.28
41,Iowa (Big Ten),34,22-12,482,377,1.28
42,Wyoming (Mountain West),35,25-10,501,392,1.28
43,Syracuse (ACC),31,18-13,469,369,1.27
44,Miami (FL) (ACC),38,25-13,488,385,1.27
45,Arizona (Pac-12),38,34-4,528,419,1.26
46,Evansville (MVC),36,24-12,574,456,1.26
47,Old Dominion (C-USA),35,27-8,472,377,1.25
48,SFA (Southland),34,29-5,596,477,1.25
49,Michigan (Big Ten),32,16-16,382,306,1.25
50,Oakland (Horizon),33,16-17,517,416,1.24
51,Saint Mary's (CA) (WCC),31,21-10,466,375,1.24
52,Mercer (SoCon),35,19-16,468,377,1.24
53,Washington St. (Pac-12),31,13-18,453,367,1.23
54,SMU (AAC),34,27-7,524,426,1.23
55,McNeese (Southland),31,15-16,409,333,1.23
56,Duquesne (Atlantic 10),31,12-19,466,381,1.22
57,Purdue Fort Wayne (Summit League),31,16-15,444,365,1.22
58,Wofford (SoCon),35,28-7,461,379,1.22
59,UC Irvine (Big West),34,21-13,480,396,1.21
60,FGCU (ASUN),33,22-11,467,386,1.21
61,Portland (WCC),33,17-16,486,402,1.21
62,Eastern Wash. (Big Sky),35,26-9,454,376,1.21
63,Oregon (Pac-12),36,26-10,508,421,1.21
64,Indiana (Big Ten),34,20-14,473,392,1.21
65,UNLV (Mountain West),33,18-15,453,376,1.20
66,Youngstown St. (Horizon),32,11-21,450,374,1.20
67,Utah (Pac-12),35,26-9,489,407,1.20
68,Vanderbilt (SEC),35,21-14,541,452,1.20
69,Montana (Big Sky),33,20-13,466,391,1.19
69,Green Bay (Horizon),33,24-9,466,391,1.19
71,Marquette (Big East),32,13-19,479,402,1.19
72,Ole Miss (SEC),34,21-13,450,378,1.19
73,VCU (Atlantic 10),36,26-10,456,384,1.19
74,Illinois (Big Ten),33,19-14,389,328,1.19
75,Canisius (MAAC),33,18-15,465,393,1.18
76,Bucknell (Patriot),34,19-15,446,377,1.18
77,Texas A&M (SEC),33,21-12,485,410,1.18
78,Northern Colo. (Big Sky),30,15-15,370,313,1.18
79,Dayton (Atlantic 10),36,27-9,490,415,1.18
80,San Francisco (WCC),32,14-18,443,376,1.18
81,Colgate (Patriot),33,16-17,446,379,1.18
82,Portland St. (Big Sky),29,15-14,381,324,1.18
83,Boise St. (Mountain West),34,25-9,409,348,1.18
84,East Carolina (AAC),33,14-19,443,379,1.17
85,Little Rock (Sun Belt),31,13-18,380,326,1.17
86,Providence (Big East),34,22-12,474,407,1.16
87,North Florida (ASUN),35,23-12,506,436,1.16
88,St. John's (NY) (Big East),33,21-12,408,352,1.16
89,UCLA (Pac-12),36,22-14,498,430,1.16
90,Cal Poly (Big West),29,13-16,295,255,1.16
91,Creighton (Big East),33,14-19,449,391,1.15
92,Buffalo (MAC),33,23-10,433,378,1.15
93,Baylor (Big 12),34,24-10,497,434,1.15
94,Washington (Pac-12),31,16-15,412,361,1.14
95,UNI (MVC),35,31-4,413,363,1.14
96,Purdue (Big Ten),34,21-13,505,444,1.14
97,Sam Houston (Southland),35,26-9,516,455,1.13
98,ULM (Sun Belt),38,24-14,497,439,1.13
99,California (Pac-12),33,18-15,411,365,1.13
100,Idaho (Big Sky),30,13-17,405,360,1.13
101,Charleston So. (Big South),31,19-12,397,354,1.12
102,UT Martin (OVC),34,21-13,441,394,1.12
103,Santa Clara (WCC),32,14-18,379,339,1.12
104,Belmont (OVC),33,22-11,504,451,1.12
105,N.C. Central (MEAC),33,25-8,461,414,1.11
106,UTEP (C-USA),33,22-11,452,406,1.11
107,Cleveland St. (Horizon),34,19-15,454,408,1.11
108,NC State (ACC),36,22-14,415,375,1.11
109,Western Ky. (C-USA),32,20-12,456,413,1.10
110,Army West Point (Patriot),30,15-15,437,396,1.10
111,Radford (Big South),34,22-12,450,408,1.10
112,American (Patriot),33,17-16,408,370,1.10
113,UIC (Horizon),34,10-24,413,375,1.10
114,TCU (Big 12),33,18-15,435,395,1.10
115,Harvard (Ivy League),30,22-8,384,349,1.10
116,Eastern Ill. (OVC),33,18-15,435,396,1.10
117,NJIT (Independent),33,21-12,492,450,1.09
118,Lehigh (Patriot),30,16-14,429,393,1.09
119,Wright St. (Horizon),31,11-20,407,373,1.09
120,West Virginia (Big 12),35,25-10,494,453,1.09
121,Stanford (Pac-12),37,24-13,435,399,1.09
122,LSU (SEC),33,22-11,516,476,1.08
123,Boston College (ACC),32,13-19,421,389,1.08
124,Navy (Patriot),32,13-19,423,391,1.08
125,Memphis (AAC),32,18-14,460,427,1.08
126,Yale (Ivy League),32,22-10,437,406,1.08
127,Pepperdine (WCC),32,18-14,425,395,1.08
128,South Dakota St. (Summit League),35,24-11,428,399,1.07
129,Morehead St. (OVC),34,17-17,495,462,1.07
130,UAB (C-USA),36,20-16,516,482,1.07
131,Sacred Heart (NEC),32,15-17,469,439,1.07
132,Princeton (Ivy League),30,16-14,391,366,1.07
133,Toledo (MAC),33,20-13,432,405,1.07
134,San Diego (WCC),31,15-16,388,365,1.06
135,Siena (MAAC),31,11-20,411,389,1.06
136,Florida (SEC),33,16-17,431,409,1.05
137,Wake Forest (ACC),32,13-19,451,428,1.05
138,Bowling Green (MAC),33,21-12,406,386,1.05
139,Valparaiso (Horizon),34,28-6,443,422,1.05
140,Loyola Chicago (MVC),37,24-13,489,466,1.05
141,Lipscomb (ASUN),31,14-17,432,412,1.05
142,Western Mich. (MAC),34,20-14,424,406,1.04
143,CSU Bakersfield (WAC),33,14-19,427,409,1.04
144,South Dakota (Summit League),33,17-16,388,372,1.04
145,Bryant (NEC),31,16-15,381,366,1.04
146,Campbell (Big South),32,10-22,419,403,1.04
147,Northern Ariz. (Big Sky),38,23-15,463,447,1.04
148,Northeastern (CAA),35,23-12,500,483,1.04
149,Akron (MAC),35,21-14,435,422,1.03
150,South Carolina (SEC),33,17-16,437,424,1.03
151,UConn (AAC),35,20-15,416,404,1.03
152,Butler (Big East),34,23-11,387,376,1.03
153,Georgetown (Big East),33,22-11,427,415,1.03
154,Louisville (ACC),36,27-9,419,408,1.03
155,Oklahoma (Big 12),35,24-11,430,419,1.03
156,Kansas (Big 12),36,27-9,475,463,1.03
157,Delaware (CAA),30,10-20,376,367,1.02
158,Virginia Tech (ACC),33,11-22,395,386,1.02
159,Oregon St. (Pac-12),31,17-14,373,365,1.02
160,Samford (SoCon),32,13-19,423,414,1.02
161,CSUN (Big West),33,9-24,443,435,1.02
162,Detroit Mercy (Horizon),33,15-18,444,436,1.02
163,Holy Cross (Patriot),30,14-16,334,328,1.02
164,Saint Joseph's (Atlantic 10),31,13-18,394,387,1.02
165,Texas (Big 12),34,20-14,442,435,1.02
166,Milwaukee (Horizon),30,14-16,388,382,1.02
167,New Mexico (Mountain West),31,15-16,398,392,1.02
168,Columbia (Ivy League),28,13-15,333,328,1.02
169,Drexel (CAA),30,11-19,317,313,1.01
170,Seattle U (WAC),34,18-16,471,466,1.01
171,Stetson (ASUN),31,9-22,388,384,1.01
172,Stony Brook (America East),35,23-12,420,416,1.01
173,Vermont (America East),34,20-14,446,442,1.01
174,Louisiana (Sun Belt),36,22-14,529,525,1.01
175,Utah Valley (WAC),30,11-19,387,385,1.01
176,The Citadel (SoCon),30,11-19,394,392,1.01
177,Charlotte (C-USA),32,14-18,437,435,1.00
178,ETSU (SoCon),30,16-14,382,381,1.00
179,Winthrop (Big South),32,19-13,388,387,1.00
180,Quinnipiac (MAAC),30,15-15,416,416,1.00
180,UTSA (C-USA),30,14-16,370,370,1.00
182,Norfolk St. (MEAC),34,20-14,459,460,1.00
183,Seton Hall (Big East),31,16-15,384,385,1.00
184,St. Bonaventure (Atlantic 10),31,18-13,383,384,1.00
185,Boston U. (Patriot),30,13-17,368,369,1.00
186,Hawaii (Big West),35,22-13,465,467,1.00
187,UC Davis (Big West),32,25-7,425,427,1.00
188,Hartford (America East),30,14-16,362,364,0.99
189,Alabama St. (SWAC),29,19-10,393,397,0.99
190,Ga. Southern (Sun Belt),31,22-9,361,365,0.99
191,UTRGV (WAC),31,10-21,411,417,0.99
192,Jacksonville St. (OVC),31,12-19,371,377,0.98
193,Kansas St. (Big 12),32,15-17,417,424,0.98
194,Georgia (SEC),33,21-12,411,420,0.98
195,James Madison (CAA),33,19-14,419,431,0.97
196,George Washington (Atlantic 10),35,22-13,408,420,0.97
197,North Dakota St. (Summit League),33,23-10,315,325,0.97
198,Rider (MAAC),33,21-12,400,413,0.97
199,UNC Asheville (Big South),31,15-16,423,437,0.97
200,UNC Greensboro (SoCon),33,11-22,400,414,0.97
201,UC Riverside (Big West),31,14-17,399,413,0.97
202,Coastal Carolina (Big South),34,24-10,385,399,0.96
203,Tulsa (AAC),34,23-11,375,389,0.96
204,Southeast Mo. St. (OVC),30,13-17,378,394,0.96
205,Tennessee Tech (OVC),30,12-18,395,412,0.96
206,Dartmouth (Ivy League),29,14-15,357,373,0.96
207,Manhattan (MAAC),33,19-14,460,481,0.96
208,Western Ill. (Summit League),28,8-20,335,352,0.95
209,Massachusetts (Atlantic 10),32,17-15,429,451,0.95
210,Oral Roberts (Summit League),34,19-15,376,396,0.95
211,Idaho St. (Big Sky),30,7-23,337,355,0.95
212,Rhode Island (Atlantic 10),33,23-10,430,453,0.95
213,North Dakota (Big Sky),30,8-22,353,373,0.95
214,UCF (AAC),30,12-18,369,390,0.95
215,Saint Francis (PA) (NEC),32,16-16,376,398,0.94
216,Morgan St. (MEAC),31,7-24,313,332,0.94
217,St. Francis Brooklyn (NEC),35,23-12,431,459,0.94
218,Fresno St. (Mountain West),32,15-17,336,358,0.94
219,Kent St. (MAC),35,23-12,368,393,0.94
220,Oklahoma St. (Big 12),32,18-14,366,392,0.93
221,Coppin St. (MEAC),31,8-23,390,418,0.93
222,Mount St. Mary's (NEC),30,15-15,342,367,0.93
223,UNCW (CAA),32,18-14,368,395,0.93
224,Pacific (WCC),31,12-19,363,390,0.93
225,New Hampshire (America East),32,19-13,366,394,0.93
226,La Salle (Atlantic 10),33,17-16,398,429,0.93
227,DePaul (Big East),32,12-20,395,428,0.92
