Rank,Team,GM,W-L,AST,TO,Ratio
228,Missouri St. (MVC),31,11-20,347,377,0.92
229,SIUE (OVC),28,12-16,345,375,0.92
230,San Diego St. (Mountain West),36,27-9,377,410,0.92
231,LMU (CA) (WCC),31,8-23,388,422,0.92
232,Georgia Tech (ACC),31,12-19,362,394,0.92
233,Chattanooga (SoCon),32,22-10,384,418,0.92
234,Robert Morris (NEC),35,20-15,428,467,0.92
235,Albany (NY) (America East),33,24-9,349,381,0.92
236,Miami (OH) (MAC),32,13-19,375,411,0.91
237,Cincinnati (AAC),34,23-11,394,432,0.91
238,Indiana St. (MVC),31,15-16,398,437,0.91
239,Maine (America East),30,3-27,393,432,0.91
240,Arizona St. (Pac-12),34,18-16,431,474,0.91
241,VMI (SoCon),30,11-19,408,449,0.91
241,Illinois St. (MVC),35,22-13,408,449,0.91
243,Drake (MVC),31,9-22,370,409,0.90
244,Tennessee (SEC),32,16-16,350,387,0.90
245,Clemson (ACC),31,16-15,330,365,0.90
246,Ball St. (MAC),30,7-23,383,424,0.90
247,Eastern Mich. (MAC),35,21-14,371,411,0.90
248,Elon (CAA),33,15-18,394,440,0.90
249,Ohio (MAC),30,10-20,341,382,0.89
250,Weber St. (Big Sky),30,13-17,358,402,0.89
251,Colorado (Pac-12),34,16-18,400,450,0.89
252,Delaware St. (MEAC),36,18-18,430,484,0.89
253,Southern California (Pac-12),32,12-20,397,447,0.89
254,UMES (MEAC),33,18-15,447,504,0.89
255,Houston (AAC),32,13-19,376,425,0.88
256,Saint Louis (Atlantic 10),32,11-21,391,443,0.88
257,Rice (C-USA),32,12-20,405,459,0.88
258,UT Arlington (Sun Belt),31,16-15,399,453,0.88
259,Tulane (AAC),31,15-16,349,397,0.88
260,South Carolina St. (MEAC),33,11-22,360,411,0.88
261,Southern Utah (Big Sky),29,10-19,344,393,0.88
262,Fairleigh Dickinson (NEC),29,8-21,325,372,0.87
263,Texas St. (Sun Belt),31,14-17,345,395,0.87
264,Monmouth (MAAC),33,18-15,372,426,0.87
265,Maryland (Big Ten),35,28-7,376,431,0.87
266,Cornell (Ivy League),30,13-17,312,359,0.87
267,Jacksonville (ASUN),32,10-22,341,394,0.87
268,New Mexico St. (WAC),34,23-11,406,470,0.86
269,Fordham (Atlantic 10),31,10-21,390,452,0.86
270,Southern Miss. (C-USA),29,9-20,352,408,0.86
271,Western Caro. (SoCon),32,15-17,375,435,0.86
272,Alabama (SEC),34,19-15,350,407,0.86
273,Alabama A&M (SWAC),29,9-20,354,413,0.86
274,Montana St. (Big Sky),30,7-23,349,411,0.85
275,Kansas City (WAC),33,14-19,376,443,0.85
276,Middle Tenn. (C-USA),36,19-17,396,469,0.84
277,Lamar University (Southland),30,15-15,392,465,0.84
278,LIU (NEC),30,12-18,346,411,0.84
279,Austin Peay (OVC),30,8-22,360,428,0.84
280,Saint Peter's (MAAC),34,16-18,344,413,0.83
281,Auburn (SEC),35,15-20,376,452,0.83
282,South Fla. (AAC),32,9-23,362,436,0.83
283,Long Beach St. (Big West),33,16-17,369,445,0.83
284,Niagara (MAAC),30,8-22,338,408,0.83
285,Texas Southern (SWAC),35,22-13,375,454,0.83
286,Marshall (C-USA),32,11-21,411,498,0.83
287,A&M-Corpus Christi (Southland),34,20-14,354,430,0.82
288,Arkansas St. (Sun Belt),29,11-18,321,390,0.82
289,Rutgers (Big Ten),32,10-22,343,417,0.82
289,Missouri (SEC),32,9-23,343,417,0.82
291,Presbyterian (Big South),32,10-22,341,415,0.82
292,Fairfield (MAAC),31,7-24,324,396,0.82
293,Longwood (Big South),34,11-23,397,489,0.81
294,Penn St. (Big Ten),34,18-16,336,414,0.81
295,Houston Baptist (Southland),28,12-16,348,429,0.81
296,Nebraska (Big Ten),31,13-18,315,389,0.81
297,Texas Tech (Big 12),32,13-19,356,442,0.81
298,Fla. Atlantic (C-USA),29,9-20,295,367,0.80
299,Brown (Ivy League),31,13-18,369,460,0.80
300,Central Conn. St. (NEC),31,5-26,340,425,0.80
301,App State (Sun Belt),29,12-17,318,398,0.80
302,Col. of Charleston (CAA),33,9-24,317,397,0.80
303,Florida St. (ACC),33,17-16,380,478,0.79
304,Southeastern La. (Southland),32,9-23,389,492,0.79
305,Penn (Ivy League),28,9-19,329,419,0.79
306,Furman (SoCon),33,11-22,342,438,0.78
307,Cal St. Fullerton (Big West),31,9-22,305,391,0.78
308,Southern U. (SWAC),35,18-17,359,462,0.78
309,Alcorn (SWAC),32,6-26,285,367,0.78
310,Wagner (NEC),30,10-20,324,420,0.77
311,Marist (MAAC),32,7-25,336,436,0.77
312,FIU (C-USA),33,16-17,374,493,0.76
313,Hampton (MEAC),35,17-18,372,494,0.75
314,Prairie View (SWAC),33,15-18,354,471,0.75
315,Loyola Maryland (Patriot),30,11-19,290,388,0.75
316,Nicholls (Southland),29,10-19,367,492,0.75
317,South Alabama (Sun Belt),33,12-21,353,474,0.74
318,North Texas (C-USA),31,14-17,310,420,0.74
319,Bradley (MVC),33,9-24,308,418,0.74
320,Kennesaw St. (ASUN),32,10-22,331,455,0.73
321,UMBC (America East),30,4-26,338,467,0.72
322,IUPUI (Summit League),31,10-21,348,482,0.72
323,George Mason (Atlantic 10),31,9-22,315,445,0.71
324,Jackson St. (SWAC),32,11-21,324,459,0.71
325,Mississippi Val. (SWAC),32,6-26,338,481,0.70
326,San Jose St. (Mountain West),30,2-28,294,426,0.69
326,Northern Ill. (MAC),30,14-16,294,426,0.69
328,Liberty (Big South),32,8-24,358,522,0.69
329,Towson (CAA),32,12-20,290,423,0.69
330,Nevada (Mountain West),31,9-22,298,436,0.68
331,Central Ark. (Southland),29,2-27,361,529,0.68
332,Troy (Sun Belt),29,10-19,271,409,0.66
333,Ark.-Pine Bluff (SWAC),32,12-20,323,489,0.66
334,Tennessee St. (OVC),31,5-26,294,446,0.66
335,Southern Ill. (MVC),33,12-21,274,422,0.65
336,Binghamton (America East),32,6-26,278,433,0.64
337,Chicago St. (WAC),32,8-24,295,471,0.63
338,New Orleans (Southland),29,11-18,279,452,0.62
339,N.C. A&T (MEAC),32,9-23,297,483,0.61
340,Bethune-Cookman (MEAC),32,11-21,264,449,0.59
341,Mississippi St. (SEC),32,13-19,278,474,0.59
342,Florida A&M (MEAC),29,2-27,241,415,0.58
343,Savannah St. (MEAC),31,9-22,287,513,0.56
344,Howard (MEAC),32,16-16,270,517,0.52
345,Grambling (SWAC),29,2-27,225,486,0.46
