Seed,Team,Conference,Record,Berth type,Overall rank,Placement
1,Kentucky,SEC,34–0,Auto,1,1
2,Kansas,Big 12,26–8,At-large,8,32
3,Notre Dame,ACC,29–5,Auto,12,8
4,Maryland,Big Ten,27–6,At-large,14,32
5,West Virginia,Big 12,23–9,At-large,19,16
6,Butler,Big East,22–10,At-large,23,32
7,Wichita State,Missouri Valley,28–4,At-large,26,16
8,Cincinnati,American,22–10,At-large,29,32
9,Purdue,Big Ten,21–12,At-large,36,64
10,Indiana,Big Ten,20–13,At-large,37,64
11,Texas,Big 12,20–13,At-large,41,64
12,Buffalo,Mid American,23–9,Auto,48,64
13,Valparaiso,Horizon,28–5,Auto,51,64
14,Northeastern,Colonial,23–11,Auto,56,64
15,New Mexico State,WAC,23–10,Auto,59,64
16,Manhattan,MAAC,19–13,Auto,67,68
16,Hampton,MEAC,16–17,Auto,68,64
1,Wisconsin,Big Ten,31–3,Auto,4,2
2,Arizona,Pac-12,31–3,Auto,6,8
3,Baylor,Big 12,24–9,At-large,10,64
4,North Carolina,ACC,24–11,At-large,13,16
5,Arkansas,SEC,26–8,At-large,18,32
6,Xavier,Big East,21–13,At-large,24,16
7,VCU,Atlantic 10,26–9,Auto,28,64
8,Oregon,Pac-12,25–9,At-large,30,32
9,Oklahoma State,Big 12,18–13,At-large,34,64
10,Ohio State,Big Ten,23–10,At-large,39,32
11,Mississippi,SEC,20–12,At-large,43,64
11,BYU,West Coast,25–9,At-large,44,68
12,Wofford,Southern,28–6,Auto,49,64
13,Harvard,Ivy,22–7,Auto,52,64
14,Georgia State,Sun Belt,24–9,Auto,55,32
15,Texas Southern,SWAC,22–12,Auto,61,64
16,Coastal Carolina,Big South,24–9,Auto,64,64
1,Villanova,Big East,32–2,Auto,2,32
2,Virginia,ACC,29–3,At-large,5,32
3,Oklahoma,Big 12,22–10,At-large,11,16
4,Louisville,ACC,24–8,At-large,15,8
5,Northern Iowa,Missouri Valley,30–3,Auto,20,32
6,Providence,Big East,22–11,At-large,22,64
7,Michigan State,Big Ten,23–11,At-large,25,4
8,North Carolina State,ACC,20–13,At-large,31,16
9,LSU,SEC,22–10,At-large,35,64
10,Georgia,SEC,21–11,At-large,40,64
11,Boise State,Mountain West,25–8,At-large,45,68
11,Dayton,Atlantic 10,25–8,At-large,46,32
12,Wyoming,Mountain West,25–9,Auto,47,64
13,UC Irvine,Big West,21–12,Auto,54,64
14,Albany,America East,24–8,Auto,58,64
15,Belmont,Ohio Valley,22–10,Auto,60,64
16,Lafayette,Patriot,20–12,Auto,63,64
1,Duke,ACC,29–4,At-large,3,4
2,Gonzaga,West Coast,32–2,Auto,7,8
3,Iowa State,Big 12,25–8,Auto,9,64
4,Georgetown,Big East,21–10,At-large,16,32
5,Utah,Pac-12,24–8,At-large,17,16
6,SMU,American,27–6,Auto,21,64
7,Iowa,Big Ten,21–11,At-large,27,32
8,San Diego State,Mountain West,26–8,At-large,32,32
9,St. John's,Big East,21–11,At-large,33,64
10,Davidson,Atlantic 10,24–7,At-large,38,64
11,UCLA,Pac-12,20–13,At-large,42,16
12,Stephen F. Austin,Southland,29–4,Auto,50,64
13,Eastern Washington,Big Sky,26–8,Auto,53,64
14,UAB,C-USA,19–15,Auto,57,32
15,North Dakota State,Summit,23–9,Auto,62,64
16,North Florida,Atlantic Sun,23–11,Auto,65,68
16,Robert Morris,NEC,19–14,Auto,66,64
