Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,UC Davis (Big West),32,25-7,274,613,44.7
2,Idaho (Big Sky),30,13-17,236,572,41.3
3,Drake (MVC),31,9-22,200,490,40.8
4,Sacramento St. (Big Sky),33,21-12,208,510,40.8
5,Lafayette (Patriot),33,20-13,261,640,40.8
6,Indiana (Big Ten),34,20-14,319,786,40.6
7,Utah (Pac-12),35,26-9,264,654,40.4
8,Eastern Wash. (Big Sky),35,26-9,344,860,40
8,Gonzaga (WCC),38,35-3,264,660,40
8,The Citadel (SoCon),30,11-19,206,515,40
11,UNI (MVC),35,31-4,257,645,39.8
12,William & Mary (CAA),33,20-13,293,736,39.8
13,Iona (MAAC),35,26-9,344,869,39.6
14,Utah St. (Mountain West),31,18-13,233,591,39.4
15,UT Martin (OVC),34,21-13,268,681,39.4
16,BYU (WCC),35,25-10,300,763,39.3
17,Loyola Chicago (MVC),37,24-13,224,571,39.2
18,Boise St. (Mountain West),34,25-9,297,758,39.2
19,Vanderbilt (SEC),35,21-14,255,651,39.2
20,North Florida (ASUN),35,23-12,317,810,39.1
21,Davidson (Atlantic 10),32,24-8,343,877,39.1
22,Southern Utah (Big Sky),29,10-19,210,537,39.1
23,Colgate (Patriot),33,16-17,253,649,39
24,Notre Dame (ACC),38,32-6,302,775,39
25,Villanova (Big East),36,33-3,326,837,38.9
26,Virginia Tech (ACC),33,11-22,241,619,38.9
27,UC Irvine (Big West),34,21-13,217,558,38.9
28,Seattle U (WAC),34,18-16,236,609,38.8
29,Murray St. (OVC),35,29-6,263,679,38.7
30,Duke (ACC),39,35-4,283,732,38.7
31,Northeastern (CAA),35,23-12,203,526,38.6
32,Michigan St. (Big Ten),39,27-12,294,763,38.5
33,Bucknell (Patriot),34,19-15,233,605,38.5
34,High Point (Big South),33,23-10,206,535,38.5
35,Detroit Mercy (Horizon),33,15-18,231,602,38.4
36,North Dakota St. (Summit League),33,23-10,230,600,38.3
37,South Dakota St. (Summit League),35,24-11,280,732,38.3
38,UMES (MEAC),33,18-15,213,557,38.2
39,Cleveland St. (Horizon),34,19-15,247,646,38.2
40,Northern Colo. (Big Sky),30,15-15,204,535,38.1
41,Minnesota (Big Ten),33,18-15,243,638,38.1
42,Portland St. (Big Sky),29,15-14,193,507,38.1
43,Valparaiso (Horizon),34,28-6,236,620,38.1
44,Denver (Summit League),30,12-18,224,589,38
45,SIUE (OVC),28,12-16,198,521,38
46,Belmont (OVC),33,22-11,329,866,38
47,Kansas (Big 12),36,27-9,213,562,37.9
48,SFA (Southland),34,29-5,262,692,37.9
49,Stanford (Pac-12),37,24-13,246,651,37.8
50,Princeton (Ivy League),30,16-14,252,668,37.7
51,Baylor (Big 12),34,24-10,236,626,37.7
52,Charlotte (C-USA),32,14-18,201,534,37.6
53,Portland (WCC),33,17-16,216,574,37.6
54,NJIT (Independent),33,21-12,279,742,37.6
55,Maryland (Big Ten),35,28-7,258,687,37.6
56,Eastern Ill. (OVC),33,18-15,241,643,37.5
57,Robert Morris (NEC),35,20-15,221,590,37.5
58,New Hampshire (America East),32,19-13,231,617,37.4
59,UC Santa Barbara (Big West),33,19-14,225,602,37.4
60,Saint Mary's (CA) (WCC),31,21-10,225,603,37.3
61,American (Patriot),33,17-16,213,571,37.3
62,Central Mich. (MAC),32,23-9,322,864,37.3
63,Wofford (SoCon),35,28-7,222,596,37.2
64,James Madison (CAA),33,19-14,228,613,37.2
65,Montana (Big Sky),33,20-13,274,737,37.2
66,Air Force (Mountain West),31,14-17,232,625,37.1
67,Ohio St. (Big Ten),35,24-11,236,637,37
68,Yale (Ivy League),32,22-10,220,595,37
