Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2015,Kentucky (SEC),True,1.0,1.0,Auto,1.0,97.4,20.1,6.8,46.8,72.6,34.9,35.4,27.1,1.36
2015,Gonzaga (WCC),False,8.0,2.0,Auto,7.0,92.1,17.0,7.4,52.0,69.1,40.0,39.0,33.0,1.56
2015,Villanova (Big East),False,32.0,1.0,Auto,2.0,91.7,15.6,2.0,47.0,73.1,38.9,40.6,30.5,1.49
2015,Wisconsin (Big Ten),True,2.0,1.0,Auto,4.0,90.0,14.3,5.8,47.9,76.3,36.5,42.8,37.5,1.7
2015,Duke (ACC),True,4.0,1.0,At-large,3.0,89.7,15.1,5.4,50.2,69.9,38.7,42.2,31.4,1.4
2015,Arizona (Pac-12),True,8.0,2.0,Auto,6.0,89.5,16.9,8.8,48.8,71.9,36.0,39.8,33.5,1.26
2015,UNI (MVC),False,32.0,5.0,Auto,20.0,88.6,10.5,2.3,48.0,73.3,39.8,39.5,32.1,1.14
2015,Virginia (ACC),True,32.0,2.0,At-large,5.0,88.2,14.0,7.7,45.7,72.6,35.2,36.7,30.8,1.36
2015,Wichita St. (MVC),False,16.0,7.0,At-large,26.0,85.7,12.9,4.8,44.5,70.1,35.7,40.2,35.2,1.46
2015,SFA (Southland),False,64.0,12.0,Auto,50.0,85.3,14.3,5.4,48.7,73.6,37.9,43.8,33.4,1.25
2015,Notre Dame (ACC),True,8.0,3.0,Auto,12.0,84.2,12.2,-0.3,50.9,74.2,39.0,42.7,32.6,1.61
2015,Murray St. (OVC),False,DNP,DNP,DNP,DNP,82.9,11.3,3.8,48.2,69.7,38.7,41.0,33.4,1.32
2015,Valparaiso (Horizon),False,64.0,13.0,Auto,51.0,82.4,10.1,6.9,45.6,67.5,38.1,38.2,33.1,1.05
2015,Wofford (SoCon),False,64.0,12.0,Auto,49.0,80.0,6.9,1.4,45.4,68.8,37.2,41.8,30.9,1.22
2015,Maryland (Big Ten),True,32.0,4.0,At-large,14.0,80.0,5.7,1.5,44.0,75.6,37.6,39.5,31.9,0.87
2015,SMU (AAC),False,64.0,6.0,Auto,21.0,79.4,9.4,6.7,47.5,70.3,36.3,38.1,32.6,1.23
2015,Colorado St. (Mountain West),False,DNP,DNP,DNP,DNP,79.4,8.0,6.0,44.0,67.4,35.1,42.2,36.4,1.38
2015,UC Davis (Big West),False,DNP,DNP,DNP,DNP,78.1,6.1,-0.7,49.0,73.4,44.7,41.5,34.2,1.0
2015,Old Dominion (C-USA),False,DNP,DNP,DNP,DNP,77.1,7.8,5.2,43.2,66.6,32.5,40.0,31.2,1.25
2015,N.C. Central (MEAC),False,DNP,DNP,DNP,DNP,75.8,13.8,3.9,48.7,68.5,36.9,36.0,28.2,1.11
2015,Dayton (Atlantic 10),False,32.0,11.0,At-large,46.0,75.0,6.9,-1.8,46.2,68.6,35.7,41.8,32.4,1.18
2015,San Diego St. (Mountain West),False,32.0,8.0,At-large,32.0,75.0,8.0,3.3,41.8,63.0,32.0,38.4,30.3,0.92
2015,Louisiana Tech (C-USA),False,DNP,DNP,DNP,DNP,75.0,7.5,-4.4,44.7,68.9,32.8,42.1,33.8,1.29
2015,Louisville (ACC),True,8.0,4.0,At-large,15.0,75.0,9.1,2.6,42.9,66.8,30.7,39.2,30.3,1.03
2015,Arkansas (SEC),True,32.0,5.0,At-large,18.0,75.0,7.3,0.3,44.5,72.4,34.9,42.8,35.2,1.35
2015,Kansas (Big 12),True,32.0,2.0,At-large,8.0,75.0,6.3,3.8,44.0,72.4,37.9,39.6,31.5,1.03
2015,Davidson (Atlantic 10),False,64.0,10.0,At-large,38.0,75.0,9.6,0.4,46.7,70.5,39.1,44.3,30.3,1.81
2015,Eastern Wash. (Big Sky),False,64.0,13.0,Auto,53.0,74.3,6.6,-0.1,47.8,72.6,40.0,45.0,38.8,1.21
2015,Utah (Pac-12),True,16.0,5.0,At-large,17.0,74.3,14.2,4.7,48.2,70.3,40.4,38.4,31.5,1.2
2015,Sam Houston (Southland),False,DNP,DNP,DNP,DNP,74.3,14.0,7.3,42.9,70.6,32.9,38.9,31.7,1.13
2015,Iona (MAAC),False,DNP,DNP,DNP,DNP,74.3,6.2,-1.7,46.3,70.1,39.6,42.4,35.5,1.34
2015,Boise St. (Mountain West),False,68.0,11.0,At-large,45.0,73.5,10.1,2.6,45.6,72.9,39.2,41.6,30.9,1.18
2015,Iowa St. (Big 12),True,64.0,3.0,Auto,9.0,73.5,8.8,0.7,47.6,69.6,36.2,41.6,34.7,1.46
2015,Harvard (Ivy League),False,64.0,13.0,Auto,52.0,73.3,6.6,3.3,43.3,71.9,35.4,40.4,33.3,1.1
2015,Albany (NY) (America East),False,64.0,14.0,Auto,58.0,72.7,4.8,4.4,43.8,75.8,35.8,42.1,36.2,0.92
2015,Green Bay (Horizon),False,DNP,DNP,DNP,DNP,72.7,7.5,2.5,45.9,64.3,29.4,40.5,32.8,1.19
2015,VCU (Atlantic 10),False,64.0,7.0,Auto,28.0,72.2,6.7,-1.2,41.9,65.7,34.3,43.4,34.5,1.19
2015,Oregon (Pac-12),True,32.0,8.0,At-large,30.0,72.2,4.5,1.3,46.3,76.1,36.2,42.2,33.0,1.21
2015,Central Mich. (MAC),False,DNP,DNP,DNP,DNP,71.9,9.9,0.1,46.7,72.5,37.3,44.5,34.6,1.38
2015,Wyoming (Mountain West),False,64.0,12.0,Auto,47.0,71.4,5.1,-0.1,46.1,70.2,32.6,40.3,34.8,1.28
2015,West Virginia (Big 12),True,16.0,5.0,At-large,19.0,71.4,5.8,2.9,40.8,66.2,31.6,46.9,36.5,1.09
2015,BYU (WCC),False,68.0,11.0,At-large,44.0,71.4,10.6,4.7,46.7,76.6,39.3,43.6,32.7,1.42
2015,Georgia St. (Sun Belt),False,32.0,14.0,Auto,55.0,71.4,9.0,-1.4,48.0,72.5,33.3,38.8,32.7,1.31
2015,Ga. Southern (Sun Belt),False,DNP,DNP,DNP,DNP,71.0,8.0,2.0,41.5,66.9,31.6,39.3,30.5,0.99
2015,Baylor (Big 12),True,64.0,3.0,At-large,10.0,70.6,8.9,8.3,43.4,67.4,37.7,40.2,30.0,1.15
2015,Coastal Carolina (Big South),False,64.0,16.0,Auto,64.0,70.6,9.3,8.0,44.0,69.0,36.0,39.6,32.5,0.96
2015,Temple (AAC),False,DNP,DNP,DNP,DNP,70.3,4.7,1.1,38.8,69.9,30.4,39.4,31.4,1.3
2015,Buffalo (MAC),False,64.0,12.0,Auto,48.0,69.7,6.3,2.9,43.5,71.9,34.1,42.3,33.0,1.15
2015,North Dakota St. (Summit League),False,64.0,15.0,Auto,62.0,69.7,2.6,1.7,43.4,69.2,38.3,42.1,36.9,0.97
2015,High Point (Big South),False,DNP,DNP,DNP,DNP,69.7,5.3,0.5,47.5,73.5,38.5,43.5,35.0,1.3
2015,Rhode Island (Atlantic 10),False,DNP,DNP,DNP,DNP,69.7,7.5,3.1,44.9,65.5,30.3,40.2,26.5,0.95
2015,Michigan St. (Big Ten),True,4.0,7.0,At-large,25.0,69.2,7.5,5.4,46.5,63.2,38.5,39.6,31.5,1.46
