Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Rhode Island (Atlantic 10),33,23-10,452,120,26.5
2,Pepperdine (WCC),32,18-14,526,142,27
3,Kentucky (SEC),39,38-1,646,175,27.1
4,N.C. Central (MEAC),33,25-8,577,163,28.2
5,FGCU (ASUN),33,22-11,668,191,28.6
6,Fla. Atlantic (C-USA),29,9-20,340,98,28.8
7,Prairie View (SWAC),33,15-18,534,156,29.2
8,Utah St. (Mountain West),31,18-13,637,189,29.7
9,ULM (Sun Belt),38,24-14,748,222,29.7
10,Southern U. (SWAC),35,18-17,605,181,29.9
11,Seton Hall (Big East),31,16-15,557,167,30
12,Baylor (Big 12),34,24-10,653,196,30
13,North Carolina (ACC),38,26-12,822,247,30
14,Texas St. (Sun Belt),31,14-17,528,159,30.1
15,Oregon St. (Pac-12),31,17-14,609,184,30.2
16,San Diego St. (Mountain West),36,27-9,598,181,30.3
16,Davidson (Atlantic 10),32,24-8,598,181,30.3
18,Richmond (Atlantic 10),35,21-14,541,164,30.3
19,Louisville (ACC),36,27-9,623,189,30.3
20,Memphis (AAC),32,18-14,540,164,30.4
21,LIU (NEC),30,12-18,585,178,30.4
22,Vermont (America East),34,20-14,519,158,30.4
23,Villanova (Big East),36,33-3,632,193,30.5
24,Ga. Southern (Sun Belt),31,22-9,622,190,30.5
25,New Mexico St. (WAC),34,23-11,422,129,30.6
26,Butler (Big East),34,23-11,610,187,30.7
27,New Hampshire (America East),32,19-13,550,169,30.7
28,USC Upstate (ASUN),36,24-12,800,246,30.8
29,Virginia (ACC),34,30-4,621,191,30.8
30,Boise St. (Mountain West),34,25-9,632,195,30.9
31,LSU (SEC),33,22-11,599,185,30.9
32,Wofford (SoCon),35,28-7,559,173,30.9
33,Yale (Ivy League),32,22-10,552,171,31
34,Texas A&M (SEC),33,21-12,748,232,31
35,Georgia (SEC),33,21-12,665,207,31.1
36,North Florida (ASUN),35,23-12,565,176,31.2
37,Saint Peter's (MAAC),34,16-18,600,187,31.2
38,Old Dominion (C-USA),35,27-8,654,204,31.2
39,DePaul (Big East),32,12-20,532,166,31.2
40,East Carolina (AAC),33,14-19,636,199,31.3
41,Temple (AAC),37,26-11,669,210,31.4
42,New Mexico (Mountain West),31,15-16,668,210,31.4
43,Duke (ACC),39,35-4,633,199,31.4
44,Michigan St. (Big Ten),39,27-12,712,224,31.5
45,Utah (Pac-12),35,26-9,537,169,31.5
46,Syracuse (ACC),31,18-13,645,203,31.5
47,Bryant (NEC),31,16-15,609,192,31.5
48,Kansas (Big 12),36,27-9,666,210,31.5
49,Howard (MEAC),32,16-16,669,211,31.5
50,Northern Ariz. (Big Sky),38,23-15,681,215,31.6
51,Saint Francis (PA) (NEC),32,16-16,614,194,31.6
52,La Salle (Atlantic 10),33,17-16,525,166,31.6
53,Toledo (MAC),33,20-13,739,234,31.7
54,Sam Houston (Southland),35,26-9,540,171,31.7
55,Oklahoma (Big 12),35,24-11,710,225,31.7
56,UT Arlington (Sun Belt),31,16-15,718,228,31.8
57,South Carolina (SEC),33,17-16,617,196,31.8
58,Georgia Tech (ACC),31,12-19,540,172,31.9
59,Maryland (Big Ten),35,28-7,759,242,31.9
59,Kent St. (MAC),35,23-12,552,176,31.9
61,Hartford (America East),30,14-16,530,169,31.9
62,George Washington (Atlantic 10),35,22-13,667,213,31.9
63,Cincinnati (AAC),34,23-11,601,192,31.9
64,A&M-Corpus Christi (Southland),34,20-14,616,197,32
65,UNI (MVC),35,31-4,658,211,32.1
66,Loyola Chicago (MVC),37,24-13,704,226,32.1
67,Eastern Mich. (MAC),35,21-14,750,241,32.1
68,Troy (Sun Belt),29,10-19,616,198,32.1
69,Marshall (C-USA),32,11-21,677,218,32.2
70,App State (Sun Belt),29,12-17,472,152,32.2
71,Ohio St. (Big Ten),35,24-11,739,238,32.2
72,Louisiana (Sun Belt),36,22-14,627,202,32.2
73,Canisius (MAAC),33,18-15,630,203,32.2
74,Miami (FL) (ACC),38,25-13,717,232,32.4
75,Manhattan (MAAC),33,19-14,457,148,32.4
76,Winthrop (Big South),32,19-13,611,198,32.4
77,Seattle U (WAC),34,18-16,728,236,32.4
78,UMES (MEAC),33,18-15,663,215,32.4
78,Alabama (SEC),34,19-15,663,215,32.4
80,Illinois St. (MVC),35,22-13,595,193,32.4
81,Dayton (Atlantic 10),36,27-9,635,206,32.4
82,Indiana (Big Ten),34,20-14,604,196,32.5
83,Alabama A&M (SWAC),29,9-20,462,150,32.5
84,Tennessee St. (OVC),31,5-26,705,229,32.5
85,Coastal Carolina (Big South),34,24-10,745,242,32.5
86,Florida St. (ACC),33,17-16,594,193,32.5
87,UAB (C-USA),36,20-16,667,217,32.5
88,SMU (AAC),34,27-7,823,268,32.6
89,Notre Dame (ACC),38,32-6,697,227,32.6
90,Penn St. (Big Ten),34,18-16,626,204,32.6
91,Iowa (Big Ten),34,22-12,696,227,32.6
92,Grambling (SWAC),29,2-27,576,188,32.6
93,Rider (MAAC),33,21-12,658,215,32.7
94,Western Ky. (C-USA),32,20-12,639,209,32.7
95,Georgia St. (Sun Belt),35,25-10,767,251,32.7
96,BYU (WCC),35,25-10,666,218,32.7
97,Akron (MAC),35,21-14,574,188,32.8
98,Florida (SEC),33,16-17,519,170,32.8
99,Mississippi St. (SEC),32,13-19,641,210,32.8
100,Cornell (Ivy League),30,13-17,583,191,32.8
