,Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio,Seed,Record,Berth type,Overall rank,Placement
312,2015,N.C. A&T (MEAC),False,32,9,23,28.1,33.3,33.6,-0.3,20.25,50.6875,40.0,22.3125,52.625,42.4,4.90625,17.34375,28.3,6.8125,19.03125,35.8,13.46875,19.75,68.2,58.9,66.0,-7.1,9.28125,15.09375,0.61,DNP,DNP,DNP,DNP,DNP
313,2015,Southeastern La. (Southland),False,32,9,23,28.1,33.4,35.1,-1.7,25.21875,55.0,45.9,25.40625,57.625,44.1,5.78125,18.46875,31.3,7.4375,20.71875,35.9,12.09375,18.1875,66.5,68.3,72.6,-4.3,12.15625,15.375,0.79,DNP,DNP,DNP,DNP,DNP
314,2015,Missouri (SEC),True,32,9,23,28.1,32.8,35.3,-2.5,21.34375,52.9375,40.3,22.6875,52.84375,42.9,6.125,18.625,32.9,6.4375,18.78125,34.3,11.65625,17.5,66.6,60.5,67.9,-7.4,10.71875,13.03125,0.82,DNP,DNP,DNP,DNP,DNP
315,2015,South Fla. (AAC),False,32,9,23,28.1,33.9,35.6,-1.7,23.28125,53.75,43.3,23.0,54.4375,42.3,4.25,14.0,30.4,6.75,18.375,36.7,10.75,17.375,61.9,61.6,68.4,-6.8,11.3125,13.625,0.83,DNP,DNP,DNP,DNP,DNP
316,2015,Fairleigh Dickinson (NEC),False,29,8,21,27.6,29.9,39.5,-9.6,23.48275862068965,57.172413793103445,41.1,24.310344827586206,52.82758620689656,46.0,7.172413793103448,21.655172413793103,33.1,6.344827586206897,18.24137931034483,34.8,13.310344827586206,19.20689655172414,69.3,67.4,73.4,-6.0,11.20689655172414,12.827586206896552,0.87,DNP,DNP,DNP,DNP,DNP
317,2015,Col. of Charleston (CAA),False,33,9,24,27.3,32.2,35.8,-3.5,20.78787878787879,51.75757575757576,40.2,21.272727272727277,50.21212121212121,42.4,5.96969696969697,17.424242424242426,34.3,5.787878787878788,16.151515151515152,35.8,11.06060606060606,16.757575757575758,66.0,58.6,64.6,-6.0,9.606060606060606,12.030303030303031,0.8,DNP,DNP,DNP,DNP,DNP
318,2015,Bradley (MVC),False,33,9,24,27.3,33.3,32.6,0.6,19.363636363636363,51.51515151515152,37.6,20.21212121212121,47.24242424242424,42.8,5.424242424242424,18.0,30.1,6.393939393939394,17.848484848484848,35.8,12.87878787878788,19.424242424242426,66.3,57.0,61.4,-4.4,9.333333333333334,12.666666666666666,0.74,DNP,DNP,DNP,DNP,DNP
319,2015,CSUN (Big West),False,33,9,24,27.3,34.3,33.7,0.6,22.424242424242426,52.78787878787879,42.5,24.303030303030305,56.15151515151515,43.3,3.333333333333333,10.212121212121213,32.6,7.848484848484849,21.727272727272727,36.1,16.90909090909091,22.09090909090909,76.5,65.1,70.5,-5.4,13.424242424242424,13.181818181818182,1.02,DNP,DNP,DNP,DNP,DNP
320,2015,Austin Peay (OVC),False,30,8,22,26.7,34.8,34.3,0.5,22.1,55.56666666666667,39.8,25.266666666666666,53.63333333333333,47.1,5.166666666666667,17.1,30.2,7.566666666666666,19.6,38.6,15.2,22.83333333333333,66.6,64.6,72.6,-8.0,12.0,14.266666666666667,0.84,DNP,DNP,DNP,DNP,DNP
321,2015,North Dakota (Big Sky),False,30,8,22,26.7,32.0,35.6,-3.6,23.766666666666666,54.53333333333333,43.6,25.5,54.833333333333336,46.5,6.0,18.1,33.1,6.233333333333333,16.4,38.0,14.2,20.933333333333334,67.8,67.7,73.4,-5.6,11.766666666666667,12.433333333333334,0.95,DNP,DNP,DNP,DNP,DNP
322,2015,Niagara (MAAC),False,30,8,22,26.7,33.9,33.7,0.2,21.4,53.6,39.9,25.4,53.93333333333333,47.1,6.133333333333334,17.466666666666665,35.1,7.166666666666667,18.933333333333334,37.9,15.333333333333334,22.066666666666663,69.5,64.3,71.8,-7.5,11.266666666666667,13.6,0.83,DNP,DNP,DNP,DNP,DNP
323,2015,Coppin St. (MEAC),False,31,8,23,25.8,32.1,42.8,-10.7,24.451612903225808,61.483870967741936,39.8,28.93548387096774,60.2258064516129,48.0,9.516129032258064,26.64516129032258,35.7,6.935483870967742,18.35483870967742,37.8,13.161290322580646,19.032258064516128,69.2,71.6,82.5,-10.9,12.580645161290322,13.483870967741936,0.93,DNP,DNP,DNP,DNP,DNP
