Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Gonzaga (WCC),35,32-3,"2,696",77,"2,095",59.9,17.2
2,Florida (SEC),37,29-8,"2,642",71.4,"2,012",54.4,17
3,Indiana (Big Ten),36,29-7,"2,831",78.6,"2,236",62.1,16.5
4,Louisville (AAC),40,35-5,"2,978",74.5,"2,351",58.8,15.7
5,Weber St. (Big Sky),37,30-7,"2,800",75.7,"2,275",61.5,14.2
6,SFA (Southland),32,27-5,"2,075",64.8,"1,639",51.2,13.6
7,Kansas (Big 12),37,31-6,"2,782",75.2,"2,292",61.9,13.2
8,Pittsburgh (AAC),33,24-9,"2,282",69.2,"1,847",56,13.2
9,Middle Tenn. (Sun Belt),34,28-6,"2,405",70.7,"1,974",58.1,12.7
10,VCU (Atlantic 10),36,27-9,"2,770",76.9,"2,323",64.5,12.4
11,Belmont (OVC),33,26-7,"2,533",76.8,"2,129",64.5,12.2
12,Michigan (Big Ten),39,31-8,"2,932",75.2,"2,467",63.3,11.9
13,Duke (ACC),36,30-6,"2,778",77.2,"2,350",65.3,11.9
14,Syracuse (AAC),40,30-10,"2,816",70.4,"2,347",58.7,11.7
15,Saint Mary's (CA) (WCC),35,28-7,"2,610",74.6,"2,203",62.9,11.6
16,Creighton (MVC),36,28-8,"2,680",74.4,"2,274",63.2,11.3
17,Davidson (SoCon),34,26-8,"2,490",73.2,"2,110",62.1,11.2
18,North Dakota St. (Summit League),34,24-10,"2,282",67.1,"1,906",56.1,11.1
19,Ohio St. (Big Ten),37,29-8,"2,597",70.2,"2,197",59.4,10.8
20,Stony Brook (America East),33,25-8,"2,245",68,"1,898",57.5,10.5
21,Southern Miss. (C-USA),37,27-10,"2,733",73.9,"2,348",63.5,10.4
22,N.C. Central (MEAC),31,22-9,"2,079",67.1,"1,758",56.7,10.4
23,Ole Miss (SEC),36,27-9,"2,779",77.2,"2,409",66.9,10.3
24,Southern U. (SWAC),33,23-10,"2,223",67.4,"1,890",57.3,10.1
25,Saint Louis (Atlantic 10),35,28-7,"2,388",68.2,"2,036",58.2,10.1
26,Arizona (Pac-12),35,27-8,"2,570",73.4,"2,226",63.6,9.8
27,Memphis (C-USA),36,31-5,"2,681",74.5,"2,335",64.9,9.6
28,Baylor (Big 12),37,23-14,"2,811",76,"2,456",66.4,9.6
29,Missouri (SEC),34,23-11,"2,588",76.1,"2,268",66.7,9.4
30,Louisiana Tech (WAC),34,27-7,"2,470",72.6,"2,151",63.3,9.4
31,Colorado St. (Mountain West),35,26-9,"2,553",72.9,"2,229",63.7,9.3
32,Bucknell (Patriot),34,28-6,"2,277",67,"1,966",57.8,9.1
33,Miami (FL) (ACC),36,29-7,"2,509",69.7,"2,181",60.6,9.1
34,Akron (MAC),33,26-7,"2,369",71.8,"2,071",62.8,9
35,Wisconsin (Big Ten),35,23-12,"2,274",65,"1,958",55.9,9
36,Denver (WAC),32,22-10,"2,076",64.9,"1,790",55.9,8.9
37,Michigan St. (Big Ten),36,27-9,"2,448",68,"2,129",59.1,8.9
38,Valparaiso (Horizon),34,26-8,"2,420",71.2,"2,119",62.3,8.9
39,Oklahoma St. (Big 12),33,24-9,"2,371",71.8,"2,079",63,8.8
40,Virginia (ACC),35,23-12,"2,248",64.2,"1,945",55.6,8.7
41,Wichita St. (MVC),39,30-9,"2,720",69.7,"2,385",61.2,8.6
42,Northwestern St. (Southland),32,23-9,"2,559",80,"2,285",71.4,8.6
43,Kansas St. (Big 12),35,27-8,"2,414",69,"2,115",60.4,8.5
44,Iowa St. (Big 12),35,23-12,"2,779",79.4,"2,486",71,8.4
45,UNLV (Mountain West),35,25-10,"2,496",71.3,"2,206",63,8.3
46,Georgetown (AAC),32,25-7,"2,070",64.7,"1,806",56.4,8.3
47,San Diego St. (Mountain West),34,23-11,"2,356",69.3,"2,077",61.1,8.2
48,Kentucky (SEC),33,21-12,"2,396",72.6,"2,127",64.5,8.2
49,Eastern Ky. (OVC),35,25-10,"2,586",73.9,"2,303",65.8,8.1
50,Oregon (Pac-12),37,28-9,"2,650",71.6,"2,352",63.6,8.1
