Rank,Team,W,L,Pct
1,Gonzaga (WCC),32,3,91.4
2,Louisville (AAC),35,5,87.5
3,Memphis (C-USA),31,5,86.1
4,SFA (Southland),27,5,84.4
5,Kansas (Big 12),31,6,83.8
6,Duke (ACC),30,6,83.3
7,New Mexico (Mountain West),29,6,82.9
8,Bucknell (Patriot),28,6,82.4
8,Middle Tenn. (Sun Belt),28,6,82.4
10,Weber St. (Big Sky),30,7,81.1
11,Indiana (Big Ten),29,7,80.6
11,Miami (FL) (ACC),29,7,80.6
13,Saint Louis (Atlantic 10),28,7,80
13,Saint Mary's (CA) (WCC),28,7,80
15,Michigan (Big Ten),31,8,79.5
16,Louisiana Tech (WAC),27,7,79.4
17,Belmont (OVC),26,7,78.8
17,Akron (MAC),26,7,78.8
19,Ohio St. (Big Ten),29,8,78.4
19,Florida (SEC),29,8,78.4
21,Montana (Big Sky),25,7,78.1
21,Georgetown (AAC),25,7,78.1
23,Creighton (MVC),28,8,77.8
24,Kansas St. (Big 12),27,8,77.1
24,Arizona (Pac-12),27,8,77.1
26,Wichita St. (MVC),30,9,76.9
27,Davidson (SoCon),26,8,76.5
27,Valparaiso (Horizon),26,8,76.5
29,Stony Brook (America East),25,8,75.8
30,Oregon (Pac-12),28,9,75.7
31,Syracuse (AAC),30,10,75
31,Ole Miss (SEC),27,9,75
31,VCU (Atlantic 10),27,9,75
31,Butler (Atlantic 10),27,9,75
31,Michigan St. (Big Ten),27,9,75
36,Marquette (AAC),26,9,74.3
36,Colorado St. (Mountain West),26,9,74.3
38,Southern Miss. (C-USA),27,10,73
39,Oklahoma St. (Big 12),24,9,72.7
39,Pittsburgh (AAC),24,9,72.7
41,Northwestern St. (Southland),23,9,71.9
42,Eastern Ky. (OVC),25,10,71.4
42,South Dakota St. (Summit League),25,10,71.4
42,Notre Dame (AAC),25,10,71.4
42,UCLA (Pac-12),25,10,71.4
42,UNLV (Mountain West),25,10,71.4
47,N.C. Central (MEAC),22,9,71
47,Western Ill. (Summit League),22,9,71
49,Temple (Atlantic 10),24,10,70.6
49,North Dakota St. (Summit League),24,10,70.6
49,La Salle (Atlantic 10),24,10,70.6
49,Ohio (MAC),24,10,70.6
53,FGCU (ASUN),26,11,70.3
54,Southern U. (SWAC),23,10,69.7
55,North Carolina (ACC),25,11,69.4
56,Denver (WAC),22,10,68.8
57,New Mexico St. (WAC),24,11,68.6
57,Col. of Charleston (SoCon),24,11,68.6
57,Robert Morris (NEC),24,11,68.6
57,Albany (NY) (America East),24,11,68.6
57,NC State (ACC),24,11,68.6
62,Santa Clara (WCC),26,12,68.4
63,Lehigh (Patriot),21,10,67.7
63,Murray St. (OVC),21,10,67.7
63,Utah St. (WAC),21,10,67.7
66,San Diego St. (Mountain West),23,11,67.6
66,Missouri (SEC),23,11,67.6
68,BYU (WCC),24,12,66.7
