Rank,Team,GM,W-L,FT,FTA,FT%
1,Davidson (SoCon),34,26-8,560,704,79.5
2,Iona (MAAC),34,20-14,538,689,78.1
3,South Dakota (Summit League),30,10-20,463,593,78.1
4,Eastern Ky. (OVC),35,25-10,503,645,78
5,Montana (Big Sky),32,25-7,499,651,76.7
6,St. Bonaventure (Atlantic 10),29,14-15,481,630,76.3
7,South Dakota St. (Summit League),35,25-10,478,627,76.2
8,Toledo (MAC),28,15-13,440,578,76.1
9,Creighton (MVC),36,28-8,489,644,75.9
10,Cal St. Fullerton (Big West),32,14-18,475,627,75.8
11,UNI (MVC),36,21-15,464,613,75.7
12,Oklahoma (Big 12),32,20-12,495,654,75.7
13,Utah (Pac-12),33,15-18,413,547,75.5
14,Delaware (CAA),33,19-14,580,769,75.4
15,Lafayette (Patriot),34,19-15,389,516,75.4
16,Mercer (ASUN),36,24-12,492,653,75.3
17,Holy Cross (Patriot),30,12-18,351,466,75.3
18,Northeastern (CAA),33,20-13,506,672,75.3
19,Presbyterian (Big South),32,8-24,317,421,75.3
20,UIC (Horizon),34,18-16,474,630,75.2
21,Green Bay (Horizon),34,18-16,529,704,75.1
22,Arizona (Pac-12),35,27-8,541,722,74.9
23,Robert Morris (NEC),35,24-11,530,708,74.9
24,Tennessee St. (OVC),33,18-15,554,741,74.8
25,Boise St. (Mountain West),32,21-11,446,597,74.7
26,Oklahoma St. (Big 12),33,24-9,560,751,74.6
27,Columbia (Ivy League),28,12-16,357,479,74.5
28,Drexel (CAA),31,13-18,412,553,74.5
29,SMU (C-USA),32,15-17,493,662,74.5
30,Missouri (SEC),34,23-11,525,706,74.4
31,Indiana (Big Ten),36,29-7,672,904,74.3
32,Portland St. (Big Sky),28,8-20,376,506,74.3
33,Idaho (WAC),30,12-18,428,576,74.3
34,UConn (AAC),30,20-10,451,607,74.3
35,Stanford (Pac-12),34,19-15,496,668,74.3
36,Bucknell (Patriot),34,28-6,484,652,74.2
37,UT Martin (OVC),30,9-21,475,640,74.2
38,Evansville (MVC),36,21-15,483,652,74.1
39,Duke (ACC),36,30-6,588,796,73.9
40,Oral Roberts (Southland),35,20-15,539,730,73.8
41,Lehigh (Patriot),31,21-10,455,617,73.7
42,La Salle (Atlantic 10),34,24-10,446,605,73.7
43,Albany (NY) (America East),35,24-11,516,700,73.7
44,Kansas (Big 12),37,31-6,596,809,73.7
45,Florida St. (ACC),34,18-16,522,710,73.5
46,N.C. Central (MEAC),31,22-9,499,680,73.4
47,Army West Point (Patriot),31,16-15,461,629,73.3
48,CSUN (Big West),31,14-17,534,729,73.3
49,Central Conn. St. (NEC),30,13-17,404,552,73.2
50,Belmont (OVC),33,26-7,442,604,73.2
51,Central Mich. (MAC),31,11-20,482,659,73.1
52,Iowa St. (Big 12),35,23-12,509,696,73.1
53,Iowa (Big Ten),38,25-13,655,896,73.1
54,Valparaiso (Horizon),34,26-8,521,713,73.1
55,Liberty (Big South),36,15-21,562,770,73
56,Marquette (AAC),35,26-9,551,755,73
57,Dartmouth (Ivy League),28,9-19,364,499,72.9
58,Nevada (Mountain West),31,12-19,503,690,72.9
59,Detroit Mercy (Horizon),33,20-13,518,711,72.9
60,BYU (WCC),36,24-12,566,777,72.8
61,Yale (Ivy League),31,14-17,501,688,72.8
62,Sacramento St. (Big Sky),29,14-15,436,599,72.8
63,Santa Clara (WCC),38,26-12,584,803,72.7
64,Tulane (C-USA),35,20-15,634,872,72.7
64,Boston U. (America East),30,17-13,317,436,72.7
66,Chicago St. (GWC),33,11-22,362,498,72.7
