Rank,Team,GM,W-L,FGM,FGA,FG%
1,Weber St. (Big Sky),37,30-7,990,"1,957",50.6
2,Creighton (MVC),36,28-8,942,"1,882",50.1
3,Gonzaga (WCC),35,32-3,961,"1,934",49.7
4,NC State (ACC),35,24-11,985,"1,987",49.6
5,Belmont (OVC),33,26-7,906,"1,844",49.1
6,Valparaiso (Horizon),34,26-8,823,"1,699",48.4
7,Michigan (Big Ten),39,31-8,"1,093","2,260",48.4
8,Indiana (Big Ten),36,29-7,951,"1,972",48.2
9,Kansas (Big 12),37,31-6,985,"2,049",48.1
10,Denver (WAC),32,22-10,739,"1,540",48
11,Bryant (NEC),31,19-12,812,"1,693",48
12,LIU (NEC),34,20-14,915,"1,908",48
13,Southern Miss. (C-USA),37,27-10,985,"2,058",47.9
14,Florida (SEC),37,29-8,960,"2,010",47.8
15,Kentucky (SEC),33,21-12,863,"1,815",47.5
16,Harvard (Ivy League),30,20-10,677,"1,426",47.5
17,Dayton (Atlantic 10),31,17-14,786,"1,656",47.5
18,UC Davis (Big West),31,14-17,781,"1,651",47.3
19,Duke (ACC),36,30-6,960,"2,033",47.2
20,Pittsburgh (AAC),33,24-9,837,"1,775",47.2
21,Memphis (C-USA),36,31-5,976,"2,071",47.1
22,Air Force (Mountain West),32,18-14,795,"1,690",47
23,Cal St. Fullerton (Big West),32,14-18,855,"1,819",47
24,Utah St. (WAC),31,21-10,750,"1,598",46.9
25,South Dakota St. (Summit League),35,25-10,910,"1,939",46.9
25,Saint Mary's (CA) (WCC),35,28-7,910,"1,939",46.9
27,Southeast Mo. St. (OVC),33,17-16,880,"1,876",46.9
28,North Dakota St. (Summit League),34,24-10,838,"1,789",46.8
29,SFA (Southland),32,27-5,772,"1,649",46.8
30,William & Mary (CAA),30,13-17,718,"1,536",46.7
31,Idaho (WAC),30,12-18,715,"1,532",46.7
32,Eastern Ky. (OVC),35,25-10,888,"1,903",46.7
33,Western Ill. (Summit League),31,22-9,659,"1,414",46.6
34,Ohio (MAC),34,24-10,889,"1,909",46.6
35,Montana (Big Sky),32,25-7,760,"1,635",46.5
36,Maryland (ACC),38,25-13,986,"2,124",46.4
37,Houston (C-USA),33,20-13,912,"1,965",46.4
38,Northern Colo. (Big Sky),31,13-18,796,"1,718",46.3
39,Notre Dame (AAC),35,25-10,892,"1,929",46.2
40,Princeton (Ivy League),28,17-11,633,"1,369",46.2
41,Lehigh (Patriot),31,21-10,788,"1,705",46.2
42,Middle Tenn. (Sun Belt),34,28-6,848,"1,835",46.2
43,FGCU (ASUN),37,26-11,976,"2,112",46.2
44,Davidson (SoCon),34,26-8,837,"1,813",46.2
45,Oral Roberts (Southland),35,20-15,890,"1,931",46.1
46,Boise St. (Mountain West),32,21-11,824,"1,790",46
47,Baylor (Big 12),37,23-14,"1,002","2,179",46
48,N.C. Central (MEAC),31,22-9,706,"1,536",46
49,Arizona St. (Pac-12),35,22-13,902,"1,964",45.9
50,Michigan St. (Big Ten),36,27-9,882,"1,921",45.9
51,Missouri (SEC),34,23-11,924,"2,015",45.9
52,Northwestern St. (Southland),32,23-9,919,"2,006",45.8
53,Lafayette (Patriot),34,19-15,842,"1,842",45.7
54,Virginia (ACC),35,23-12,818,"1,790",45.7
55,Austin Peay (OVC),31,8-23,783,"1,714",45.7
56,Marquette (AAC),35,26-9,842,"1,844",45.7
57,BYU (WCC),36,24-12,999,"2,188",45.7
58,Xavier (Atlantic 10),31,17-14,722,"1,582",45.6
