Rank,Team,GM,W-L,AST,TO,Ratio
1,Michigan (Big Ten),39,31-8,565,368,1.54
2,Notre Dame (AAC),35,25-10,587,393,1.49
3,Pittsburgh (AAC),33,24-9,537,364,1.48
4,Cal Poly (Big West),32,18-14,441,302,1.46
5,Denver (WAC),32,22-10,516,357,1.45
6,UCLA (Pac-12),35,25-10,559,391,1.43
7,Bucknell (Patriot),34,28-6,455,321,1.42
8,Evansville (MVC),36,21-15,574,405,1.42
9,North Carolina (ACC),36,25-11,616,442,1.39
10,South Dakota St. (Summit League),35,25-10,506,365,1.39
11,Kansas St. (Big 12),35,27-8,557,403,1.38
12,Ohio (MAC),34,24-10,594,430,1.38
13,Creighton (MVC),36,28-8,609,443,1.37
14,Northwestern (Big Ten),32,13-19,467,342,1.37
15,Wisconsin (Big Ten),35,23-12,465,342,1.36
16,East Carolina (C-USA),35,23-12,603,444,1.36
17,Temple (Atlantic 10),34,24-10,497,366,1.36
18,Gonzaga (WCC),35,32-3,530,393,1.35
19,Duke (ACC),36,30-6,515,383,1.34
20,Air Force (Mountain West),32,18-14,508,380,1.34
21,Lehigh (Patriot),31,21-10,453,339,1.34
22,Baylor (Big 12),37,23-14,587,440,1.33
23,Detroit Mercy (Horizon),33,20-13,481,361,1.33
24,BYU (WCC),36,24-12,575,432,1.33
25,Pacific (Big West),35,22-13,510,390,1.31
26,Florida (SEC),37,29-8,540,414,1.30
27,Ohio St. (Big Ten),37,29-8,493,386,1.28
28,Arkansas (SEC),32,19-13,475,372,1.28
29,Davidson (SoCon),34,26-8,473,371,1.27
30,Youngstown St. (Horizon),34,18-16,504,398,1.27
31,Eastern Ky. (OVC),35,25-10,522,414,1.26
32,UC Irvine (Big West),37,21-16,580,461,1.26
33,New Mexico (Mountain West),35,29-6,505,402,1.26
34,Virginia (ACC),35,23-12,491,391,1.26
35,Iona (MAAC),34,20-14,523,421,1.24
36,VCU (Atlantic 10),36,27-9,521,420,1.24
37,Southeast Mo. St. (OVC),33,17-16,522,423,1.23
38,La Salle (Atlantic 10),34,24-10,481,390,1.23
39,SFA (Southland),32,27-5,495,405,1.22
40,Iowa St. (Big 12),35,23-12,560,460,1.22
41,High Point (Big South),31,17-14,455,376,1.21
42,Saint Mary's (CA) (WCC),35,28-7,502,416,1.21
43,Iowa (Big Ten),38,25-13,573,476,1.20
44,Santa Clara (WCC),38,26-12,560,468,1.20
45,Texas Southern (SWAC),31,17-14,437,367,1.19
46,Saint Joseph's (Atlantic 10),32,18-14,450,381,1.18
47,NC State (ACC),35,24-11,511,433,1.18
48,Louisville (AAC),40,35-5,584,495,1.18
49,Princeton (Ivy League),28,17-11,405,344,1.18
50,Cal St. Fullerton (Big West),32,14-18,472,401,1.18
51,Bryant (NEC),31,19-12,470,400,1.18
52,Utah Valley (GWC),32,14-18,458,390,1.17
53,Belmont (OVC),33,26-7,516,440,1.17
54,Georgetown (AAC),32,25-7,474,407,1.16
55,Elon (SoCon),33,21-12,447,385,1.16
56,Memphis (C-USA),36,31-5,605,523,1.16
57,Houston (C-USA),33,20-13,500,433,1.15
58,UNLV (Mountain West),35,25-10,562,487,1.15
59,USC Upstate (ASUN),33,16-17,513,445,1.15
60,Lafayette (Patriot),34,19-15,486,424,1.15
61,Colorado St. (Mountain West),35,26-9,445,389,1.14
62,Syracuse (AAC),40,30-10,563,495,1.14
63,Illinois St. (MVC),33,18-15,490,431,1.14
64,Mercer (ASUN),36,24-12,516,454,1.14
65,North Dakota St. (Summit League),34,24-10,426,375,1.14
66,VMI (Big South),31,14-17,465,410,1.13
67,Weber St. (Big Sky),37,30-7,518,457,1.13
68,Saint Louis (Atlantic 10),35,28-7,453,401,1.13
69,Providence (AAC),34,19-15,485,432,1.12
70,California (Pac-12),33,21-12,468,417,1.12
71,CSUN (Big West),31,14-17,474,423,1.12
72,Niagara (MAAC),33,19-14,424,379,1.12
73,UConn (AAC),30,20-10,410,367,1.12
74,Arizona St. (Pac-12),35,22-13,497,445,1.12
75,Utah St. (WAC),31,21-10,455,408,1.12
76,Kansas (Big 12),37,31-6,575,517,1.11
77,Sacramento St. (Big Sky),29,14-15,358,325,1.10
78,Columbia (Ivy League),28,12-16,337,306,1.10
79,Ole Miss (SEC),36,27-9,450,409,1.10
80,Boise St. (Mountain West),32,21-11,423,385,1.10
