Year,Team,Power 5 School,Seed,Overall Seed,Berth Type,Placement,Games,W,L,Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,Opp 3FGAPG,Opp 3FGPG,Opp 3FG%,Rank,ASTPG,TOPG,Ratio
2019,Virginia (ACC),TRUE,1,2,At-Large,1,38,35,3,92.1,71.4,56.1,15.3,34.8,29.7,5.1,26,54,47.4,11.71,15.74,74.4,8.45,21.39,39.5,20,53,38.5,22.32,6.45,28.9,5,14.32,9,1.59
2019,Gonzaga (WCC),FALSE,1,4,At-Large,8,37,33,4,89.2,87.6,64.9,22.8,39,32.2,6.8,32,61,52.6,16.27,21.38,76.1,7.76,21.35,36.3,24,61,38.9,21.27,6.46,30.4,2,18.05,10.65,1.7
2019,Houston (AAC),FALSE,3,9,At-Large,16,37,33,4,89.2,75.3,61,14.3,40.6,33.4,7.2,27,60,44.6,13.24,18.84,70.3,9,25.38,35.5,20,55,36.8,22.59,6.3,27.9,35,14.76,11.08,1.33
2019,Buffalo (MAC),FALSE,6,23,Automatic,32,36,32,4,88.9,84.4,70.8,13.5,40.8,37,3.8,30,65,46.2,14.64,21.31,68.7,9.56,28.39,33.7,25,61,42,22,6.56,29.8,17,16.64,12.03,1.38
2019,Wofford (SoCon),FALSE,7,28,Automatic,32,35,30,5,85.7,82.3,65.6,16.7,35,29.3,5.8,30,61,49,11.6,16.49,70.4,11,26.54,41.4,23,55,42.5,22.09,7.09,32.1,16,15.09,10.89,1.39
2019,New Mexico St. (WAC),FALSE,12,49,Automatic,64,35,30,5,85.7,78.1,64.5,13.6,38.4,28.7,9.7,27,60,46,13.83,20.4,67.8,9.31,27.91,33.4,23,54,41.9,21.57,7.2,33.4,68,14.69,11.97,1.23
2019,Nevada (Mountain West),FALSE,7,26,At-Large,64,34,29,5,85.3,80.1,66.7,13.4,37.4,34.9,2.6,27,59,46.2,17,24,70.8,8.74,25.15,34.7,24,58,41,23.26,7.74,33.2,15,14.65,10.35,1.41
2019,Murray St. (OVC),FALSE,12,46,Automatic,32,33,28,5,84.8,82.6,68.3,14.3,37.9,34.7,3.2,30,61,49.2,14.94,20.39,73.3,7.82,22.15,35.3,25,61,41.1,21.61,6.18,28.6,9,17.91,12.12,1.48
2019,Duke (ACC),TRUE,1,1,Automatic,8,38,32,6,84.2,82.7,67.8,14.9,41.2,35.4,5.8,30,64,47.8,14.5,21.13,68.6,7.32,23.76,30.8,25,64,39.8,22.21,6.66,30,64,15.95,12.84,1.24
2019,UC Irvine (Big West),FALSE,13,51,Automatic,32,37,31,6,83.8,72.3,63.6,8.7,39.9,33,7,27,58,45.7,12.14,17.3,70.2,6.81,18.95,35.9,22,57,38.2,19.32,6.51,33.7,127,13.03,11.92,1.09
2019,Tennessee (SEC),TRUE,2,5,At-Large,16,37,31,6,83.8,82,69.7,12.3,37.6,34.3,3.3,30,60,49.6,15.16,20.11,75.4,7.08,19.3,36.7,24,59,40.4,24.14,8.41,34.8,3,17.86,11.14,1.6
2019,Michigan St. (Big Ten),TRUE,2,6,Automatic,4,39,32,7,82.1,77.6,65,12.6,40.5,31.7,8.8,27,57,48,14.46,19.21,75.3,8.18,21.64,37.8,23,61,38.1,22.69,7.18,31.6,11,18.33,12.64,1.45
