Team,RPG,OPP RPG,REB MAR
Northern Ill. (MAC),34.7,33.5,1.2
Texas Southern (SWAC),39.5,38.4,1.2
Kansas St. (Big 12),33.3,32.1,1.1
Ohio (MAC),37.3,36.1,1.1
Quinnipiac (MAAC),35.8,34.7,1.1
Furman (SoCon),35.5,34.3,1.1
Hampton (Big South),39.1,38.1,1.1
Indiana (Big Ten),36.3,35.3,1.1
Texas A&M (SEC),37.3,36.3,1
Southern Ill. (MVC),33.8,32.7,1
Longwood (Big South),35.1,34.1,1
VCU (Atlantic 10),36.7,35.7,1
Bradley (MVC),34.1,33.2,0.9
Valparaiso (MVC),33.7,32.8,0.9
Michigan (Big Ten),35.2,34.3,0.9
UNC Greensboro (SoCon),34.7,33.8,0.9
UConn (AAC),35.5,34.6,0.9
Abilene Christian (Southland),32.6,31.8,0.9
Louisiana Tech (C-USA),36.5,35.6,0.8
McNeese (Southland),34,33.1,0.8
Iowa (Big Ten),35.6,34.8,0.8
James Madison (CAA),34,33.2,0.8
Jackson St. (SWAC),35.2,34.4,0.8
St. Bonaventure (Atlantic 10),34.8,34,0.8
South Carolina St. (MEAC),33.5,32.7,0.8
Jacksonville (ASUN),36.4,35.7,0.8
UC Riverside (Big West),31.9,31.2,0.7
Lehigh (Patriot),35.6,35,0.7
Robert Morris (NEC),33.7,33,0.7
Arizona (Pac-12),34.8,34.2,0.6
Loyola Chicago (MVC),29.8,29.2,0.6
Rider (MAAC),36.9,36.3,0.6
Dartmouth (Ivy League),34,33.4,0.6
American (Patriot),33.8,33.3,0.5
Princeton (Ivy League),36.3,35.8,0.5
Col. of Charleston (CAA),32.1,31.6,0.5
UTEP (C-USA),36.9,36.4,0.4
Samford (SoCon),37.1,36.7,0.4
Hofstra (CAA),33.4,33,0.4
Cal St. Fullerton (Big West),36,35.6,0.4
UMBC (America East),33.7,33.3,0.4
Iowa St. (Big 12),35.1,34.7,0.3
New Mexico (Mountain West),37.6,37.3,0.3
Oklahoma (Big 12),37.1,36.9,0.3
Norfolk St. (MEAC),36.6,36.3,0.3
Creighton (Big East),34.2,33.9,0.3
Southern Utah (Big Sky),36.8,36.5,0.2
