Team,PPG,OPP PPG,SCR MAR
Prairie View (SWAC),75.1,72.8,2.3
Portland St. (Big Sky),77.3,75.1,2.2
Western Ky. (C-USA),71.4,69.3,2.2
Omaha (Summit League),78.8,76.7,2.2
Lehigh (Patriot),80,77.8,2.1
Hartford (America East),75.1,72.9,2.1
NJIT (ASUN),70.6,68.6,2
Arizona (Pac-12),70.9,68.9,2
Seton Hall (Big East),73.8,71.8,2
DePaul (Big East),78.4,76.4,1.9
Kent St. (MAC),75.2,73.2,1.9
FIU (C-USA),82.3,80.4,1.9
Wichita St. (AAC),70.5,68.7,1.8
New Orleans (Southland),72.2,70.5,1.8
SMU (AAC),72,70.3,1.7
Rhode Island (Atlantic 10),69.5,67.8,1.6
Providence (Big East),71.4,69.8,1.6
Southern Ill. (MVC),68.6,67,1.6
Rider (MAAC),76.8,75.3,1.5
Harvard (Ivy League),71.7,70.1,1.5
Xavier (Big East),72.2,70.6,1.5
Sacred Heart (NEC),79.9,78.4,1.5
Missouri St. (MVC),68.9,67.4,1.5
Georgetown (Big East),79.5,78.1,1.5
Dartmouth (Ivy League),72,70.5,1.5
Bethune-Cookman (MEAC),73.9,72.4,1.5
Green Bay (Horizon),81.3,79.9,1.4
Sacramento St. (Big Sky),70.9,69.5,1.4
Robert Morris (NEC),69.9,68.7,1.3
Pepperdine (WCC),75.6,74.4,1.3
Quinnipiac (MAAC),74,72.7,1.3
Bradley (MVC),66.5,65.3,1.3
Minnesota (Big Ten),70.6,69.4,1.3
Pittsburgh (ACC),69.9,68.7,1.2
Louisiana (Sun Belt),81.6,80.5,1.2
Duquesne (Atlantic 10),73.5,72.3,1.2
UMass Lowell (America East),76.8,75.6,1.1
LIU (NEC),74.2,73,1.1
Butler (Big East),71.9,70.8,1.1
UNLV (Mountain West),73.4,72.3,1.1
Miami (OH) (MAC),70.8,69.8,1.1
Utah (Pac-12),75.6,74.5,1
Penn St. (Big Ten),69.7,68.6,1
N.C. A&T (MEAC),70,69,1
Stanford (Pac-12),72.7,71.8,0.9
Northwestern (Big Ten),65.9,65.1,0.8
North Dakota (Summit League),74,73.2,0.8
Tulsa (AAC),71.8,71,0.8
St. Francis Brooklyn (NEC),71.1,70.3,0.8
George Mason (Atlantic 10),70.1,69.4,0.8
Iona (MAAC),76.7,76,0.7
Miami (FL) (ACC),71.8,71.1,0.7
Howard (MEAC),78.9,78.3,0.7
Cal St. Fullerton (Big West),71.7,71,0.7
App State (Sun Belt),79.9,79.3,0.6
Valparaiso (MVC),66.8,66.3,0.5
Oakland (Horizon),76.7,76.2,0.5
Alabama (SEC),72,71.6,0.4
North Dakota St. (Summit League),73,72.6,0.4
UCLA (Pac-12),78.2,77.8,0.4
South Alabama (Sun Belt),72.9,72.5,0.4
South Carolina (SEC),72.7,72.4,0.3
High Point (Big South),68.2,67.9,0.3
UTRGV (WAC),71.2,70.9,0.3
Saint Francis (PA) (NEC),76.3,76,0.3
Columbia (Ivy League),73.5,73.3,0.3
Southern Utah (Big Sky),75.7,75.5,0.2
UIC (Horizon),74.7,74.5,0.2
Mercer (SoCon),72.5,72.5,0.1
A&M-Corpus Christi (Southland),66.4,66.4,0.1
Longwood (Big South),70.8,70.8,0
CSU Bakersfield (WAC),70.9,70.9,0
Marshall (C-USA),80.5,80.5,0
Boston U. (Patriot),72.3,72.3,-0.1
Princeton (Ivy League),69.6,69.7,-0.1
Southeastern La. (Southland),67.4,67.5,-0.1
Notre Dame (ACC),68.7,69,-0.3
Eastern Mich. (MAC),68.8,69.2,-0.3
New Mexico (Mountain West),76.3,76.7,-0.3
Colorado St. (Mountain West),74.8,75.2,-0.4
UNI (MVC),65.1,65.6,-0.4
Eastern Ky. (OVC),82.6,83.1,-0.5
Jacksonville (ASUN),74.5,75.1,-0.5
Missouri (SEC),67.2,67.8,-0.6
Richmond (Atlantic 10),70.1,70.7,-0.6
UT Arlington (Sun Belt),69.2,69.8,-0.6
South Dakota (Summit League),70.6,71.2,-0.6
Houston Baptist (Southland),82.2,82.8,-0.6
Delaware (CAA),71.3,72.1,-0.8
Rutgers (Big Ten),67.9,68.8,-0.9
Fordham (Atlantic 10),65.9,66.9,-1
The Citadel (SoCon),85.1,86.1,-1
Long Beach St. (Big West),74.9,76,-1.1
Army West Point (Patriot),70.9,72,-1.2
Georgia Tech (ACC),65.3,66.6,-1.2
Nicholls (Southland),72.9,74.3,-1.4
Texas A&M (SEC),70.4,71.8,-1.4
North Florida (ASUN),75.3,76.7,-1.4
Siena (MAAC),64.6,66,-1.4
Montana St. (Big Sky),78.2,79.8,-1.6
Drexel (CAA),75.8,77.3,-1.6
Little Rock (Sun Belt),74.2,75.9,-1.7
Illinois St. (MVC),68.4,70.1,-1.7
Santa Clara (WCC),68.2,70.1,-1.8
SFA (Southland),70.2,72,-1.9
Boston College (ACC),70.8,72.8,-1.9
Marist (MAAC),67.3,69.3,-2
Eastern Wash. (Big Sky),72.4,74.3,-2
Cornell (Ivy League),69.3,71.3,-2
Albany (NY) (America East),67.2,69.3,-2.1
William & Mary (CAA),74.9,76.9,-2.1
Saint Joseph's (Atlantic 10),70.5,72.6,-2.1
Troy (Sun Belt),72.6,74.7,-2.1
Indiana St. (MVC),69.2,71.5,-2.3
Wagner (NEC),65.8,68.1,-2.3
Western Ill. (Summit League),70.9,73.3,-2.4
Holy Cross (Patriot),67.2,69.6,-2.4
FGCU (ASUN),71.3,73.8,-2.5
Illinois (Big Ten),72.7,75.2,-2.6
Evansville (MVC),69.8,72.4,-2.6
James Madison (CAA),70.4,73,-2.6
Georgia (SEC),71.1,73.9,-2.8
Massachusetts (Atlantic 10),70.7,73.6,-2.8
UC Davis (Big West),65.7,68.6,-2.9
CSUN (Big West),76.5,79.4,-2.9
Fairfield (MAAC),66.8,69.9,-3.1
Pacific (WCC),66.8,70,-3.2
Chattanooga (SoCon),70.9,74.3,-3.4
Morehead St. (OVC),73.7,77.1,-3.4
Oklahoma St. (Big 12),68.1,71.5,-3.4
Youngstown St. (Horizon),75.5,78.9,-3.5
Central Ark. (Southland),72.2,75.7,-3.5
Rice (C-USA),74,77.5,-3.6
Niagara (MAAC),72.4,76,-3.6
Air Force (Mountain West),68.1,71.7,-3.6
Arkansas St. (Sun Belt),73.7,77.3,-3.6
West Virginia (Big 12),73.8,77.4,-3.6
Ohio (MAC),70.1,73.8,-3.7
Kansas City (WAC),69.4,73.2,-3.8
UC Riverside (Big West),65.2,69.1,-3.8
Washington St. (Pac-12),74.8,78.7,-3.9
Towson (CAA),67.8,71.7,-3.9
Canisius (MAAC),70.3,74.3,-3.9
Jackson St. (SWAC),61.7,65.8,-4.2
UT Martin (OVC),76,80.2,-4.2
Florida A&M (MEAC),62.2,66.4,-4.2
Vanderbilt (SEC),68.1,72.3,-4.2
Cleveland St. (Horizon),74.2,78.6,-4.4
Northern Ariz. (Big Sky),73,77.5,-4.5
Loyola Maryland (Patriot),72.9,77.4,-4.5
Lafayette (Patriot),73.6,78.3,-4.7
UNCW (CAA),76.2,80.9,-4.8
Alabama St. (SWAC),67.3,72.1,-4.8
Morgan St. (MEAC),72,76.8,-4.8
UTEP (C-USA),64.1,69,-4.9
La Salle (Atlantic 10),67.5,72.4,-4.9
Eastern Ill. (OVC),71.8,76.8,-4.9
McNeese (Southland),69.3,74.3,-5
Tennessee St. (OVC),72.7,77.7,-5
Ark.-Pine Bluff (SWAC),65.9,70.9,-5
Southeast Mo. St. (OVC),71.5,76.7,-5.2
Central Conn. St. (NEC),71.1,76.4,-5.2
Oral Roberts (Summit League),72.3,77.6,-5.3
Middle Tenn. (C-USA),66.9,72.3,-5.4
Milwaukee (Horizon),69.2,74.7,-5.5
Manhattan (MAAC),57.3,62.8,-5.6
Elon (CAA),70.8,76.4,-5.6
Idaho St. (Big Sky),73.3,79,-5.7
VMI (SoCon),76,81.8,-5.8
Saint Peter's (MAAC),62.9,68.6,-5.8
Monmouth (MAAC),65.3,71.1,-5.8
Detroit Mercy (Horizon),73.5,79.5,-6
South Carolina St. (MEAC),70.2,76.3,-6
Western Mich. (MAC),70.2,76.2,-6
Navy (Patriot),66.5,72.6,-6.1
Mount St. Mary's (NEC),67.5,73.7,-6.3
Alcorn (SWAC),64.4,70.8,-6.4
Binghamton (America East),65.2,72,-6.8
East Carolina (AAC),67.4,74.2,-6.8
USC Upstate (Big South),67.8,74.8,-7.1
Wake Forest (ACC),68.4,75.6,-7.3
Northwestern St. (Southland),66.2,73.5,-7.4
Charlotte (C-USA),61.2,68.7,-7.4
Bryant (NEC),69.6,77.1,-7.5
Denver (Summit League),69.5,77.3,-7.8
George Washington (Atlantic 10),63.5,71.4,-7.8
Tennessee Tech (OVC),67.9,75.8,-7.9
Western Caro. (SoCon),72,80.1,-8.1
SIUE (OVC),73.1,81.3,-8.2
New Hampshire (America East),60.1,68.6,-8.6
California (Pac-12),68.4,77,-8.6
Cal Poly (Big West),66.6,75.3,-8.7
Southern U. (SWAC),64.9,73.8,-8.8
Maine (America East),62.1,71,-8.8
Idaho (Big Sky),67.9,76.9,-8.9
Stetson (ASUN),69.4,78.4,-9
Wyoming (Mountain West),65.8,75.3,-9.6
Portland (WCC),64.9,74.7,-9.7
UIW (Southland),65.9,76,-10
Tulane (AAC),67.2,77.5,-10.4
Savannah St. (MEAC),76.1,86.9,-10.8
Alabama A&M (SWAC),60.6,71.4,-10.8
Coppin St. (MEAC),64.2,76,-11.8
Kennesaw St. (ASUN),63.4,76.7,-13.3
Delaware St. (MEAC),63.1,76.5,-13.4
Mississippi Val. (SWAC),64.3,78.1,-13.8
UMES (MEAC),57.3,71.6,-14.3
UNC Asheville (Big South),59.9,74.6,-14.7
San Jose St. (Mountain West),65.9,81.7,-15.9
Chicago St. (WAC),61.6,84.7,-23.1
