Team,FTPG,FTAPG,FT%
Mississippi St. (SEC),13.65,19.03,71.7
Illinois St. (MVC),11.73,16.36,71.7
Furman (SoCon),11.03,15.39,71.7
Radford (Big South),11.18,15.61,71.7
George Mason (Atlantic 10),13.76,19.21,71.6
Santa Clara (WCC),13.10,18.29,71.6
San Diego St. (Mountain West),14.29,19.97,71.6
UC Santa Barbara (Big West),15.50,21.66,71.6
Seattle U (WAC),14.48,20.24,71.6
Brown (Ivy League),15.31,21.41,71.5
App State (Sun Belt),15.78,22.06,71.5
SMU (AAC),11.69,16.34,71.5
Navy (Patriot),12.55,17.55,71.5
Memphis (AAC),16.56,23.19,71.4
Morgan St. (MEAC),15.90,22.30,71.3
McNeese (Southland),14.87,20.87,71.3
Southern Utah (Big Sky),15.85,22.26,71.2
Bryant (NEC),14.67,20.60,71.2
Abilene Christian (Southland),13.44,18.88,71.2
Eastern Ky. (OVC),15.68,22.03,71.2
USC Upstate (Big South),10.94,15.38,71.1
Gardner-Webb (Big South),15.06,21.17,71.1
Auburn (SEC),13.50,19.00,71.1
Loyola Maryland (Patriot),13.69,19.28,71
Norfolk St. (MEAC),15.83,22.31,71
Miami (OH) (MAC),13.88,19.56,70.9
UC Davis (Big West),11.77,16.61,70.9
Nevada (Mountain West),17.00,24.00,70.8
NC State (ACC),13.00,18.36,70.8
Cal St. Fullerton (Big West),15.12,21.35,70.8
Austin Peay (OVC),15.09,21.36,70.6
Saint Francis (PA) (NEC),14.94,21.15,70.6
Utah (Pac-12),14.03,19.87,70.6
Seton Hall (Big East),14.47,20.50,70.6
Columbia (Ivy League),9.50,13.46,70.6
Georgia (SEC),16.00,22.69,70.5
Northern Ariz. (Big Sky),13.97,19.81,70.5
Akron (MAC),11.52,16.33,70.5
Morehead St. (OVC),13.97,19.82,70.5
Kansas (Big 12),13.53,19.19,70.5
Cincinnati (AAC),15.26,21.66,70.4
Wofford (SoCon),11.60,16.49,70.4
Missouri (SEC),11.56,16.44,70.3
SIUE (OVC),15.35,21.84,70.3
Houston (AAC),13.24,18.84,70.3
Northern Colo. (Big Sky),13.91,19.78,70.3
LIU (NEC),14.13,20.09,70.3
Green Bay (Horizon),15.13,21.53,70.3
IUPUI (Horizon),14.88,21.18,70.2
Ball St. (MAC),15.09,21.48,70.2
Illinois (Big Ten),12.58,17.91,70.2
New Mexico (Mountain West),16.34,23.28,70.2
Portland St. (Big Sky),16.41,23.38,70.2
UC Irvine (Big West),12.14,17.30,70.2
Michigan (Big Ten),10.97,15.65,70.1
VCU (Atlantic 10),14.21,20.27,70.1
Youngstown St. (Horizon),11.06,15.78,70.1
Tennessee St. (OVC),14.67,20.93,70.1
Kansas City (WAC),12.91,18.44,70
Valparaiso (MVC),12.61,18.03,69.9
Robert Morris (NEC),12.74,18.23,69.9
Texas (Big 12),12.03,17.22,69.9
Boston College (ACC),14.26,20.42,69.8
American (Patriot),13.70,19.63,69.8
Oklahoma (Big 12),12.68,18.18,69.7
Nebraska (Big Ten),13.44,19.28,69.7
Pittsburgh (ACC),16.45,23.61,69.7
UNC Greensboro (SoCon),12.89,18.50,69.7
Towson (CAA),11.56,16.63,69.5
Washington (Pac-12),13.11,18.86,69.5
Tulsa (AAC),16.31,23.47,69.5
North Dakota (Summit League),11.17,16.07,69.5
A&M-Corpus Christi (Southland),11.75,16.91,69.5
Kennesaw St. (ASUN),12.81,18.44,69.5
UTRGV (WAC),17.32,24.95,69.4
Colorado St. (Mountain West),12.56,18.09,69.4
Duquesne (Atlantic 10),14.38,20.72,69.4
Penn St. (Big Ten),13.28,19.16,69.3
Elon (CAA),9.59,13.84,69.3
Purdue Fort Wayne (Summit League),11.70,16.88,69.3
Fairfield (MAAC),9.39,13.55,69.3
Hawaii (Big West),12.87,18.58,69.3
Sacramento St. (Big Sky),13.23,19.10,69.3
Texas A&M (SEC),13.66,19.72,69.3
Missouri St. (MVC),13.56,19.59,69.2
Canisius (MAAC),12.44,17.97,69.2
North Florida (ASUN),11.30,16.33,69.2
Bradley (MVC),13.29,19.20,69.2
Stetson (ASUN),11.23,16.23,69.2
Ga. Southern (Sun Belt),15.09,21.82,69.2
New Orleans (Southland),14.27,20.64,69.2
Providence (Big East),15.68,22.68,69.1
Western Mich. (MAC),14.69,21.25,69.1
Oral Roberts (Summit League),10.63,15.38,69.1
Long Beach St. (Big West),16.88,24.44,69.1
Dayton (Atlantic 10),12.03,17.42,69
UMBC (America East),11.62,16.85,68.9
Montana (Big Sky),12.23,17.74,68.9
Tulane (AAC),13.00,18.87,68.9
Georgia Tech (ACC),12.66,18.38,68.9
Oklahoma St. (Big 12),11.81,17.16,68.9
Southeast Mo. St. (OVC),11.55,16.77,68.8
Mercer (SoCon),14.39,20.90,68.8
Eastern Ill. (OVC),11.72,17.03,68.8
West Virginia (Big 12),16.22,23.58,68.8
Buffalo (MAC),14.64,21.31,68.7
Lamar University (Southland),17.12,24.94,68.7
Duke (ACC),14.50,21.13,68.6
South Alabama (Sun Belt),13.50,19.68,68.6
Rice (C-USA),15.63,22.78,68.6
Monmouth (MAAC),15.14,22.09,68.6
Southern Ill. (MVC),11.78,17.19,68.5
Grambling (SWAC),15.74,22.97,68.5
George Washington (Atlantic 10),12.45,18.18,68.5
Marist (MAAC),11.71,17.10,68.5
Syracuse (ACC),14.12,20.62,68.5
UNLV (Mountain West),14.29,20.87,68.5
UC Riverside (Big West),8.79,12.85,68.4
Boston U. (Patriot),9.70,14.18,68.4
Army West Point (Patriot),10.06,14.72,68.4
Texas St. (Sun Belt),13.94,20.41,68.3
Chattanooga (SoCon),9.75,14.28,68.3
Cleveland St. (Horizon),12.87,18.87,68.2
SFA (Southland),13.80,20.23,68.2
UIC (Horizon),11.19,16.41,68.2
East Carolina (AAC),14.03,20.58,68.2
TCU (Big 12),12.68,18.59,68.2
Minnesota (Big Ten),16.06,23.56,68.2
South Carolina (SEC),14.78,21.69,68.2
Massachusetts (Atlantic 10),12.22,17.94,68.1
Prairie View (SWAC),17.03,25.00,68.1
Northwestern St. (Southland),13.26,19.48,68
Rhode Island (Atlantic 10),14.52,21.33,68
Arizona St. (Pac-12),17.65,25.94,68
UConn (AAC),13.21,19.42,68
Fordham (Atlantic 10),9.81,14.44,68
Siena (MAAC),9.06,13.33,68
Delaware St. (MEAC),10.71,15.77,67.9
Creighton (Big East),11.29,16.63,67.9
Xavier (Big East),12.49,18.40,67.9
Mount St. Mary's (NEC),13.00,19.16,67.8
Ark.-Pine Bluff (SWAC),14.88,21.94,67.8
Air Force (Mountain West),10.66,15.72,67.8
New Mexico St. (WAC),13.83,20.40,67.8
St. Francis Brooklyn (NEC),11.91,17.58,67.8
Baylor (Big 12),12.65,18.68,67.7
High Point (Big South),13.19,19.48,67.7
Jacksonville (ASUN),12.31,18.19,67.7
