Rank,Team,ASTPG,TOPG,Ratio
129,Seton Hall (Big East),13.50,12.44,1.09
130,Oklahoma St. (Big 12),13.19,12.16,1.08
131,Howard (MEAC),13.62,12.56,1.08
132,Texas St. (Sun Belt),14.50,13.38,1.08
133,Indiana (Big Ten),13.40,12.37,1.08
134,LMU (CA) (WCC),13.53,12.50,1.08
135,Rider (MAAC),14.52,13.42,1.08
136,N.C. A&T (MEAC),14.13,13.06,1.08
137,Washington St. (Pac-12),14.88,13.78,1.08
138,Old Dominion (C-USA),12.54,11.66,1.08
139,Utah (Pac-12),14.19,13.19,1.08
140,Kentucky (SEC),13.54,12.59,1.08
141,Arizona (Pac-12),12.44,11.59,1.07
142,Oklahoma (Big 12),12.65,11.79,1.07
143,UNC Greensboro (SoCon),12.58,11.75,1.07
144,Sacramento St. (Big Sky),13.90,13.03,1.07
145,Mississippi St. (SEC),14.15,13.26,1.07
146,UTRGV (WAC),13.59,12.76,1.07
147,Tulsa (AAC),13.44,12.63,1.06
148,Idaho St. (Big Sky),12.77,12.00,1.06
149,Youngstown St. (Horizon),14.03,13.22,1.06
150,Georgia St. (Sun Belt),12.21,11.50,1.06
151,Vermont (America East),11.74,11.09,1.06
152,Baylor (Big 12),13.91,13.15,1.06
153,Northern Colo. (Big Sky),13.19,12.47,1.06
154,Iona (MAAC),13.09,12.39,1.06
155,UT Martin (OVC),14.23,13.48,1.06
156,Boston U. (Patriot),13.55,12.85,1.05
157,Massachusetts (Atlantic 10),14.66,13.91,1.05
158,UMBC (America East),13.29,12.62,1.05
159,Stetson (ASUN),13.48,12.81,1.05
160,Boise St. (Mountain West),12.06,11.48,1.05
161,DePaul (Big East),14.25,13.58,1.05
162,UTSA (C-USA),13.13,12.56,1.04
163,North Dakota (Summit League),13.27,12.70,1.04
164,Lafayette (Patriot),13.97,13.40,1.04
165,American (Patriot),13.40,12.87,1.04
166,Florida (SEC),12.14,11.67,1.04
167,Fordham (Atlantic 10),11.25,10.81,1.04
168,UIC (Horizon),14.94,14.38,1.04
