Team,FGPG,FGAPG,FG%
Detroit Mercy (Horizon),25,60,41.8
SIUE (OVC),26,61,41.8
UTRGV (WAC),24,58,41.8
East Carolina (AAC),24,58,41.8
Arkansas St. (Sun Belt),25,60,41.8
Pittsburgh (ACC),23,56,41.8
Mount St. Mary's (NEC),24,57,41.8
Wyoming (Mountain West),22,52,41.7
Penn St. (Big Ten),25,59,41.7
Saint Louis (Atlantic 10),24,57,41.7
UNI (MVC),23,54,41.6
Albany (NY) (America East),23,55,41.6
Tennessee Tech (OVC),24,58,41.6
Charlotte (C-USA),21,50,41.5
Monmouth (MAAC),23,55,41.4
Central Conn. St. (NEC),24,59,41.4
USC Upstate (Big South),24,59,41.4
Portland (WCC),22,53,41.4
West Virginia (Big 12),25,61,41.3
Alcorn (SWAC),23,56,41.2
Cal Poly (Big West),24,59,41.2
Princeton (Ivy League),24,60,41.1
Tulane (AAC),24,58,41.1
Fla. Atlantic (C-USA),25,60,41
Chicago St. (WAC),22,55,41
Navy (Patriot),24,58,41
UT Arlington (Sun Belt),24,58,40.9
Akron (MAC),24,59,40.9
Saint Joseph's (Atlantic 10),24,59,40.8
Wichita St. (AAC),25,62,40.8
Alabama A&M (SWAC),23,56,40.7
Old Dominion (C-USA),24,58,40.6
Northwestern St. (Southland),23,58,40.5
Manhattan (MAAC),20,50,40.5
Stetson (ASUN),26,63,40.5
George Washington (Atlantic 10),23,56,40.4
Jackson St. (SWAC),22,55,40.4
San Jose St. (Mountain West),23,57,40.4
Alabama St. (SWAC),23,57,40.4
UNC Asheville (Big South),21,52,40.3
Northwestern (Big Ten),23,57,40.2
Fordham (Atlantic 10),24,59,40.2
UTEP (C-USA),22,55,40.1
La Salle (Atlantic 10),23,58,40
Savannah St. (MEAC),27,67,39.7
Morgan St. (MEAC),25,64,39.4
Wake Forest (ACC),23,58,39.4
Notre Dame (ACC),24,60,39.3
UMES (MEAC),21,53,39
Coppin St. (MEAC),22,55,38.9
Wagner (NEC),22,57,38.6
Kennesaw St. (ASUN),23,61,38.1
Mississippi Val. (SWAC),23,60,38
New Hampshire (America East),21,57,37.6
Delaware St. (MEAC),22,63,35.4
