Team,OPP FGPG,OPP FGAPG,OPP FG%
Grand Canyon (WAC),25,57,43.6
Sam Houston (Southland),23,54,43.6
Ohio (MAC),26,60,43.6
Auburn (SEC),24,54,43.7
Loyola Chicago (MVC),22,51,43.7
American (Patriot),25,57,43.7
Saint Joseph's (Atlantic 10),26,59,43.7
Minnesota (Big Ten),26,59,43.8
UNC Greensboro (SoCon),24,55,43.8
Mississippi St. (SEC),25,57,43.8
Saint Mary's (CA) (WCC),24,54,43.8
New Orleans (Southland),25,56,43.8
Charlotte (C-USA),24,54,43.8
Central Ark. (Southland),26,60,43.8
Columbia (Ivy League),25,57,43.9
Cornell (Ivy League),27,61,43.9
San Diego (WCC),24,55,43.9
George Mason (Atlantic 10),25,57,43.9
Milwaukee (Horizon),26,58,43.9
UConn (AAC),25,56,43.9
Lamar University (Southland),25,56,44
Mercer (SoCon),25,57,44
UNI (MVC),23,53,44
BYU (WCC),26,60,44
Little Rock (Sun Belt),26,58,44
Central Conn. St. (NEC),26,59,44
Tulane (AAC),28,63,44.1
Penn St. (Big Ten),24,55,44.1
Duquesne (Atlantic 10),26,60,44.1
NC State (ACC),25,57,44.1
Illinois St. (MVC),25,56,44.1
George Washington (Atlantic 10),26,58,44.1
Tennessee Tech (OVC),27,61,44.1
Evansville (MVC),26,58,44.2
FGCU (ASUN),27,60,44.2
Arkansas St. (Sun Belt),26,58,44.2
Southeastern La. (Southland),23,53,44.2
Ga. Southern (Sun Belt),27,62,44.2
Western Ill. (Summit League),27,60,44.2
Sacred Heart (NEC),28,63,44.3
Sacramento St. (Big Sky),24,54,44.3
Nicholls (Southland),27,60,44.3
New Hampshire (America East),24,54,44.3
Temple (AAC),25,57,44.3
Delaware (CAA),26,59,44.3
Binghamton (America East),27,60,44.4
Quinnipiac (MAAC),27,61,44.4
Wyoming (Mountain West),26,59,44.4
Long Beach St. (Big West),28,63,44.4
Mount St. Mary's (NEC),26,58,44.5
Marist (MAAC),23,53,44.5
UTRGV (WAC),24,54,44.5
Fairleigh Dickinson (NEC),26,58,44.5
Portland (WCC),26,58,44.5
Green Bay (Horizon),28,64,44.5
Ole Miss (SEC),25,57,44.5
Iona (MAAC),27,61,44.5
Cleveland St. (Horizon),28,62,44.6
Presbyterian (Big South),26,57,44.6
CSUN (Big West),28,63,44.7
Western Mich. (MAC),27,61,44.7
Col. of Charleston (CAA),25,56,44.7
Robert Morris (NEC),23,52,44.8
IUPUI (Horizon),26,58,44.8
Troy (Sun Belt),27,59,44.8
Hawaii (Big West),25,56,44.8
Arizona (Pac-12),25,55,44.8
Iowa (Big Ten),27,60,44.8
Campbell (Big South),24,55,44.8
Alcorn (SWAC),25,56,44.8
Rice (C-USA),28,62,44.8
Central Mich. (MAC),29,64,44.9
Navy (Patriot),26,57,44.9
East Carolina (AAC),25,57,44.9
Albany (NY) (America East),25,56,44.9
UNLV (Mountain West),26,58,44.9
South Alabama (Sun Belt),25,57,44.9
Boise St. (Mountain West),24,54,45
South Dakota (Summit League),25,56,45
Northern Colo. (Big Sky),26,58,45
Delaware St. (MEAC),26,59,45
Indiana St. (MVC),25,55,45.1
Jacksonville (ASUN),28,61,45.1
Texas Southern (SWAC),29,64,45.1
Idaho (Big Sky),27,61,45.1
Miami (FL) (ACC),27,59,45.1
Air Force (Mountain West),26,57,45.1
Austin Peay (OVC),26,58,45.1
Massachusetts (Atlantic 10),25,55,45.1
New Mexico (Mountain West),27,60,45.1
DePaul (Big East),27,59,45.2
UMass Lowell (America East),27,61,45.2
Hofstra (CAA),27,60,45.2
North Dakota (Summit League),27,59,45.2
Eastern Wash. (Big Sky),26,57,45.2
Missouri St. (MVC),23,52,45.2
Eastern Ill. (OVC),27,59,45.3
Hartford (America East),26,58,45.3
Elon (CAA),27,60,45.3
Wright St. (Horizon),25,54,45.4
Southeast Mo. St. (OVC),27,60,45.4
Purdue Fort Wayne (Summit League),29,63,45.4
ULM (Sun Belt),27,60,45.5
Ark.-Pine Bluff (SWAC),24,54,45.5
Army West Point (Patriot),26,58,45.5
Alabama St. (SWAC),25,56,45.5
Chattanooga (SoCon),27,59,45.5
Colorado St. (Mountain West),27,59,45.5
Morehead St. (OVC),28,61,45.5
UMES (MEAC),25,54,45.6
Maine (America East),24,52,45.6
La Salle (Atlantic 10),25,55,45.6
McNeese (Southland),27,59,45.6
UC Davis (Big West),24,53,45.6
FIU (C-USA),29,63,45.6
Butler (Big East),25,54,45.7
Holy Cross (Patriot),25,55,45.7
Creighton (Big East),27,59,45.7
Prairie View (SWAC),25,54,45.7
William & Mary (CAA),27,60,45.8
Marshall (C-USA),29,63,45.8
Utah (Pac-12),27,58,45.8
West Virginia (Big 12),27,59,45.8
Kent St. (MAC),26,57,45.9
Rider (MAAC),26,57,45.9
Dartmouth (Ivy League),27,58,46
Oral Roberts (Summit League),27,59,46
Fairfield (MAAC),24,52,46
James Madison (CAA),26,57,46
Northeastern (CAA),26,57,46
Cal Poly (Big West),27,58,46.1
North Dakota St. (Summit League),27,58,46.1
Oakland (Horizon),28,61,46.1
Siena (MAAC),25,53,46.2
The Citadel (SoCon),30,66,46.2
USC Upstate (Big South),26,57,46.2
Saint Francis (PA) (NEC),27,59,46.3
Louisiana (Sun Belt),28,61,46.3
Savannah St. (MEAC),31,67,46.3
Illinois (Big Ten),26,56,46.3
Portland St. (Big Sky),26,55,46.3
Niagara (MAAC),28,61,46.4
Mississippi Val. (SWAC),28,60,46.4
Youngstown St. (Horizon),28,59,46.4
Pacific (WCC),24,51,46.4
Wake Forest (ACC),27,58,46.4
Eastern Ky. (OVC),29,62,46.5
Kansas City (WAC),26,55,46.5
Pepperdine (WCC),26,56,46.5
Stetson (ASUN),28,60,46.5
Richmond (Atlantic 10),26,56,46.5
Tennessee St. (OVC),25,54,46.6
Morgan St. (MEAC),27,58,46.6
Kennesaw St. (ASUN),28,61,46.6
UC Riverside (Big West),25,53,46.7
App State (Sun Belt),29,61,46.7
Canisius (MAAC),26,56,46.9
Alabama A&M (SWAC),25,54,46.9
Omaha (Summit League),28,59,46.9
Denver (Summit League),27,58,47
Boston U. (Patriot),26,55,47.1
Washington St. (Pac-12),29,61,47.1
Northern Ariz. (Big Sky),28,59,47.1
Lafayette (Patriot),28,60,47.2
San Jose St. (Mountain West),30,63,47.3
UNCW (CAA),28,60,47.3
Detroit Mercy (Horizon),28,60,47.3
Bryant (NEC),27,57,47.5
VMI (SoCon),30,62,47.5
UNC Asheville (Big South),26,55,47.6
Idaho St. (Big Sky),28,60,47.8
Western Caro. (SoCon),28,59,48
Southern U. (SWAC),25,52,48.1
Drexel (CAA),29,60,48.2
UT Martin (OVC),30,61,48.3
Montana St. (Big Sky),29,60,48.4
Chicago St. (WAC),30,62,48.5
South Carolina St. (MEAC),27,55,48.5
Loyola Maryland (Patriot),28,57,48.7
California (Pac-12),27,55,48.9
Houston Baptist (Southland),30,60,49.1
UIW (Southland),27,54,49.2
SIUE (OVC),29,59,49.2
