Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2019,Oregon (Pac-12),True,16.0,12.0,Auto,48.0,65.8,7.8,1.4,45.1,72.1,35.1,39.8,29.0,1.13
2019,Iowa St. (Big 12),True,64.0,6.0,Auto,24.0,65.7,8.8,0.3,47.6,73.2,36.3,41.8,33.6,1.35
2019,Gardner-Webb (Big South),False,64.0,16.0,Auto,63.0,65.7,7.1,-1.1,48.7,71.1,39.1,41.5,32.6,1.23
2019,Central Mich. (MAC),False,DNP,DNP,DNP,DNP,65.7,5.9,-0.7,45.5,67.1,37.1,44.9,29.4,1.1
2019,Iowa (Big Ten),True,32.0,10.0,At-Large,37.0,65.7,4.4,0.8,45.6,73.9,36.4,44.8,32.4,1.27
2019,Omaha (Summit League),False,DNP,DNP,DNP,DNP,65.6,2.2,-1.1,47.5,72.1,39.2,46.9,36.2,1.35
2019,Northern Colo. (Big Sky),False,DNP,DNP,DNP,DNP,65.6,6.9,2.9,46.2,70.3,36.2,45.0,36.7,1.06
2019,Saint Mary's (CA) (WCC),False,64.0,11.0,Auto,44.0,64.7,8.2,5.4,47.2,74.2,37.8,43.8,32.1,0.96
2019,Bowling Green (MAC),False,DNP,DNP,DNP,DNP,64.7,5.1,5.3,44.3,67.0,35.7,42.6,34.2,1.04
2019,LMU (CA) (WCC),False,DNP,DNP,DNP,DNP,64.7,4.5,2.7,45.4,74.6,32.0,42.0,31.6,1.08
2019,Lehigh (Patriot),False,DNP,DNP,DNP,DNP,64.5,2.1,0.7,48.2,77.4,42.3,43.0,33.8,1.12
2019,Colorado (Pac-12),True,DNP,DNP,DNP,DNP,63.9,6.1,6.3,45.4,75.3,32.3,42.4,31.8,1.0
2019,Saint Louis (Atlantic 10),False,64.0,13.0,Auto,53.0,63.9,2.8,6.5,41.7,59.8,30.4,41.0,31.6,0.99
2019,Sam Houston (Southland),False,DNP,DNP,DNP,DNP,63.6,5.1,1.8,44.2,75.3,36.7,43.6,33.7,1.34
2019,North Texas (C-USA),False,DNP,DNP,DNP,DNP,63.6,6.8,4.6,43.5,66.9,33.9,40.7,31.3,0.96
2019,Ga. Southern (Sun Belt),False,DNP,DNP,DNP,DNP,63.6,7.2,1.3,49.9,69.2,32.3,44.2,32.7,0.89
2019,Bucknell (Patriot),False,DNP,DNP,DNP,DNP,63.6,3.5,-0.3,45.0,74.9,35.1,43.5,33.3,1.27
2019,Dayton (Atlantic 10),False,DNP,DNP,DNP,DNP,63.6,6.8,2.7,50.4,69.0,33.2,41.4,32.1,1.31
2019,Texas Southern (SWAC),False,DNP,DNP,DNP,DNP,63.2,2.5,1.2,45.5,66.7,32.4,45.1,34.8,1.01
2019,South Fla. (AAC),False,DNP,DNP,DNP,DNP,63.2,5.2,6.7,43.0,64.6,33.2,42.1,32.0,0.86
2019,NJIT (ASUN),False,DNP,DNP,DNP,DNP,62.9,2.0,-2.0,44.4,72.1,34.5,42.7,32.9,0.89
2019,Prairie View (SWAC),False,68.0,16.0,Auto,65.0,62.9,2.3,-4.7,43.8,68.1,32.0,45.7,31.7,1.0
2019,Brown (Ivy League),False,DNP,DNP,DNP,DNP,62.5,4.7,0.0,44.3,71.5,34.2,41.7,30.2,0.91
2019,Marshall (C-USA),False,DNP,DNP,DNP,DNP,62.2,0.0,-7.9,44.2,72.2,34.2,45.8,35.5,1.17
2019,TCU (Big 12),True,DNP,DNP,DNP,DNP,62.2,4.2,2.3,45.7,68.2,34.6,42.9,30.4,1.2
2019,UMBC (America East),False,DNP,DNP,DNP,DNP,61.8,3.5,0.4,43.3,68.9,32.3,41.8,33.1,1.05
2019,St. John's (NY) (Big East),False,68.0,11.0,At-Large,47.0,61.8,2.4,-5.9,45.0,71.9,35.7,43.5,34.2,1.32
2019,San Diego St. (Mountain West),False,DNP,DNP,DNP,DNP,61.8,4.3,1.7,43.6,71.6,36.2,41.0,32.4,1.15
2019,Penn (Ivy League),False,DNP,DNP,DNP,DNP,61.3,4.3,-0.2,45.4,63.8,35.1,43.2,33.5,1.18
2019,Harvard (Ivy League),False,DNP,DNP,DNP,DNP,61.3,1.5,4.5,46.0,72.1,36.0,43.5,34.1,0.75
2019,Memphis (AAC),False,DNP,DNP,DNP,DNP,61.1,5.6,1.9,45.2,71.4,32.2,42.3,32.2,1.02
2019,Minnesota (Big Ten),True,32.0,10.0,At-Large,39.0,61.1,1.3,1.7,43.5,68.2,31.7,43.8,34.0,1.25
2019,Norfolk St. (MEAC),False,DNP,DNP,DNP,DNP,61.1,4.1,0.3,43.3,71.0,36.6,40.9,32.9,0.87
2019,Southern Miss. (C-USA),False,DNP,DNP,DNP,DNP,60.6,7.2,0.1,46.6,65.6,38.6,40.3,33.7,1.6
2019,Ole Miss (SEC),True,64.0,8.0,At-Large,31.0,60.6,4.2,1.5,46.0,78.3,35.8,44.5,37.4,1.14
2019,Louisiana Tech (C-USA),False,DNP,DNP,DNP,DNP,60.6,4.6,0.8,43.6,65.7,33.5,42.7,33.2,1.14
2019,Campbell (Big South),False,DNP,DNP,DNP,DNP,60.6,5.1,-2.9,45.5,75.9,34.3,44.8,35.4,1.43
2019,Lamar University (Southland),False,DNP,DNP,DNP,DNP,60.6,8.3,6.8,45.6,68.7,34.3,44.0,33.9,1.02
2019,Wright St. (Horizon),False,DNP,DNP,DNP,DNP,60.0,5.6,3.0,43.6,73.7,34.4,45.4,36.2,1.2
2019,Fairleigh Dickinson (NEC),False,64.0,16.0,Auto,66.0,60.0,3.0,-0.9,47.5,72.5,40.0,44.5,35.1,1.01
2019,Winthrop (Big South),False,DNP,DNP,DNP,DNP,60.0,4.7,5.3,45.5,73.8,37.3,43.3,33.6,1.01
2019,Wichita St. (AAC),False,DNP,DNP,DNP,DNP,59.5,1.8,3.2,40.8,72.5,31.0,41.5,33.0,1.11
2019,N.C. A&T (MEAC),False,DNP,DNP,DNP,DNP,59.4,1.0,-3.1,45.9,66.4,35.0,42.6,32.0,1.08
2019,BYU (WCC),False,DNP,DNP,DNP,DNP,59.4,2.8,-1.5,46.8,72.7,33.0,44.0,36.6,1.36
2019,Duquesne (Atlantic 10),False,DNP,DNP,DNP,DNP,59.4,1.2,-2.8,42.8,69.4,32.2,44.1,33.8,0.98
2019,Louisiana (Sun Belt),False,DNP,DNP,DNP,DNP,59.4,1.2,-2.4,44.5,74.2,34.5,46.3,36.8,1.15
2019,Syracuse (ACC),True,64.0,8.0,At-Large,30.0,58.8,3.6,-2.3,42.4,68.5,33.3,40.1,32.9,0.96
2019,Seton Hall (Big East),False,64.0,10.0,At-Large,38.0,58.8,2.0,0.0,43.9,70.6,32.4,42.8,34.0,1.09
2019,Western Ky. (C-USA),False,DNP,DNP,DNP,DNP,58.8,2.2,2.3,44.7,72.4,32.7,41.9,34.5,0.89
2019,Clemson (ACC),True,DNP,DNP,DNP,DNP,58.8,4.9,3.4,44.9,73.2,32.8,40.7,35.0,0.91
2019,FIU (C-USA),False,DNP,DNP,DNP,DNP,58.8,1.9,-7.4,44.0,64.0,30.2,45.6,33.9,1.03
