Team,3FGPG,3FGAPG,3FG%
Massachusetts (Atlantic 10),8.00,22.84,35
Washington (Pac-12),7.58,21.67,35
Fairfield (MAAC),8.35,23.87,35
Kansas (Big 12),7.22,20.64,35
Eastern Wash. (Big Sky),9.12,26.06,35
Pacific (WCC),6.19,17.69,35
N.C. A&T (MEAC),7.09,20.28,35
California (Pac-12),6.68,19.10,35
UNCW (CAA),7.88,22.55,34.9
Maryland (Big Ten),7.26,20.79,34.9
Old Dominion (C-USA),7.54,21.60,34.9
Binghamton (America East),8.33,23.88,34.9
UNI (MVC),8.12,23.29,34.8
Texas (Big 12),8.78,25.24,34.8
Rice (C-USA),8.66,24.91,34.8
Nevada (Mountain West),8.74,25.15,34.7
Richmond (Atlantic 10),7.61,21.91,34.7
Albany (NY) (America East),8.56,24.69,34.7
Boston U. (Patriot),6.70,19.36,34.6
Northern Ariz. (Big Sky),8.35,24.16,34.6
TCU (Big 12),7.59,21.97,34.6
William & Mary (CAA),8.19,23.71,34.6
Oklahoma (Big 12),6.65,19.24,34.6
New Mexico (Mountain West),9.13,26.41,34.6
Missouri St. (MVC),7.00,20.28,34.5
Green Bay (Horizon),7.97,23.11,34.5
NJIT (ASUN),7.03,20.37,34.5
Arkansas (SEC),7.62,22.09,34.5
Illinois (Big Ten),7.85,22.76,34.5
Hampton (Big South),8.31,24.11,34.5
Cincinnati (AAC),6.63,19.23,34.5
Louisiana (Sun Belt),8.84,25.66,34.5
Wyoming (Mountain West),7.75,22.50,34.4
Long Beach St. (Big West),6.38,18.53,34.4
UT Martin (OVC),8.06,23.42,34.4
UConn (AAC),7.64,22.18,34.4
Mercer (SoCon),7.35,21.39,34.4
The Citadel (SoCon),12.33,35.87,34.4
UTSA (C-USA),9.19,26.72,34.4
Tennessee Tech (OVC),6.87,20.00,34.4
Wright St. (Horizon),8.03,23.37,34.4
UC Santa Barbara (Big West),6.38,18.56,34.3
Lamar University (Southland),6.91,20.12,34.3
North Florida (ASUN),9.33,27.18,34.3
Campbell (Big South),9.48,27.64,34.3
Charleston So. (Big South),9.53,27.79,34.3
DePaul (Big East),6.69,19.53,34.3
UIW (Southland),5.61,16.39,34.3
Milwaukee (Horizon),7.65,22.32,34.2
UNC Greensboro (SoCon),7.78,22.72,34.2
Brown (Ivy League),7.97,23.28,34.2
Marshall (C-USA),9.78,28.59,34.2
Michigan (Big Ten),7.76,22.68,34.2
Louisville (ACC),8.65,25.29,34.2
SFA (Southland),6.70,19.60,34.2
Baylor (Big 12),8.06,23.62,34.1
Morehead St. (OVC),7.88,23.09,34.1
UMass Lowell (America East),7.69,22.53,34.1
Ohio St. (Big Ten),7.54,22.11,34.1
Rider (MAAC),7.16,21.00,34.1
Loyola Maryland (Patriot),6.56,19.25,34.1
