Rank,Team,GM,W-L,FGM,FGA,FG%
1,Missouri (Big 12),35,30-5,981,"1,945",50.4
2,Creighton (MVC),35,29-6,975,"1,935",50.4
3,Iona (MAAC),33,25-8,"1,021","2,033",50.2
4,Middle Tenn. (Sun Belt),34,27-7,882,"1,782",49.5
5,Indiana (Big Ten),36,27-9,949,"1,928",49.2
6,Memphis (C-USA),35,26-9,933,"1,899",49.1
7,North Dakota St. (Summit League),31,17-14,805,"1,649",48.8
8,Denver (Sun Belt),31,22-9,728,"1,493",48.8
9,Kentucky (SEC),40,38-2,"1,096","2,248",48.8
10,Coastal Carolina (Big South),31,19-12,853,"1,753",48.7
11,Campbell (Big South),32,17-15,846,"1,748",48.4
12,Oral Roberts (Summit League),34,27-7,864,"1,786",48.4
13,Portland St. (Big Sky),32,17-15,846,"1,751",48.3
14,UNC Asheville (Big South),34,24-10,920,"1,907",48.2
15,Wichita St. (MVC),33,27-6,912,"1,892",48.2
16,Belmont (ASUN),35,27-8,975,"2,026",48.1
17,Northern Colo. (Big Sky),28,19-Sep,699,"1,454",48.1
18,Michigan St. (Big Ten),37,29-8,960,"2,012",47.7
19,Idaho (WAC),33,19-14,807,"1,692",47.7
20,Ohio St. (Big Ten),39,31-8,"1,057","2,219",47.6
21,California (Pac-12),34,24-10,893,"1,878",47.6
22,Oregon St. (Pac-12),36,21-15,995,"2,093",47.5
23,Southeast Mo. St. (OVC),31,15-16,819,"1,724",47.5
24,Utah St. (WAC),37,21-16,896,"1,887",47.5
25,New Mexico St. (WAC),36,26-10,970,"2,045",47.4
26,LIU (NEC),34,25-9,920,"1,940",47.4
27,Southern Utah (Summit League),31,14-17,755,"1,594",47.4
28,Saint Mary's (CA) (WCC),33,27-6,857,"1,811",47.3
29,Gonzaga (WCC),33,26-7,823,"1,740",47.3
30,Cal St. Fullerton (Big West),31,21-10,833,"1,763",47.2
31,Kansas (Big 12),39,32-7,"1,023","2,169",47.2
32,Colorado St. (Mountain West),32,20-12,764,"1,621",47.1
33,Saint Joseph's (Atlantic 10),34,20-14,876,"1,862",47
34,N.C. Central (MEAC),32,17-15,772,"1,644",47
35,Temple (Atlantic 10),32,24-8,861,"1,836",46.9
36,Oregon (Pac-12),34,24-10,883,"1,884",46.9
37,Washington St. (Pac-12),37,19-18,860,"1,836",46.8
38,Murray St. (OVC),33,31-2,811,"1,732",46.8
39,Long Beach St. (Big West),34,25-9,880,"1,880",46.8
40,South Dakota St. (Summit League),35,27-8,918,"1,963",46.8
41,Baylor (Big 12),38,30-8,"1,004","2,148",46.7
42,Valparaiso (Horizon),34,22-12,786,"1,682",46.7
43,Syracuse (AAC),37,34-3,"1,006","2,156",46.7
44,San Francisco (WCC),34,20-14,906,"1,942",46.7
45,Harvard (Ivy League),31,26-5,695,"1,490",46.6
46,Ga. Southern (SoCon),30,15-15,749,"1,608",46.6
47,BYU (WCC),35,26-9,977,"2,099",46.5
48,Georgetown (AAC),33,24-9,811,"1,743",46.5
49,Buffalo (MAC),31,20-11,806,"1,734",46.5
