Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
199,Providence (AAC),32,15-17,"2,203",68.8,"2,216",69.3,-0.4
199,SMU (C-USA),32,13-19,"1,909",59.7,"1,922",60.1,-0.4
201,South Alabama (Sun Belt),29,17-12,"1,935",66.7,"1,947",67.1,-0.4
201,Air Force (Mountain West),29,13-16,"1,786",61.6,"1,798",62,-0.4
203,Furman (SoCon),31,15-16,"2,006",64.7,"2,022",65.2,-0.5
203,Little Rock (Sun Belt),31,15-16,"1,974",63.7,"1,990",64.2,-0.5
205,Indiana St. (MVC),33,18-15,"2,120",64.2,"2,141",64.9,-0.6
206,VMI (Big South),33,17-16,"2,631",79.7,"2,660",80.6,-0.9
207,Hawaii (WAC),32,16-16,"2,356",73.6,"2,387",74.6,-1
208,UAB (C-USA),31,15-16,"1,875",60.5,"1,907",61.5,-1
209,Ga. Southern (SoCon),30,15-15,"2,002",66.7,"2,033",67.8,-1
210,CSU Bakersfield (Independent),31,16-15,"2,121",68.4,"2,154",69.5,-1.1
211,Gardner-Webb (Big South),32,12-20,"2,103",65.7,"2,138",66.8,-1.1
212,Oklahoma St. (Big 12),33,15-18,"2,209",66.9,"2,247",68.1,-1.2
213,Arkansas St. (Sun Belt),34,14-20,"2,198",64.6,"2,239",65.9,-1.2
214,Bethune-Cookman (MEAC),35,18-17,"2,276",65,"2,319",66.3,-1.2
215,Western Mich. (MAC),34,14-20,"2,332",68.6,"2,375",69.9,-1.3
216,Sacred Heart (NEC),32,14-18,"2,277",71.2,"2,319",72.5,-1.3
217,Auburn (SEC),31,15-16,"1,942",62.6,"1,983",64,-1.3
218,Coppin St. (MEAC),30,14-16,"2,213",73.8,"2,257",75.2,-1.5
219,Green Bay (Horizon),30,15-15,"1,935",64.5,"1,982",66.1,-1.6
220,Texas Southern (SWAC),33,15-18,"2,021",61.2,"2,073",62.8,-1.6
221,New Hampshire (America East),29,13-16,"1,774",61.2,"1,821",62.8,-1.6
222,Elon (SoCon),31,15-16,"2,175",70.2,"2,226",71.8,-1.6
223,App State (SoCon),31,13-18,"2,121",68.4,"2,175",70.2,-1.7
224,Holy Cross (Patriot),29,15-14,"1,886",65,"1,938",66.8,-1.8
225,Charlotte (Atlantic 10),30,13-17,"2,010",67,"2,066",68.9,-1.9
226,Hofstra (CAA),32,10-22,"2,091",65.3,"2,151",67.2,-1.9
227,Southeastern La. (Southland),29,12-17,"1,738",59.9,"1,795",61.9,-2
228,Lipscomb (ASUN),31,13-18,"2,242",72.3,"2,303",74.3,-2
229,Montana St. (Big Sky),29,12-17,"2,030",70,"2,088",72,-2
230,Maryland (ACC),32,17-15,"2,198",68.7,"2,263",70.7,-2
230,Georgia (SEC),32,15-17,"1,950",60.9,"2,015",63,-2
232,Sam Houston (Southland),32,13-19,"1,875",58.6,"1,941",60.7,-2.1
233,Army West Point (Patriot),30,12-18,"2,027",67.6,"2,091",69.7,-2.1
234,Hampton (MEAC),33,12-21,"2,134",64.7,"2,205",66.8,-2.2
235,Sacramento St. (Big Sky),28,10-18,"1,875",67,"1,936",69.1,-2.2
236,Southern Utah (Summit League),31,14-17,"2,038",65.7,"2,106",67.9,-2.2
237,Fla. Atlantic (Sun Belt),30,11-19,"1,977",65.9,"2,046",68.2,-2.3
238,Cornell (Ivy League),28,12-16,"1,833",65.5,"1,898",67.8,-2.3
239,Georgia Tech (ACC),31,11-20,"1,866",60.2,"1,940",62.6,-2.4
240,Winthrop (Big South),32,12-20,"2,035",63.6,"2,112",66,-2.4
241,Liberty (Big South),32,14-18,"2,201",68.8,"2,283",71.3,-2.6
242,DePaul (AAC),31,12-19,"2,298",74.1,"2,378",76.7,-2.6
243,Prairie View (SWAC),32,14-18,"2,016",63,"2,101",65.7,-2.7
244,Siena (MAAC),31,14-17,"1,975",63.7,"2,061",66.5,-2.8
245,N.C. A&T (MEAC),32,12-20,"2,236",69.9,"2,326",72.7,-2.8
246,Morgan St. (MEAC),29,9-20,"1,934",66.7,"2,017",69.6,-2.9
247,Northeastern (CAA),31,14-17,"1,941",62.6,"2,030",65.5,-2.9
248,Rider (MAAC),32,13-19,"2,291",71.6,"2,387",74.6,-3
249,Eastern Ill. (OVC),29,12-17,"1,896",65.4,"1,984",68.4,-3
250,North Florida (ASUN),32,16-16,"2,168",67.8,"2,266",70.8,-3.1
251,Northern Colo. (Big Sky),28,9-19,"2,026",72.4,"2,112",75.4,-3.1
252,Western Ky. (Sun Belt),35,16-19,"2,272",64.9,"2,383",68.1,-3.2
253,Lafayette (Patriot),31,13-18,"2,161",69.7,"2,260",72.9,-3.2
254,San Diego (WCC),31,13-18,"2,079",67.1,"2,179",70.3,-3.2
255,Southern U. (SWAC),31,17-14,"1,879",60.6,"1,981",63.9,-3.3
256,Austin Peay (OVC),32,12-20,"2,216",69.3,"2,324",72.6,-3.4
257,Wright St. (Horizon),32,13-19,"1,857",58,"1,967",61.5,-3.4
258,Miami (OH) (MAC),30,9-21,"1,821",60.7,"1,927",64.2,-3.5
259,Samford (SoCon),30,11-19,"1,984",66.1,"2,092",69.7,-3.6
260,South Carolina (SEC),31,10-21,"1,903",61.4,"2,015",65,-3.6
261,UC Riverside (Big West),31,14-17,"1,841",59.4,"1,954",63,-3.6
262,James Madison (CAA),32,12-20,"2,115",66.1,"2,235",69.8,-3.8
263,Niagara (MAAC),33,14-19,"2,322",70.4,"2,448",74.2,-3.8
264,FIU (Sun Belt),29,8-21,"1,836",63.3,"1,951",67.3,-4
265,Penn St. (Big Ten),32,12-20,"1,977",61.8,"2,106",65.8,-4
266,UC Irvine (Big West),32,12-20,"2,179",68.1,"2,309",72.2,-4.1
267,St. John's (NY) (AAC),32,13-19,"2,129",66.5,"2,268",70.9,-4.3
268,Pacific (Big West),30,11-19,"1,888",62.9,"2,022",67.4,-4.5
269,Troy (Sun Belt),28,10-18,"1,996",71.3,"2,122",75.8,-4.5
270,Houston Baptist (GWC),30,10-20,"2,208",73.6,"2,344",78.1,-4.5
271,Purdue Fort Wayne (Summit League),30,11-19,"2,100",70,"2,242",74.7,-4.7
271,Nebraska (Big Ten),30,12-18,"1,827",60.9,"1,969",65.6,-4.7
273,George Washington (Atlantic 10),31,10-21,"1,921",62,"2,069",66.7,-4.8
274,Central Mich. (MAC),32,11-21,"1,980",61.9,"2,134",66.7,-4.8
275,Marist (MAAC),32,14-18,"2,176",68,"2,333",72.9,-4.9
276,Wake Forest (ACC),31,13-18,"2,029",65.5,"2,182",70.4,-4.9
277,Alabama St. (SWAC),31,12-19,"1,840",59.4,"1,995",64.4,-5
278,San Jose St. (WAC),31,9-22,"2,099",67.7,"2,261",72.9,-5.2
279,Arizona St. (Pac-12),31,10-21,"1,891",61,"2,056",66.3,-5.3
280,Santa Clara (WCC),30,8-22,"2,085",69.5,"2,245",74.8,-5.3
281,Eastern Mich. (MAC),32,14-18,"1,704",53.3,"1,878",58.7,-5.4
282,Loyola Chicago (Horizon),30,7-23,"1,717",57.2,"1,887",62.9,-5.7
283,UNCW (CAA),31,10-21,"2,013",64.9,"2,189",70.6,-5.7
284,Alcorn (SWAC),32,10-22,"2,002",62.6,"2,187",68.3,-5.8
285,Dartmouth (Ivy League),30,5-25,"1,727",57.6,"1,904",63.5,-5.9
286,UTRGV (GWC),32,11-21,"1,993",62.3,"2,194",68.6,-6.3
287,Stetson (ASUN),29,9-20,"2,089",72,"2,275",78.4,-6.4
288,Southern Ill. (MVC),31,8-23,"1,944",62.7,"2,144",69.2,-6.5
289,Pepperdine (WCC),29,10-19,"1,719",59.3,"1,911",65.9,-6.6
290,Kansas City (Summit League),31,10-21,"1,998",64.5,"2,204",71.1,-6.6
291,Mount St. Mary's (NEC),29,8-21,"1,748",60.3,"1,946",67.1,-6.8
292,Rhode Island (Atlantic 10),31,7-24,"2,126",68.6,"2,339",75.5,-6.9
293,CSUN (Big West),28,7-21,"1,908",68.1,"2,101",75,-6.9
294,UIC (Horizon),30,8-22,"1,826",60.9,"2,033",67.8,-6.9
295,UNC Greensboro (SoCon),32,13-19,"2,231",69.7,"2,457",76.8,-7.1
296,Southern California (Pac-12),32,6-26,"1,683",52.6,"1,910",59.7,-7.1
297,Idaho St. (Big Sky),30,9-21,"1,979",66,"2,192",73.1,-7.1
298,Alabama A&M (SWAC),28,7-21,"1,764",63,"1,964",70.1,-7.1
299,Hartford (America East),31,9-22,"1,860",60,"2,084",67.2,-7.2
300,Florida A&M (MEAC),33,10-23,"2,175",65.9,"2,416",73.2,-7.3
301,Radford (Big South),32,6-26,"1,959",61.2,"2,195",68.6,-7.4
302,Jacksonville (ASUN),30,8-22,"1,951",65,"2,173",72.4,-7.4
303,The Citadel (SoCon),30,6-24,"1,925",64.2,"2,158",71.9,-7.8
304,Brown (Ivy League),31,8-23,"1,907",61.5,"2,154",69.5,-8
305,Navy (Patriot),29,3-26,"1,678",57.9,"1,920",66.2,-8.3
306,Ark.-Pine Bluff (SWAC),33,11-22,"2,013",61,"2,291",69.4,-8.4
307,Texas Tech (Big 12),31,8-23,"1,844",59.5,"2,114",68.2,-8.7
308,Monmouth (NEC),32,12-20,"2,140",66.9,"2,420",75.6,-8.8
309,Saint Francis (PA) (NEC),29,6-23,"1,763",60.8,"2,017",69.6,-8.8
310,William & Mary (CAA),32,6-26,"1,931",60.3,"2,220",69.4,-9
311,Northern Ariz. (Big Sky),29,5-24,"1,804",62.2,"2,068",71.3,-9.1
312,A&M-Corpus Christi (Southland),30,6-24,"1,755",58.5,"2,030",67.7,-9.2
313,Bradley (MVC),32,7-25,"1,955",61.1,"2,256",70.5,-9.4
314,Boston College (ACC),31,9-22,"1,833",59.1,"2,125",68.5,-9.4
315,Howard (MEAC),31,10-21,"1,881",60.7,"2,174",70.1,-9.5
316,Fordham (Atlantic 10),29,10-19,"1,797",62,"2,074",71.5,-9.6
317,Jackson St. (SWAC),31,7-24,"1,737",56,"2,042",65.9,-9.8
318,Canisius (MAAC),30,5-25,"1,965",65.5,"2,271",75.7,-10.2
319,Colgate (Patriot),30,8-22,"1,893",63.1,"2,209",73.6,-10.5
320,Central Ark. (Southland),29,8-21,"2,058",71,"2,371",81.8,-10.8
321,UMES (MEAC),30,7-23,"1,785",59.5,"2,109",70.3,-10.8
322,Portland (WCC),31,7-24,"2,018",65.1,"2,357",76,-10.9
322,Saint Peter's (MAAC),31,5-26,"1,799",58,"2,138",69,-10.9
324,Longwood (Independent),31,10-21,"2,276",73.4,"2,617",84.4,-11
325,ULM (Sun Belt),29,3-26,"1,750",60.3,"2,078",71.7,-11.3
326,Nicholls (Southland),30,10-20,"1,989",66.3,"2,338",77.9,-11.6
327,Fairleigh Dickinson (NEC),29,3-26,"1,762",60.8,"2,108",72.7,-11.9
328,Northern Ill. (MAC),31,5-26,"1,716",55.4,"2,096",67.6,-12.3
329,UC Davis (Big West),31,5-26,"1,924",62.1,"2,307",74.4,-12.4
330,UT Martin (OVC),31,4-27,"1,943",62.7,"2,327",75.1,-12.4
331,South Carolina St. (MEAC),31,5-26,"2,001",64.5,"2,391",77.1,-12.6
332,Kennesaw St. (ASUN),31,3-28,"1,920",61.9,"2,330",75.2,-13.2
333,UMBC (America East),30,4-26,"1,897",63.2,"2,312",77.1,-13.8
334,Binghamton (America East),31,2-29,"1,762",56.8,"2,193",70.7,-13.9
335,Utah (Pac-12),31,6-25,"1,720",55.5,"2,161",69.7,-14.2
336,Chicago St. (GWC),30,4-26,"1,884",62.8,"2,313",77.1,-14.3
337,Grambling (SWAC),28,4-24,"1,513",54,"2,001",71.5,-17.4
338,Towson (CAA),32,1-31,"1,647",51.5,"2,231",69.7,-18.3
