Rank,Team,GM,W-L,FT,FTA,FT%
1,Weber St. (Big Sky),32,25-7,538,661,81.4
2,Dayton (Atlantic 10),33,20-13,484,623,77.7
3,IUPUI (Summit League),32,14-18,495,638,77.6
4,Bucknell (Patriot),35,25-10,532,687,77.4
5,Lehigh (Patriot),35,27-8,590,768,76.8
6,Colorado St. (Mountain West),32,20-12,526,685,76.8
7,Nebraska (Big Ten),30,12-18,335,437,76.7
8,Missouri (Big 12),35,30-5,559,730,76.6
9,UNC Asheville (Big South),34,24-10,682,893,76.4
10,Evansville (MVC),32,16-16,572,749,76.4
11,Indiana (Big Ten),36,27-9,655,858,76.3
12,Lafayette (Patriot),31,13-18,432,566,76.3
13,Richmond (Atlantic 10),32,16-16,509,667,76.3
14,Denver (Sun Belt),31,22-9,401,526,76.2
15,Davidson (SoCon),33,25-8,558,732,76.2
16,St. Bonaventure (Atlantic 10),32,20-12,540,710,76.1
17,Central Conn. St. (NEC),29,13-16,415,547,75.9
18,Eastern Ill. (OVC),29,12-17,373,493,75.7
19,Albany (NY) (America East),34,19-15,524,694,75.5
20,CSUN (Big West),28,7-21,456,604,75.5
21,Illinois St. (MVC),35,21-14,534,708,75.4
22,Villanova (AAC),32,13-19,546,724,75.4
23,Baylor (Big 12),38,30-8,572,759,75.4
24,Wichita St. (MVC),33,27-6,491,656,74.8
25,Harvard (Ivy League),31,26-5,458,613,74.7
26,San Jose St. (WAC),31,9-22,437,586,74.6
27,Oral Roberts (Summit League),34,27-7,557,747,74.6
28,Sacred Heart (NEC),32,14-18,456,612,74.5
29,Morehead St. (OVC),33,18-15,453,608,74.5
30,California (Pac-12),34,24-10,477,641,74.4
31,Wagner (NEC),31,25-6,513,690,74.3
32,UTSA (Southland),32,18-14,481,647,74.3
33,Columbia (Ivy League),30,15-15,378,509,74.3
34,Drexel (CAA),36,29-7,527,711,74.1
35,Vermont (America East),36,24-12,528,714,73.9
36,Wyoming (Mountain West),33,21-12,451,610,73.9
37,Wisconsin (Big Ten),36,26-10,425,575,73.9
38,Oklahoma St. (Big 12),33,15-18,506,685,73.9
39,LMU (CA) (WCC),34,21-13,531,720,73.8
40,Portland St. (Big Sky),32,17-15,561,761,73.7
41,Oakland (Summit League),36,20-16,646,877,73.7
42,Wake Forest (ACC),31,13-18,485,659,73.6
43,Southern Miss. (C-USA),34,25-9,573,779,73.6
44,Belmont (ASUN),35,27-8,572,778,73.5
45,Eastern Ky. (OVC),32,16-16,404,551,73.3
46,Texas (Big 12),34,20-14,601,820,73.3
47,Maine (America East),29,12-17,320,437,73.2
48,Detroit Mercy (Horizon),36,22-14,626,857,73
49,LIU (NEC),34,25-9,704,965,73
50,Penn (Ivy League),33,20-13,374,513,72.9
51,UNI (MVC),34,20-14,441,605,72.9
52,Saint Mary's (CA) (WCC),33,27-6,508,697,72.9
53,Manhattan (MAAC),34,21-13,546,750,72.8
54,Canisius (MAAC),30,5-25,366,503,72.8
55,Oklahoma (Big 12),31,15-16,413,568,72.7
56,South Dakota St. (Summit League),35,27-8,569,783,72.7
57,Army West Point (Patriot),30,12-18,433,596,72.7
58,Toledo (MAC),36,19-17,543,748,72.6
59,Creighton (MVC),35,29-6,535,737,72.6
60,Virginia Tech (ACC),33,16-17,434,599,72.5
61,FIU (Sun Belt),29,8-21,426,588,72.4
62,Murray St. (OVC),33,31-2,551,761,72.4
63,Marist (MAAC),32,14-18,531,734,72.3
64,Southern Utah (Summit League),31,14-17,446,617,72.3
65,Kentucky (SEC),40,38-2,678,938,72.3
66,Virginia (ACC),32,22-10,403,558,72.2
67,Michigan (Big Ten),34,24-10,363,503,72.2
68,La Salle (Atlantic 10),34,21-13,417,578,72.1
69,North Dakota St. (Summit League),31,17-14,458,635,72.1
70,Fresno St. (WAC),33,13-20,486,674,72.1
71,Missouri St. (MVC),32,16-16,372,516,72.1
72,Iowa (Big Ten),35,18-17,550,763,72.1
73,Marquette (AAC),35,27-8,599,831,72.1
74,Indiana St. (MVC),33,18-15,475,659,72.1
75,Miami (FL) (ACC),33,20-13,454,630,72.1
76,Holy Cross (Patriot),29,15-14,374,519,72.1
77,Lamar University (Southland),35,23-12,616,855,72
78,Saint Louis (Atlantic 10),34,26-8,470,653,72
79,VMI (Big South),33,17-16,564,784,71.9
80,Utah St. (WAC),37,21-16,551,766,71.9
81,Temple (Atlantic 10),32,24-8,451,627,71.9
82,Loyola Maryland (MAAC),33,24-9,548,762,71.9
83,Rider (MAAC),32,13-19,503,700,71.9
84,Portland (WCC),31,7-24,410,571,71.8
85,Mercer (ASUN),38,27-11,527,734,71.8
86,Hofstra (CAA),32,10-22,536,747,71.8
87,Memphis (C-USA),35,26-9,563,785,71.7
88,Delaware (CAA),32,18-14,545,760,71.7
89,Montana (Big Sky),32,25-7,482,673,71.6
90,Gonzaga (WCC),33,26-7,575,803,71.6
91,Valparaiso (Horizon),34,22-12,522,730,71.5
92,American (Patriot),32,20-12,406,568,71.5
93,Illinois (Big Ten),32,17-15,378,529,71.5
94,Furman (SoCon),31,15-16,434,608,71.4
95,Iona (MAAC),33,25-8,440,617,71.3
96,Florida (SEC),37,26-11,499,700,71.3
97,Liberty (Big South),32,14-18,454,637,71.3
98,Tennessee Tech (OVC),33,19-14,540,758,71.2
99,North Texas (Sun Belt),32,18-14,455,639,71.2
99,Texas St. (Southland),30,13-17,455,639,71.2
101,William & Mary (CAA),32,6-26,389,547,71.1
102,Alabama (SEC),33,21-12,443,623,71.1
103,Mississippi St. (SEC),33,21-12,436,614,71
104,Cleveland St. (Horizon),33,22-11,352,496,71
105,Yale (Ivy League),29,19-10,459,647,70.9
106,Oregon (Pac-12),34,24-10,515,726,70.9
107,Ohio St. (Big Ten),39,31-8,600,846,70.9
108,Washington St. (Pac-12),37,19-18,573,808,70.9
109,Eastern Wash. (Big Sky),32,15-17,467,659,70.9
110,Western Mich. (MAC),34,14-20,525,741,70.9
111,Santa Clara (WCC),30,8-22,412,582,70.8
112,Florida St. (ACC),35,25-10,473,669,70.7
113,N.C. Central (MEAC),32,17-15,527,746,70.6
114,New Mexico (Mountain West),35,28-7,529,749,70.6
115,Green Bay (Horizon),30,15-15,384,544,70.6
116,South Fla. (AAC),36,22-14,421,597,70.5
117,UTRGV (GWC),32,11-21,409,580,70.5
118,Arizona (Pac-12),35,23-12,568,806,70.5
119,Dartmouth (Ivy League),30,5-25,389,552,70.5
120,Providence (AAC),32,15-17,501,711,70.5
121,Houston (C-USA),30,15-15,398,565,70.4
122,Notre Dame (AAC),34,22-12,474,673,70.4
123,NC State (ACC),37,24-13,545,774,70.4
124,Wright St. (Horizon),32,13-19,418,594,70.4
125,UT Arlington (Southland),33,24-9,624,888,70.3
125,UT Martin (OVC),31,4-27,416,592,70.3
127,NJIT (GWC),32,15-17,404,575,70.3
128,Tennessee (SEC),34,19-15,491,699,70.2
129,Northeastern (CAA),31,14-17,420,598,70.2
130,Texas Tech (Big 12),31,8-23,414,590,70.2
131,Duke (ACC),34,27-7,606,864,70.1
132,San Diego St. (Mountain West),34,26-8,493,703,70.1
133,South Carolina (SEC),31,10-21,321,458,70.1
134,Delaware St. (MEAC),29,15-14,349,498,70.1
135,Robert Morris (NEC),37,26-11,604,862,70.1
136,Niagara (MAAC),33,14-19,503,718,70.1
137,South Alabama (Sun Belt),29,17-12,435,621,70
138,BYU (WCC),35,26-9,540,771,70
139,Michigan St. (Big Ten),37,29-8,531,759,70
140,Pittsburgh (AAC),39,22-17,483,691,69.9
141,Sacramento St. (Big Sky),28,10-18,397,568,69.9
142,Binghamton (America East),31,2-29,376,538,69.9
143,Vanderbilt (SEC),36,25-11,538,770,69.9
144,Northern Colo. (Big Sky),28,9-19,429,614,69.9
145,Cal Poly (Big West),33,18-15,366,524,69.8
146,Georgetown (AAC),33,24-9,470,673,69.8
147,Syracuse (AAC),37,34-3,495,709,69.8
148,George Mason (CAA),33,24-9,511,732,69.8
149,Little Rock (Sun Belt),31,15-16,469,672,69.8
150,Utah Valley (GWC),33,20-13,478,685,69.8
151,Miami (OH) (MAC),30,9-21,323,463,69.8
152,Rutgers (AAC),32,14-18,398,571,69.7
153,Minnesota (Big Ten),38,23-15,536,769,69.7
154,DePaul (AAC),31,12-19,360,517,69.6
155,Loyola Chicago (Horizon),30,7-23,376,540,69.6
156,Alcorn (SWAC),32,10-22,434,624,69.6
157,Kansas City (Summit League),31,10-21,344,495,69.5
158,Xavier (Atlantic 10),36,23-13,569,819,69.5
159,Stetson (ASUN),29,9-20,396,570,69.5
160,Cal St. Fullerton (Big West),31,21-10,485,699,69.4
161,UC Santa Barbara (Big West),31,20-11,417,601,69.4
162,Northern Ariz. (Big Sky),29,5-24,325,469,69.3
163,Stony Brook (America East),32,22-10,390,563,69.3
164,Eastern Mich. (MAC),32,14-18,385,556,69.2
165,Akron (MAC),34,22-12,513,741,69.2
165,Saint Joseph's (Atlantic 10),34,20-14,468,676,69.2
165,Montana St. (Big Sky),29,12-17,414,598,69.2
168,Kansas (Big 12),39,32-7,597,863,69.2
169,Colorado (Pac-12),36,24-12,560,810,69.1
170,Coppin St. (MEAC),30,14-16,412,596,69.1
171,Boise St. (Mountain West),30,13-17,407,589,69.1
172,Northwestern (Big Ten),33,19-14,409,592,69.1
173,TCU (Mountain West),33,18-15,505,731,69.1
174,Arkansas (SEC),32,18-14,478,692,69.1
175,LSU (SEC),33,18-15,402,582,69.1
176,Ohio (MAC),37,29-8,517,749,69
177,Western Caro. (SoCon),35,17-18,470,681,69
178,Charleston So. (Big South),31,19-12,454,658,69
179,Rhode Island (Atlantic 10),31,7-24,447,648,69
180,Kent St. (MAC),33,21-12,462,670,69
181,Colgate (Patriot),30,8-22,375,544,68.9
182,Tennessee St. (OVC),33,20-13,499,724,68.9
183,San Francisco (WCC),34,20-14,512,743,68.9
184,UC Riverside (Big West),31,14-17,343,498,68.9
185,Ball St. (MAC),30,15-15,416,604,68.9
186,Iowa St. (Big 12),34,23-11,503,731,68.8
187,Louisville (AAC),40,30-10,568,826,68.8
188,Pacific (Big West),30,11-19,400,582,68.7
189,Grambling (SWAC),28,4-24,356,518,68.7
190,Georgia (SEC),32,15-17,364,530,68.7
191,Western Ky. (Sun Belt),35,16-19,539,785,68.7
192,Chattanooga (SoCon),32,11-21,490,714,68.6
193,Western Ill. (Summit League),33,18-15,369,538,68.6
194,Penn St. (Big Ten),32,12-20,386,563,68.6
195,UAB (C-USA),31,15-16,388,566,68.6
196,UNC Greensboro (SoCon),32,13-19,427,623,68.5
197,Southern U. (SWAC),31,17-14,416,607,68.5
198,VCU (CAA),36,29-7,507,740,68.5
199,High Point (Big South),31,13-18,448,654,68.5
200,East Carolina (C-USA),31,15-16,406,593,68.5
201,UC Davis (Big West),31,5-26,362,529,68.4
202,Cornell (Ivy League),28,12-16,338,494,68.4
203,Idaho St. (Big Sky),30,9-21,396,579,68.4
204,Navy (Patriot),29,3-26,333,487,68.4
205,Rice (C-USA),35,19-16,525,768,68.4
206,UTEP (C-USA),32,15-17,423,619,68.3
207,Houston Baptist (GWC),30,10-20,481,704,68.3
208,CSU Bakersfield (Independent),31,16-15,401,587,68.3
209,Purdue Fort Wayne (Summit League),30,11-19,424,621,68.3
210,North Carolina (ACC),38,32-6,629,922,68.2
211,Bradley (MVC),32,7-25,426,625,68.2
212,Bowling Green (MAC),32,16-16,323,474,68.1
213,Tulsa (C-USA),31,17-14,495,727,68.1
214,St. John's (NY) (AAC),32,13-19,485,713,68
215,Siena (MAAC),31,14-17,393,578,68
216,UNCW (CAA),31,10-21,394,580,67.9
217,Jackson St. (SWAC),31,7-24,368,542,67.9
218,Princeton (Ivy League),32,20-12,353,520,67.9
219,Howard (MEAC),31,10-21,505,744,67.9
220,Jacksonville St. (OVC),33,15-18,503,742,67.8
221,Arizona St. (Pac-12),31,10-21,402,594,67.7
222,Oregon St. (Pac-12),36,21-15,630,931,67.7
223,Morgan St. (MEAC),29,9-20,437,646,67.6
224,Longwood (Independent),31,10-21,359,531,67.6
225,UNLV (Mountain West),35,26-9,496,734,67.6
226,Troy (Sun Belt),28,10-18,304,450,67.6
227,McNeese (Southland),33,17-16,426,631,67.5
228,Seton Hall (AAC),34,21-13,422,626,67.4
229,Air Force (Mountain West),29,13-16,362,537,67.4
230,Boston U. (America East),32,16-16,393,583,67.4
231,Elon (SoCon),31,15-16,397,589,67.4
232,Coastal Carolina (Big South),31,19-12,392,582,67.4
233,SMU (C-USA),32,13-19,371,551,67.3
234,Boston College (ACC),31,9-22,350,520,67.3
235,Massachusetts (Atlantic 10),37,25-12,527,783,67.3
236,Idaho (WAC),33,19-14,469,697,67.3
237,Nicholls (Southland),30,10-20,403,599,67.3
238,FGCU (ASUN),32,15-17,409,608,67.3
239,Northern Ill. (MAC),31,5-26,343,511,67.1
240,West Virginia (AAC),33,19-14,496,739,67.1
