Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Kentucky (SEC),40,38-2,889,"2,379",37.4
2,Michigan St. (Big Ten),37,29-8,751,"1,982",37.9
3,Kansas (Big 12),39,32-7,826,"2,176",38
4,Georgia St. (CAA),34,22-12,702,"1,847",38
5,Florida St. (ACC),35,25-10,749,"1,965",38.1
6,Louisville (AAC),40,30-10,857,"2,233",38.4
7,New Mexico (Mountain West),35,28-7,731,"1,903",38.4
8,Syracuse (AAC),37,34-3,795,"2,064",38.5
9,UConn (AAC),34,20-14,785,"2,034",38.6
10,Memphis (C-USA),35,26-9,751,"1,945",38.6
11,South Fla. (AAC),36,22-14,721,"1,866",38.6
12,Mercer (ASUN),38,27-11,805,"2,083",38.6
13,Georgetown (AAC),33,24-9,683,"1,766",38.7
14,Southern U. (SWAC),31,17-14,672,"1,737",38.7
15,Wisconsin (Big Ten),36,26-10,708,"1,819",38.9
16,Alabama (SEC),33,21-12,666,"1,711",38.9
17,Drexel (CAA),36,29-7,704,"1,794",39.2
18,George Mason (CAA),33,24-9,732,"1,864",39.3
19,Wichita St. (MVC),33,27-6,729,"1,856",39.3
20,Delaware (CAA),32,18-14,777,"1,978",39.3
21,UC Riverside (Big West),31,14-17,658,"1,675",39.3
22,Buffalo (MAC),31,20-11,728,"1,852",39.3
23,North Carolina (ACC),38,32-6,957,"2,431",39.4
24,Hampton (MEAC),33,12-21,739,"1,869",39.5
25,Middle Tenn. (Sun Belt),34,27-7,722,"1,820",39.7
26,Bucknell (Patriot),35,25-10,730,"1,840",39.7
27,Saint Joseph's (Atlantic 10),34,20-14,835,"2,090",40
28,Virginia (ACC),32,22-10,636,"1,589",40
29,Xavier (Atlantic 10),36,23-13,828,"2,063",40.1
30,Old Dominion (CAA),36,22-14,756,"1,882",40.2
31,Louisiana (Sun Belt),32,16-16,741,"1,842",40.2
32,Marquette (AAC),35,27-8,831,"2,065",40.2
33,Coastal Carolina (Big South),31,19-12,707,"1,756",40.3
34,UC Santa Barbara (Big West),31,20-11,717,"1,780",40.3
35,Georgia Tech (ACC),31,11-20,669,"1,658",40.3
36,Colorado (Pac-12),36,24-12,812,"2,009",40.4
37,Ole Miss (SEC),34,20-14,788,"1,948",40.5
38,Texas Southern (SWAC),33,15-18,727,"1,797",40.5
39,San Diego St. (Mountain West),34,26-8,778,"1,921",40.5
40,Montana (Big Sky),32,25-7,684,"1,688",40.5
41,Siena (MAAC),31,14-17,743,"1,833",40.5
42,Vermont (America East),36,24-12,783,"1,930",40.6
43,Arizona (Pac-12),35,23-12,799,"1,969",40.6
44,North Texas (Sun Belt),32,18-14,739,"1,819",40.6
45,Missouri St. (MVC),32,16-16,685,"1,684",40.7
46,Chattanooga (SoCon),32,11-21,771,"1,895",40.7
47,Ohio St. (Big Ten),39,31-8,840,"2,062",40.7
48,Wagner (NEC),31,25-6,649,"1,592",40.8
49,Massachusetts (Atlantic 10),37,25-12,920,"2,253",40.8
50,Ball St. (MAC),30,15-15,635,"1,555",40.8
51,SFA (Southland),32,20-12,609,"1,491",40.8
52,Quinnipiac (NEC),32,18-14,723,"1,770",40.8
53,Sam Houston (Southland),32,13-19,674,"1,650",40.8
54,Auburn (SEC),31,15-16,675,"1,651",40.9
55,Kansas St. (Big 12),33,22-11,716,"1,750",40.9
56,Rice (C-USA),35,19-16,804,"1,965",40.9
57,Manhattan (MAAC),34,21-13,741,"1,811",40.9
58,Texas A&M (Big 12),32,14-18,672,"1,641",41
59,Harvard (Ivy League),31,26-5,637,"1,555",41
60,Air Force (Mountain West),29,13-16,606,"1,479",41
61,UNLV (Mountain West),35,26-9,817,"1,991",41
62,UT Arlington (Southland),33,24-9,767,"1,869",41
63,Fairfield (MAAC),37,22-15,784,"1,910",41
64,Wyoming (Mountain West),33,21-12,642,"1,564",41
65,Southeastern La. (Southland),29,12-17,639,"1,556",41.1
66,Butler (Horizon),37,22-15,754,"1,835",41.1
67,American (Patriot),32,20-12,711,"1,729",41.1
68,Cincinnati (AAC),37,26-11,849,"2,063",41.2
69,Ohio (MAC),37,29-8,775,"1,882",41.2
70,Norfolk St. (MEAC),36,26-10,842,"2,044",41.2
71,Tennessee (SEC),34,19-15,785,"1,905",41.2
72,Seton Hall (AAC),34,21-13,757,"1,836",41.2
73,Nevada (WAC),35,28-7,827,"2,004",41.3
74,Eastern Mich. (MAC),32,14-18,642,"1,555",41.3
75,Gonzaga (WCC),33,26-7,771,"1,867",41.3
76,UAB (C-USA),31,15-16,693,"1,678",41.3
77,Stanford (Pac-12),37,26-11,821,"1,987",41.3
78,N.C. Central (MEAC),32,17-15,695,"1,680",41.4
79,Notre Dame (AAC),34,22-12,791,"1,912",41.4
80,Lehigh (Patriot),35,27-8,808,"1,952",41.4
81,Maine (America East),29,12-17,693,"1,674",41.4
82,Utah Valley (GWC),33,20-13,797,"1,925",41.4
83,Villanova (AAC),32,13-19,781,"1,886",41.4
84,Minnesota (Big Ten),38,23-15,842,"2,033",41.4
85,Saint Louis (Atlantic 10),34,26-8,691,"1,668",41.4
86,Cleveland St. (Horizon),33,22-11,648,"1,564",41.4
87,Prairie View (SWAC),32,14-18,722,"1,742",41.4
88,BYU (WCC),35,26-9,841,"2,029",41.4
89,Illinois St. (MVC),35,21-14,817,"1,971",41.5
90,South Alabama (Sun Belt),29,17-12,692,"1,669",41.5
91,N.C. A&T (MEAC),32,12-20,795,"1,917",41.5
92,LMU (CA) (WCC),34,21-13,810,"1,953",41.5
93,UC Irvine (Big West),32,12-20,786,"1,894",41.5
94,Boston U. (America East),32,16-16,724,"1,744",41.5
95,California (Pac-12),34,24-10,786,"1,893",41.5
96,Utah St. (WAC),37,21-16,863,"2,078",41.5
97,NC State (ACC),37,24-13,889,"2,140",41.5
98,Texas (Big 12),34,20-14,774,"1,862",41.6
99,Columbia (Ivy League),30,15-15,651,"1,564",41.6
100,UCLA (Pac-12),33,19-14,723,"1,734",41.7
101,NJIT (GWC),32,15-17,727,"1,743",41.7
102,Virginia Tech (ACC),33,16-17,733,"1,757",41.7
