Rank,Team,PPG,OPP PPG,SCR MAR
129,Clemson (ACC),64.9,61.9,3
132,Drexel (CAA),70.3,67.4,3
133,Bowling Green (MAC),77.5,74.6,2.9
134,Campbell (Big South),71,68.1,2.9
135,Oregon St. (Pac-12),70.5,67.6,2.8
136,Tulsa (AAC),68.4,65.6,2.8
137,FGCU (ASUN),71.8,69,2.8
137,Jackson St. (SWAC),65.6,62.8,2.8
139,Lipscomb (ASUN),71.2,68.4,2.7
140,UNCW (CAA),76.3,73.7,2.6
141,Wagner (NEC),71.2,68.7,2.5
142,Detroit Mercy (Horizon),76.5,74,2.5
143,Mississippi St. (SEC),69.3,66.8,2.5
144,Hawaii (Big West),71.6,69.1,2.4
145,The Citadel (SoCon),80.8,78.4,2.4
146,Utah (Pac-12),72.1,69.8,2.3
147,Gardner-Webb (Big South),70.7,68.4,2.3
148,UTEP (C-USA),70.8,68.5,2.2
149,Army West Point (Patriot),71.7,69.5,2.2
149,Portland St. (Big Sky),68.7,66.5,2.2
151,St. John's (NY) (Big East),79,76.7,2.2
151,Youngstown St. (Horizon),74.4,72.2,2.2
153,San Francisco (WCC),71.4,69.3,2.2
154,Montana St. (Big Sky),74,72,2.1
155,North Dakota St. (Summit League),69.7,67.7,2.1
156,UNLV (Mountain West),69.4,67.5,2
157,Dayton (Atlantic 10),69.8,67.8,2
158,Monmouth (MAAC),76,74.3,1.8
159,Saint Peter's (MAAC),63.2,61.5,1.7
160,Rutgers (Big Ten),69.2,67.6,1.6
161,Saint Mary's (CA) (WCC),64.2,62.6,1.6
162,Louisiana (Sun Belt),74.4,72.8,1.6
163,Seton Hall (Big East),71.3,69.7,1.6
164,Missouri (SEC),73.4,71.9,1.5
164,Hartford (America East),65.4,63.9,1.5
164,LMU (CA) (WCC),69.5,68,1.5
167,Northern Colo. (Big Sky),70.5,69,1.5
168,Louisville (ACC),68,66.5,1.4
169,George Mason (Atlantic 10),71.3,69.9,1.4
170,Washington St. (Pac-12),68.6,67.4,1.2
171,Loyola Maryland (Patriot),72.1,70.9,1.2
172,Wyoming (Mountain West),76.6,75.5,1.1
173,Stetson (ASUN),71.3,70.2,1.1
174,LIU (NEC),74,72.9,1.1
175,Pittsburgh (ACC),71.2,70.1,1
176,Mount St. Mary's (NEC),63.2,62.2,1
176,Lafayette (Patriot),77.7,76.7,1
178,Auburn (SEC),77.2,76.4,0.7
179,Elon (CAA),65.7,65,0.7
180,Miami (OH) (MAC),72.3,71.6,0.7
181,Albany (NY) (America East),69.4,68.7,0.7
182,Indiana St. (MVC),66.5,65.8,0.7
183,Old Dominion (C-USA),68.3,67.7,0.7
184,Col. of Charleston (CAA),70.6,69.9,0.6
184,New Hampshire (America East),67.3,66.6,0.6
186,UNC Asheville (Big South),73.4,72.8,0.6
187,Stony Brook (America East),66.2,65.6,0.6
188,Rhode Island (Atlantic 10),71.4,71.1,0.4
189,Indiana (Big Ten),69.7,69.4,0.3
189,UC Davis (Big West),71.9,71.6,0.3
191,Kentucky (SEC),70.4,70.2,0.3
192,Rice (C-USA),73.9,73.6,0.2
