Rank,Team,FGMPG,FGAPG,FG%
128,UC Riverside (Big West),26.00,58.18,44.7
129,CSU Bakersfield (Big West),26.31,58.88,44.7
130,Arkansas St. (Sun Belt),25.88,57.92,44.7
131,St. John's (NY) (Big East),28.85,64.59,44.7
132,Ga. Southern (Sun Belt),26.38,59.08,44.7
133,Utah St. (Mountain West),26.66,59.72,44.6
134,Missouri (SEC),25.69,57.58,44.6
135,Air Force (Mountain West),20.88,46.80,44.6
136,St. Francis Brooklyn (NEC),28.53,63.95,44.6
137,Northern Ky. (Horizon),26.32,59.08,44.5
138,Marquette (Big East),24.48,54.96,44.5
139,Central Mich. (MAC),27.43,61.61,44.5
140,American (Patriot),24.80,55.70,44.5
141,Long Beach St. (Big West),25.89,58.17,44.5
142,Louisiana Tech (C-USA),26.00,58.44,44.5
143,UNLV (Mountain West),26.15,58.78,44.5
144,UIW (Southland),23.82,53.55,44.5
145,North Florida (ASUN),24.78,55.74,44.5
146,Texas Southern (SWAC),26.73,60.15,44.4
147,Gardner-Webb (Big South),25.04,56.35,44.4
148,Holy Cross (Patriot),26.44,59.50,44.4
149,Samford (SoCon),28.47,64.11,44.4
150,Florida A&M (SWAC),25.00,56.30,44.4
151,Akron (MAC),27.30,61.52,44.4
152,Memphis (AAC),26.32,59.32,44.4
153,Louisiana (Sun Belt),27.42,61.81,44.4
154,Kent St. (MAC),27.61,62.26,44.3
155,Hofstra (CAA),25.87,58.35,44.3
156,Idaho St. (Big Sky),23.29,52.54,44.3
157,Robert Morris (Horizon),27.26,61.53,44.3
158,Oklahoma (Big 12),26.74,60.37,44.3
159,Ball St. (MAC),26.65,60.17,44.3
160,George Washington (Atlantic 10),24.18,54.59,44.3
161,UNI (MVC),25.88,58.44,44.3
162,Denver (Summit League),24.71,55.81,44.3
163,St. Bonaventure (Atlantic 10),25.81,58.29,44.3
164,Wagner (NEC),26.65,60.25,44.2
165,Rhode Island (Atlantic 10),25.40,57.44,44.2
166,Hawaii (Big West),25.43,57.52,44.2
167,North Dakota St. (Summit League),24.41,55.22,44.2
168,Syracuse (ACC),26.54,60.07,44.2
169,Iona (MAAC),24.78,56.11,44.2
170,Seton Hall (Big East),24.93,56.48,44.1
171,SIUE (OVC),23.81,53.96,44.1
172,South Alabama (Sun Belt),25.54,57.89,44.1
173,Ole Miss (SEC),25.00,56.68,44.1
174,Rice (C-USA),26.11,59.29,44
175,UC Davis (Big West),24.94,56.67,44
176,Evansville (MVC),22.84,51.96,44
177,UMBC (America East),24.15,54.95,43.9
178,Texas Tech (Big 12),25.31,57.66,43.9
179,North Carolina (ACC),27.62,62.97,43.9
180,Tennessee (SEC),25.26,57.59,43.9
181,Pacific (WCC),26.61,60.72,43.8
182,Chattanooga (SoCon),25.65,58.54,43.8
183,ETSU (SoCon),24.80,56.64,43.8
184,Northeastern (CAA),24.05,54.95,43.8
185,TCU (Big 12),24.04,54.92,43.8
186,Delaware (CAA),23.13,52.87,43.8
187,UNCW (CAA),26.00,59.47,43.7
188,Jacksonville (ASUN),24.04,55.00,43.7
189,Miami (OH) (MAC),26.00,59.52,43.7
190,Auburn (SEC),26.33,60.30,43.7
191,Central Ark. (Southland),25.25,57.83,43.7
192,Lafayette (Patriot),27.00,61.87,43.6
193,Milwaukee (Horizon),26.73,61.27,43.6
194,Kansas (Big 12),26.30,60.30,43.6
195,Boston U. (Patriot),25.06,57.50,43.6
196,Oregon St. (Pac-12),24.33,55.85,43.6
197,La Salle (Atlantic 10),25.32,58.12,43.6
198,Eastern Ill. (OVC),26.19,60.11,43.6
199,Houston (AAC),26.69,61.28,43.5
200,Green Bay (Horizon),26.24,60.28,43.5
201,Alabama (SEC),28.00,64.39,43.5
202,Howard (MEAC),24.60,56.60,43.5
203,Longwood (Big South),23.62,54.45,43.4
