Rank,Team,3FGPG,3FGAPG,3FG%
128,UMass Lowell (America East),6.52,18.83,34.6
129,Utah Valley (WAC),5.27,15.23,34.6
130,Western Ky. (C-USA),6.38,18.48,34.5
131,UNCW (CAA),7.53,21.82,34.5
132,Longwood (Big South),7.14,20.69,34.5
133,Clemson (ACC),8.25,23.92,34.5
134,St. John's (NY) (Big East),7.41,21.48,34.5
135,Illinois St. (MVC),7.80,22.64,34.5
136,Belmont (OVC),9.03,26.23,34.4
137,Vermont (America East),7.73,22.47,34.4
138,Siena (MAAC),6.35,18.47,34.4
139,Louisiana Tech (C-USA),7.50,21.81,34.4
140,IUPUI (Horizon),7.94,23.11,34.4
141,Abilene Christian (Southland),7.62,22.17,34.4
142,St. Bonaventure (Atlantic 10),6.38,18.57,34.4
143,Houston Baptist (Southland),8.08,23.52,34.4
144,Morgan St. (MEAC),8.27,24.09,34.3
145,Mississippi St. (SEC),5.42,15.82,34.3
146,Kansas (Big 12),7.57,22.10,34.2
147,Temple (AAC),7.19,21.00,34.2
148,Ball St. (MAC),8.48,24.78,34.2
149,Furman (SoCon),9.68,28.32,34.2
150,James Madison (CAA),8.30,24.30,34.2
151,Southern Utah (Big Sky),8.79,25.75,34.1
152,Western Caro. (SoCon),8.37,24.52,34.1
153,San Francisco (WCC),10.36,30.36,34.1
154,Washington St. (Pac-12),7.70,22.59,34.1
155,Oklahoma (Big 12),7.85,23.04,34.1
156,Idaho (Big Sky),5.55,16.27,34.1
157,North Dakota St. (Summit League),6.81,20.00,34.1
158,UMBC (America East),6.95,20.40,34.1
159,La Salle (Atlantic 10),7.80,22.92,34
160,Jackson St. (SWAC),5.56,16.33,34
161,ULM (Sun Belt),7.46,21.96,34
162,N.C. Central (MEAC),6.79,20.00,33.9
163,Portland (WCC),7.29,21.48,33.9
164,Austin Peay (OVC),7.19,21.22,33.9
165,UC Irvine (Big West),4.89,14.44,33.8
166,Pittsburgh (ACC),6.55,19.36,33.8
167,CSUN (Big West),7.73,22.86,33.8
168,Penn St. (Big Ten),8.84,26.16,33.8
169,Buffalo (MAC),7.00,20.72,33.8
169,TCU (Big 12),6.73,19.92,33.8
171,LMU (CA) (WCC),6.14,18.18,33.8
172,USC Upstate (Big South),7.43,22.04,33.7
173,North Dakota (Summit League),7.31,21.69,33.7
174,SFA (Southland),4.76,14.14,33.7
175,Albany (NY) (America East),6.38,18.94,33.7
176,Wichita St. (AAC),8.09,24.09,33.6
177,Kentucky (SEC),6.40,19.08,33.5
178,Omaha (Summit League),5.32,15.88,33.5
179,UConn (Big East),6.74,20.13,33.5
180,FIU (C-USA),10.50,31.38,33.5
181,UTSA (C-USA),8.04,24.04,33.4
182,Indiana St. (MVC),5.96,17.84,33.4
183,Mount St. Mary's (NEC),6.61,19.78,33.4
184,Nebraska (Big Ten),8.44,25.33,33.3
184,Purdue (Big Ten),7.18,21.54,33.3
184,Arizona St. (Pac-12),7.16,21.48,33.3
184,UT Martin (OVC),6.88,20.63,33.3
184,Delaware (CAA),7.13,21.40,33.3
189,Oakland (Horizon),8.63,25.93,33.3
190,Akron (MAC),9.43,28.35,33.3
191,Green Bay (Horizon),6.80,20.44,33.3
192,Idaho St. (Big Sky),6.92,20.79,33.3
193,Washington (Pac-12),7.58,22.81,33.2
194,Hampton (Big South),7.40,22.28,33.2
194,Utah St. (Mountain West),6.38,19.21,33.2
196,Arkansas (SEC),7.28,21.94,33.2
197,Oklahoma St. (Big 12),6.33,19.10,33.2
198,Grambling (SWAC),5.21,15.71,33.2
199,St. Francis Brooklyn (NEC),6.21,18.74,33.1
200,Binghamton (America East),8.67,26.22,33.1
201,Tennessee (SEC),6.59,19.96,33
202,Western Mich. (MAC),6.71,20.33,33
203,Air Force (Mountain West),6.96,21.08,33
203,Hofstra (CAA),7.57,22.91,33
205,A&M-Corpus Christi (Southland),6.38,19.33,33
206,Boston College (ACC),9.00,27.30,33
207,Bucknell (Patriot),7.33,22.25,33
208,Sacred Heart (NEC),7.94,24.11,32.9
209,Montana St. (Big Sky),6.17,18.74,32.9
210,VCU (Atlantic 10),6.46,19.62,32.9
211,Central Mich. (MAC),6.61,20.09,32.9
212,Mississippi Val. (SWAC),8.92,27.13,32.9
213,Fresno St. (Mountain West),6.83,20.79,32.9
214,Grand Canyon (WAC),6.79,20.67,32.9
215,George Mason (Atlantic 10),7.27,22.14,32.9
216,New Orleans (Southland),5.48,16.68,32.9
217,Milwaukee (Horizon),7.23,22.00,32.9
218,California (Pac-12),7.03,21.45,32.8
219,UIC (Horizon),8.09,24.73,32.7
220,South Fla. (AAC),6.27,19.18,32.7
221,Navy (Patriot),6.17,18.89,32.6
222,Army West Point (Patriot),7.82,23.95,32.6
223,Pepperdine (WCC),6.93,21.22,32.6
224,UTEP (C-USA),7.13,21.83,32.6
225,Kent St. (MAC),8.04,24.65,32.6
226,Auburn (SEC),9.07,27.81,32.6
227,Massachusetts (Atlantic 10),8.80,27.00,32.6
228,Elon (CAA),8.11,24.89,32.6
229,Xavier (Big East),7.71,23.71,32.5
230,UNI (MVC),7.44,22.88,32.5
231,Missouri (SEC),7.08,21.81,32.5
232,Charlotte (C-USA),5.72,17.64,32.4
233,Georgia (SEC),6.35,19.58,32.4
234,Eastern Ill. (OVC),6.89,21.26,32.4
235,Northern Ill. (MAC),5.47,16.89,32.4
236,Central Conn. St. (NEC),7.14,22.05,32.4
