Rank,Team,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
129,UMBC (America East),24.00,7.90,32.9
130,Seattle U (WAC),19.91,6.57,33
131,Jacksonville (ASUN),23.00,7.58,33
132,BYU (WCC),21.11,6.96,33
133,Iowa St. (Big 12),20.08,6.63,33
134,Boise St. (Mountain West),19.68,6.50,33
135,Rhode Island (Atlantic 10),22.52,7.44,33
136,Wyoming (Mountain West),18.04,5.96,33
137,Manhattan (MAAC),17.25,5.70,33
138,Southern U. (SWAC),18.32,6.05,33
139,Northwestern (Big Ten),24.33,8.04,33
140,UC Santa Barbara (Big West),17.59,5.81,33.1
141,Virginia Tech (ACC),21.41,7.09,33.1
142,Chattanooga (SoCon),20.65,6.85,33.1
143,NJIT (America East),20.16,6.68,33.2
144,South Alabama (Sun Belt),31.43,10.43,33.2
145,Missouri (SEC),19.12,6.35,33.2
146,Stony Brook (America East),22.65,7.52,33.2
147,Lafayette (Patriot),18.47,6.13,33.2
148,Nevada (Mountain West),24.54,8.15,33.2
149,Valparaiso (MVC),20.50,6.82,33.3
150,Utah St. (Mountain West),22.90,7.62,33.3
151,Bowling Green (MAC),23.65,7.88,33.3
151,Colorado (Pac-12),19.13,6.38,33.3
151,Louisiana (Sun Belt),19.50,6.50,33.3
151,North Florida (ASUN),18.13,6.04,33.3
151,North Texas (C-USA),19.07,6.36,33.3
151,Southern California (Pac-12),21.27,7.09,33.3
157,Southern Miss. (C-USA),24.80,8.28,33.4
158,Indiana (Big Ten),21.41,7.15,33.4
159,Clemson (ACC),21.58,7.21,33.4
160,Arkansas St. (Sun Belt),19.96,6.67,33.4
161,Fordham (Atlantic 10),26.07,8.71,33.4
162,Fairleigh Dickinson (NEC),23.42,7.83,33.5
163,Wisconsin (Big Ten),18.68,6.26,33.5
164,Tulsa (AAC),23.48,7.87,33.5
165,TCU (Big 12),20.31,6.81,33.5
166,West Virginia (Big 12),22.52,7.55,33.5
167,Cincinnati (AAC),19.83,6.65,33.6
168,Purdue Fort Wayne (Horizon),24.22,8.13,33.6
169,SFA (Southland),19.29,6.48,33.6
170,San Diego St. (Mountain West),23.93,8.04,33.6
171,Kansas (Big 12),22.03,7.40,33.6
172,Stanford (Pac-12),23.70,7.96,33.6
173,Saint Peter's (MAAC),19.76,6.64,33.6
174,Arkansas (SEC),23.06,7.75,33.6
174,Navy (Patriot),20.50,6.89,33.6
176,Wofford (SoCon),24.17,8.13,33.6
177,Saint Louis (Atlantic 10),20.24,6.81,33.6
178,UCLA (Pac-12),21.34,7.19,33.7
179,Davidson (Atlantic 10),21.86,7.36,33.7
180,SIUE (OVC),22.23,7.50,33.7
181,North Dakota St. (Summit League),20.96,7.07,33.7
182,VMI (SoCon),28.32,9.56,33.8
