Rank,Team,OPP FGPG,OPP FGAPG,OPP FG%
128,Dayton (Atlantic 10),25.29,59.67,42.4
129,Virginia Tech (ACC),23.32,55.00,42.4
130,Weber St. (Big Sky),24.74,58.30,42.4
131,Manhattan (MAAC),22.15,52.20,42.4
132,Niagara (MAAC),22.65,53.35,42.5
133,Arkansas St. (Sun Belt),25.33,59.63,42.5
134,Cleveland St. (Horizon),24.11,56.74,42.5
135,Southern Utah (Big Sky),25.29,59.50,42.5
136,Indiana (Big Ten),24.26,57.00,42.6
137,Toledo (MAC),27.03,63.50,42.6
138,Maine (America East),23.11,54.22,42.6
139,Belmont (OVC),25.77,60.43,42.6
140,UMass Lowell (America East),24.17,56.70,42.6
141,Utah Valley (WAC),25.68,60.23,42.6
142,Michigan St. (Big Ten),24.75,58.04,42.6
143,CSU Bakersfield (Big West),21.38,50.12,42.7
144,VMI (SoCon),28.00,65.60,42.7
145,Davidson (Atlantic 10),22.82,53.45,42.7
146,Florida A&M (SWAC),24.80,58.05,42.7
147,Elon (CAA),22.16,51.84,42.7
148,Troy (Sun Belt),24.86,58.11,42.8
149,Northwestern (Big Ten),24.42,57.04,42.8
150,Hampton (Big South),25.48,59.48,42.8
151,Nicholls (Southland),25.76,60.12,42.8
152,Montana St. (Big Sky),24.09,56.17,42.9
153,Montana (Big Sky),23.82,55.54,42.9
154,Loyola Maryland (Patriot),24.76,57.71,42.9
155,Long Beach St. (Big West),27.61,64.33,42.9
156,Arizona (Pac-12),24.27,56.54,42.9
157,New Hampshire (America East),22.84,53.21,42.9
158,New Mexico St. (WAC),22.60,52.55,43
159,UCF (AAC),24.52,57.00,43
160,Saint Mary's (CA) (WCC),23.25,54.04,43
161,Ball St. (MAC),26.57,61.70,43.1
162,Boise St. (Mountain West),24.43,56.71,43.1
163,Missouri (SEC),25.15,58.38,43.1
164,Winthrop (Big South),23.88,55.36,43.1
165,Seton Hall (Big East),25.19,58.37,43.1
166,Northeastern (CAA),25.21,58.37,43.2
167,Lipscomb (ASUN),25.74,59.48,43.3
168,Akron (MAC),27.00,62.39,43.3
169,Kansas City (Summit League),20.17,46.58,43.3
170,Baylor (Big 12),23.70,54.73,43.3
171,Fresno St. (Mountain West),23.63,54.54,43.3
172,Oral Roberts (Summit League),27.48,63.41,43.3
173,UTEP (C-USA),23.88,55.08,43.3
174,Western Mich. (MAC),26.67,61.48,43.4
175,Wagner (NEC),22.50,51.80,43.4
176,Marshall (C-USA),26.68,61.41,43.4
177,Fordham (Atlantic 10),23.71,54.57,43.5
178,Pittsburgh (ACC),24.68,56.77,43.5
179,N.C. A&T (MEAC),26.19,60.19,43.5
180,Providence (Big East),25.69,58.96,43.6
181,South Dakota St. (Summit League),26.35,60.43,43.6
182,Wofford (SoCon),24.96,57.21,43.6
183,Valparaiso (MVC),25.04,57.36,43.6
184,Pacific (WCC),24.67,56.50,43.7
185,Portland St. (Big Sky),22.64,51.82,43.7
186,Cincinnati (AAC),24.70,56.52,43.7
187,Little Rock (Sun Belt),24.81,56.77,43.7
188,Fairfield (MAAC),24.56,56.19,43.7
189,ULM (Sun Belt),24.08,55.08,43.7
190,North Dakota St. (Summit League),24.96,57.07,43.7
191,Pepperdine (WCC),26.19,59.85,43.8
192,Samford (SoCon),26.37,60.26,43.8
193,Alabama St. (SWAC),25.33,57.89,43.8
194,Mercer (SoCon),26.62,60.83,43.8
195,George Mason (Atlantic 10),25.36,57.95,43.8
196,Bucknell (Patriot),27.83,63.58,43.8
197,Auburn (SEC),27.70,63.26,43.8
198,Army West Point (Patriot),25.45,58.00,43.9
199,Jacksonville (ASUN),25.63,58.33,43.9
200,A&M-Corpus Christi (Southland),25.67,58.42,43.9
201,Cal Poly (Big West),24.88,56.58,44
202,Ohio (MAC),25.84,58.72,44
203,UIC (Horizon),26.68,60.59,44
204,UCLA (Pac-12),24.94,56.59,44.1
205,SFA (Southland),23.81,54.00,44.1
206,Villanova (Big East),24.48,55.52,44.1
207,Furman (SoCon),25.40,57.60,44.1
208,Oregon (Pac-12),24.75,56.11,44.1
209,Minnesota (Big Ten),26.21,59.38,44.1
210,Notre Dame (ACC),28.35,64.04,44.3
211,LIU (NEC),26.94,60.83,44.3
212,Charleston So. (Big South),26.43,59.62,44.3
213,Hawaii (Big West),25.76,58.10,44.3
214,High Point (Big South),24.25,54.67,44.4
215,Eastern Ky. (OVC),26.55,59.83,44.4
216,Bowling Green (MAC),27.04,60.92,44.4
217,New Mexico (Mountain West),25.32,57.05,44.4
218,Col. of Charleston (CAA),24.47,55.00,44.5
219,LMU (CA) (WCC),23.91,53.73,44.5
220,Tennessee St. (OVC),25.00,56.17,44.5
221,Northern Colo. (Big Sky),25.55,57.32,44.6
222,McNeese (Southland),26.46,59.29,44.6
223,South Fla. (AAC),25.14,56.27,44.7
