Rank,Team,AST,ASTPG,TO,TOPG,AST/TO Ratio
109,CSUN (Big West),293,13.32,261,11.86,1.12
110,Southern California (Pac-12),458,13.88,408,12.36,1.12
111,Oral Roberts (Summit League),370,12.76,330,11.38,1.12
112,Lipscomb (ASUN),364,13.48,326,12.07,1.12
113,Miami (OH) (MAC),278,12.09,249,10.83,1.12
114,Gardner-Webb (Big South),339,13.04,304,11.69,1.12
115,UConn (Big East),297,12.91,268,11.65,1.11
116,Chattanooga (SoCon),319,12.27,288,11.08,1.11
117,Arkansas St. (Sun Belt),347,14.46,314,13.08,1.11
118,Bradley (MVC),382,13.64,346,12.36,1.10
119,SMU (AAC),260,15.29,238,14.00,1.09
120,UTEP (C-USA),285,11.88,262,10.92,1.09
121,UNCW (CAA),206,12.12,190,11.18,1.08
122,Sam Houston (Southland),435,15.54,402,14.36,1.08
123,CSU Bakersfield (Big West),365,14.04,338,13.00,1.08
124,Colorado St. (Mountain West),408,14.57,378,13.50,1.08
125,Pacific (WCC),233,12.94,216,12.00,1.08
126,Butler (Big East),308,12.32,286,11.44,1.08
127,Seattle U (WAC),264,11.48,246,10.70,1.07
128,Winthrop (Big South),374,14.96,350,14.00,1.07
129,LSU (SEC),351,12.10,329,11.34,1.07
130,Missouri St. (MVC),325,13.54,305,12.71,1.07
131,Tulsa (AAC),327,14.22,307,13.35,1.07
132,Jacksonville St. (OVC),383,14.19,360,13.33,1.06
133,Cal St. Fullerton (Big West),218,13.63,205,12.81,1.06
134,Evansville (MVC),291,11.64,274,10.96,1.06
135,Cleveland St. (Horizon),371,13.74,350,12.96,1.06
136,Kent St. (MAC),330,14.35,312,13.57,1.06
136,Canisius (MAAC),165,12.69,156,12.00,1.06
138,UNLV (Mountain West),356,13.19,337,12.48,1.06
139,Fla. Atlantic (C-USA),335,14.57,318,13.83,1.05
140,Clemson (ACC),319,13.29,303,12.63,1.05
141,ULM (Sun Belt),355,13.65,338,13.00,1.05
142,Hofstra (CAA),293,12.74,279,12.13,1.05
143,Wagner (NEC),258,12.90,246,12.30,1.05
144,North Carolina (ACC),443,15.28,424,14.62,1.04
145,Monmouth (MAAC),280,14.00,268,13.40,1.04
146,Tulane (AAC),269,11.70,258,11.22,1.04
147,North Texas (C-USA),373,13.32,358,12.79,1.04
148,Rice (C-USA),427,15.25,410,14.64,1.04
149,Stetson (ASUN),370,13.70,357,13.22,1.04
150,Sacred Heart (NEC),241,13.39,233,12.94,1.03
151,Valparaiso (MVC),356,12.71,346,12.36,1.03
152,UTRGV (WAC),289,15.21,281,14.79,1.03
153,Howard (MEAC),74,14.80,72,14.40,1.03
154,Nicholls (Southland),336,13.44,327,13.08,1.03
155,FIU (C-USA),390,15.00,380,14.62,1.03
156,Col. of Charleston (CAA),201,10.58,196,10.32,1.03
157,Cincinnati (AAC),344,14.96,336,14.61,1.02
158,Memphis (AAC),447,15.96,437,15.61,1.02
159,Coastal Carolina (Sun Belt),404,15.54,395,15.19,1.02
160,NC State (ACC),328,13.12,321,12.84,1.02
161,Saint Joseph's (Atlantic 10),287,14.35,281,14.05,1.02
162,UIC (Horizon),297,13.50,291,13.23,1.02
163,New Mexico St. (WAC),249,12.45,244,12.20,1.02
164,New Hampshire (America East),213,11.21,209,11.00,1.02
165,Texas St. (Sun Belt),339,13.56,333,13.32,1.02
166,Louisiana Tech (C-USA),418,13.06,411,12.84,1.02
167,George Mason (Atlantic 10),287,13.05,283,12.86,1.01
168,UAB (C-USA),308,10.62,304,10.48,1.01
169,Alabama (SEC),464,14.06,459,13.91,1.01
170,San Francisco (WCC),295,11.80,292,11.68,1.01
171,Bryant (NEC),336,15.27,333,15.14,1.01
172,Florida St. (ACC),363,14.52,360,14.40,1.01
173,UNI (MVC),329,13.16,327,13.08,1.01
174,San Diego (WCC),185,13.21,184,13.14,1.01
175,Temple (AAC),214,13.38,213,13.31,1.00
176,Duquesne (Atlantic 10),241,13.39,240,13.33,1.00
177,Illinois St. (MVC),345,13.80,345,13.80,1.00
178,Missouri (SEC),345,13.27,346,13.31,1.00
179,Navy (Patriot),222,12.33,223,12.39,1.00
180,Seton Hall (Big East),347,12.85,350,12.96,0.99
181,App State (Sun Belt),340,11.72,343,11.83,0.99
182,Siena (MAAC),215,12.65,219,12.88,0.98
183,Rider (MAAC),284,12.35,291,12.65,0.98
184,Lehigh (Patriot),191,12.73,196,13.07,0.97
185,Nebraska (Big Ten),369,13.67,380,14.07,0.97
186,N.C. A&T (MEAC),285,13.57,294,14.00,0.97
187,Louisville (ACC),221,11.05,229,11.45,0.97
188,High Point (Big South),292,12.17,303,12.63,0.96
189,Ball St. (MAC),318,13.83,331,14.39,0.96
