Rank,Team,Games,Wins,Losses,Win Pct
297,Saint Francis (PA) (NEC),22,6,16,27.3
297,Wake Forest (ACC),22,6,16,27.3
301,ULM (Sun Belt),26,7,19,26.9
302,Lehigh (Patriot),15,4,11,26.7
303,DePaul (Big East),19,5,14,26.3
304,Rider (MAAC),23,6,17,26.1
305,Nebraska (Big Ten),27,7,20,25.9
306,Saint Joseph's (Atlantic 10),20,5,15,25
307,Houston Baptist (Southland),25,6,19,24
308,Central Conn. St. (NEC),21,5,16,23.8
308,San Jose St. (Mountain West),21,5,16,23.8
308,Western Mich. (MAC),21,5,16,23.8
311,Alabama St. (SWAC),18,4,14,22.2
311,Binghamton (America East),18,4,14,22.2
311,Towson (CAA),18,4,14,22.2
311,Maine (America East),9,2,7,22.2
315,Middle Tenn. (C-USA),23,5,18,21.7
315,USC Upstate (Big South),23,5,18,21.7
317,San Diego (WCC),14,3,11,21.4
318,Robert Morris (Horizon),19,4,15,21.1
319,A&M-Corpus Christi (Southland),24,5,19,20.8
319,Central Ark. (Southland),24,5,19,20.8
319,Kennesaw St. (ASUN),24,5,19,20.8
322,Air Force (Mountain West),25,5,20,20
322,Omaha (Summit League),25,5,20,20
322,Boston College (ACC),20,4,16,20
322,Howard (MEAC),5,1,4,20
326,Washington (Pac-12),26,5,21,19.2
327,Tennessee Tech (OVC),27,5,22,18.5
328,Tennessee St. (OVC),23,4,19,17.4
329,Cal Poly (Big West),24,4,20,16.7
330,Ark.-Pine Bluff (SWAC),25,4,21,16
331,Delaware St. (MEAC),19,3,16,15.8
331,Northern Ill. (MAC),19,3,16,15.8
333,Charleston So. (Big South),21,3,18,14.3
333,Fordham (Atlantic 10),14,2,12,14.3
335,Denver (Summit League),21,2,19,9.5
336,Iowa St. (Big 12),24,2,22,8.3
336,Mississippi Val. (SWAC),24,2,22,8.3
338,South Carolina St. (MEAC),18,1,17,5.6
339,Idaho (Big Sky),22,1,21,4.5
340,Chicago St. (WAC),9,0,9,0
