Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2021,Missouri St. (MVC),False,DNP,DNP,DNP,DNP,70.8,7.0,5.0,47.8,74.2,35.0,41.0,32.6,1.07
2021,Siena (MAAC),False,DNP,DNP,DNP,DNP,70.6,4.6,2.3,46.0,65.8,34.4,40.9,32.4,0.98
2021,Cleveland St. (Horizon),False,64.0,15.0,Automatic,60.0,70.4,-0.3,-0.8,45.0,67.1,32.1,42.5,30.7,1.06
2021,Texas (Big 12),True,64.0,3.0,Automatic,11.0,70.4,6.1,4.1,45.4,71.0,35.6,40.8,31.7,0.91
2021,Kansas (Big 12),True,32.0,3.0,At-Large,12.0,70.0,6.1,2.9,43.6,71.6,34.2,41.5,33.6,1.16
2021,Oklahoma St. (Big 12),True,32.0,4.0,At-Large,15.0,70.0,3.9,2.3,45.8,71.0,33.2,41.1,31.9,0.82
2021,Toledo (MAC),False,DNP,DNP,DNP,DNP,70.0,8.5,0.2,45.6,78.0,37.2,42.6,29.8,1.45
2021,UNC Greensboro (SoCon),False,64.0,13.0,Automatic,54.0,70.0,5.6,2.8,42.1,68.3,29.9,41.7,31.4,1.12
2021,UMBC (America East),False,DNP,DNP,DNP,DNP,70.0,4.7,2.5,43.9,71.1,34.1,39.7,32.9,0.85
2021,South Dakota St. (Summit League),False,DNP,DNP,DNP,DNP,69.6,7.0,4.7,49.8,71.6,40.4,43.6,35.0,1.16
2021,Chattanooga (SoCon),False,DNP,DNP,DNP,DNP,69.2,3.3,-1.0,43.8,78.3,35.9,45.6,33.1,1.11
2021,Coastal Carolina (Sun Belt),False,DNP,DNP,DNP,DNP,69.2,11.3,9.9,45.6,71.7,35.8,39.0,31.0,1.02
2021,Utah St. (Mountain West),False,64.0,11.0,At-Large,42.0,69.0,10.2,10.3,44.6,72.2,33.2,39.0,33.3,1.16
2021,UCLA (Pac-12),True,4.0,11.0,At-Large,44.0,68.8,5.0,3.7,46.1,71.5,37.2,44.1,33.7,1.29
2021,Bryant (NEC),False,DNP,DNP,DNP,DNP,68.2,8.1,1.2,46.5,76.1,38.1,41.1,28.8,1.01
2021,Marshall (C-USA),False,DNP,DNP,DNP,DNP,68.2,7.4,-1.9,47.5,72.5,36.0,43.4,35.9,1.33
2021,Virginia Tech (ACC),True,64.0,10.0,At-Large,37.0,68.2,6.1,2.4,45.0,69.8,35.4,42.4,33.1,1.23
2021,Norfolk St. (MEAC),False,64.0,16.0,Automatic,67.0,68.0,3.9,-0.6,42.7,70.5,36.7,40.4,31.6,0.94
2021,Ohio (MAC),False,32.0,13.0,Automatic,51.0,68.0,6.6,1.7,47.9,70.3,35.2,44.0,33.8,1.45
2021,Boise St. (Mountain West),False,DNP,DNP,DNP,DNP,67.9,9.1,2.9,45.5,73.5,34.6,43.1,33.0,1.15
2021,Sam Houston (Southland),False,DNP,DNP,DNP,DNP,67.9,9.3,-0.4,45.3,69.2,35.7,42.2,29.1,1.08
2021,Ohio St. (Big Ten),True,64.0,2.0,At-Large,6.0,67.7,6.1,3.0,45.9,75.6,36.0,42.1,34.0,1.23
2021,Jacksonville St. (OVC),False,DNP,DNP,DNP,DNP,66.7,5.7,4.9,46.1,68.5,35.6,41.0,32.8,1.06
2021,Tennessee (SEC),True,64.0,5.0,At-Large,19.0,66.7,8.4,1.9,43.9,74.6,33.0,40.1,32.5,1.19
2021,UC Irvine (Big West),False,DNP,DNP,DNP,DNP,66.7,8.8,7.7,45.1,75.9,33.8,38.7,32.7,0.91
2021,Clemson (ACC),True,64.0,7.0,At-Large,27.0,66.7,3.0,-0.2,42.5,76.9,34.5,41.8,33.4,1.05
