Rank,Team,RPG,OPP RPG,REB MAR
131,Weber St. (Big Sky),32.8,31,1.7
132,LIU (NEC),39.2,37.4,1.7
133,Ohio (MAC),35.3,33.6,1.7
134,Troy (Sun Belt),37.7,36,1.7
135,Cincinnati (AAC),36.2,34.5,1.7
136,Boston U. (Patriot),35.3,33.7,1.7
137,Texas Tech (Big 12),34.9,33.3,1.7
138,Western Ill. (Summit League),38.1,36.5,1.6
138,Presbyterian (Big South),33.6,32,1.6
140,Central Ark. (Southland),37.2,35.6,1.6
141,UMass Lowell (America East),34.5,33,1.5
142,Stetson (ASUN),35.5,34.1,1.4
143,FGCU (ASUN),38.9,37.5,1.4
144,High Point (Big South),35.5,34.1,1.4
145,Bryant (NEC),39.8,38.6,1.2
146,Nevada (Mountain West),35.7,34.5,1.2
147,Texas A&M (SEC),33.5,32.3,1.2
148,Northern Ky. (Horizon),34.9,33.7,1.2
148,Villanova (Big East),33.9,32.7,1.2
150,Xavier (Big East),37.7,36.6,1.1
151,App State (Sun Belt),36.3,35.2,1.1
152,Eastern Wash. (Big Sky),35.5,34.5,1.1
153,Oregon (Pac-12),33.1,32.1,1
154,Southern Miss. (C-USA),35.2,34.3,1
155,Georgia (SEC),37.2,36.3,0.9
156,Montana St. (Big Sky),33.8,32.9,0.9
157,Elon (CAA),34.3,33.4,0.9
158,Colorado St. (Mountain West),34.5,33.6,0.9
159,Fairfield (MAAC),35.2,34.4,0.9
160,Oregon St. (Pac-12),34.4,33.6,0.7
161,South Dakota (Summit League),34.8,34.2,0.7
162,LSU (SEC),38.4,37.8,0.6
163,Belmont (OVC),35.7,35.2,0.6
164,Georgia St. (Sun Belt),37.5,37,0.5
165,Montana (Big Sky),33.2,32.7,0.5
166,The Citadel (SoCon),37.8,37.3,0.5
167,Missouri (SEC),35.7,35.2,0.5
168,Marist (MAAC),35,34.6,0.4
169,Kansas City (Summit League),30.4,30,0.4
170,TCU (Big 12),34.7,34.4,0.3
171,James Madison (CAA),37.4,37,0.3
171,Santa Clara (WCC),36.5,36.1,0.3
173,Miami (FL) (ACC),35,34.7,0.3
174,Nicholls (Southland),38.2,38,0.3
175,Duquesne (Atlantic 10),36.3,36.1,0.3
175,Binghamton (America East),35.7,35.4,0.3
177,Toledo (MAC),37.6,37.3,0.2
178,Seton Hall (Big East),34.9,34.7,0.2
179,DePaul (Big East),37.7,37.6,0.1
180,Florida A&M (SWAC),35.5,35.4,0.1
181,Hofstra (CAA),35.5,35.4,0
182,Kennesaw St. (ASUN),34,33.9,0
183,Stanford (Pac-12),33.5,33.5,0
184,Kansas St. (Big 12),32.9,32.9,-0.1
185,Clemson (ACC),32.6,32.8,-0.2
186,Dayton (Atlantic 10),33,33.2,-0.2
187,Saint Francis (PA) (NEC),35.4,35.7,-0.3
188,New Orleans (Southland),35.2,35.5,-0.3
189,Alabama A&M (SWAC),38.5,38.8,-0.3
190,Pepperdine (WCC),35,35.4,-0.4
191,Sam Houston (Southland),36.9,37.3,-0.4
192,Oklahoma (Big 12),35.7,36.2,-0.4
193,Longwood (Big South),32.9,33.3,-0.4
194,Miami (OH) (MAC),34.7,35.2,-0.5
195,Lipscomb (ASUN),34,34.5,-0.5
196,Norfolk St. (MEAC),36.3,36.9,-0.6
197,VCU (Atlantic 10),34.3,35,-0.6
198,Western Caro. (SoCon),34.3,35,-0.6
199,Army West Point (Patriot),34.6,35.2,-0.6
200,Manhattan (MAAC),36.4,37,-0.7
201,Lehigh (Patriot),34.9,35.5,-0.7
202,Gardner-Webb (Big South),34.4,35.1,-0.7
203,Illinois St. (MVC),35.2,36,-0.7
204,Providence (Big East),35.7,36.4,-0.7
205,UTRGV (WAC),39.1,39.8,-0.7
205,Col. of Charleston (CAA),32.8,33.5,-0.7
207,Temple (AAC),36.2,37,-0.8
208,Charlotte (C-USA),31.2,31.9,-0.8
209,Cleveland St. (Horizon),34.6,35.4,-0.8
210,Ball St. (MAC),36.9,37.7,-0.8
211,California (Pac-12),31.6,32.4,-0.8
212,St. Francis Brooklyn (NEC),36.2,37.1,-0.8
213,Tennessee Tech (OVC),33.7,34.5,-0.9
214,Prairie View (SWAC),35.2,36,-0.9
215,Rider (MAAC),33.3,34.1,-0.9
215,Purdue Fort Wayne (Horizon),31.3,32.2,-0.9
217,UTEP (C-USA),34.5,35.4,-0.9
218,Creighton (Big East),35.7,36.7,-0.9
219,George Washington (Atlantic 10),34.2,35.2,-0.9
220,Northern Ill. (MAC),36.2,37.2,-0.9
221,Vanderbilt (SEC),33.7,34.7,-1
222,Chattanooga (SoCon),33.9,34.9,-1
223,Bowling Green (MAC),38.5,39.5,-1
224,Rutgers (Big Ten),35.3,36.4,-1.1
225,Tulsa (AAC),33.9,35,-1.1
226,NC State (ACC),32.5,33.6,-1.2
227,Maryland (Big Ten),32.7,33.9,-1.2
228,Detroit Mercy (Horizon),32.7,33.9,-1.2
229,Alabama St. (SWAC),36.3,37.6,-1.3
230,Sacramento St. (Big Sky),31.6,32.9,-1.4
231,Wisconsin (Big Ten),33.6,35,-1.4
232,Eastern Ill. (OVC),35.1,36.5,-1.4
233,Wake Forest (ACC),32.6,34,-1.4
234,UC Davis (Big West),31.7,33.2,-1.4
235,East Carolina (AAC),34.4,35.8,-1.5
236,Indiana (Big Ten),34.6,36,-1.5
237,Wichita St. (AAC),37.9,39.5,-1.5
238,UCF (AAC),33.3,34.8,-1.6
239,Indiana St. (MVC),31.8,33.4,-1.6
240,Sacred Heart (NEC),35.9,37.6,-1.6
241,Butler (Big East),32.3,33.9,-1.6
