Rank,Team,GM,W-L,FGM,FGA,FG%
1,Saint Mary's (CA) (WCC),36,30-6,"1,014","1,970",51.5
2,William & Mary (CAA),31,19-12,910,"1,782",51.1
3,Loyola Chicago (MVC),38,32-6,995,"1,963",50.7
4,Arizona (Pac-12),35,27-8,"1,009","2,003",50.4
5,Villanova (Big East),40,36-4,"1,220","2,440",50
6,Virginia Tech (ACC),33,21-12,931,"1,865",49.9
7,Gonzaga (WCC),37,32-5,"1,125","2,261",49.8
8,Michigan St. (Big Ten),35,30-5,991,"1,996",49.6
9,TCU (Big 12),33,21-12,979,"1,973",49.6
10,FGCU (ASUN),35,23-12,"1,045","2,117",49.4
11,Purdue (Big Ten),37,30-7,"1,033","2,097",49.3
12,Western Ky. (C-USA),38,27-11,"1,075","2,183",49.2
13,Kansas (Big 12),39,31-8,"1,165","2,366",49.2
14,Xavier (Big East),35,29-6,"1,011","2,055",49.2
15,Creighton (Big East),33,21-12,"1,008","2,050",49.2
16,Duke (ACC),37,29-8,"1,125","2,288",49.2
17,Weber St. (Big Sky),31,20-11,846,"1,722",49.1
18,Fresno St. (Mountain West),32,21-11,885,"1,805",49
19,UNLV (Mountain West),33,20-13,978,"2,000",48.9
20,UAB (C-USA),33,20-13,945,"1,937",48.8
21,Vermont (America East),35,27-8,879,"1,803",48.8
22,Belmont (OVC),33,24-9,901,"1,853",48.6
23,SFA (Southland),35,28-7,"1,000","2,059",48.6
24,Northeastern (CAA),33,23-10,859,"1,776",48.4
25,Utah Valley (WAC),34,23-11,926,"1,919",48.3
26,Murray St. (OVC),32,26-6,870,"1,803",48.3
27,BYU (WCC),35,24-11,919,"1,905",48.2
28,Dayton (Atlantic 10),31,14-17,804,"1,671",48.1
29,Ohio St. (Big Ten),34,25-9,951,"1,980",48
30,Davidson (Atlantic 10),33,21-12,899,"1,874",48
31,Iowa (Big Ten),33,14-19,946,"1,975",47.9
32,Maryland (Big Ten),32,19-13,811,"1,696",47.8
33,Campbell (Big South),34,18-16,891,"1,867",47.7
34,Winthrop (Big South),31,19-12,859,"1,803",47.6
35,Wichita St. (AAC),33,25-8,957,"2,009",47.6
36,South Dakota (Summit League),35,26-9,"1,017","2,136",47.6
37,LSU (SEC),33,18-15,916,"1,926",47.6
38,Marquette (Big East),35,21-14,989,"2,081",47.5
39,UNC Asheville (Big South),34,21-13,912,"1,921",47.5
40,Idaho St. (Big Sky),30,14-16,778,"1,639",47.5
41,Northern Ky. (Horizon),32,22-10,898,"1,892",47.5
42,Arkansas (SEC),35,23-12,"1,005","2,119",47.4
43,Buffalo (MAC),36,27-9,"1,105","2,334",47.3
44,Butler (Big East),35,21-14,"1,020","2,155",47.3
45,ETSU (SoCon),34,25-9,926,"1,957",47.3
46,Mercer (SoCon),34,19-15,878,"1,856",47.3
47,Wofford (SoCon),34,21-13,901,"1,906",47.3
48,Denver (Summit League),30,15-15,803,"1,699",47.3
49,Nicholls (Southland),32,21-11,941,"1,994",47.2
50,Kentucky (SEC),37,26-11,998,"2,115",47.2
51,Samford (SoCon),32,10-22,870,"1,846",47.1
52,Middle Tenn. (C-USA),33,25-8,902,"1,914",47.1
53,Bucknell (Patriot),35,25-10,965,"2,050",47.1
54,Northern Colo. (Big Sky),38,26-12,"1,104","2,347",47
55,Southern California (Pac-12),36,24-12,"1,022","2,174",47
56,NC State (ACC),33,21-12,965,"2,054",47
57,Furman (SoCon),33,23-10,942,"2,006",47
58,North Dakota St. (Summit League),32,15-17,837,"1,783",46.9
59,Baylor (Big 12),34,19-15,941,"2,007",46.9
60,Nevada (Mountain West),37,29-8,"1,049","2,238",46.9
61,Seton Hall (Big East),34,22-12,971,"2,073",46.8
62,Idaho (Big Sky),31,22-9,819,"1,749",46.8
63,Florida St. (ACC),35,23-12,994,"2,125",46.8
64,Michigan (Big Ten),41,33-8,"1,092","2,335",46.8
65,Toledo (MAC),34,23-11,913,"1,953",46.7
66,Cal St. Fullerton (Big West),32,20-12,804,"1,721",46.7
67,South Dakota St. (Summit League),35,28-7,"1,003","2,147",46.7
68,Montana (Big Sky),34,26-8,944,"2,021",46.7
69,Towson (CAA),32,18-14,889,"1,904",46.7
70,Marshall (C-USA),36,25-11,"1,042","2,232",46.7
71,Oregon St. (Pac-12),32,16-16,830,"1,779",46.7
72,Saint Francis (PA) (NEC),31,18-13,860,"1,845",46.6
73,Western Ill. (Summit League),28,12-16,749,"1,607",46.6
74,Miami (FL) (ACC),32,22-10,875,"1,881",46.5
75,Rider (MAAC),32,22-10,932,"2,004",46.5
76,Mississippi St. (SEC),37,25-12,"1,000","2,151",46.5
77,Hofstra (CAA),31,19-12,868,"1,868",46.5
78,UC Davis (Big West),33,22-11,834,"1,796",46.4
79,Abilene Christian (Southland),32,16-16,870,"1,874",46.4
80,Eastern Mich. (MAC),35,22-13,933,"2,010",46.4
81,Eastern Wash. (Big Sky),35,20-15,936,"2,017",46.4
82,Canisius (MAAC),33,21-12,901,"1,942",46.4
83,Louisiana (Sun Belt),34,27-7,971,"2,093",46.4
84,UC Santa Barbara (Big West),32,23-9,877,"1,891",46.4
85,Kansas St. (Big 12),37,25-12,937,"2,025",46.3
86,Yale (Ivy League),31,16-15,831,"1,796",46.3
87,Oklahoma (Big 12),32,18-14,954,"2,062",46.3
88,Arizona St. (Pac-12),32,20-12,888,"1,920",46.3
89,Boston U. (Patriot),31,15-16,800,"1,730",46.2
90,N.C. A&T (MEAC),35,20-15,929,"2,010",46.2
91,Southern Ill. (MVC),33,20-13,839,"1,817",46.2
92,Liberty (Big South),37,22-15,899,"1,947",46.2
93,Holy Cross (Patriot),31,12-19,724,"1,569",46.1
94,Boise St. (Mountain West),32,23-9,878,"1,903",46.1
95,Penn St. (Big Ten),39,26-13,"1,057","2,291",46.1
96,Cornell (Ivy League),28,12-16,744,"1,613",46.1
97,Iona (MAAC),34,20-14,957,"2,076",46.1
98,Georgia St. (Sun Belt),35,24-11,937,"2,033",46.1
99,Stanford (Pac-12),35,19-16,925,"2,007",46.1
100,Houston (AAC),35,27-8,952,"2,066",46.1
101,Alabama (SEC),36,20-16,910,"1,975",46.1
102,N.C. Central (MEAC),35,19-16,949,"2,060",46.1
103,Richmond (Atlantic 10),32,12-20,843,"1,830",46.1
104,Southeast Mo. St. (OVC),31,14-17,796,"1,729",46
105,Texas A&M (SEC),35,22-13,976,"2,120",46
106,Utah (Pac-12),35,23-12,876,"1,903",46
107,UCLA (Pac-12),33,21-12,927,"2,014",46
108,UMass Lowell (America East),30,12-18,791,"1,719",46
109,Texas Tech (Big 12),37,27-10,964,"2,096",46
110,Virginia (ACC),34,31-3,848,"1,844",46
111,Purdue Fort Wayne (Summit League),33,18-15,953,"2,073",46
112,Col. of Charleston (CAA),34,26-8,875,"1,904",46
113,North Dakota (Big Sky),32,12-20,863,"1,879",45.9
114,San Diego St. (Mountain West),33,22-11,902,"1,967",45.9
115,Washington (Pac-12),34,21-13,900,"1,963",45.8
116,Omaha (Summit League),31,9-22,877,"1,913",45.8
117,Penn (Ivy League),33,24-9,893,"1,948",45.8
118,High Point (Big South),30,14-16,775,"1,691",45.8
119,Monmouth (MAAC),31,11-20,787,"1,718",45.8
120,New Mexico St. (WAC),34,28-6,963,"2,104",45.8
121,Oregon (Pac-12),36,23-13,986,"2,155",45.8
122,VCU (Atlantic 10),33,18-15,921,"2,013",45.8
123,North Carolina (ACC),37,26-11,"1,105","2,417",45.7
124,Albany (NY) (America East),32,22-10,839,"1,836",45.7
125,Delaware (CAA),33,14-19,859,"1,880",45.7
126,North Florida (ASUN),33,14-19,939,"2,058",45.6
127,Jacksonville St. (OVC),36,23-13,954,"2,091",45.6
128,Northern Ill. (MAC),32,13-19,849,"1,861",45.6
129,Indiana (Big Ten),31,16-15,806,"1,767",45.6
130,Clemson (ACC),35,25-10,899,"1,971",45.6
131,Rhode Island (Atlantic 10),34,26-8,954,"2,096",45.5
132,Mount St. Mary's (NEC),32,18-14,809,"1,778",45.5
133,LIU (NEC),35,18-17,935,"2,055",45.5
134,Austin Peay (OVC),34,19-15,915,"2,012",45.5
135,New Mexico (Mountain West),34,19-15,939,"2,065",45.5
136,Lafayette (Patriot),31,10-21,777,"1,709",45.5
137,Kennesaw St. (ASUN),30,10-20,805,"1,771",45.5
138,Utah St. (Mountain West),34,17-17,865,"1,904",45.4
139,Hartford (America East),33,19-14,835,"1,840",45.4
140,Georgetown (Big East),30,15-15,800,"1,763",45.4
141,Southeastern La. (Southland),34,22-12,867,"1,911",45.4
142,Princeton (Ivy League),29,13-16,753,"1,661",45.3
143,Central Ark. (Southland),35,18-17,980,"2,162",45.3
144,New Orleans (Southland),33,16-17,815,"1,798",45.3
145,Lipscomb (ASUN),33,23-10,924,"2,040",45.3
146,Central Conn. St. (NEC),32,14-18,788,"1,740",45.3
147,Louisville (ACC),36,22-14,969,"2,140",45.3
148,Lehigh (Patriot),30,16-14,835,"1,845",45.3
149,Memphis (AAC),34,21-13,828,"1,832",45.2
150,San Diego (WCC),34,20-14,802,"1,775",45.2
151,Long Beach St. (Big West),33,15-18,866,"1,917",45.2
152,Ball St. (MAC),32,19-13,856,"1,895",45.2
153,UT Arlington (Sun Belt),34,21-13,927,"2,054",45.1
154,St. Bonaventure (Atlantic 10),34,26-8,884,"1,959",45.1
155,North Texas (C-USA),38,20-18,"1,012","2,243",45.1
156,Pacific (WCC),32,14-18,804,"1,782",45.1
157,Fairleigh Dickinson (NEC),31,13-18,842,"1,868",45.1
158,Boston College (ACC),35,19-16,948,"2,105",45
159,Jacksonville (ASUN),33,15-18,897,"1,993",45
160,Missouri (SEC),33,20-13,794,"1,765",45
161,Tulane (AAC),31,14-17,800,"1,779",45
162,UIC (Horizon),36,20-16,951,"2,115",45
163,Oakland (Horizon),33,19-14,884,"1,966",45
