Rank,Team,GM,W-L,FGM,FGA,FG%
164,Cincinnati (AAC),36,31-5,944,"2,100",45
165,Pepperdine (WCC),32,6-26,822,"1,829",44.9
166,Massachusetts (Atlantic 10),33,13-20,861,"1,918",44.9
167,Valparaiso (MVC),32,15-17,781,"1,740",44.9
168,NJIT (ASUN),30,14-16,808,"1,803",44.8
169,Wisconsin (Big Ten),33,15-18,793,"1,770",44.8
170,Dartmouth (Ivy League),27,7-20,651,"1,454",44.8
171,Portland (WCC),32,10-22,781,"1,745",44.8
172,UT Martin (OVC),31,10-21,808,"1,806",44.7
173,Charleston So. (Big South),31,15-16,802,"1,793",44.7
174,George Washington (Atlantic 10),33,15-18,832,"1,861",44.7
175,Old Dominion (C-USA),32,25-7,844,"1,888",44.7
176,Louisiana Tech (C-USA),33,17-16,838,"1,877",44.6
177,Hampton (MEAC),35,19-16,970,"2,173",44.6
178,Washington St. (Pac-12),31,12-19,801,"1,795",44.6
179,Seattle U (WAC),34,20-14,881,"1,975",44.6
180,Wyoming (Mountain West),33,20-13,873,"1,959",44.6
181,UNC Greensboro (SoCon),35,27-8,924,"2,074",44.6
182,Milwaukee (Horizon),33,16-17,834,"1,872",44.6
183,Southern Miss. (C-USA),34,16-18,872,"1,958",44.5
184,Marist (MAAC),31,6-25,761,"1,710",44.5
185,Niagara (MAAC),33,19-14,944,"2,124",44.4
185,Army West Point (Patriot),30,13-17,820,"1,845",44.4
187,Gardner-Webb (Big South),32,14-18,822,"1,850",44.4
188,Sacramento St. (Big Sky),32,7-25,800,"1,802",44.4
189,Navy (Patriot),32,20-12,771,"1,737",44.4
190,Manhattan (MAAC),31,14-17,737,"1,661",44.4
191,SMU (AAC),33,17-16,814,"1,835",44.4
192,UMBC (America East),36,25-11,926,"2,088",44.3
193,Notre Dame (ACC),36,21-15,945,"2,131",44.3
194,Binghamton (America East),31,11-20,787,"1,775",44.3
195,Ohio (MAC),31,14-17,839,"1,893",44.3
196,Portland St. (Big Sky),34,20-14,"1,034","2,333",44.3
197,LMU (CA) (WCC),31,11-20,803,"1,813",44.3
198,Bethune-Cookman (MEAC),32,18-14,903,"2,039",44.3
199,Evansville (MVC),32,17-15,731,"1,652",44.2
200,Columbia (Ivy League),27,8-19,746,"1,686",44.2
201,Hawaii (Big West),30,17-13,721,"1,630",44.2
202,Stetson (ASUN),32,12-20,907,"2,053",44.2
203,Miami (OH) (MAC),34,16-18,886,"2,006",44.2
204,Providence (Big East),35,21-14,899,"2,037",44.1
205,Drexel (CAA),33,13-20,880,"1,994",44.1
206,Colorado (Pac-12),32,17-15,810,"1,839",44
207,Arkansas St. (Sun Belt),32,11-21,841,"1,911",44
208,Tennessee (SEC),35,26-9,885,"2,012",44
209,Elon (CAA),32,14-18,842,"1,916",43.9
210,Troy (Sun Belt),33,16-17,848,"1,930",43.9
211,Illinois (Big Ten),32,14-18,856,"1,949",43.9
212,Western Mich. (MAC),32,17-15,845,"1,925",43.9
213,Texas (Big 12),34,19-15,882,"2,010",43.9
214,Tennessee Tech (OVC),33,19-14,844,"1,924",43.9
215,Wake Forest (ACC),31,11-20,801,"1,826",43.9
216,Fairfield (MAAC),33,17-16,881,"2,009",43.9
217,Texas Southern (SWAC),36,16-20,925,"2,111",43.8
218,Loyola Maryland (Patriot),31,9-22,797,"1,820",43.8
219,Ark.-Pine Bluff (SWAC),35,14-21,815,"1,863",43.7
220,Eastern Ky. (OVC),31,11-20,778,"1,779",43.7
221,Drake (MVC),34,17-17,862,"1,972",43.7
222,Oral Roberts (Summit League),32,11-21,879,"2,011",43.7
223,UTSA (C-USA),35,20-15,972,"2,224",43.7
224,Colgate (Patriot),33,19-14,829,"1,897",43.7
225,Iowa St. (Big 12),31,13-18,817,"1,870",43.7
226,UC Irvine (Big West),35,18-17,900,"2,061",43.7
227,Southern Utah (Big Sky),32,13-19,824,"1,887",43.7
228,Sacred Heart (NEC),31,10-21,796,"1,823",43.7
229,Vanderbilt (SEC),32,12-20,775,"1,775",43.7
230,West Virginia (Big 12),37,26-11,"1,036","2,374",43.6
231,UNCW (CAA),32,11-21,920,"2,109",43.6
232,San Jose St. (Mountain West),30,4-26,705,"1,617",43.6
233,Central Mich. (MAC),36,21-15,953,"2,186",43.6
234,Tulsa (AAC),31,19-12,754,"1,730",43.6
235,Prairie View (SWAC),34,16-18,890,"2,043",43.6
236,Missouri St. (MVC),33,18-15,851,"1,954",43.6
237,App State (Sun Belt),33,15-18,864,"1,984",43.5
238,ULM (Sun Belt),32,16-16,811,"1,863",43.5
239,A&M-Corpus Christi (Southland),29,11-18,691,"1,589",43.5
240,Detroit Mercy (Horizon),32,8-24,883,"2,031",43.5
241,Akron (MAC),32,14-18,793,"1,824",43.5
242,Chattanooga (SoCon),33,10-23,784,"1,804",43.5
243,UTEP (C-USA),31,11-20,754,"1,736",43.4
244,Cleveland St. (Horizon),35,12-23,853,"1,965",43.4
245,Coastal Carolina (Sun Belt),32,14-18,787,"1,813",43.4
246,McNeese (Southland),28,11-17,748,"1,724",43.4
247,Texas St. (Sun Belt),33,15-18,773,"1,782",43.4
248,St. John's (NY) (Big East),33,16-17,867,"1,999",43.4
249,Alcorn (SWAC),32,11-21,791,"1,824",43.4
250,CSUN (Big West),30,6-24,731,"1,689",43.3
251,Florida (SEC),34,21-13,893,"2,065",43.2
252,Wright St. (Horizon),35,25-10,873,"2,019",43.2
253,American (Patriot),30,6-24,698,"1,615",43.2
254,Charlotte (C-USA),29,6-23,706,"1,634",43.2
255,George Mason (Atlantic 10),33,16-17,841,"1,949",43.2
256,Minnesota (Big Ten),32,15-17,850,"1,971",43.1
257,Oklahoma St. (Big 12),36,21-15,959,"2,224",43.1
258,Auburn (SEC),34,26-8,906,"2,102",43.1
259,Lamar University (Southland),33,19-14,873,"2,026",43.1
260,USC Upstate (ASUN),32,7-25,881,"2,045",43.1
261,Norfolk St. (MEAC),33,14-19,858,"1,992",43.1
262,Harvard (Ivy League),32,18-14,764,"1,775",43
263,Ga. Southern (Sun Belt),33,21-12,857,"1,992",43
264,Nebraska (Big Ten),33,22-11,820,"1,906",43
265,Morehead St. (OVC),29,8-21,712,"1,655",43
266,East Carolina (AAC),30,10-20,741,"1,723",43
267,Bradley (MVC),33,20-13,768,"1,788",43
268,Grand Canyon (WAC),34,22-12,855,"1,992",42.9
269,Santa Clara (WCC),31,11-20,718,"1,674",42.9
270,La Salle (Atlantic 10),32,13-19,817,"1,905",42.9
271,UIW (Southland),28,7-21,671,"1,566",42.8
272,DePaul (Big East),31,11-20,819,"1,914",42.8
273,Duquesne (Atlantic 10),32,16-16,801,"1,874",42.7
274,Wagner (NEC),33,23-10,839,"1,963",42.7
275,Little Rock (Sun Belt),32,7-25,750,"1,755",42.7
276,Youngstown St. (Horizon),32,8-24,902,"2,111",42.7
277,Northwestern (Big Ten),32,15-17,773,"1,813",42.6
278,FIU (C-USA),32,14-18,815,"1,912",42.6
279,Brown (Ivy League),27,11-16,695,"1,631",42.6
280,Presbyterian (Big South),32,11-21,749,"1,760",42.6
281,South Carolina St. (MEAC),32,10-22,829,"1,948",42.6
282,Sam Houston (Southland),36,21-15,900,"2,115",42.6
283,Georgia Tech (ACC),32,13-19,753,"1,770",42.5
284,Kent St. (MAC),34,17-17,871,"2,049",42.5
285,Tennessee St. (OVC),30,15-15,669,"1,574",42.5
286,Radford (Big South),36,23-13,850,"2,000",42.5
287,Temple (AAC),33,17-16,845,"1,990",42.5
288,IUPUI (Horizon),30,11-19,731,"1,723",42.4
289,Howard (MEAC),33,10-23,847,"1,997",42.4
290,Eastern Ill. (OVC),31,12-19,732,"1,726",42.4
291,Illinois St. (MVC),33,18-15,813,"1,917",42.4
292,UCF (AAC),32,19-13,690,"1,627",42.4
293,Green Bay (Horizon),33,13-20,859,"2,027",42.4
294,Montana St. (Big Sky),32,13-19,817,"1,929",42.4
295,Saint Joseph's (Atlantic 10),32,16-16,826,"1,953",42.3
296,Indiana St. (MVC),31,13-18,762,"1,804",42.2
297,Quinnipiac (MAAC),33,12-21,787,"1,864",42.2
298,San Francisco (WCC),39,22-17,952,"2,256",42.2
299,Saint Louis (Atlantic 10),33,17-16,731,"1,734",42.2
300,Bowling Green (MAC),32,16-16,827,"1,963",42.1
301,South Alabama (Sun Belt),32,14-18,752,"1,785",42.1
302,Ole Miss (SEC),32,12-20,841,"1,999",42.1
303,Georgia (SEC),33,18-15,767,"1,825",42
304,Siena (MAAC),32,8-24,752,"1,790",42
305,James Madison (CAA),32,10-22,812,"1,933",42
306,UNI (MVC),32,16-16,720,"1,714",42
307,Saint Peter's (MAAC),32,14-18,741,"1,765",42
308,Grambling (SWAC),31,17-14,777,"1,852",42
309,Florida A&M (MEAC),34,9-25,831,"1,981",41.9
310,Air Force (Mountain West),31,12-19,733,"1,751",41.9
311,South Fla. (AAC),32,10-22,707,"1,690",41.8
312,Morgan St. (MEAC),32,13-19,787,"1,883",41.8
313,Houston Baptist (Southland),31,6-25,860,"2,058",41.8
314,CSU Bakersfield (WAC),30,12-18,697,"1,668",41.8
315,Colorado St. (Mountain West),32,11-21,811,"1,941",41.8
316,Stony Brook (America East),32,13-19,779,"1,866",41.7
317,SIUE (OVC),30,9-21,734,"1,759",41.7
318,Syracuse (ACC),37,23-14,832,"1,995",41.7
319,Delaware St. (MEAC),32,4-28,742,"1,781",41.7
320,UConn (AAC),32,14-18,762,"1,832",41.6
321,St. Francis Brooklyn (NEC),31,13-18,784,"1,889",41.5
322,The Citadel (SoCon),32,11-21,889,"2,148",41.4
323,Longwood (Big South),33,7-26,728,"1,763",41.3
324,Northwestern St. (Southland),29,4-25,692,"1,678",41.2
325,Fordham (Atlantic 10),31,9-22,692,"1,680",41.2
326,Robert Morris (NEC),33,16-17,794,"1,932",41.1
327,Western Caro. (SoCon),32,13-19,774,"1,885",41.1
328,Bryant (NEC),31,3-28,771,"1,881",41
329,Fla. Atlantic (C-USA),31,12-19,790,"1,929",41
330,Alabama St. (SWAC),31,8-23,751,"1,838",40.9
331,Maine (America East),32,6-26,765,"1,873",40.8
332,Chicago St. (WAC),32,3-29,774,"1,898",40.8
333,Kansas City (WAC),32,10-22,756,"1,859",40.7
334,California (Pac-12),32,8-24,767,"1,887",40.6
335,Rutgers (Big Ten),34,15-19,830,"2,042",40.6
336,Rice (C-USA),31,7-24,711,"1,751",40.6
337,Pittsburgh (ACC),32,8-24,678,"1,673",40.5
338,UTRGV (WAC),33,15-18,833,"2,063",40.4
339,Southern U. (SWAC),33,15-18,781,"1,937",40.3
340,UC Riverside (Big West),31,9-22,716,"1,779",40.2
341,New Hampshire (America East),31,10-21,725,"1,803",40.2
342,Savannah St. (MEAC),32,15-17,940,"2,350",40
343,Northern Ariz. (Big Sky),32,5-27,698,"1,750",39.9
344,South Carolina (SEC),33,17-16,756,"1,899",39.8
345,VMI (SoCon),30,9-21,688,"1,729",39.8
346,Alabama A&M (SWAC),31,3-28,673,"1,696",39.7
347,Cal Poly (Big West),31,9-22,721,"1,817",39.7
348,UMES (MEAC),32,7-25,710,"1,844",38.5
349,Mississippi Val. (SWAC),32,4-28,758,"1,979",38.3
350,Jackson St. (SWAC),32,12-20,714,"1,921",37.2
351,Coppin St. (MEAC),32,5-27,657,"1,824",36
