Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Grand Canyon (WAC),34,22-12,580,161,27.8
2,Penn (Ivy League),33,24-9,650,192,29.5
3,Northeastern (CAA),33,23-10,529,158,29.9
4,Kentucky (SEC),37,26-11,955,287,30.1
5,San Diego (WCC),34,20-14,551,167,30.3
6,South Alabama (Sun Belt),32,14-18,701,214,30.5
7,Murray St. (OVC),32,26-6,649,199,30.7
8,Cincinnati (AAC),36,31-5,747,231,30.9
9,Northern Ky. (Horizon),32,22-10,662,205,31
10,Virginia (ACC),34,31-3,694,215,31
11,New Mexico St. (WAC),34,28-6,715,222,31
12,Illinois St. (MVC),33,18-15,771,240,31.1
13,Green Bay (Horizon),33,13-20,811,253,31.2
14,Jacksonville (ASUN),33,15-18,790,247,31.3
15,Valparaiso (MVC),32,15-17,612,192,31.4
16,Middle Tenn. (C-USA),33,25-8,643,202,31.4
17,UNC Greensboro (SoCon),35,27-8,728,229,31.5
18,NC State (ACC),33,21-12,629,199,31.6
19,Furman (SoCon),33,23-10,708,224,31.6
20,Nevada (Mountain West),37,29-8,868,275,31.7
21,Villanova (Big East),40,36-4,858,272,31.7
22,Syracuse (ACC),37,23-14,910,289,31.8
23,Tennessee (SEC),35,26-9,699,222,31.8
24,Grambling (SWAC),31,17-14,657,209,31.8
25,ETSU (SoCon),34,25-9,783,250,31.9
26,UIC (Horizon),36,20-16,766,245,32
27,Rutgers (Big Ten),34,15-19,722,231,32
27,Utah Valley (WAC),34,23-11,722,231,32
29,Duke (ACC),37,29-8,871,279,32
30,St. Bonaventure (Atlantic 10),34,26-8,829,266,32.1
31,Canisius (MAAC),33,21-12,645,207,32.1
32,Nebraska (Big Ten),33,22-11,597,192,32.2
33,Providence (Big East),35,21-14,746,240,32.2
34,Ohio (MAC),31,14-17,772,249,32.3
35,Houston (AAC),35,27-8,715,231,32.3
36,Saint Mary's (CA) (WCC),36,30-6,619,200,32.3
37,Loyola Chicago (MVC),38,32-6,786,254,32.3
38,Ga. Southern (Sun Belt),33,21-12,758,245,32.3
39,Texas Tech (Big 12),37,27-10,770,249,32.3
40,UC Davis (Big West),33,22-11,683,221,32.4
41,Texas St. (Sun Belt),33,15-18,698,226,32.4
42,Temple (AAC),33,17-16,706,229,32.4
43,Tennessee Tech (OVC),33,19-14,747,243,32.5
44,Sam Houston (Southland),36,21-15,851,277,32.5
45,LIU (NEC),35,18-17,743,242,32.6
46,Abilene Christian (Southland),32,16-16,657,214,32.6
47,Texas A&M (SEC),35,22-13,822,268,32.6
48,Kennesaw St. (ASUN),30,10-20,613,200,32.6
49,FGCU (ASUN),35,23-12,818,267,32.6
50,Longwood (Big South),33,7-26,805,263,32.7
51,San Diego St. (Mountain West),33,22-11,767,251,32.7
52,San Francisco (WCC),39,22-17,678,222,32.7
52,Northern Colo. (Big Sky),38,26-12,565,185,32.7
54,Boise St. (Mountain West),32,23-9,681,223,32.7
55,North Texas (C-USA),38,20-18,803,263,32.8
56,UC Irvine (Big West),35,18-17,699,229,32.8
57,Missouri (SEC),33,20-13,704,231,32.8
57,Robert Morris (NEC),33,16-17,640,210,32.8
59,Hampton (MEAC),35,19-16,786,258,32.8
59,Miami (FL) (ACC),32,22-10,655,215,32.8
61,Buffalo (MAC),36,27-9,728,239,32.8
62,Alabama (SEC),36,20-16,798,262,32.8
63,Michigan (Big Ten),41,33-8,676,222,32.8
64,Miami (OH) (MAC),34,16-18,749,246,32.8
65,Saint Peter's (MAAC),32,14-18,721,237,32.9
66,South Dakota (Summit League),35,26-9,794,261,32.9
67,Albany (NY) (America East),32,22-10,654,215,32.9
68,Fla. Atlantic (C-USA),31,12-19,584,192,32.9
69,Louisville (ACC),36,22-14,757,249,32.9
70,Jacksonville St. (OVC),36,23-13,836,275,32.9
71,Ark.-Pine Bluff (SWAC),35,14-21,690,227,32.9
72,N.C. Central (MEAC),35,19-16,786,259,33
73,UC Riverside (Big West),31,9-22,707,233,33
74,N.C. A&T (MEAC),35,20-15,725,239,33
75,Bradley (MVC),33,20-13,737,243,33
76,Kansas St. (Big 12),37,25-12,791,261,33
77,Bethune-Cookman (MEAC),32,18-14,700,231,33
78,South Fla. (AAC),32,10-22,663,219,33
79,UCF (AAC),32,19-13,608,201,33.1
80,Bucknell (Patriot),35,25-10,677,224,33.1
81,Weber St. (Big Sky),31,20-11,601,199,33.1
82,Missouri St. (MVC),33,18-15,697,231,33.1
83,Rhode Island (Atlantic 10),34,26-8,549,182,33.2
84,New Hampshire (America East),31,10-21,639,212,33.2
85,Texas (Big 12),34,19-15,714,237,33.2
86,Mississippi St. (SEC),37,25-12,825,274,33.2
87,Hawaii (Big West),30,17-13,590,196,33.2
88,Georgia (SEC),33,18-15,743,247,33.2
89,Purdue (Big Ten),37,30-7,755,251,33.2
90,Creighton (Big East),33,21-12,785,261,33.2
91,South Dakota St. (Summit League),35,28-7,875,291,33.3
92,Kansas (Big 12),39,31-8,947,315,33.3
93,South Carolina (SEC),33,17-16,667,222,33.3
94,Winthrop (Big South),31,19-12,688,229,33.3
95,Southern Ill. (MVC),33,20-13,717,239,33.3
95,Prairie View (SWAC),34,16-18,690,230,33.3
97,Xavier (Big East),35,29-6,902,301,33.4
98,Pittsburgh (ACC),32,8-24,704,235,33.4
99,Denver (Summit League),30,15-15,747,250,33.5
100,Nicholls (Southland),32,21-11,615,206,33.5
101,Duquesne (Atlantic 10),32,16-16,573,192,33.5
102,UT Arlington (Sun Belt),34,21-13,919,308,33.5
103,Washington (Pac-12),34,21-13,704,236,33.5
104,Belmont (OVC),33,24-9,680,228,33.5
105,Utah (Pac-12),35,23-12,786,264,33.6
106,Louisiana (Sun Belt),34,27-7,631,212,33.6
107,BYU (WCC),35,24-11,746,251,33.6
108,Southern U. (SWAC),33,15-18,701,236,33.7
109,Drake (MVC),34,17-17,784,264,33.7
110,Michigan St. (Big Ten),35,30-5,748,252,33.7
111,Saint Joseph's (Atlantic 10),32,16-16,905,305,33.7
112,Baylor (Big 12),34,19-15,774,261,33.7
113,Kent St. (MAC),34,17-17,735,248,33.7
114,Coppin St. (MEAC),32,5-27,732,247,33.7
115,Maryland (Big Ten),32,19-13,723,244,33.7
116,St. Francis Brooklyn (NEC),31,13-18,551,186,33.8
117,Seton Hall (Big East),34,22-12,776,262,33.8
118,Idaho St. (Big Sky),30,14-16,616,208,33.8
119,Maine (America East),32,6-26,755,255,33.8
120,Evansville (MVC),32,17-15,728,246,33.8
121,Sacred Heart (NEC),31,10-21,719,243,33.8
122,Old Dominion (C-USA),32,25-7,713,241,33.8
123,SMU (AAC),33,17-16,766,259,33.8
124,FIU (C-USA),32,14-18,709,240,33.9
