Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
125,Campbell (Big South),34,18-16,694,235,33.9
126,Yale (Ivy League),31,16-15,631,214,33.9
127,Iowa St. (Big 12),31,13-18,769,261,33.9
128,VMI (SoCon),30,9-21,727,247,34
129,Towson (CAA),32,18-14,703,239,34
130,Gardner-Webb (Big South),32,14-18,752,256,34
131,Lipscomb (ASUN),33,23-10,731,249,34.1
132,Georgia St. (Sun Belt),35,24-11,901,307,34.1
133,Troy (Sun Belt),33,16-17,748,255,34.1
134,Coastal Carolina (Sun Belt),32,14-18,809,276,34.1
135,Hartford (America East),33,19-14,767,262,34.2
136,Vermont (America East),35,27-8,726,248,34.2
137,Harvard (Ivy League),32,18-14,682,233,34.2
138,Portland (WCC),32,10-22,793,271,34.2
139,North Florida (ASUN),33,14-19,673,230,34.2
140,Lamar University (Southland),33,19-14,629,215,34.2
141,Arizona St. (Pac-12),32,20-12,766,262,34.2
142,UAB (C-USA),33,20-13,853,292,34.2
143,Penn St. (Big Ten),39,26-13,733,251,34.2
144,UNC Asheville (Big South),34,21-13,759,260,34.3
145,Toledo (MAC),34,23-11,703,241,34.3
146,Tulsa (AAC),31,19-12,821,282,34.3
147,Illinois (Big Ten),32,14-18,582,200,34.4
148,ULM (Sun Belt),32,16-16,774,266,34.4
149,High Point (Big South),30,14-16,611,210,34.4
150,UMBC (America East),36,25-11,819,282,34.4
151,Col. of Charleston (CAA),34,26-8,694,239,34.4
152,UTSA (C-USA),35,20-15,842,290,34.4
153,Lehigh (Patriot),30,16-14,815,281,34.5
154,UC Santa Barbara (Big West),32,23-9,661,228,34.5
155,Lafayette (Patriot),31,10-21,716,247,34.5
156,Tulane (AAC),31,14-17,623,215,34.5
157,Manhattan (MAAC),31,14-17,620,214,34.5
158,North Dakota St. (Summit League),32,15-17,646,223,34.5
159,Wright St. (Horizon),35,25-10,775,268,34.6
160,UCLA (Pac-12),33,21-12,829,287,34.6
161,Cal St. Fullerton (Big West),32,20-12,635,220,34.6
162,McNeese (Southland),28,11-17,609,211,34.6
163,Idaho (Big Sky),31,22-9,753,261,34.7
164,A&M-Corpus Christi (Southland),29,11-18,646,224,34.7
165,Virginia Tech (ACC),33,21-12,842,292,34.7
166,Jackson St. (SWAC),32,12-20,591,205,34.7
167,IUPUI (Horizon),30,11-19,608,211,34.7
168,Massachusetts (Atlantic 10),33,13-20,654,227,34.7
169,Mount St. Mary's (NEC),32,18-14,700,243,34.7
170,Southeastern La. (Southland),34,22-12,648,225,34.7
171,Alcorn (SWAC),32,11-21,766,266,34.7
172,Oregon St. (Pac-12),32,16-16,650,226,34.8
173,Morgan St. (MEAC),32,13-19,687,239,34.8
174,Georgetown (Big East),30,15-15,744,259,34.8
175,Central Mich. (MAC),36,21-15,913,318,34.8
176,Florida A&M (MEAC),34,9-25,697,243,34.9
177,Dartmouth (Ivy League),27,7-20,631,220,34.9
178,San Jose St. (Mountain West),30,4-26,868,303,34.9
179,Howard (MEAC),33,10-23,719,251,34.9
180,Washington St. (Pac-12),31,12-19,759,265,34.9
181,Siena (MAAC),32,8-24,647,226,34.9
182,Davidson (Atlantic 10),33,21-12,761,266,35
183,Seattle U (WAC),34,20-14,718,251,35
184,Saint Francis (PA) (NEC),31,18-13,729,255,35
185,Notre Dame (ACC),36,21-15,817,286,35
186,Gonzaga (WCC),37,32-5,777,272,35
187,Saint Louis (Atlantic 10),33,17-16,634,222,35
188,Radford (Big South),36,23-13,745,261,35
189,Wisconsin (Big Ten),33,15-18,528,185,35
190,VCU (Atlantic 10),33,18-15,736,258,35.1
191,Stony Brook (America East),32,13-19,627,220,35.1
192,Ohio St. (Big Ten),34,25-9,775,272,35.1
193,Eastern Mich. (MAC),35,22-13,792,278,35.1
194,Fordham (Atlantic 10),31,9-22,584,205,35.1
195,Chattanooga (SoCon),33,10-23,649,228,35.1
196,Auburn (SEC),34,26-8,777,273,35.1
197,Stanford (Pac-12),35,19-16,794,279,35.1
198,CSU Bakersfield (WAC),30,12-18,693,244,35.2
199,Southern California (Pac-12),36,24-12,835,294,35.2
200,Clemson (ACC),35,25-10,761,268,35.2
201,UNLV (Mountain West),33,20-13,704,248,35.2
202,Florida (SEC),34,21-13,650,229,35.2
203,Montana St. (Big Sky),32,13-19,701,247,35.2
204,Morehead St. (OVC),29,8-21,661,233,35.2
205,George Mason (Atlantic 10),33,16-17,788,278,35.3
206,LSU (SEC),33,18-15,785,277,35.3
207,Kansas City (WAC),32,10-22,643,227,35.3
208,East Carolina (AAC),30,10-20,637,225,35.3
209,UTRGV (WAC),33,15-18,648,229,35.3
210,Little Rock (Sun Belt),32,7-25,761,269,35.3
211,Purdue Fort Wayne (Summit League),33,18-15,752,266,35.4
212,Holy Cross (Patriot),31,12-19,735,260,35.4
213,Monmouth (MAAC),31,11-20,825,292,35.4
214,Boston U. (Patriot),31,15-16,711,252,35.4
215,Fairleigh Dickinson (NEC),31,13-18,705,250,35.5
216,Marshall (C-USA),36,25-11,747,265,35.5
217,UTEP (C-USA),31,11-20,738,262,35.5
218,Princeton (Ivy League),29,13-16,614,218,35.5
219,Florida St. (ACC),35,23-12,802,285,35.5
220,Indiana St. (MVC),31,13-18,633,225,35.5
221,Cleveland St. (Horizon),35,12-23,813,289,35.5
222,Savannah St. (MEAC),32,15-17,838,298,35.6
223,Mercer (SoCon),34,19-15,891,317,35.6
224,Western Ky. (C-USA),38,27-11,846,301,35.6
225,Oregon (Pac-12),36,23-13,801,285,35.6
226,Western Ill. (Summit League),28,12-16,665,237,35.6
227,Akron (MAC),32,14-18,721,257,35.6
228,Tennessee St. (OVC),30,15-15,760,271,35.7
229,CSUN (Big West),30,6-24,544,194,35.7
230,Arkansas (SEC),35,23-12,844,301,35.7
231,Colorado (Pac-12),32,17-15,743,265,35.7
232,George Washington (Atlantic 10),33,15-18,642,229,35.7
233,UT Martin (OVC),31,10-21,869,310,35.7
234,Rice (C-USA),31,7-24,796,284,35.7
235,Northwestern (Big Ten),32,15-17,636,227,35.7
236,Western Caro. (SoCon),32,13-19,790,282,35.7
237,SFA (Southland),35,28-7,689,246,35.7
238,Oral Roberts (Summit League),32,11-21,731,261,35.7
239,Norfolk St. (MEAC),33,14-19,829,296,35.7
240,Wofford (SoCon),34,21-13,803,287,35.7
241,Wagner (NEC),33,23-10,649,232,35.7
242,Montana (Big Sky),34,26-8,584,209,35.8
243,Arizona (Pac-12),35,27-8,729,261,35.8
244,Eastern Wash. (Big Sky),35,20-15,673,241,35.8
245,Iona (MAAC),34,20-14,745,267,35.8
246,Colorado St. (Mountain West),32,11-21,842,302,35.9
247,Army West Point (Patriot),30,13-17,699,251,35.9
248,Northern Ill. (MAC),32,13-19,763,274,35.9
249,Marquette (Big East),35,21-14,679,244,35.9
250,Utah St. (Mountain West),34,17-17,726,261,36
251,Loyola Maryland (Patriot),31,9-22,628,226,36
252,UNI (MVC),32,16-16,664,239,36
253,Central Ark. (Southland),35,18-17,700,252,36
254,NJIT (ASUN),30,14-16,572,206,36
255,Ball St. (MAC),32,19-13,715,258,36.1
256,UMES (MEAC),32,7-25,750,271,36.1
257,Boston College (ACC),35,19-16,855,309,36.1
258,Oklahoma (Big 12),32,18-14,810,293,36.2
259,Louisiana Tech (C-USA),33,17-16,635,230,36.2
260,App State (Sun Belt),33,15-18,640,232,36.3
261,The Citadel (SoCon),32,11-21,913,331,36.3
262,William & Mary (CAA),31,19-12,717,260,36.3
263,Hofstra (CAA),31,19-12,653,237,36.3
264,UIW (Southland),28,7-21,584,212,36.3
265,Austin Peay (OVC),34,19-15,661,240,36.3
266,Wichita St. (AAC),33,25-8,776,282,36.3
267,Pacific (WCC),32,14-18,707,257,36.4
268,UConn (AAC),32,14-18,791,288,36.4
269,Central Conn. St. (NEC),32,14-18,758,276,36.4
270,Navy (Patriot),32,20-12,678,247,36.4
271,Long Beach St. (Big West),33,15-18,699,255,36.5
272,Presbyterian (Big South),32,11-21,652,238,36.5
273,James Madison (CAA),32,10-22,711,260,36.6
274,South Carolina St. (MEAC),32,10-22,752,275,36.6
275,Liberty (Big South),37,22-15,864,316,36.6
276,Fresno St. (Mountain West),32,21-11,601,220,36.6
277,Drexel (CAA),33,13-20,672,246,36.6
278,Texas Southern (SWAC),36,16-20,764,280,36.6
279,Oklahoma St. (Big 12),36,21-15,720,264,36.7
280,Portland St. (Big Sky),34,20-14,684,251,36.7
281,Southern Miss. (C-USA),34,16-18,847,311,36.7
282,Indiana (Big Ten),31,16-15,640,235,36.7
283,Colgate (Patriot),33,19-14,735,270,36.7
284,SIUE (OVC),30,9-21,590,217,36.8
285,Bowling Green (MAC),32,16-16,709,261,36.8
286,Mississippi Val. (SWAC),32,4-28,747,275,36.8
287,Elon (CAA),32,14-18,901,332,36.8
288,Brown (Ivy League),27,11-16,556,205,36.9
289,Northwestern St. (Southland),29,4-25,591,218,36.9
290,Marist (MAAC),31,6-25,778,287,36.9
291,St. John's (NY) (Big East),33,16-17,824,304,36.9
292,Memphis (AAC),34,21-13,801,296,37
293,Charlotte (C-USA),29,6-23,625,231,37
294,UMass Lowell (America East),30,12-18,584,216,37
295,Delaware (CAA),33,14-19,740,274,37
296,New Orleans (Southland),33,16-17,609,226,37.1
297,Wyoming (Mountain West),33,20-13,700,260,37.1
297,DePaul (Big East),31,11-20,770,286,37.1
299,Rider (MAAC),32,22-10,821,305,37.1
300,Richmond (Atlantic 10),32,12-20,635,236,37.2
301,Western Mich. (MAC),32,17-15,780,290,37.2
302,Butler (Big East),35,21-14,735,274,37.3
303,Samford (SoCon),32,10-22,866,323,37.3
304,Sacramento St. (Big Sky),32,7-25,662,247,37.3
305,Oakland (Horizon),33,19-14,635,237,37.3
306,Omaha (Summit League),31,9-22,739,276,37.3
307,Vanderbilt (SEC),32,12-20,562,210,37.4
308,North Dakota (Big Sky),32,12-20,671,251,37.4
309,Southeast Mo. St. (OVC),31,14-17,695,260,37.4
310,Stetson (ASUN),32,12-20,719,269,37.4
311,Minnesota (Big Ten),32,15-17,715,268,37.5
312,TCU (Big 12),33,21-12,697,262,37.6
313,Iowa (Big Ten),33,14-19,755,284,37.6
314,Columbia (Ivy League),27,8-19,715,269,37.6
315,Milwaukee (Horizon),33,16-17,698,263,37.7
316,Alabama St. (SWAC),31,8-23,631,238,37.7
317,Wake Forest (ACC),31,11-20,702,265,37.7
318,New Mexico (Mountain West),34,19-15,603,228,37.8
319,Ole Miss (SEC),32,12-20,761,288,37.8
320,Georgia Tech (ACC),32,13-19,599,227,37.9
321,Niagara (MAAC),33,19-14,761,289,38
322,North Carolina (ACC),37,26-11,940,357,38
323,West Virginia (Big 12),37,26-11,758,288,38
324,Southern Utah (Big Sky),32,13-19,642,244,38
325,LMU (CA) (WCC),31,11-20,626,238,38
326,La Salle (Atlantic 10),32,13-19,633,241,38.1
327,Binghamton (America East),31,11-20,616,235,38.1
328,Arkansas St. (Sun Belt),32,11-21,642,245,38.2
329,Eastern Ill. (OVC),31,12-19,643,246,38.3
330,Charleston So. (Big South),31,15-16,742,284,38.3
331,Dayton (Atlantic 10),31,14-17,684,262,38.3
332,Cal Poly (Big West),31,9-22,595,228,38.3
332,Alabama A&M (SWAC),31,3-28,595,228,38.3
334,American (Patriot),30,6-24,519,199,38.3
335,Delaware St. (MEAC),32,4-28,813,313,38.5
336,UNCW (CAA),32,11-21,770,298,38.7
337,Northern Ariz. (Big Sky),32,5-27,774,301,38.9
338,Cornell (Ivy League),28,12-16,663,258,38.9
339,Eastern Ky. (OVC),31,11-20,654,256,39.1
340,Fairfield (MAAC),33,17-16,690,271,39.3
341,Houston Baptist (Southland),31,6-25,687,271,39.4
342,Quinnipiac (MAAC),33,12-21,722,286,39.6
343,Air Force (Mountain West),31,12-19,726,288,39.7
344,Detroit Mercy (Horizon),32,8-24,751,298,39.7
345,Chicago St. (WAC),32,3-29,743,295,39.7
346,Santa Clara (WCC),31,11-20,501,200,39.9
347,California (Pac-12),32,8-24,706,282,39.9
348,Pepperdine (WCC),32,6-26,761,305,40.1
349,Youngstown St. (Horizon),32,8-24,642,258,40.2
350,Bryant (NEC),31,3-28,760,308,40.5
351,USC Upstate (ASUN),32,7-25,697,287,41.2
