Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Michigan St. (Big Ten),35,30-5,774,"2,108",36.7
2,Cincinnati (AAC),36,31-5,739,"1,974",37.4
3,Virginia (ACC),34,31-3,647,"1,703",38
4,UC Irvine (Big West),35,18-17,781,"2,006",38.9
5,Syracuse (ACC),37,23-14,801,"2,046",39.1
6,Georgia St. (Sun Belt),35,24-11,771,"1,963",39.3
7,Georgia (SEC),33,18-15,778,"1,975",39.4
8,Houston (AAC),35,27-8,744,"1,887",39.4
9,New Mexico St. (WAC),34,28-6,763,"1,919",39.8
10,UCF (AAC),32,19-13,718,"1,790",40.1
11,Texas Tech (Big 12),37,27-10,806,"2,008",40.1
12,Grand Canyon (WAC),34,22-12,767,"1,906",40.2
13,ETSU (SoCon),34,25-9,778,"1,929",40.3
14,Kentucky (SEC),37,26-11,905,"2,242",40.4
15,Eastern Mich. (MAC),35,22-13,814,"2,013",40.4
16,Coastal Carolina (Sun Belt),32,14-18,736,"1,819",40.5
17,Duke (ACC),37,29-8,957,"2,364",40.5
18,Bradley (MVC),33,20-13,716,"1,768",40.5
19,UIC (Horizon),36,20-16,919,"2,265",40.6
20,UNC Greensboro (SoCon),35,27-8,729,"1,795",40.6
21,Clemson (ACC),35,25-10,826,"2,033",40.6
22,South Alabama (Sun Belt),32,14-18,762,"1,874",40.7
23,Seattle U (WAC),34,20-14,814,"1,999",40.7
24,Jacksonville St. (OVC),36,23-13,821,"2,016",40.7
25,Texas A&M (SEC),35,22-13,892,"2,189",40.7
26,Old Dominion (C-USA),32,25-7,707,"1,735",40.7
27,Missouri (SEC),33,20-13,795,"1,949",40.8
28,Northern Ky. (Horizon),32,22-10,752,"1,841",40.8
29,Gonzaga (WCC),37,32-5,890,"2,178",40.9
30,Tennessee (SEC),35,26-9,784,"1,917",40.9
31,Maryland (Big Ten),32,19-13,781,"1,909",40.9
32,South Dakota (Summit League),35,26-9,859,"2,097",41
33,Missouri St. (MVC),33,18-15,779,"1,898",41
34,Wagner (NEC),33,23-10,731,"1,774",41.2
35,UT Arlington (Sun Belt),34,21-13,853,"2,070",41.2
36,Cal St. Fullerton (Big West),32,20-12,768,"1,861",41.3
37,Purdue (Big Ten),37,30-7,907,"2,197",41.3
38,Saint Peter's (MAAC),32,14-18,685,"1,659",41.3
39,Utah Valley (WAC),34,23-11,846,"2,048",41.3
40,Murray St. (OVC),32,26-6,761,"1,841",41.3
41,Louisville (ACC),36,22-14,913,"2,208",41.3
42,Rutgers (Big Ten),34,15-19,785,"1,898",41.4
43,UC Riverside (Big West),31,9-22,735,"1,776",41.4
44,Loyola Chicago (MVC),38,32-6,877,"2,118",41.4
45,Penn (Ivy League),33,24-9,816,"1,970",41.4
46,San Diego (WCC),34,20-14,764,"1,843",41.5
47,Baylor (Big 12),34,19-15,836,"2,016",41.5
48,Wright St. (Horizon),35,25-10,816,"1,965",41.5
49,UNI (MVC),32,16-16,723,"1,740",41.6
50,Liberty (Big South),37,22-15,790,"1,899",41.6
51,Alabama (SEC),36,20-16,877,"2,108",41.6
52,UTSA (C-USA),35,20-15,879,"2,112",41.6
53,Florida St. (ACC),35,23-12,887,"2,129",41.7
54,San Diego St. (Mountain West),33,22-11,795,"1,908",41.7
55,N.C. Central (MEAC),35,19-16,846,"2,030",41.7
56,Ohio St. (Big Ten),34,25-9,811,"1,944",41.7
57,Mississippi St. (SEC),37,25-12,902,"2,160",41.8
58,Norfolk St. (MEAC),33,14-19,781,"1,870",41.8
59,Winthrop (Big South),31,19-12,772,"1,846",41.8
60,Utah (Pac-12),35,23-12,855,"2,043",41.9
61,Idaho (Big Sky),31,22-9,746,"1,780",41.9
62,Evansville (MVC),32,17-15,712,"1,697",42
63,Saint Joseph's (Atlantic 10),32,16-16,831,"1,980",42
64,Hampton (MEAC),35,19-16,913,"2,175",42
65,St. John's (NY) (Big East),33,16-17,807,"1,922",42
66,Tulsa (AAC),31,19-12,793,"1,888",42
67,Valparaiso (MVC),32,15-17,732,"1,740",42.1
68,Wichita St. (AAC),33,25-8,809,"1,922",42.1
69,St. Bonaventure (Atlantic 10),34,26-8,807,"1,917",42.1
70,Harvard (Ivy League),32,18-14,725,"1,718",42.2
71,SMU (AAC),33,17-16,744,"1,763",42.2
72,Southern U. (SWAC),33,15-18,814,"1,927",42.2
73,FGCU (ASUN),35,23-12,884,"2,092",42.3
74,Nebraska (Big Ten),33,22-11,856,"2,025",42.3
75,North Carolina (ACC),37,26-11,972,"2,297",42.3
76,Colorado (Pac-12),32,17-15,808,"1,909",42.3
77,UCLA (Pac-12),33,21-12,891,"2,105",42.3
78,UAB (C-USA),33,20-13,827,"1,952",42.4
79,Notre Dame (ACC),36,21-15,923,"2,176",42.4
