Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
80,South Carolina (SEC),33,17-16,749,"1,765",42.4
81,Bethune-Cookman (MEAC),32,18-14,883,"2,080",42.5
82,Texas (Big 12),34,19-15,861,"2,028",42.5
83,CSU Bakersfield (WAC),30,12-18,679,"1,598",42.5
84,UT Martin (OVC),31,10-21,764,"1,798",42.5
85,Western Ill. (Summit League),28,12-16,723,"1,701",42.5
86,UC Davis (Big West),33,22-11,768,"1,806",42.5
87,Penn St. (Big Ten),39,26-13,928,"2,182",42.5
88,Ball St. (MAC),32,19-13,841,"1,977",42.5
89,Kansas St. (Big 12),37,25-12,842,"1,979",42.5
90,West Virginia (Big 12),37,26-11,835,"1,962",42.6
91,Michigan (Big Ten),41,33-8,948,"2,227",42.6
92,North Texas (C-USA),38,20-18,922,"2,165",42.6
93,Ga. Southern (Sun Belt),33,21-12,816,"1,916",42.6
94,Illinois St. (MVC),33,18-15,828,"1,944",42.6
95,Bucknell (Patriot),35,25-10,911,"2,138",42.6
96,Kansas (Big 12),39,31-8,"1,031","2,419",42.6
97,High Point (Big South),30,14-16,674,"1,581",42.6
98,North Dakota St. (Summit League),32,15-17,799,"1,872",42.7
99,Coppin St. (MEAC),32,5-27,810,"1,897",42.7
100,Boise St. (Mountain West),32,23-9,794,"1,859",42.7
101,South Dakota St. (Summit League),35,28-7,955,"2,235",42.7
102,Auburn (SEC),34,26-8,838,"1,961",42.7
103,Florida (SEC),34,21-13,832,"1,946",42.8
104,SFA (Southland),35,28-7,768,"1,796",42.8
105,Saint Louis (Atlantic 10),33,17-16,749,"1,750",42.8
106,UTEP (C-USA),31,11-20,756,"1,766",42.8
107,Villanova (Big East),40,36-4,"1,028","2,401",42.8
108,Georgia Tech (ACC),32,13-19,768,"1,791",42.9
109,Weber St. (Big Sky),31,20-11,794,"1,851",42.9
110,Western Ky. (C-USA),38,27-11,989,"2,304",42.9
111,ULM (Sun Belt),32,16-16,771,"1,796",42.9
112,Virginia Tech (ACC),33,21-12,844,"1,965",43
113,Buffalo (MAC),36,27-9,936,"2,179",43
114,Montana (Big Sky),34,26-8,784,"1,825",43
115,Arkansas (SEC),35,23-12,872,"2,028",43
116,Towson (CAA),32,18-14,774,"1,800",43
117,Belmont (OVC),33,24-9,836,"1,943",43
118,Tennessee St. (OVC),30,15-15,683,"1,586",43.1
119,Xavier (Big East),35,29-6,944,"2,192",43.1
120,UNLV (Mountain West),33,20-13,951,"2,208",43.1
121,Green Bay (Horizon),33,13-20,899,"2,087",43.1
122,Middle Tenn. (C-USA),33,25-8,738,"1,713",43.1
123,UC Santa Barbara (Big West),32,23-9,803,"1,863",43.1
124,Miami (FL) (ACC),32,22-10,794,"1,841",43.1
125,Fla. Atlantic (C-USA),31,12-19,788,"1,827",43.1
126,Holy Cross (Patriot),31,12-19,713,"1,653",43.1
127,Ohio (MAC),31,14-17,839,"1,944",43.2
128,Radford (Big South),36,23-13,819,"1,897",43.2
129,Oregon St. (Pac-12),32,16-16,765,"1,771",43.2
130,New Hampshire (America East),31,10-21,712,"1,648",43.2
131,Col. of Charleston (CAA),34,26-8,824,"1,907",43.2
132,Memphis (AAC),34,21-13,841,"1,946",43.2
133,Little Rock (Sun Belt),32,7-25,754,"1,744",43.2
134,Monmouth (MAAC),31,11-20,781,"1,805",43.3
135,McNeese (Southland),28,11-17,786,"1,816",43.3
136,Ark.-Pine Bluff (SWAC),35,14-21,831,"1,919",43.3
137,Furman (SoCon),33,23-10,825,"1,905",43.3
138,UConn (AAC),32,14-18,804,"1,856",43.3
139,Stanford (Pac-12),35,19-16,954,"2,202",43.3
140,Nevada (Mountain West),37,29-8,974,"2,248",43.3
141,Alcorn (SWAC),32,11-21,809,"1,867",43.3
142,Creighton (Big East),33,21-12,907,"2,093",43.3
143,Oregon (Pac-12),36,23-13,881,"2,033",43.3
144,Sam Houston (Southland),36,21-15,852,"1,965",43.4
145,Louisiana (Sun Belt),34,27-7,849,"1,958",43.4
146,Denver (Summit League),30,15-15,746,"1,720",43.4
147,Gardner-Webb (Big South),32,14-18,798,"1,839",43.4
148,FIU (C-USA),32,14-18,799,"1,841",43.4
149,Troy (Sun Belt),33,16-17,865,"1,993",43.4
150,Fresno St. (Mountain West),32,21-11,749,"1,725",43.4
151,San Francisco (WCC),39,22-17,934,"2,151",43.4
152,Charleston So. (Big South),31,15-16,714,"1,644",43.4
153,Arizona (Pac-12),35,27-8,890,"2,047",43.5
154,Milwaukee (Horizon),33,16-17,811,"1,865",43.5
155,Portland (WCC),32,10-22,838,"1,926",43.5
156,Grambling (SWAC),31,17-14,792,"1,820",43.5
157,Eastern Ill. (OVC),31,12-19,740,"1,696",43.6
158,Toledo (MAC),34,23-11,942,"2,157",43.7
159,Northwestern (Big Ten),32,15-17,729,"1,669",43.7
160,Tennessee Tech (OVC),33,19-14,838,"1,918",43.7
161,Manhattan (MAAC),31,14-17,735,"1,681",43.7
162,Mercer (SoCon),34,19-15,812,"1,857",43.7
163,App State (Sun Belt),33,15-18,854,"1,953",43.7
164,Stony Brook (America East),32,13-19,761,"1,740",43.7
165,Oklahoma St. (Big 12),36,21-15,916,"2,094",43.7
166,Abilene Christian (Southland),32,16-16,770,"1,759",43.8
167,Vermont (America East),35,27-8,844,"1,928",43.8
168,San Jose St. (Mountain West),30,4-26,781,"1,784",43.8
169,Elon (CAA),32,14-18,892,"2,037",43.8
170,Minnesota (Big Ten),32,15-17,876,"2,000",43.8
171,A&M-Corpus Christi (Southland),29,11-18,679,"1,550",43.8
172,Southern Ill. (MVC),33,20-13,801,"1,828",43.8
173,Central Conn. St. (NEC),32,14-18,816,"1,862",43.8
174,Arizona St. (Pac-12),32,20-12,841,"1,919",43.8
175,Southeastern La. (Southland),34,22-12,860,"1,962",43.8
176,Temple (AAC),33,17-16,836,"1,907",43.8
177,Fairleigh Dickinson (NEC),31,13-18,812,"1,851",43.9
178,Hartford (America East),33,19-14,820,"1,869",43.9
179,Pittsburgh (ACC),32,8-24,831,"1,894",43.9
180,UMBC (America East),36,25-11,883,"2,012",43.9
181,Seton Hall (Big East),34,22-12,903,"2,057",43.9
182,Georgetown (Big East),30,15-15,821,"1,870",43.9
183,Davidson (Atlantic 10),33,21-12,802,"1,826",43.9
184,Maine (America East),32,6-26,833,"1,896",43.9
185,Sacred Heart (NEC),31,10-21,794,"1,806",44
186,Wake Forest (ACC),31,11-20,770,"1,751",44
187,Miami (OH) (MAC),34,16-18,881,"2,002",44
188,DePaul (Big East),31,11-20,787,"1,788",44
189,LIU (NEC),35,18-17,973,"2,209",44
190,Louisiana Tech (C-USA),33,17-16,838,"1,902",44.1
191,Southern California (Pac-12),36,24-12,936,"2,124",44.1
192,Ole Miss (SEC),32,12-20,852,"1,933",44.1
193,Nicholls (Southland),32,21-11,824,"1,868",44.1
194,Indiana (Big Ten),31,16-15,773,"1,752",44.1
195,Hawaii (Big West),30,17-13,714,"1,618",44.1
196,Marshall (C-USA),36,25-11,"1,059","2,399",44.1
197,Longwood (Big South),33,7-26,856,"1,939",44.1
198,Saint Mary's (CA) (WCC),36,30-6,883,"1,999",44.2
199,Iowa St. (Big 12),31,13-18,856,"1,936",44.2
200,Oklahoma (Big 12),32,18-14,964,"2,178",44.3
201,Texas St. (Sun Belt),33,15-18,786,"1,775",44.3
202,Army West Point (Patriot),30,13-17,757,"1,709",44.3
203,Indiana St. (MVC),31,13-18,760,"1,714",44.3
204,VMI (SoCon),30,9-21,767,"1,729",44.4
205,UIW (Southland),28,7-21,775,"1,746",44.4
206,Northern Colo. (Big Sky),38,26-12,"1,013","2,282",44.4
207,Jacksonville (ASUN),33,15-18,907,"2,043",44.4
208,Wyoming (Mountain West),33,20-13,898,"2,022",44.4
209,Providence (Big East),35,21-14,913,"2,054",44.4
210,Central Mich. (MAC),36,21-15,966,"2,173",44.5
211,Boston College (ACC),35,19-16,938,"2,109",44.5
212,Campbell (Big South),34,18-16,861,"1,933",44.5
213,Binghamton (America East),31,11-20,780,"1,750",44.6
214,Eastern Wash. (Big Sky),35,20-15,884,"1,983",44.6
215,Tulane (AAC),31,14-17,815,"1,828",44.6
216,Albany (NY) (America East),32,22-10,807,"1,808",44.6
217,Morgan St. (MEAC),32,13-19,791,"1,772",44.6
218,Central Ark. (Southland),35,18-17,975,"2,183",44.7
219,Kent St. (MAC),34,17-17,892,"1,997",44.7
220,Lamar University (Southland),33,19-14,809,"1,809",44.7
221,Siena (MAAC),32,8-24,819,"1,831",44.7
222,Washington (Pac-12),34,21-13,887,"1,983",44.7
223,Rider (MAAC),32,22-10,852,"1,904",44.7
224,UTRGV (WAC),33,15-18,875,"1,955",44.8
225,Lehigh (Patriot),30,16-14,828,"1,849",44.8
226,Canisius (MAAC),33,21-12,819,"1,828",44.8
227,Rice (C-USA),31,7-24,850,"1,897",44.8
228,Robert Morris (NEC),33,16-17,833,"1,858",44.8
229,Northeastern (CAA),33,23-10,834,"1,860",44.8
230,Lipscomb (ASUN),33,23-10,898,"2,002",44.9
231,Wofford (SoCon),34,21-13,833,"1,857",44.9
232,Butler (Big East),35,21-14,877,"1,954",44.9
233,BYU (WCC),35,24-11,878,"1,955",44.9
234,Princeton (Ivy League),29,13-16,738,"1,643",44.9
235,Utah St. (Mountain West),34,17-17,868,"1,932",44.9
236,James Madison (CAA),32,10-22,811,"1,804",45
237,Columbia (Ivy League),27,8-19,723,"1,608",45
238,Jackson St. (SWAC),32,12-20,719,"1,599",45
239,Boston U. (Patriot),31,15-16,793,"1,762",45
240,Mount St. Mary's (NEC),32,18-14,842,"1,870",45
241,VCU (Atlantic 10),33,18-15,897,"1,992",45
242,UNC Asheville (Big South),34,21-13,884,"1,963",45
243,Oakland (Horizon),33,19-14,931,"2,067",45
244,George Mason (Atlantic 10),33,16-17,899,"1,994",45.1
245,South Fla. (AAC),32,10-22,819,"1,816",45.1
246,Drake (MVC),34,17-17,937,"2,076",45.1
247,La Salle (Atlantic 10),32,13-19,839,"1,858",45.2
248,Texas Southern (SWAC),36,16-20,"1,048","2,320",45.2
249,Navy (Patriot),32,20-12,744,"1,645",45.2
250,East Carolina (AAC),30,10-20,818,"1,808",45.2
251,Rhode Island (Atlantic 10),34,26-8,811,"1,792",45.3
252,Colgate (Patriot),33,19-14,831,"1,836",45.3
253,Alabama St. (SWAC),31,8-23,813,"1,795",45.3
254,George Washington (Atlantic 10),33,15-18,857,"1,891",45.3
255,Cornell (Ivy League),28,12-16,809,"1,785",45.3
256,Pacific (WCC),32,14-18,798,"1,760",45.3
257,Duquesne (Atlantic 10),32,16-16,803,"1,771",45.3
258,Marist (MAAC),31,6-25,896,"1,976",45.3
259,Western Mich. (MAC),32,17-15,818,"1,803",45.4
260,Lafayette (Patriot),31,10-21,856,"1,886",45.4
261,Kansas City (WAC),32,10-22,840,"1,850",45.4
262,Sacramento St. (Big Sky),32,7-25,820,"1,803",45.5
263,Delaware (CAA),33,14-19,869,"1,909",45.5
264,LSU (SEC),33,18-15,875,"1,922",45.5
265,Fairfield (MAAC),33,17-16,886,"1,946",45.5
266,Cal Poly (Big West),31,9-22,816,"1,790",45.6
267,Idaho St. (Big Sky),30,14-16,816,"1,789",45.6
268,Cleveland St. (Horizon),35,12-23,936,"2,052",45.6
269,Massachusetts (Atlantic 10),33,13-20,879,"1,927",45.6
270,TCU (Big 12),33,21-12,894,"1,958",45.7
271,N.C. A&T (MEAC),35,20-15,956,"2,093",45.7
272,Bowling Green (MAC),32,16-16,893,"1,949",45.8
273,Colorado St. (Mountain West),32,11-21,879,"1,918",45.8
274,Wisconsin (Big Ten),33,15-18,798,"1,740",45.9
275,Yale (Ivy League),31,16-15,824,"1,793",46
276,Western Caro. (SoCon),32,13-19,839,"1,824",46
277,Niagara (MAAC),33,19-14,"1,012","2,200",46
278,Akron (MAC),32,14-18,828,"1,798",46.1
279,NJIT (ASUN),30,14-16,795,"1,726",46.1
280,Southern Miss. (C-USA),34,16-18,859,"1,864",46.1
281,Iona (MAAC),34,20-14,969,"2,102",46.1
282,Saint Francis (PA) (NEC),31,18-13,893,"1,936",46.1
283,Drexel (CAA),33,13-20,948,"2,054",46.2
284,Northern Ill. (MAC),32,13-19,861,"1,865",46.2
285,New Orleans (Southland),33,16-17,822,"1,780",46.2
286,Purdue Fort Wayne (Summit League),33,18-15,924,"1,999",46.2
287,Iowa (Big Ten),33,14-19,953,"2,061",46.2
288,Air Force (Mountain West),31,12-19,781,"1,686",46.3
289,Quinnipiac (MAAC),33,12-21,908,"1,960",46.3
290,Fordham (Atlantic 10),31,9-22,806,"1,738",46.4
291,Austin Peay (OVC),34,19-15,845,"1,821",46.4
292,CSUN (Big West),30,6-24,801,"1,726",46.4
293,Delaware St. (MEAC),32,4-28,846,"1,822",46.4
294,Washington St. (Pac-12),31,12-19,882,"1,897",46.5
295,Oral Roberts (Summit League),32,11-21,902,"1,940",46.5
296,NC State (ACC),33,21-12,908,"1,952",46.5
297,Vanderbilt (SEC),32,12-20,841,"1,806",46.6
298,Stetson (ASUN),32,12-20,881,"1,891",46.6
299,Dartmouth (Ivy League),27,7-20,724,"1,552",46.6
300,Northwestern St. (Southland),29,4-25,789,"1,691",46.7
301,Howard (MEAC),33,10-23,931,"1,992",46.7
302,Long Beach St. (Big West),33,15-18,955,"2,040",46.8
303,Morehead St. (OVC),29,8-21,765,"1,634",46.8
304,Prairie View (SWAC),34,16-18,879,"1,877",46.8
305,UMES (MEAC),32,7-25,882,"1,879",46.9
306,Dayton (Atlantic 10),31,14-17,824,"1,755",47
307,Loyola Maryland (Patriot),31,9-22,805,"1,714",47
308,Northern Ariz. (Big Sky),32,5-27,859,"1,828",47
309,IUPUI (Horizon),30,11-19,759,"1,614",47
310,St. Francis Brooklyn (NEC),31,13-18,810,"1,720",47.1
311,Eastern Ky. (OVC),31,11-20,849,"1,801",47.1
312,California (Pac-12),32,8-24,852,"1,807",47.1
313,Illinois (Big Ten),32,14-18,788,"1,669",47.2
314,Mississippi Val. (SWAC),32,4-28,862,"1,823",47.3
315,Presbyterian (Big South),32,11-21,837,"1,769",47.3
316,Florida A&M (MEAC),34,9-25,963,"2,027",47.5
317,Portland St. (Big Sky),34,20-14,937,"1,972",47.5
318,Brown (Ivy League),27,11-16,741,"1,558",47.6
319,SIUE (OVC),30,9-21,792,"1,664",47.6
320,Montana St. (Big Sky),32,13-19,897,"1,884",47.6
321,North Florida (ASUN),33,14-19,"1,120","2,350",47.7
322,Southern Utah (Big Sky),32,13-19,891,"1,868",47.7
323,UNCW (CAA),32,11-21,940,"1,970",47.7
324,Hofstra (CAA),31,19-12,874,"1,831",47.7
325,Southeast Mo. St. (OVC),31,14-17,857,"1,795",47.7
326,Marquette (Big East),35,21-14,960,"2,010",47.8
327,Charlotte (C-USA),29,6-23,842,"1,762",47.8
328,Alabama A&M (SWAC),31,3-28,881,"1,843",47.8
329,Kennesaw St. (ASUN),30,10-20,862,"1,802",47.8
330,Chattanooga (SoCon),33,10-23,902,"1,880",48
331,Omaha (Summit League),31,9-22,951,"1,981",48
332,The Citadel (SoCon),32,11-21,"1,020","2,123",48
333,Houston Baptist (Southland),31,6-25,912,"1,895",48.1
334,Detroit Mercy (Horizon),32,8-24,959,"1,989",48.2
335,New Mexico (Mountain West),34,19-15,931,"1,925",48.4
336,UMass Lowell (America East),30,12-18,862,"1,772",48.6
337,American (Patriot),30,6-24,776,"1,595",48.7
338,William & Mary (CAA),31,19-12,928,"1,907",48.7
339,Pepperdine (WCC),32,6-26,887,"1,821",48.7
340,Samford (SoCon),32,10-22,957,"1,960",48.8
341,Richmond (Atlantic 10),32,12-20,882,"1,805",48.9
342,North Dakota (Big Sky),32,12-20,942,"1,923",49
343,Arkansas St. (Sun Belt),32,11-21,911,"1,852",49.2
344,South Carolina St. (MEAC),32,10-22,963,"1,956",49.2
345,Savannah St. (MEAC),32,15-17,"1,102","2,237",49.3
346,Bryant (NEC),31,3-28,921,"1,867",49.3
347,LMU (CA) (WCC),31,11-20,817,"1,645",49.7
348,Chicago St. (WAC),32,3-29,949,"1,908",49.7
349,USC Upstate (ASUN),32,7-25,967,"1,929",50.1
350,Santa Clara (WCC),31,11-20,821,"1,636",50.2
351,Youngstown St. (Horizon),32,8-24,943,"1,852",50.9
