Rank,Team,GM,W-L,FT,FTA,FT%
119,Long Beach St. (Big West),33,15-18,557,765,72.8
120,Montana St. (Big Sky),32,13-19,543,746,72.8
121,Niagara (MAAC),33,19-14,588,808,72.8
122,Western Mich. (MAC),32,17-15,479,659,72.7
123,Northern Ill. (MAC),32,13-19,452,622,72.7
124,Saint Peter's (MAAC),32,14-18,350,482,72.6
125,USC Upstate (ASUN),32,7-25,334,460,72.6
126,Fairleigh Dickinson (NEC),31,13-18,416,573,72.6
127,UT Martin (OVC),31,10-21,309,426,72.5
128,Loyola Chicago (MVC),38,32-6,454,626,72.5
129,Santa Clara (WCC),31,11-20,380,524,72.5
130,Texas Southern (SWAC),36,16-20,657,906,72.5
131,Morgan St. (MEAC),32,13-19,538,742,72.5
132,Tulsa (AAC),31,19-12,522,720,72.5
133,Radford (Big South),36,23-13,445,614,72.5
134,Louisiana Tech (C-USA),33,17-16,505,697,72.5
135,Chicago St. (WAC),32,3-29,454,627,72.4
136,Florida A&M (MEAC),34,9-25,464,641,72.4
137,South Fla. (AAC),32,10-22,405,560,72.3
138,Drexel (CAA),33,13-20,467,646,72.3
139,Charleston So. (Big South),31,15-16,420,581,72.3
140,Yale (Ivy League),31,16-15,398,551,72.2
141,Winthrop (Big South),31,19-12,450,623,72.2
142,Coastal Carolina (Sun Belt),32,14-18,506,702,72.1
143,UNI (MVC),32,16-16,387,537,72.1
144,UCLA (Pac-12),33,21-12,515,715,72
145,Purdue Fort Wayne (Summit League),33,18-15,471,654,72
146,Navy (Patriot),32,20-12,451,627,71.9
147,Bucknell (Patriot),35,25-10,627,872,71.9
148,Gardner-Webb (Big South),32,14-18,378,526,71.9
149,Arkansas St. (Sun Belt),32,11-21,451,628,71.8
150,Houston (AAC),35,27-8,484,674,71.8
151,Lipscomb (ASUN),33,23-10,593,826,71.8
152,Nebraska (Big Ten),33,22-11,514,716,71.8
153,Florida (SEC),34,21-13,483,673,71.8
154,ULM (Sun Belt),32,16-16,325,453,71.7
155,Colorado St. (Mountain West),32,11-21,467,651,71.7
156,Nicholls (Southland),32,21-11,499,696,71.7
157,Western Ky. (C-USA),38,27-11,623,869,71.7
158,A&M-Corpus Christi (Southland),29,11-18,432,603,71.6
159,UC Davis (Big West),33,22-11,505,705,71.6
160,Charlotte (C-USA),29,6-23,456,637,71.6
161,Missouri St. (MVC),33,18-15,377,527,71.5
162,San Diego St. (Mountain West),33,22-11,502,702,71.5
163,Wright St. (Horizon),35,25-10,517,723,71.5
164,Richmond (Atlantic 10),32,12-20,389,544,71.5
165,Western Ill. (Summit League),28,12-16,326,456,71.5
166,Sam Houston (Southland),36,21-15,514,719,71.5
167,Marist (MAAC),31,6-25,437,612,71.4
168,Dartmouth (Ivy League),27,7-20,339,475,71.4
169,Tulane (AAC),31,14-17,437,613,71.3
170,Furman (SoCon),33,23-10,397,557,71.3
171,Georgia Tech (ACC),32,13-19,439,616,71.3
172,St. Francis Brooklyn (NEC),31,13-18,421,591,71.2
173,Jacksonville St. (OVC),36,23-13,468,657,71.2
174,Ohio (MAC),31,14-17,412,579,71.2
175,N.C. A&T (MEAC),35,20-15,552,776,71.1
176,Grambling (SWAC),31,17-14,547,769,71.1
177,Elon (CAA),32,14-18,325,457,71.1
178,Monmouth (MAAC),31,11-20,539,758,71.1
179,San Diego (WCC),34,20-14,492,692,71.1
180,Kansas City (WAC),32,10-22,455,640,71.1
181,Chattanooga (SoCon),33,10-23,445,626,71.1
182,Canisius (MAAC),33,21-12,413,581,71.1
183,Wagner (NEC),33,23-10,501,705,71.1
184,Duke (ACC),37,29-8,562,791,71
185,Fairfield (MAAC),33,17-16,441,621,71
186,LMU (CA) (WCC),31,11-20,421,593,71
187,ETSU (SoCon),34,25-9,460,648,71
188,George Washington (Atlantic 10),33,15-18,381,537,70.9
189,Virginia Tech (ACC),33,21-12,483,681,70.9
190,UMass Lowell (America East),30,12-18,489,690,70.9
191,UC Irvine (Big West),35,18-17,420,593,70.8
192,CSUN (Big West),30,6-24,335,473,70.8
193,DePaul (Big East),31,11-20,398,562,70.8
194,Fordham (Atlantic 10),31,9-22,320,452,70.8
195,Howard (MEAC),33,10-23,487,688,70.8
195,Oregon St. (Pac-12),32,16-16,487,688,70.8
197,Kansas (Big 12),39,31-8,453,640,70.8
198,Valparaiso (MVC),32,15-17,477,674,70.8
199,Gonzaga (WCC),37,32-5,513,725,70.8
200,Alcorn (SWAC),32,11-21,423,598,70.7
201,SIUE (OVC),30,9-21,410,580,70.7
202,Bradley (MVC),33,20-13,470,665,70.7
203,Princeton (Ivy League),29,13-16,313,443,70.7
204,Montana (Big Sky),34,26-8,551,780,70.6
205,TCU (Big 12),33,21-12,476,674,70.6
206,Omaha (Summit League),31,9-22,365,517,70.6
207,McNeese (Southland),28,11-17,401,568,70.6
208,North Dakota (Big Sky),32,12-20,468,663,70.6
209,Quinnipiac (MAAC),33,12-21,487,690,70.6
210,The Citadel (SoCon),32,11-21,475,673,70.6
211,Southern California (Pac-12),36,24-12,458,649,70.6
212,UNLV (Mountain West),33,20-13,612,868,70.5
213,Bryant (NEC),31,3-28,368,522,70.5
214,Indiana St. (MVC),31,13-18,454,644,70.5
215,Utah St. (Mountain West),34,17-17,442,627,70.5
216,SFA (Southland),35,28-7,577,819,70.5
217,Ball St. (MAC),32,19-13,453,643,70.5
218,Portland St. (Big Sky),34,20-14,529,751,70.4
219,Providence (Big East),35,21-14,554,787,70.4
220,Minnesota (Big Ten),32,15-17,487,692,70.4
221,Texas Tech (Big 12),37,27-10,579,823,70.4
222,Southern Miss. (C-USA),34,16-18,403,573,70.3
223,Cleveland St. (Horizon),35,12-23,402,572,70.3
224,High Point (Big South),30,14-16,413,588,70.2
225,Penn St. (Big Ten),39,26-13,507,722,70.2
226,Grand Canyon (WAC),34,22-12,551,785,70.2
227,UC Riverside (Big West),31,9-22,407,580,70.2
228,Washington (Pac-12),34,21-13,505,720,70.1
229,Northern Ariz. (Big Sky),32,5-27,526,750,70.1
230,Pepperdine (WCC),32,6-26,453,646,70.1
231,Bethune-Cookman (MEAC),32,18-14,575,820,70.1
232,Abilene Christian (Southland),32,16-16,406,579,70.1
233,Morehead St. (OVC),29,8-21,415,592,70.1
234,South Carolina (SEC),33,17-16,561,801,70
235,South Alabama (Sun Belt),32,14-18,472,674,70
236,Iowa St. (Big 12),31,13-18,390,557,70
237,Georgia (SEC),33,18-15,512,732,69.9
238,Buffalo (MAC),36,27-9,486,695,69.9
239,Wisconsin (Big Ten),33,15-18,404,578,69.9
240,Central Conn. St. (NEC),32,14-18,397,568,69.9
241,Seton Hall (Big East),34,22-12,509,729,69.8
242,Kentucky (SEC),37,26-11,649,930,69.8
243,UNC Greensboro (SoCon),35,27-8,383,549,69.8
244,UC Santa Barbara (Big West),32,23-9,414,594,69.7
245,South Carolina St. (MEAC),32,10-22,492,706,69.7
246,Rhode Island (Atlantic 10),34,26-8,439,630,69.7
247,Southern Ill. (MVC),33,20-13,415,596,69.6
248,Savannah St. (MEAC),32,15-17,483,694,69.6
249,LIU (NEC),35,18-17,547,786,69.6
250,Akron (MAC),32,14-18,405,582,69.6
251,NC State (ACC),33,21-12,489,703,69.6
252,Iowa (Big Ten),33,14-19,486,699,69.5
253,Pittsburgh (ACC),32,8-24,371,534,69.5
254,Denver (Summit League),30,15-15,375,540,69.4
255,Manhattan (MAAC),31,14-17,434,625,69.4
256,CSU Bakersfield (WAC),30,12-18,402,579,69.4
257,Delaware St. (MEAC),32,4-28,358,516,69.4
258,Fresno St. (Mountain West),32,21-11,473,682,69.4
259,Old Dominion (C-USA),32,25-7,431,623,69.2
260,Cincinnati (AAC),36,31-5,523,756,69.2
261,Florida St. (ACC),35,23-12,543,786,69.1
262,VCU (Atlantic 10),33,18-15,391,566,69.1
263,Mississippi St. (SEC),37,25-12,460,666,69.1
264,San Jose St. (Mountain West),30,4-26,386,559,69.1
265,Memphis (AAC),34,21-13,551,798,69
266,Holy Cross (Patriot),31,12-19,321,465,69
267,Kennesaw St. (ASUN),30,10-20,412,597,69
268,UT Arlington (Sun Belt),34,21-13,492,713,69
269,UNCW (CAA),32,11-21,458,664,69
270,Northern Colo. (Big Sky),38,26-12,540,784,68.9
271,Maine (America East),32,6-26,385,559,68.9
272,Saint Joseph's (Atlantic 10),32,16-16,464,675,68.7
273,Longwood (Big South),33,7-26,406,591,68.7
274,N.C. Central (MEAC),35,19-16,410,597,68.7
275,Towson (CAA),32,18-14,458,667,68.7
276,Hawaii (Big West),30,17-13,460,670,68.7
277,Presbyterian (Big South),32,11-21,350,510,68.6
278,Miami (OH) (MAC),34,16-18,376,548,68.6
279,SMU (AAC),33,17-16,384,560,68.6
280,Stanford (Pac-12),35,19-16,572,835,68.5
281,Duquesne (Atlantic 10),32,16-16,454,663,68.5
282,Oral Roberts (Summit League),32,11-21,354,517,68.5
283,Eastern Ill. (OVC),31,12-19,377,551,68.4
284,Sacramento St. (Big Sky),32,7-25,355,519,68.4
285,NJIT (ASUN),30,14-16,396,579,68.4
286,Western Caro. (SoCon),32,13-19,408,597,68.3
287,Illinois St. (MVC),33,18-15,437,640,68.3
288,Eastern Mich. (MAC),35,22-13,409,599,68.3
289,Hofstra (CAA),31,19-12,468,686,68.2
290,Temple (AAC),33,17-16,347,509,68.2
291,Arkansas (SEC),35,23-12,540,793,68.1
291,Southern U. (SWAC),33,15-18,540,793,68.1
293,Tennessee Tech (OVC),33,19-14,483,710,68
294,Idaho St. (Big Sky),30,14-16,403,594,67.8
295,Hartford (America East),33,19-14,386,569,67.8
296,Georgia St. (Sun Belt),35,24-11,417,615,67.8
297,Siena (MAAC),32,8-24,442,652,67.8
298,Portland (WCC),32,10-22,404,596,67.8
299,San Francisco (WCC),39,22-17,448,663,67.6
300,Ark.-Pine Bluff (SWAC),35,14-21,460,681,67.5
301,UTSA (C-USA),35,20-15,443,656,67.5
302,UMES (MEAC),32,7-25,366,542,67.5
303,California (Pac-12),32,8-24,484,717,67.5
304,Mississippi Val. (SWAC),32,4-28,388,575,67.5
305,Milwaukee (Horizon),33,16-17,356,528,67.4
306,New Orleans (Southland),33,16-17,508,755,67.3
307,Stetson (ASUN),32,12-20,348,518,67.2
308,Norfolk St. (MEAC),33,14-19,429,639,67.1
309,Prairie View (SWAC),34,16-18,532,793,67.1
310,Alabama (SEC),36,20-16,555,828,67
311,Rice (C-USA),31,7-24,432,646,66.9
312,UTEP (C-USA),31,11-20,362,542,66.8
313,App State (Sun Belt),33,15-18,500,749,66.8
314,Robert Morris (NEC),33,16-17,442,663,66.7
315,East Carolina (AAC),30,10-20,329,494,66.6
316,IUPUI (Horizon),30,11-19,372,559,66.5
317,Texas (Big 12),34,19-15,441,663,66.5
318,American (Patriot),30,6-24,326,491,66.4
319,Ga. Southern (Sun Belt),33,21-12,523,788,66.4
320,Sacred Heart (NEC),31,10-21,358,540,66.3
321,Miami (FL) (ACC),32,22-10,362,547,66.2
322,Texas A&M (SEC),35,22-13,449,679,66.1
323,Michigan (Big Ten),41,33-8,474,717,66.1
324,Texas St. (Sun Belt),33,15-18,430,651,66.1
325,North Texas (C-USA),38,20-18,502,761,66
326,Penn (Ivy League),33,24-9,429,651,65.9
327,Army West Point (Patriot),30,13-17,295,448,65.8
328,Jacksonville (ASUN),33,15-18,409,622,65.8
329,Southeastern La. (Southland),34,22-12,455,692,65.8
330,Indiana (Big Ten),31,16-15,423,644,65.7
331,Stony Brook (America East),32,13-19,398,606,65.7
332,Lamar University (Southland),33,19-14,497,757,65.7
333,Jackson St. (SWAC),32,12-20,325,497,65.4
334,Loyola Maryland (Patriot),31,9-22,397,608,65.3
335,Saint Louis (Atlantic 10),33,17-16,523,802,65.2
336,Delaware (CAA),33,14-19,428,657,65.1
337,Austin Peay (OVC),34,19-15,480,737,65.1
338,Alabama A&M (SWAC),31,3-28,345,533,64.7
339,Alabama St. (SWAC),31,8-23,418,647,64.6
340,UMBC (America East),36,25-11,414,641,64.6
341,Rutgers (Big Ten),34,15-19,409,635,64.4
342,New Mexico St. (WAC),34,28-6,388,603,64.3
343,UCF (AAC),32,19-13,450,702,64.1
344,Binghamton (America East),31,11-20,338,528,64
345,Boston U. (Patriot),31,15-16,357,559,63.9
346,Youngstown St. (Horizon),32,8-24,371,583,63.6
347,Houston Baptist (Southland),31,6-25,443,710,62.4
348,Northwestern St. (Southland),29,4-25,359,588,61.1
349,Little Rock (Sun Belt),32,7-25,338,554,61
350,FIU (C-USA),32,14-18,429,704,60.9
351,Rider (MAAC),32,22-10,513,844,60.8
