Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,William & Mary (CAA),31,19-12,337,777,43.4
2,Purdue (Big Ten),37,30-7,353,840,42
3,Marquette (Big East),35,21-14,385,924,41.7
3,Weber St. (Big Sky),31,20-11,280,672,41.7
5,Wofford (SoCon),34,21-13,357,865,41.3
6,Evansville (MVC),32,17-15,184,448,41.1
7,Saint Mary's (CA) (WCC),36,30-6,284,692,41
8,Idaho (Big Sky),31,22-9,277,679,40.8
9,Lehigh (Patriot),30,16-14,293,721,40.6
10,South Dakota St. (Summit League),35,28-7,374,927,40.3
11,Kansas (Big 12),39,31-8,391,974,40.1
12,Toledo (MAC),34,23-11,327,815,40.1
13,Villanova (Big East),40,36-4,464,"1,158",40.1
14,Vermont (America East),35,27-8,260,649,40.1
15,Denver (Summit League),30,15-15,211,527,40
16,Massachusetts (Atlantic 10),33,13-20,293,732,40
17,Michigan St. (Big Ten),35,30-5,290,725,40
18,Manhattan (MAAC),31,14-17,239,598,40
19,Arkansas (SEC),35,23-12,269,679,39.6
20,Loyola Chicago (MVC),38,32-6,277,700,39.6
21,Idaho St. (Big Sky),30,14-16,252,637,39.6
22,TCU (Big 12),33,21-12,274,694,39.5
23,Fresno St. (Mountain West),32,21-11,216,548,39.4
24,UNC Asheville (Big South),34,21-13,277,703,39.4
25,Southeast Mo. St. (OVC),31,14-17,289,738,39.2
26,Nevada (Mountain West),37,29-8,354,904,39.2
27,Davidson (Atlantic 10),33,21-12,353,907,38.9
28,Monmouth (MAAC),31,11-20,223,574,38.9
29,Campbell (Big South),34,18-16,313,806,38.8
30,Virginia Tech (ACC),33,21-12,289,745,38.8
31,Penn St. (Big Ten),39,26-13,294,759,38.7
32,UMBC (America East),36,25-11,364,940,38.7
33,Houston (AAC),35,27-8,297,768,38.7
34,Utah Valley (WAC),34,23-11,267,692,38.6
35,St. Bonaventure (Atlantic 10),34,26-8,255,661,38.6
36,Georgia St. (Sun Belt),35,24-11,323,839,38.5
37,Mercer (SoCon),34,19-15,288,751,38.3
38,Portland (WCC),32,10-22,255,665,38.3
39,Iona (MAAC),34,20-14,324,846,38.3
39,Missouri (SEC),33,20-13,306,799,38.3
41,Virginia (ACC),34,31-3,247,645,38.3
42,Army West Point (Patriot),30,13-17,295,771,38.3
43,UC Santa Barbara (Big West),32,23-9,257,674,38.1
44,UCLA (Pac-12),33,21-12,310,813,38.1
45,Wichita St. (AAC),33,25-8,300,787,38.1
46,Tennessee (SEC),35,26-9,273,718,38
47,Boise St. (Mountain West),32,23-9,307,809,37.9
48,SMU (AAC),33,17-16,281,741,37.9
49,Mount St. Mary's (NEC),32,18-14,323,853,37.9
50,North Dakota St. (Summit League),32,15-17,294,778,37.8
51,North Florida (ASUN),33,14-19,357,945,37.8
52,Murray St. (OVC),32,26-6,271,719,37.7
53,Washington St. (Pac-12),31,12-19,341,905,37.7
54,Belmont (OVC),33,24-9,378,"1,005",37.6
55,Southern California (Pac-12),36,24-12,296,788,37.6
56,Northeastern (CAA),33,23-10,302,804,37.6
57,Hofstra (CAA),31,19-12,260,693,37.5
58,Louisiana Tech (C-USA),33,17-16,287,765,37.5
59,Iowa (Big Ten),33,14-19,252,672,37.5
