Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2018,Virginia (ACC),True,64.0,1.0,Auto,1.0,91.2,13.1,1.7,46.0,75.4,38.3,38.0,31.0,1.58
2018,Villanova (Big East),False,1.0,1.0,Auto,2.0,90.0,16.4,3.2,50.0,77.9,40.1,42.8,31.7,1.54
2018,Gonzaga (WCC),False,16.0,4.0,Auto,15.0,86.5,15.8,8.6,49.8,70.8,36.8,40.9,35.0,1.34
2018,Cincinnati (AAC),False,32.0,2.0,Auto,8.0,86.1,16.7,7.8,45.0,69.2,35.3,37.4,30.9,1.41
2018,Michigan St. (Big Ten),True,32.0,3.0,At-large,9.0,85.7,15.3,10.7,49.6,74.7,40.0,36.7,33.7,1.46
2018,Loyola Chicago (MVC),False,4.0,11.0,Auto,46.0,84.2,9.1,1.7,50.7,72.5,39.6,41.4,32.3,1.26
2018,Saint Mary's (CA) (WCC),False,DNP,DNP,DNP,DNP,83.3,12.5,6.3,51.5,76.9,41.0,44.2,32.3,1.56
2018,Xavier (Big East),False,32.0,1.0,At-large,4.0,82.9,9.6,7.1,49.2,77.9,37.2,43.1,33.4,1.31
2018,New Mexico St. (WAC),False,64.0,12.0,Auto,47.0,82.4,11.4,8.8,45.8,64.3,33.4,39.8,31.0,1.12
2018,Murray St. (OVC),False,64.0,12.0,Auto,50.0,81.3,12.4,5.7,48.3,73.4,37.7,41.3,30.7,1.23
2018,Purdue (Big Ten),True,16.0,2.0,At-large,7.0,81.1,14.7,2.6,49.3,74.3,42.0,41.3,33.2,1.5
2018,Michigan (Big Ten),True,2.0,3.0,Auto,11.0,80.5,10.3,0.3,46.8,66.1,35.7,42.6,32.8,1.54
2018,SFA (Southland),False,64.0,14.0,Auto,58.0,80.0,12.4,3.5,48.6,70.5,37.2,42.8,35.7,0.92
2018,South Dakota St. (Summit League),False,64.0,12.0,Auto,49.0,80.0,10.3,3.4,46.7,76.2,40.3,42.7,33.3,1.32
2018,Kansas (Big 12),True,4.0,1.0,Auto,3.0,79.5,9.6,0.4,49.2,70.8,40.1,42.6,33.3,1.42
2018,Louisiana (Sun Belt),False,DNP,DNP,DNP,DNP,79.4,12.4,6.6,46.4,76.1,36.3,43.4,33.6,1.3
