Rank,Team,GM,W-L,AST,TO,Ratio
1,UCLA (Pac-12),36,31-5,771,404,1.91
2,Notre Dame (ACC),36,26-10,566,341,1.66
3,Iowa St. (Big 12),35,24-11,553,355,1.56
4,UNCW (CAA),35,29-6,565,363,1.56
5,Cincinnati (AAC),36,30-6,559,361,1.55
6,Saint Mary's (CA) (WCC),34,29-5,563,365,1.54
7,North Carolina (ACC),40,33-7,722,473,1.53
8,Michigan (Big Ten),38,26-12,529,348,1.52
9,SMU (AAC),35,30-5,567,377,1.50
10,Richmond (Atlantic 10),35,22-13,592,399,1.48
11,Middle Tenn. (C-USA),36,31-5,553,374,1.48
12,Virginia (ACC),34,23-11,473,324,1.46
13,Nevada (Mountain West),35,28-7,559,386,1.45
14,Wichita St. (MVC),36,31-5,586,406,1.44
15,Princeton (Ivy League),30,23-7,429,298,1.44
16,Northwestern (Big Ten),36,24-12,541,383,1.41
17,Purdue (Big Ten),35,27-8,640,455,1.41
18,William & Mary (CAA),31,17-14,543,388,1.40
19,Southern California (Pac-12),36,26-10,550,398,1.38
20,Memphis (AAC),32,19-13,508,368,1.38
21,Creighton (Big East),35,25-10,598,435,1.37
22,Wofford (SoCon),33,16-17,552,405,1.36
23,Santa Clara (WCC),33,17-16,464,341,1.36
24,Oregon (Pac-12),39,33-6,614,454,1.35
25,Canisius (MAAC),34,18-16,601,446,1.35
26,Louisiana Tech (C-USA),33,23-10,543,407,1.33
27,West Virginia (Big 12),37,28-9,607,455,1.33
28,UNC Asheville (Big South),33,23-10,512,384,1.33
29,Marshall (C-USA),35,20-15,576,433,1.33
30,Dayton (Atlantic 10),32,24-8,500,376,1.33
31,Gonzaga (WCC),39,37-2,595,448,1.33
32,Marquette (Big East),32,19-13,525,396,1.33
33,Kentucky (SEC),38,32-6,585,443,1.32
34,Wake Forest (ACC),33,19-14,512,389,1.32
35,TCU (Big 12),39,24-15,661,504,1.31
36,Butler (Big East),34,25-9,453,346,1.31
37,Portland St. (Big Sky),31,15-16,491,376,1.31
38,Minnesota (Big Ten),34,24-10,507,393,1.29
39,Houston (AAC),32,21-11,406,315,1.29
40,Iona (MAAC),35,22-13,541,421,1.29
41,Davidson (Atlantic 10),32,17-15,500,390,1.28
42,Kansas (Big 12),36,31-5,584,456,1.28
